YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2023,06037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,83,96,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,83,96,53,84,0,14,25,42,0,14,5,8,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2023,06037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,73,65,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,54,61,0,14,0,14,0,14,0,14,54,61,0,14,19,29,19,29,0,14,0,14,0,14,0,14,0,14
2023,06037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,81,54,6,10,0,14,0,14,0,14,0,14,6,10,0,14,24,38,0,14,24,38,0,14,0,14,0,14,0,14,51,39,15,19,0,14,0,14,0,14,25,29,11,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2023,06037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,160,96,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,125,82,12,14,8,13,0,19,0,19,18,22,87,80,35,55,35,55,0,19,0,19,0,19,0,19,0,19
2023,06037800324,Census Tract 8003.24,Agoura Hills,Los Angeles County,California,AgouraHills,282,132,0,19,0,19,0,19,0,19,0,19,0,19,0,19,15,25,0,19,15,25,0,19,0,19,0,19,0,19,267,131,93,77,0,19,0,19,0,19,147,97,27,32,0,19,0,19,0,19,0,19,0,19,0,19,0,19
2023,06037800328,Census Tract 8003.28,Agoura Hills,Los Angeles County,California,AgouraHills,74,34,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,69,34,31,24,0,14,0,14,0,14,35,29,3,7,5,7,0,14,0,14,0,14,0,14,0,14,5,7
2023,06037800333,Census Tract 8003.33,Agoura Hills,Los Angeles County,California,AgouraHills,647,136,7,12,7,12,0,14,0,14,0,14,0,14,0,14,105,68,35,36,0,14,38,61,0,14,32,30,0,14,437,128,85,60,12,21,118,91,0,14,163,87,59,51,98,68,16,18,17,28,0,14,0,14,65,60,0,14
2023,06037800334,Census Tract 8003.34,Agoura Hills,Los Angeles County,California,AgouraHills,164,83,0,14,0,14,0,14,0,14,0,14,0,14,0,14,56,66,0,14,0,14,0,14,0,14,56,66,0,14,91,66,5,10,42,47,0,14,44,58,0,14,0,14,17,27,0,14,0,14,0,14,0,14,17,27,0,14
2023,06037800335,Census Tract 8003.35,Agoura Hills,Los Angeles County,California,AgouraHills,257,100,8,13,0,14,0,14,0,14,0,14,8,13,0,14,36,43,22,34,0,14,0,14,0,14,14,25,0,14,164,84,49,40,11,18,0,14,0,14,46,47,58,54,49,39,0,14,0,14,16,26,0,14,12,19,21,25
2023,06037800336,Census Tract 8003.36,Agoura Hills,Los Angeles County,California,AgouraHills,91,68,0,14,0,14,0,14,0,14,0,14,0,14,0,14,21,25,9,16,12,19,0,14,0,14,0,14,0,14,60,62,48,58,0,14,0,14,0,14,12,18,0,14,10,15,10,15,0,14,0,14,0,14,0,14,0,14
2023,06037800338,Census Tract 8003.38,Agoura Hills,Los Angeles County,California,AgouraHills,261,154,0,19,0,19,0,19,0,19,0,19,0,19,0,19,47,48,0,19,0,19,0,19,0,19,47,48,0,19,112,86,76,74,0,19,0,19,0,19,36,38,0,19,102,123,0,19,0,19,99,123,0,19,3,5,0,19
2023,06037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,38,32,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,19,0,14,0,14,0,14,0,14,12,19,0,14,26,24,10,16,0,14,8,12,8,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2023,06037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,63,53,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,21,0,14,0,14,0,14,0,14,16,21,0,14,13,16,10,15,0,14,0,14,0,14,3,5,0,14,34,50,0,14,0,14,0,14,0,14,34,50,0,14
2023,06037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,81,54,6,10,0,14,0,14,0,14,0,14,6,10,0,14,24,38,0,14,24,38,0,14,0,14,0,14,0,14,51,39,15,19,0,14,0,14,0,14,25,29,11,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14
2023,06037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,925,157,11,16,0,14,0,14,0,14,0,14,11,16,0,14,197,87,42,42,38,43,42,37,23,37,43,44,9,13,451,145,228,98,23,23,69,61,11,18,111,68,9,15,266,95,8,13,11,19,32,22,17,20,168,87,30,26
2023,06037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1291,136,83,59,0,14,45,52,0,14,0,14,38,36,0,14,372,126,126,80,41,51,9,13,37,59,123,75,36,39,722,176,140,60,188,101,157,109,29,27,196,90,12,17,114,71,3,5,5,9,0,14,26,35,66,54,14,21
2023,06037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1365,161,31,43,25,42,0,14,0,14,0,14,6,9,0,14,225,77,15,17,56,33,27,25,40,43,87,50,0,14,723,182,158,82,160,114,77,52,37,25,277,101,14,21,386,107,34,34,75,64,15,18,71,65,182,72,9,14
