YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,83,96,53,84,0,14,0,14,0,14,25,42,0,14,0,14,0,14,5,8,0,14,83,96,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,83,96,53,84,0,14,25,42,0,14,5,8,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,6.02,,,6.02,,6.02,Not Available,Not Available,6.02%,Not Available,1
2023,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,73,65,0,14,19,29,0,14,0,14,0,14,0,14,36,58,0,14,18,25,0,14,73,65,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,54,61,0,14,0,14,0,14,0,14,54,61,0,14,19,29,19,29,0,14,0,14,0,14,0,14,0,14,73.97,,,100.0,0.0,24.66,Not Available,Not Available,100.0%,0.0%,1
2023,6037910814,Census Tract 9108.14,Acton,Los Angeles County,California,Acton,81,54,0,14,15,19,0,14,24,38,0,14,0,14,0,14,0,14,31,31,11,18,81,54,6,10,0,14,0,14,0,14,0,14,6,10,0,14,24,38,0,14,24,38,0,14,0,14,0,14,0,14,51,39,15,19,0,14,0,14,0,14,25,29,11,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14,38.27,100.0,0.0,49.02,,38.27,100.0%,0.0%,49.02%,Not Available,1
2023,6037910815,Census Tract 9108.15,Acton,Los Angeles County,California,Acton,160,96,0,19,6,10,41,55,8,13,0,19,0,19,12,20,0,19,6,10,87,80,160,96,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,125,82,12,14,8,13,0,19,0,19,18,22,87,80,35,55,35,55,0,19,0,19,0,19,0,19,0,19,11.25,,,14.4,0.0,3.75,Not Available,Not Available,14.4%,0.0%,1
2014,6037910205,Census Tract 9102.05,Acton,Los Angeles County,California,Acton,82,56,0,12,0,12,0,12,43,45,23,35,3,8,0,12,0,12,13,14,0,12,82,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56,51,0,12,33,43,23,35,0,12,0,12,0,12,26,23,0,12,10,13,0,12,3,8,13,14,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,19.51,,0.0,61.54,,15.85,Not Available,0.0%,61.54%,Not Available,1
2014,6037910804,Census Tract 9108.04,Acton,Los Angeles County,California,Acton,84,70,0,12,0,12,0,12,11,17,9,15,0,12,11,18,0,12,0,12,53,66,84,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,68,0,12,0,12,0,12,0,12,11,18,53,66,20,16,0,12,11,17,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13.1,,17.19,0.0,,0.0,Not Available,17.19%,0.0%,Not Available,1
2014,6037910805,Census Tract 9108.05,Acton,Los Angeles County,California,Acton,283,122,0,12,0,12,56,63,12,19,0,12,66,58,0,12,76,84,66,62,7,10,283,122,0,12,0,12,0,12,0,12,0,12,0,12,0,12,53,55,18,29,0,12,0,12,7,11,28,46,0,12,223,109,38,60,12,19,0,12,59,61,114,84,0,12,7,10,0,12,0,12,0,12,0,12,0,12,7,10,73.5,,66.04,77.58,0.0,23.32,Not Available,66.04%,77.58%,0.0%,1
2014,6037910812,Census Tract 9108.12,Acton,Los Angeles County,California,Acton,8,9,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3,5,5,7,0,12,8,9,3,5,0,12,0,12,0,12,0,12,3,5,0,12,5,7,0,12,0,12,0,12,0,12,5,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,100.0,100.0,100.0,,,62.5,100.0%,100.0%,Not Available,Not Available,1
2014,6037910813,Census Tract 9108.13,Acton,Los Angeles County,California,Acton,127,79,0,12,0,12,0,12,0,12,0,12,13,21,84,72,0,12,20,21,10,16,127,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,127,79,0,12,0,12,0,12,13,21,104,76,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,92.13,,,92.13,,15.75,Not Available,Not Available,92.13%,Not Available,1
2022,6037910213,Census Tract 9102.13,Acton,Los Angeles County,California,Acton,128,94,51,82,0,13,0,13,11,16,25,42,0,13,0,13,0,13,41,27,0,13,128,94,0,13,0,13,0,13,0,13,0,13,0,13,0,13,33,26,0,13,0,13,0,13,0,13,33,26,0,13,95,93,51,82,11,16,25,42,0,13,8,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,32.03,,100.0,8.42,,32.03,Not Available,100.0%,8.42%,Not Available,1
