YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,38,32,0,14,10,16,0,14,0,14,8,12,8,14,12,19,0,14,0,14,0,14,38,32,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,19,0,14,0,14,0,14,0,14,12,19,0,14,26,24,10,16,0,14,8,12,8,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,52.63,,100.0,30.77,,0.0,Not Available,100.0%,30.77%,Not Available,1
2023,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,63,53,0,14,10,15,0,14,0,14,0,14,0,14,0,14,0,14,53,54,0,14,63,53,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,21,0,14,0,14,0,14,0,14,16,21,0,14,13,16,10,15,0,14,0,14,0,14,3,5,0,14,34,50,0,14,0,14,0,14,0,14,34,50,0,14,84.13,,100.0,23.08,100.0,84.13,Not Available,100.0%,23.08%,100.0%,1
2023,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,81,54,0,14,15,19,0,14,24,38,0,14,0,14,0,14,0,14,31,31,11,18,81,54,6,10,0,14,0,14,0,14,0,14,6,10,0,14,24,38,0,14,24,38,0,14,0,14,0,14,0,14,51,39,15,19,0,14,0,14,0,14,25,29,11,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14,38.27,100.0,0.0,49.02,,38.27,100.0%,0.0%,49.02%,Not Available,1
2014,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,84,70,0,12,0,12,0,12,11,17,9,15,0,12,11,18,0,12,0,12,53,66,84,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,68,0,12,0,12,0,12,0,12,11,18,53,66,20,16,0,12,11,17,9,15,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,13.1,,17.19,0.0,,0.0,Not Available,17.19%,0.0%,Not Available,1
2014,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,100,56,0,12,6,10,12,18,0,12,8,12,18,26,0,12,0,12,38,43,18,28,100,56,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18,26,0,12,0,12,0,12,18,26,0,12,0,12,82,53,18,20,0,12,8,12,0,12,38,43,18,28,0,12,0,12,0,12,0,12,0,12,0,12,0,12,56.0,,100.0,46.34,,38.0,Not Available,100.0%,46.34%,Not Available,1
2014,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,44,27,0,12,0,12,6,10,0,12,6,10,0,12,0,12,6,9,7,11,19,17,44,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,13,0,12,0,12,0,12,0,12,7,11,5,8,21,21,6,10,0,12,0,12,0,12,6,9,9,13,11,13,0,12,0,12,6,10,0,12,0,12,5,8,29.55,,58.33,28.57,0.0,15.91,Not Available,58.33%,28.57%,0.0%,1
2014,6037910813,Census Tract 9108.13,Agua Dulce,Los Angeles County,California,AguaDulce,127,79,0,12,0,12,0,12,0,12,0,12,13,21,84,72,0,12,20,21,10,16,127,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,127,79,0,12,0,12,0,12,13,21,104,76,10,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,92.13,,,92.13,,15.75,Not Available,Not Available,92.13%,Not Available,1
2022,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,41,32,0,13,12,18,0,13,0,13,7,11,9,15,13,20,0,13,0,13,0,13,41,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,20,0,13,0,13,0,13,0,13,13,20,0,13,28,25,12,18,0,13,7,11,9,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,53.66,,100.0,32.14,,0.0,Not Available,100.0%,32.14%,Not Available,1
2022,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,81,57,0,13,15,21,0,13,0,13,0,13,0,13,9,15,0,13,57,53,0,13,81,57,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,21,0,13,0,13,0,13,0,13,20,21,0,13,28,22,15,21,0,13,0,13,0,13,13,16,0,13,33,49,0,13,0,13,0,13,0,13,33,49,0,13,81.48,,100.0,46.43,100.0,70.37,Not Available,100.0%,46.43%,100.0%,1
2022,6037910814,Census Tract 9108.14,Agua Dulce,Los Angeles County,California,AguaDulce,83,54,0,13,12,16,0,13,23,38,0,13,0,13,0,13,0,13,32,33,16,18,83,54,7,11,0,13,0,13,0,13,0,13,7,11,0,13,23,38,0,13,23,38,0,13,0,13,0,13,0,13,53,36,12,16,0,13,0,13,0,13,25,31,16,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,38.55,100.0,0.0,47.17,,38.55,100.0%,0.0%,47.17%,Not Available,1
2017,6037910804,Census Tract 9108.04,Agua Dulce,Los Angeles County,California,AguaDulce,96,58,0,12,0,12,0,12,12,19,13,18,0,12,6,11,0,12,19,21,46,49,96,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,52,51,0,12,0,12,0,12,0,12,6,11,46,49,44,32,0,12,12,19,13,18,0,12,19,21,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26.04,,11.54,43.18,,19.79,Not Available,11.54%,43.18%,Not Available,1
2017,6037910808,Census Tract 9108.08,Agua Dulce,Los Angeles County,California,AguaDulce,89,52,0,12,9,14,10,16,0,12,9,14,30,30,0,12,10,16,15,22,6,10,89,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,79,51,19,25,0,12,9,14,30,30,15,22,6,10,10,16,0,12,0,12,0,12,0,12,10,16,0,12,61.8,,,56.96,100.0,16.85,Not Available,Not Available,56.96%,100.0%,1
2017,6037910810,Census Tract 9108.10,Agua Dulce,Los Angeles County,California,AguaDulce,20,20,0,12,0,12,12,16,0,12,0,12,0,12,0,12,0,12,0,12,8,12,20,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,7,12,7,12,0,12,0,12,0,12,0,12,0,12,13,15,5,9,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0.0,,0.0,0.0,,0.0,Not Available,0.0%,0.0%,Not Available,1
