YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037480302,Census Tract 4803.02,Alhambra,Los Angeles County,California,Alhambra,925,157,35,41,43,30,200,102,72,50,143,80,51,45,52,52,76,55,205,79,48,33,925,157,11,16,0,14,0,14,0,14,0,14,11,16,0,14,197,87,42,42,38,43,42,37,23,37,43,44,9,13,451,145,228,98,23,23,69,61,11,18,111,68,9,15,266,95,8,13,11,19,32,22,17,20,168,87,30,26,41.51,100.0,33.5,27.05,69.55,22.16,100.0%,33.5%,27.05%,69.55%,1
2023,6037480303,Census Tract 4803.03,Alhambra,Los Angeles County,California,Alhambra,1291,136,11,14,177,87,81,39,279,100,166,110,92,74,107,58,58,43,258,98,62,47,1291,136,83,59,0,14,45,52,0,14,0,14,38,36,0,14,372,126,126,80,41,51,9,13,37,59,123,75,36,39,722,176,140,60,188,101,157,109,29,27,196,90,12,17,114,71,3,5,5,9,0,14,26,35,66,54,14,21,39.89,45.78,43.01,31.16,80.7,19.98,45.78%,43.01%,31.16%,80.7%,1
2023,6037480304,Census Tract 4803.04,Alhambra,Los Angeles County,California,Alhambra,1365,161,30,27,123,68,79,61,291,128,119,59,148,83,36,29,216,110,300,98,23,25,1365,161,31,43,25,42,0,14,0,14,0,14,6,9,0,14,225,77,15,17,56,33,27,25,40,43,87,50,0,14,723,182,158,82,160,114,77,52,37,25,277,101,14,21,386,107,34,34,75,64,15,18,71,65,182,72,9,14,51.28,19.35,56.44,43.43,65.54,21.98,19.35%,56.44%,43.43%,65.54%,1
2023,6037480400,Census Tract 4804,Alhambra,Los Angeles County,California,Alhambra,1270,219,16,30,82,69,144,116,218,145,15,23,258,140,0,19,193,126,344,144,0,19,1270,219,115,78,11,18,25,41,0,19,38,57,41,49,0,19,323,142,100,82,78,84,6,13,65,68,74,98,0,19,679,208,116,96,115,107,9,17,124,121,315,145,0,19,153,92,15,25,0,19,0,19,31,37,107,83,0,19,62.6,68.7,43.03,64.65,90.2,27.09,68.7%,43.03%,64.65%,90.2%,1
2023,6037480802,Census Tract 4808.02,Alhambra,Los Angeles County,California,Alhambra,283,113,0,14,0,14,44,46,17,20,36,42,11,19,18,21,12,18,125,94,20,22,283,113,0,14,0,14,0,14,0,14,0,14,0,14,0,14,29,27,10,14,0,14,0,14,11,19,8,13,0,14,139,69,34,43,8,13,36,42,0,14,61,54,0,14,115,84,0,14,9,15,0,14,0,14,86,83,20,22,58.66,,65.52,43.88,74.78,44.17,Not Available,65.52%,43.88%,74.78%,1
2023,6037480803,Census Tract 4808.03,Alhambra,Los Angeles County,California,Alhambra,400,107,0,14,44,67,31,26,41,33,51,47,42,32,33,27,9,15,149,85,0,14,400,107,8,13,0,14,0,14,0,14,8,13,0,14,0,14,70,53,0,14,12,19,0,14,11,19,47,47,0,14,226,94,66,71,29,28,21,18,23,23,87,67,0,14,96,53,9,14,0,14,30,44,0,14,57,38,0,14,58.25,100.0,82.86,48.67,59.38,37.25,100.0%,82.86%,48.67%,59.38%,1
2023,6037480804,Census Tract 4808.04,Alhambra,Los Angeles County,California,Alhambra,1294,191,57,58,181,134,94,68,162,79,190,72,107,81,65,55,120,61,283,103,35,39,1294,191,13,16,0,14,6,11,0,14,7,11,0,14,0,14,283,123,55,48,80,58,48,55,57,69,43,41,0,14,802,174,237,130,69,56,127,53,43,41,301,108,25,34,196,70,40,43,7,12,15,19,0,14,124,66,10,19,44.44,53.85,35.34,42.89,63.27,21.87,53.85%,35.34%,42.89%,63.27%,1
2023,6037480901,Census Tract 4809.01,Alhambra,Los Angeles County,California,Alhambra,1249,201,56,57,42,42,126,72,157,99,116,92,21,28,81,77,185,103,342,140,123,94,1249,201,132,91,0,14,0,14,0,14,0,14,132,91,0,14,283,111,105,68,46,47,9,14,0,14,98,78,25,42,677,183,109,68,111,86,48,51,21,28,290,121,98,82,157,106,10,15,0,14,59,76,0,14,88,80,0,14,50.36,100.0,34.63,45.94,56.05,27.38,100.0%,34.63%,45.94%,56.05%,1
2023,6037480902,Census Tract 4809.02,Alhambra,Los Angeles County,California,Alhambra,1078,214,5,8,36,32,161,94,86,62,53,51,78,66,71,61,76,57,373,227,139,80,1078,214,28,33,0,14,0,14,0,14,0,14,9,15,19,29,295,97,60,46,45,51,42,47,59,52,83,52,6,10,602,228,134,89,30,27,11,16,19,32,348,223,60,50,153,91,8,11,11,14,0,14,0,14,80,62,54,56,55.47,32.14,48.14,60.96,52.29,34.6,32.14%,48.14%,60.96%,52.29%,1
2023,6037480903,Census Tract 4809.03,Alhambra,Los Angeles County,California,Alhambra,589,186,7,11,130,155,101,63,27,30,25,26,14,23,34,36,14,18,203,97,34,33,589,186,0,14,0,14,0,14,0,14,0,14,0,14,0,14,202,167,174,165,0,14,0,14,0,14,28,34,0,14,293,109,64,50,27,30,13,20,14,23,151,91,24,29,94,47,0,14,0,14,12,19,0,14,72,42,10,15,44.99,,13.86,56.31,76.6,34.47,Not Available,13.86%,56.31%,76.6%,1
