YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,285,100,0,132,39,44,10,16,52,56,34,47,19,32,0,132,42,37,80,48,9,15,285,100,22,27,0,132,0,132,0,132,0,132,22,27,0,132,115,84,25,38,40,60,0,132,19,32,31,33,0,132,94,55,24,27,12,18,11,16,0,132,47,44,0,132,54,44,0,132,0,132,23,38,0,132,22,24,9,15,49.47,100.0,43.48,50.0,40.74,28.07
2010,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1701,165,92,95,64,63,132,92,246,123,195,104,103,75,88,62,223,135,496,167,62,68,1701,165,150,80,0,132,69,66,0,132,31,35,50,49,0,132,508,137,131,108,77,74,34,42,24,37,211,84,31,47,941,201,148,101,92,75,161,92,48,55,461,170,31,50,102,64,9,18,8,15,0,132,0,132,85,66,0,132,53.5,54.0,46.26,54.09,83.33,29.16
2011,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,302,75,0,95,21,33,21,25,40,38,16,27,29,36,11,18,44,51,100,56,20,22,302,75,18,28,0,95,0,95,0,95,0,95,18,28,0,95,132,73,21,33,27,42,0,95,22,35,62,44,0,95,104,62,21,25,13,21,0,95,7,14,53,44,10,17,48,40,0,95,0,95,16,27,0,95,22,24,10,15,60.93,100.0,63.64,57.69,45.83,33.11
2011,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1619,165,35,47,98,86,156,109,253,119,221,104,59,46,131,91,142,101,461,138,63,66,1619,165,107,70,0,95,30,35,13,21,0,95,64,57,0,95,364,105,54,56,50,63,31,39,20,32,187,90,22,36,1044,180,231,122,168,97,177,93,39,50,388,126,41,53,104,70,4,12,5,10,0,95,0,95,95,67,0,95,48.98,59.81,56.87,40.9,91.35,28.47
2012,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,324,110,0,18,0,18,32,35,35,40,0,18,35,50,38,34,59,53,103,68,22,20,324,110,0,18,0,18,0,18,0,18,0,18,0,18,0,18,123,74,12,21,21,32,0,18,27,43,63,47,0,18,164,73,20,24,14,22,0,18,8,14,109,66,13,17,37,28,0,18,0,18,0,18,0,18,28,27,9,14,72.53,,73.17,71.34,75.68,31.79
2012,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1643,131,30,42,94,81,155,83,153,81,170,102,72,66,183,108,146,76,590,142,50,66,1643,131,145,97,0,18,31,47,11,18,0,18,103,86,0,18,536,162,72,72,32,40,68,69,32,51,288,116,44,65,827,166,199,82,83,60,80,73,32,41,427,125,6,10,135,61,8,16,7,14,11,18,8,13,101,54,0,18,60.32,71.03,59.7,55.5,80.74,35.91
2013,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,281,86,0,17,9,15,12,15,0,17,0,17,38,50,49,53,39,38,109,64,25,22,281,86,0,17,0,17,0,17,0,17,0,17,0,17,0,17,121,64,14,18,0,17,0,17,31,48,76,45,0,17,129,70,7,13,0,17,0,17,7,13,100,69,15,18,31,30,0,17,0,17,0,17,0,17,21,26,10,15,83.63,,88.43,82.95,67.74,38.79
2013,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1713,138,33,47,116,77,178,102,207,93,201,100,120,77,192,89,165,106,412,134,89,74,1713,138,114,76,0,17,23,38,36,40,0,17,55,52,0,17,479,134,77,67,39,47,67,64,27,42,221,100,48,46,958,193,210,89,124,70,84,73,69,63,430,138,41,53,162,86,40,54,21,28,14,22,24,41,63,47,0,17,51.9,48.25,51.77,52.09,53.7,24.05
2014,6037603702,Census Tract 6037.02,Alondra Park,Los Angeles County,California,AlondraPark,321,110,0,17,11,17,14,18,0,17,13,20,45,58,63,58,41,37,119,75,15,16,321,110,0,17,0,17,0,17,0,17,0,17,0,17,0,17,115,69,18,22,0,17,0,17,37,56,60,42,0,17,186,85,7,13,0,17,13,20,8,14,143,80,15,16,20,23,0,17,0,17,0,17,0,17,20,23,0,17,83.49,,84.35,81.18,100.0,37.07
2014,6037603704,Census Tract 6037.04,Alondra Park,Los Angeles County,California,AlondraPark,1738,121,32,46,130,91,228,92,214,112,90,57,190,106,192,118,161,96,419,146,82,75,1738,121,137,88,0,17,0,17,40,47,0,17,97,78,0,17,538,140,94,67,42,51,30,48,21,36,314,115,37,56,881,168,239,85,129,107,6,12,151,98,311,125,45,56,182,76,57,58,43,46,14,22,18,30,50,42,0,17,55.35,70.8,62.27,52.44,37.36,24.11
