YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037460101,Census Tract 4601.01,Altadena,Los Angeles County,California,Altadena,192,78,0,19,0,19,0,19,11,18,19,29,69,74,48,60,0,19,34,39,11,27,192,78,0,19,0,19,0,19,0,19,0,19,0,19,0,19,30,35,0,19,11,18,19,29,0,19,0,19,0,19,147,79,0,19,0,19,0,19,69,74,67,62,11,27,15,23,0,19,0,19,0,19,0,19,15,23,0,19,78.65,,0.0,92.52,100.0,17.71,Not Available,0.0%,92.52%,100.0%,1
2023,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,336,128,0,19,30,41,29,32,15,24,49,78,56,52,0,19,49,51,108,89,0,19,336,128,39,53,0,19,0,19,0,19,0,19,39,53,0,19,90,83,0,19,0,19,0,19,16,26,74,76,0,19,166,111,43,48,15,24,49,78,40,44,19,30,0,19,41,43,16,24,0,19,0,19,0,19,25,35,0,19,63.39,100.0,100.0,35.54,60.98,32.14,100.0%,100.0%,35.54%,60.98%,1
2023,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,251,99,0,14,8,14,64,62,77,85,15,22,0,14,31,38,0,14,40,35,16,25,251,99,0,14,0,14,0,14,0,14,0,14,0,14,0,14,15,22,0,14,0,14,15,22,0,14,0,14,0,14,218,92,72,62,77,85,0,14,0,14,53,47,16,25,18,19,0,14,0,14,0,14,0,14,18,19,0,14,28.29,,0.0,24.31,100.0,15.94,Not Available,0.0%,24.31%,100.0%,1
2023,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,445,185,11,19,27,37,15,19,41,59,70,59,66,55,30,39,0,14,83,73,102,157,445,185,0,14,0,14,0,14,0,14,0,14,0,14,0,14,88,66,0,14,41,59,13,22,16,28,18,32,0,14,258,177,26,27,0,14,33,38,28,33,69,73,102,157,99,58,27,37,0,14,24,36,22,32,26,28,0,14,40.22,,38.64,37.6,48.48,18.65,Not Available,38.64%,37.6%,48.48%,1
2023,6037460401,Census Tract 4604.01,Altadena,Los Angeles County,California,Altadena,137,49,4,7,6,8,33,26,0,14,9,10,12,17,19,26,47,37,4,6,3,6,137,49,3,6,0,14,0,14,0,14,0,14,0,14,3,6,12,17,0,14,0,14,0,14,12,17,0,14,0,14,109,48,34,25,0,14,9,10,0,14,66,42,0,14,13,14,9,13,0,14,0,14,0,14,4,6,0,14,59.85,0.0,100.0,60.55,30.77,2.92,0.0%,100.0%,60.55%,30.77%,1
2023,6037461000,Census Tract 4610,Altadena,Los Angeles County,California,Altadena,328,113,0,19,0,19,34,34,42,38,32,40,53,59,0,19,91,68,49,49,27,37,328,113,16,26,0,19,16,26,0,19,0,19,0,19,0,19,77,61,7,17,0,19,0,19,0,19,43,48,27,37,235,93,27,30,26,21,32,40,53,59,97,62,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,58.84,0.0,55.84,63.83,,14.94,0.0%,55.84%,63.83%,Not Available,1
2023,6037461100,Census Tract 4611,Altadena,Los Angeles County,California,Altadena,563,122,44,47,10,18,7,10,38,38,42,35,47,47,8,15,77,64,186,95,104,80,563,122,0,19,0,19,0,19,0,19,0,19,0,19,0,19,68,61,17,21,11,17,0,19,0,19,40,57,0,19,212,105,7,12,11,18,34,33,21,24,73,66,66,69,283,93,37,48,16,19,8,12,26,41,158,83,38,45,56.48,,58.82,44.34,65.02,33.04,Not Available,58.82%,44.34%,65.02%,1
2023,6037461200,Census Tract 4612,Altadena,Los Angeles County,California,Altadena,231,94,0,14,17,23,33,48,19,25,14,17,0,14,56,60,8,12,51,33,33,27,231,94,10,14,10,14,0,14,0,14,0,14,0,14,0,14,64,63,0,14,0,14,6,10,0,14,58,62,0,14,109,56,33,48,11,18,8,13,0,14,42,29,15,18,48,33,7,12,8,15,0,14,0,14,15,17,18,21,49.78,0.0,90.62,38.53,31.25,22.08,0.0%,90.62%,38.53%,31.25%,1
2023,6037461300,Census Tract 4613,Altadena,Los Angeles County,California,Altadena,855,288,0,19,82,74,157,177,69,47,85,85,59,56,57,94,74,82,272,175,0,19,855,288,0,19,0,19,0,19,0,19,0,19,0,19,0,19,141,122,38,62,0,19,20,33,0,19,83,101,0,19,488,221,201,180,57,44,20,32,28,44,182,145,0,19,226,138,0,19,12,18,45,74,31,35,138,119,0,19,54.04,,58.87,43.03,74.78,31.81,Not Available,58.87%,43.03%,74.78%,1
2023,6037462500,Census Tract 4625,Altadena,Los Angeles County,California,Altadena,561,157,30,35,35,40,144,103,46,52,57,71,48,51,73,90,14,24,62,60,52,57,561,157,15,35,15,35,0,19,0,19,0,19,0,19,0,19,75,73,53,65,0,19,14,24,8,22,0,19,0,19,372,139,141,74,0,19,43,67,40,49,96,95,52,57,99,65,0,19,46,52,0,19,0,19,53,50,0,19,35.12,0.0,10.67,36.56,53.54,11.05,0.0%,10.67%,36.56%,53.54%,1
2014,6037460100,Census Tract 4601,Altadena,Los Angeles County,California,Altadena,216,103,0,17,0,17,21,32,29,43,12,19,21,34,22,35,16,25,77,92,18,29,216,103,58,87,0,17,0,17,0,17,0,17,58,87,0,17,22,35,0,17,0,17,0,17,0,17,22,35,0,17,136,75,21,32,29,43,12,19,21,34,35,38,18,29,0,17,0,17,0,17,0,17,0,17,0,17,0,17,62.96,100.0,100.0,41.18,,35.65,100.0%,100.0%,41.18%,Not Available,1
2014,6037460200,Census Tract 4602,Altadena,Los Angeles County,California,Altadena,683,165,0,17,111,95,154,107,120,90,0,17,85,87,14,23,70,72,68,62,61,56,683,165,0,17,0,17,0,17,0,17,0,17,0,17,0,17,152,88,14,23,0,17,0,17,42,51,96,79,0,17,472,150,251,141,105,87,0,17,43,68,33,36,40,46,59,55,0,17,15,26,0,17,0,17,23,36,21,33,34.7,,90.79,16.1,38.98,9.96,Not Available,90.79%,16.1%,38.98%,1
2014,6037460301,Census Tract 4603.01,Altadena,Los Angeles County,California,Altadena,175,77,0,12,0,12,0,12,13,16,14,22,0,12,45,53,37,39,57,43,9,14,175,77,37,52,0,12,0,12,0,12,0,12,37,52,0,12,8,14,0,12,0,12,0,12,0,12,8,14,0,12,121,55,0,12,13,16,14,22,0,12,85,46,9,14,9,14,0,12,0,12,0,12,0,12,9,14,0,12,79.43,100.0,100.0,70.25,100.0,32.57,100.0%,100.0%,70.25%,100.0%,1
2014,6037460302,Census Tract 4603.02,Altadena,Los Angeles County,California,Altadena,238,79,0,12,32,33,0,12,24,23,47,35,0,12,14,20,6,11,105,60,10,17,238,79,0,12,0,12,0,12,0,12,0,12,0,12,0,12,49,41,0,12,8,12,0,12,0,12,41,39,0,12,150,66,32,33,16,19,34,29,0,12,68,51,0,12,39,31,0,12,0,12,13,20,0,12,16,18,10,17,52.52,,83.67,45.33,41.03,44.12,Not Available,83.67%,45.33%,41.03%,1
