YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037430400,Census Tract 4304,Arcadia,Los Angeles County,California,Arcadia,248,89,0,14,31,29,9,14,44,43,27,41,20,33,0,14,10,17,56,47,51,54,248,89,0,14,0,14,0,14,0,14,0,14,0,14,0,14,48,34,18,20,10,15,0,14,20,33,0,14,0,14,95,58,22,24,12,19,0,14,0,14,34,33,27,41,105,72,0,14,22,34,27,41,0,14,32,39,24,39,34.68,,41.67,35.79,30.48,22.58,Not Available,41.67%,35.79%,30.48%,1
2023,6037430600,Census Tract 4306,Arcadia,Los Angeles County,California,Arcadia,239,91,12,17,31,46,128,78,2,14,0,14,0,14,0,14,0,14,4,8,62,65,239,91,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,183,75,160,79,2,14,0,14,0,14,0,14,21,32,56,56,11,19,0,14,0,14,0,14,4,8,41,52,1.67,,,0.0,7.14,1.67,Not Available,Not Available,0.0%,7.14%,1
2023,6037430701,Census Tract 4307.01,Arcadia,Los Angeles County,California,Arcadia,788,133,22,25,33,26,65,50,78,46,146,89,46,46,80,84,61,59,187,120,70,63,788,133,0,19,0,19,0,19,0,19,0,19,0,19,0,19,136,85,7,12,10,15,73,66,0,19,46,61,0,19,463,137,93,55,68,46,73,72,46,46,183,111,0,19,189,87,20,22,0,19,0,19,0,19,99,90,70,63,47.46,,33.82,49.46,52.38,23.73,Not Available,33.82%,49.46%,52.38%,1
2023,6037430721,Census Tract 4307.21,Arcadia,Los Angeles County,California,Arcadia,635,117,46,42,41,44,62,62,105,64,33,51,89,89,48,58,49,61,130,86,32,28,635,117,0,14,0,14,0,14,0,14,0,14,0,14,0,14,40,36,15,24,0,14,0,14,25,28,0,14,0,14,399,124,68,53,105,64,33,51,64,87,106,71,23,24,196,79,66,66,0,14,0,14,0,14,121,71,9,15,49.76,,62.5,42.61,61.73,20.47,Not Available,62.5%,42.61%,61.73%,1
2023,6037430723,Census Tract 4307.23,Arcadia,Los Angeles County,California,Arcadia,1173,174,0,19,77,60,129,105,117,73,27,25,182,79,36,46,258,111,267,94,80,68,1173,174,8,14,0,19,0,19,0,19,0,19,8,14,0,19,210,118,58,55,35,46,0,19,44,55,73,63,0,19,741,187,139,105,75,57,18,20,122,66,342,128,45,42,214,90,9,17,7,12,9,14,16,26,138,74,35,54,63.34,100.0,55.71,62.62,71.96,22.76,100.0%,55.71%,62.62%,71.96%,1
2023,6037430724,Census Tract 4307.24,Arcadia,Los Angeles County,California,Arcadia,1458,248,0,19,164,164,241,125,201,90,205,119,54,33,94,63,122,105,269,113,108,82,1458,248,0,19,0,19,0,19,0,19,0,19,0,19,0,19,252,106,37,43,79,64,26,29,27,23,57,54,26,31,1028,260,358,201,122,78,165,113,27,25,308,136,48,50,178,97,10,17,0,19,14,22,0,19,120,78,34,55,36.97,,33.33,32.59,67.42,18.45,Not Available,33.33%,32.59%,67.42%,1
2023,6037430801,Census Tract 4308.01,Arcadia,Los Angeles County,California,Arcadia,1222,341,0,19,129,154,159,115,140,102,148,109,12,19,213,231,90,101,304,192,27,33,1222,341,0,19,0,19,0,19,0,19,0,19,0,19,0,19,271,153,130,147,68,86,20,32,0,19,53,89,0,19,778,338,138,101,26,40,128,108,12,19,458,298,16,26,173,98,20,30,46,33,0,19,0,19,96,87,11,20,50.65,,19.56,60.41,55.49,24.88,Not Available,19.56%,60.41%,55.49%,1
2023,6037430802,Census Tract 4308.02,Arcadia,Los Angeles County,California,Arcadia,223,81,11,18,47,39,4,12,8,13,12,18,7,13,18,30,46,41,53,40,17,19,223,81,0,14,0,14,0,14,0,14,0,14,0,14,0,14,13,19,0,14,0,14,0,14,0,14,13,19,0,14,162,67,49,40,8,13,12,18,7,13,69,47,17,19,48,38,13,20,0,14,0,14,0,14,35,34,0,14,55.61,,100.0,46.91,72.92,23.77,Not Available,100.0%,46.91%,72.92%,1
2023,6037430803,Census Tract 4308.03,Arcadia,Los Angeles County,California,Arcadia,576,168,0,19,7,12,55,40,58,38,35,48,85,65,62,98,20,23,165,97,89,66,576,168,7,11,0,19,0,19,0,19,0,19,0,19,7,11,102,73,9,15,28,33,0,19,11,17,27,40,27,44,332,104,46,36,30,23,27,45,74,61,127,81,28,30,135,116,7,10,0,19,8,13,0,19,93,105,27,39,57.64,0.0,37.25,60.54,68.89,28.65,0.0%,37.25%,60.54%,68.89%,1
2023,6037431300,Census Tract 4313,Arcadia,Los Angeles County,California,Arcadia,315,105,17,20,6,10,74,78,23,21,39,28,7,11,21,34,10,11,103,53,15,20,315,105,0,14,0,14,0,14,0,14,0,14,0,14,0,14,83,66,35,50,0,14,10,11,0,14,38,41,0,14,194,82,62,62,16,19,23,25,7,11,82,45,4,6,38,24,0,14,7,10,6,9,0,14,14,15,11,19,44.76,,45.78,45.88,36.84,32.7,Not Available,45.78%,45.88%,36.84%,1
