YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,158,68,0,132,39,33,2,3,12,14,23,33,5,8,0,132,22,35,41,30,14,19,158,68,21,31,21,31,0,132,0,132,0,132,0,132,0,132,22,21,2,3,9,13,0,132,0,132,11,15,0,132,94,53,18,16,3,4,2,3,5,8,52,41,14,19,21,33,0,132,0,132,21,33,0,132,0,132,0,132,43.04,0.0,50.0,60.64,0.0,25.95
2010,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,336,128,0,132,12,28,0,132,33,40,0,132,39,66,7,14,33,31,149,99,63,70,336,128,22,26,0,132,0,132,0,132,0,132,22,26,0,132,60,70,0,132,9,17,0,132,39,66,12,19,0,132,230,112,12,28,0,132,0,132,0,132,155,98,63,70,24,35,0,132,24,35,0,132,0,132,0,132,0,132,67.86,100.0,85.0,67.39,0.0,44.35
2010,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,188,98,0,132,59,66,11,19,10,16,0,132,0,132,29,45,0,132,53,41,26,40,188,98,26,40,0,132,0,132,0,132,0,132,0,132,26,40,74,67,41,52,0,132,0,132,0,132,33,39,0,132,88,68,29,43,10,16,0,132,0,132,49,53,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,43.62,0.0,44.59,55.68,,28.19
2010,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,159,96,0,132,13,21,0,132,41,41,0,132,0,132,8,17,0,132,69,73,28,42,159,96,0,132,0,132,0,132,0,132,0,132,0,132,0,132,80,71,0,132,11,16,0,132,0,132,69,73,0,132,51,45,13,21,30,43,0,132,0,132,8,17,0,132,28,42,0,132,0,132,0,132,0,132,0,132,28,42,48.43,,86.25,15.69,0.0,43.4
2010,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,210,101,0,132,0,132,0,132,14,22,0,132,7,12,0,132,46,55,107,68,36,32,210,101,12,18,0,132,0,132,0,132,0,132,12,18,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,173,99,0,132,14,22,0,132,7,12,141,90,11,17,25,29,0,132,0,132,0,132,0,132,0,132,25,29,76.19,100.0,,85.55,0.0,50.95
2011,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,194,68,0,95,37,33,4,4,12,17,28,41,13,13,0,95,19,30,68,47,13,18,194,68,36,39,22,31,0,95,0,95,0,95,14,22,0,95,20,22,2,3,9,15,0,95,0,95,9,15,0,95,112,56,17,16,3,6,2,4,13,13,64,48,13,18,26,40,0,95,0,95,26,40,0,95,0,95,0,95,51.55,38.89,45.0,68.75,0.0,35.05
2011,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,339,125,15,22,26,36,0,95,31,35,0,95,37,59,0,95,20,24,159,95,51,66,339,125,12,19,0,95,0,95,0,95,0,95,12,19,0,95,68,61,0,95,7,12,0,95,37,59,24,27,0,95,235,110,41,42,0,95,0,95,0,95,143,93,51,66,24,34,0,95,24,34,0,95,0,95,0,95,0,95,63.72,100.0,89.71,60.85,0.0,46.9
2011,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,187,94,0,95,52,53,36,54,0,95,0,95,0,95,27,43,0,95,47,41,25,38,187,94,25,38,0,95,0,95,0,95,0,95,0,95,25,38,67,58,27,39,0,95,0,95,0,95,40,43,0,95,95,77,61,66,0,95,0,95,0,95,34,44,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,39.57,0.0,59.7,35.79,,25.13
2011,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,156,107,0,95,14,22,0,95,34,47,8,14,0,95,2,14,0,95,61,66,37,58,156,107,0,95,0,95,0,95,0,95,0,95,0,95,0,95,68,70,0,95,7,15,0,95,0,95,61,66,0,95,43,51,14,22,27,45,0,95,0,95,2,14,0,95,45,59,0,95,0,95,8,14,0,95,0,95,37,58,40.38,,89.71,4.65,0.0,39.1
2011,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,145,78,8,12,0,95,0,95,0,95,7,12,0,95,0,95,12,20,88,73,30,27,145,78,12,20,0,95,0,95,0,95,0,95,12,20,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,97,73,0,95,0,95,0,95,0,95,88,73,9,13,36,28,8,12,0,95,7,12,0,95,0,95,21,23,68.97,100.0,,90.72,0.0,60.69
2012,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,238,71,0,13,36,32,13,22,4,6,31,32,13,16,4,10,30,37,82,45,25,27,238,71,29,31,18,27,0,13,0,13,0,13,11,17,0,13,8,11,0,13,0,13,0,13,0,13,8,11,0,13,182,60,31,27,4,6,12,12,13,16,97,50,25,27,19,30,0,13,0,13,19,30,0,13,0,13,0,13,54.2,37.93,100.0,60.44,0.0,34.45
2012,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,354,109,10,15,35,39,0,18,29,38,30,48,41,39,0,18,19,24,94,74,96,89,354,109,12,19,0,18,0,18,0,18,0,18,12,19,0,18,33,30,0,18,11,19,0,18,0,18,22,24,0,18,228,105,45,44,0,18,30,48,18,29,79,69,56,77,81,60,0,18,18,30,0,18,23,34,0,18,40,46,43.5,100.0,66.67,42.54,28.4,26.55
2012,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,241,96,0,13,55,54,27,41,0,13,0,13,0,13,49,54,0,13,76,44,34,49,241,96,28,48,0,13,0,13,0,13,0,13,0,13,28,48,103,67,30,46,0,13,0,13,0,13,73,46,0,13,110,75,52,55,0,13,0,13,0,13,52,51,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,51.87,0.0,70.87,47.27,,31.54
2012,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,99,65,0,13,11,16,9,14,0,13,12,18,0,13,0,13,0,13,57,60,10,17,99,65,0,13,0,13,0,13,0,13,0,13,0,13,0,13,57,60,0,13,0,13,0,13,0,13,57,60,0,13,30,26,20,21,0,13,0,13,0,13,0,13,10,17,12,18,0,13,0,13,12,18,0,13,0,13,0,13,57.58,,100.0,0.0,0.0,57.58
2012,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,117,59,3,5,24,38,0,18,0,18,8,14,0,18,11,16,17,18,25,29,29,27,117,59,10,15,0,18,0,18,0,18,0,18,10,15,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,68,50,24,38,0,18,0,18,0,18,36,33,8,13,39,30,3,5,0,18,8,14,0,18,7,10,21,23,45.3,100.0,,52.94,17.95,21.37
2013,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,226,52,5,8,19,17,15,19,9,10,46,36,11,14,6,9,19,23,70,33,26,25,226,52,12,18,0,12,0,12,0,12,0,12,12,18,0,12,14,15,0,12,0,12,0,12,0,12,14,15,0,12,165,58,39,27,9,10,15,15,11,14,65,34,26,25,35,39,0,12,0,12,31,39,0,12,4,8,0,12,46.9,100.0,100.0,46.06,11.43,30.97
2013,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,279,131,8,12,0,17,0,17,20,30,20,34,58,52,0,17,18,21,77,65,78,92,279,131,8,13,0,17,0,17,0,17,0,17,8,13,0,17,24,22,0,17,9,15,0,17,0,17,15,18,0,17,160,102,8,12,0,17,20,34,10,18,72,65,50,71,87,69,0,17,11,24,0,17,48,47,0,17,28,36,54.84,100.0,62.5,51.25,55.17,27.6
2013,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,276,95,0,12,62,61,34,48,15,21,0,12,0,12,79,73,0,12,70,59,16,22,276,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,134,67,33,48,0,12,0,12,0,12,101,65,0,12,127,85,63,65,0,12,0,12,0,12,48,55,16,22,15,21,0,12,15,21,0,12,0,12,0,12,0,12,53.99,,75.37,37.8,0.0,25.36
2013,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,144,78,0,12,9,14,4,8,17,27,24,28,0,12,0,12,0,12,77,66,13,20,144,78,5,8,0,12,0,12,5,8,0,12,0,12,0,12,56,65,0,12,0,12,0,12,0,12,56,65,0,12,64,49,13,16,17,27,0,12,0,12,21,30,13,20,19,26,0,12,0,12,19,26,0,12,0,12,0,12,53.47,0.0,100.0,32.81,0.0,53.47
2013,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,92,50,5,10,20,31,0,17,0,17,5,10,0,17,19,21,14,16,0,17,29,25,92,50,9,14,0,17,0,17,0,17,0,17,9,14,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,50,42,20,31,0,17,0,17,0,17,19,21,11,17,33,25,5,10,0,17,5,10,0,17,5,8,18,19,35.87,100.0,,38.0,15.15,0.0
2014,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,179,54,7,11,8,11,18,22,11,9,20,17,7,8,3,9,24,25,61,37,20,22,179,54,14,20,0,12,0,12,0,12,0,12,14,20,0,12,22,19,0,12,2,3,0,12,0,12,20,18,0,12,138,53,33,27,9,8,20,17,7,8,49,37,20,22,5,9,0,12,0,12,0,12,0,12,5,9,0,12,53.07,100.0,90.91,40.58,100.0,34.08
2014,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,355,126,34,39,0,17,10,15,34,49,23,36,47,46,0,17,20,23,111,79,76,49,355,126,27,33,0,17,0,17,0,17,0,17,27,33,0,17,43,47,27,43,0,17,0,17,0,17,7,11,9,13,163,96,17,18,0,17,23,36,10,15,85,74,28,44,122,73,0,17,34,49,0,17,37,44,12,20,39,46,50.14,100.0,16.28,58.28,40.16,31.27
2014,6037408302,Census Tract 4083.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,165,70,0,12,0,12,52,55,5,11,0,12,0,12,67,59,0,12,17,23,24,23,165,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,67,59,0,12,0,12,0,12,0,12,67,59,0,12,93,58,52,55,0,12,0,12,0,12,17,23,24,23,5,11,0,12,5,11,0,12,0,12,0,12,0,12,50.91,,100.0,18.28,0.0,10.3
2014,6037408303,Census Tract 4083.03,Avocado Heights,Los Angeles County,California,AvocadoHeights,176,81,0,12,23,37,7,11,29,44,24,27,17,29,13,19,0,12,51,48,12,19,176,81,7,10,0,12,0,12,7,10,0,12,0,12,0,12,57,54,0,12,0,12,0,12,17,29,40,45,0,12,95,71,30,38,29,44,0,12,0,12,24,34,12,19,17,25,0,12,0,12,17,25,0,12,0,12,0,12,46.02,0.0,100.0,25.26,0.0,28.98
2014,6037408402,Census Tract 4084.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,71,46,6,10,19,29,0,17,0,17,13,15,0,17,23,25,10,14,0,17,0,17,71,46,6,11,0,17,0,17,0,17,0,17,6,11,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,49,40,19,29,0,17,7,10,0,17,23,25,0,17,16,20,6,10,0,17,6,12,0,17,4,7,0,17,46.48,100.0,,46.94,25.0,0.0
2015,6037408202,Census Tract 4082.02,Avocado Heights,Los Angeles County,California,AvocadoHeights,218,45,7,10,9,8,23,24,10,9,30,19,7,8,5,9,35,27,71,39,21,20,218,45,15,21,0,12,0,12,0,12,0,12,14,21,1,3,10,9,0,12,2,3,0,12,0,12,8,9,0,12,171,48,39,27,8,9,30,19,7,8,67,41,20,22,22,20,0,12,0,12,0,12,0,12,22,20,0,12,54.13,93.33,80.0,43.27,100.0,32.57
2015,6037408301,Census Tract 4083.01,Avocado Heights,Los Angeles County,California,AvocadoHeights,374,105,30,36,0,17,18,19,0,17,22,34,50,52,0,17,8,12,189,71,57,47,374,105,28,33,0,17,0,17,0,17,0,17,28,33,0,17,77,52,23,34,0,17,0,17,0,17,37,39,17,19,150,77,25,22,0,17,22,34,12,19,91,57,0,17,119,74,0,17,0,17,0,17,38,51,41,39,40,44,66.04,100.0,48.05,68.67,66.39,50.53
