YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037404701,Census Tract 4047.01,Baldwin Park,Los Angeles County,California,BaldwinPark,517,148,19,21,52,45,62,74,72,62,44,49,49,76,20,32,96,66,79,59,24,37,517,148,0,19,0,19,0,19,0,19,0,19,0,19,0,19,170,117,39,63,51,52,31,47,49,76,0,19,0,19,332,91,94,63,21,35,13,21,0,19,180,86,24,37,15,22,0,19,0,19,0,19,0,19,15,22,0,19,47.2,,28.82,54.22,100.0,15.28,Not Available,28.82%,54.22%,100.0%,1
2023,6037404702,Census Tract 4047.02,Baldwin Park,Los Angeles County,California,BaldwinPark,649,113,0,14,49,57,127,79,64,55,77,60,62,55,3,8,50,39,126,80,91,77,649,113,0,14,0,14,0,14,0,14,0,14,0,14,0,14,103,74,12,18,13,21,0,14,0,14,36,48,42,44,475,107,151,93,51,52,77,60,38,51,116,73,42,63,71,55,13,22,0,14,0,14,24,29,27,35,7,11,37.13,,34.95,32.42,71.83,19.41,Not Available,34.95%,32.42%,71.83%,1
2023,6037404703,Census Tract 4047.03,Baldwin Park,Los Angeles County,California,BaldwinPark,406,62,0,14,79,48,51,33,52,29,24,23,25,26,37,30,44,32,84,45,10,10,406,62,19,20,9,14,10,15,0,14,0,14,0,14,0,14,111,49,10,13,24,22,8,13,10,15,59,37,0,14,258,73,103,54,18,17,16,18,15,23,102,47,4,7,18,13,8,8,0,14,0,14,0,14,4,7,6,9,46.8,0.0,62.16,45.35,22.22,20.69,0.0%,62.16%,45.35%,22.22%,1
2023,6037404804,Census Tract 4048.04,Baldwin Park,Los Angeles County,California,BaldwinPark,542,122,6,10,67,50,60,47,40,40,57,47,50,52,24,30,38,37,176,96,24,25,542,122,6,11,0,14,0,14,0,14,6,11,0,14,0,14,104,70,13,16,0,14,24,39,28,44,15,23,24,25,397,106,111,64,40,40,33,27,11,19,202,102,0,14,35,36,9,15,0,14,0,14,5,9,21,30,0,14,53.14,100.0,41.35,53.65,74.29,32.47,100.0%,41.35%,53.65%,74.29%,1
2023,6037404805,Census Tract 4048.05,Baldwin Park,Los Angeles County,California,BaldwinPark,426,87,56,57,15,26,70,47,30,24,61,47,61,37,17,26,37,41,65,46,14,18,426,87,23,22,16,19,0,14,0,14,0,14,0,14,7,13,78,51,5,8,0,14,34,42,0,14,39,34,0,14,226,90,99,67,24,22,4,10,38,32,61,43,0,14,99,51,21,32,6,10,23,22,23,27,19,21,7,12,42.25,0.0,50.0,43.81,42.42,15.26,0.0%,50.0%,43.81%,42.42%,1
2023,6037404806,Census Tract 4048.06,Baldwin Park,Los Angeles County,California,BaldwinPark,695,124,0,19,17,18,57,37,98,73,32,38,95,81,89,71,66,53,201,96,40,41,695,124,4,8,0,19,0,19,4,8,0,19,0,19,0,19,122,70,27,32,24,28,19,32,23,32,29,37,0,19,427,123,31,29,74,69,9,16,29,42,244,115,40,41,142,96,16,21,0,19,0,19,43,63,83,67,0,19,64.89,0.0,42.62,63.93,88.73,28.92,0.0%,42.62%,63.93%,88.73%,1
2023,6037404901,Census Tract 4049.01,Baldwin Park,Los Angeles County,California,BaldwinPark,466,136,6,11,50,38,33,38,0,19,98,58,19,30,31,52,54,50,112,71,63,99,466,136,0,19,0,19,0,19,0,19,0,19,0,19,0,19,40,43,19,29,0,19,21,31,0,19,0,19,0,19,408,135,70,41,0,19,77,46,19,30,179,77,63,99,18,22,0,19,0,19,0,19,0,19,18,22,0,19,46.35,,0.0,48.53,100.0,24.03,Not Available,0.0%,48.53%,100.0%,1
2023,6037404902,Census Tract 4049.02,Baldwin Park,Los Angeles County,California,BaldwinPark,194,62,0,14,6,10,15,16,24,22,25,36,7,10,0,14,13,16,72,45,32,27,194,62,0,14,0,14,0,14,0,14,0,14,0,14,0,14,51,34,7,11,8,12,0,14,0,14,11,17,25,26,121,49,8,11,10,15,25,36,7,10,64,40,7,10,22,18,6,10,6,9,0,14,0,14,10,12,0,14,47.42,,21.57,58.68,45.45,37.11,Not Available,21.57%,58.68%,45.45%,1
2023,6037404903,Census Tract 4049.03,Baldwin Park,Los Angeles County,California,BaldwinPark,198,54,5,8,0,14,8,13,41,29,5,7,14,21,40,30,13,14,16,15,56,36,198,54,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,24,0,14,0,14,0,14,0,14,16,24,0,14,158,53,13,15,36,29,0,14,14,21,45,28,50,35,24,15,0,14,5,8,5,7,0,14,8,12,6,10,41.92,,100.0,37.34,33.33,8.08,Not Available,100.0%,37.34%,33.33%,1
2023,6037405001,Census Tract 4050.01,Baldwin Park,Los Angeles County,California,BaldwinPark,325,145,0,19,55,68,0,19,0,19,36,56,24,30,111,113,28,29,71,70,0,19,325,145,8,15,0,19,0,19,0,19,0,19,8,15,0,19,47,65,38,61,0,19,0,19,0,19,9,16,0,19,240,138,17,26,0,19,36,56,24,30,163,122,0,19,30,43,0,19,0,19,0,19,0,19,30,43,0,19,72.0,100.0,19.15,77.92,100.0,21.85,100.0%,19.15%,77.92%,100.0%,1
