YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037310100,Census Tract 3101,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),91,74,0,19,0,19,21,37,0,19,0,19,0,19,0,19,19,33,51,52,0,19,91,74,0,19,0,19,0,19,0,19,0,19,0,19,0,19,19,33,0,19,0,19,0,19,0,19,19,33,0,19,43,57,21,37,0,19,0,19,0,19,22,38,0,19,29,36,0,19,0,19,0,19,0,19,29,36,0,19,76.92,,100.0,51.16,100.0,56.04,Not Available,100.0%,51.16%,100.0%,1
2023,6037310201,Census Tract 3102.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),824,185,0,19,0,19,38,39,96,80,127,81,162,145,67,83,61,56,273,114,0,19,824,185,44,57,0,19,0,19,0,19,0,19,44,57,0,19,126,86,11,20,11,19,34,35,12,21,58,69,0,19,500,177,27,32,36,31,57,70,136,142,244,131,0,19,154,82,0,19,49,78,36,35,14,21,55,53,0,19,68.33,100.0,55.56,76.0,44.81,33.13,100.0%,55.56%,76.0%,44.81%,1
2023,6037310202,Census Tract 3102.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1087,157,7,11,35,29,87,56,96,57,153,75,96,60,64,63,101,60,438,146,10,16,1087,157,8,13,8,13,0,14,0,14,0,14,0,14,0,14,216,102,8,13,11,19,11,16,25,18,161,97,0,14,689,140,98,59,48,37,118,74,67,58,348,126,10,16,174,77,15,17,37,41,24,27,4,6,94,68,0,14,64.31,0.0,86.11,60.23,56.32,40.29,0.0%,86.11%,60.23%,56.32%,1
2023,6037310300,Census Tract 3103,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),128,83,0,14,0,14,0,14,0,14,36,49,12,19,0,14,0,14,58,58,22,26,128,83,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,25,0,14,0,14,0,14,0,14,16,25,0,14,100,75,0,14,0,14,36,49,0,14,42,50,22,26,12,19,0,14,0,14,0,14,12,19,0,14,0,14,54.69,,100.0,42.0,100.0,45.31,Not Available,100.0%,42.0%,100.0%,1
2023,6037310400,Census Tract 3104,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),572,153,9,15,26,22,67,51,101,67,23,23,124,156,31,36,37,29,123,59,31,48,572,153,0,14,0,14,0,14,0,14,0,14,0,14,0,14,165,85,24,24,67,73,0,14,9,16,65,42,0,14,377,171,78,56,34,40,23,23,115,155,96,60,31,48,30,22,0,14,0,14,0,14,0,14,30,22,0,14,55.07,,44.85,55.97,100.0,21.5,Not Available,44.85%,55.97%,100.0%,1
2023,6037310501,Census Tract 3105.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1402,207,9,16,96,73,106,75,108,71,360,222,88,56,20,23,232,170,311,128,72,67,1402,207,68,55,6,10,0,14,12,19,6,9,44,51,0,14,382,241,39,33,46,45,162,218,42,43,62,71,31,49,762,198,132,87,62,56,139,66,32,30,364,171,33,46,190,115,34,28,0,14,47,78,8,15,93,75,8,14,46.43,73.53,27.23,51.97,53.16,22.18,73.53%,27.23%,51.97%,53.16%,1
2023,6037310601,Census Tract 3106.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1877,333,0,19,72,89,204,151,282,108,69,65,157,120,173,124,183,139,639,284,98,129,1877,333,0,19,0,19,0,19,0,19,0,19,0,19,0,19,510,177,161,115,84,60,14,23,65,90,186,128,0,19,1115,307,115,100,182,92,55,63,92,78,658,312,13,27,252,129,0,19,16,24,0,19,0,19,151,89,85,129,61.37,,49.22,67.26,59.92,34.04,Not Available,49.22%,67.26%,59.92%,1
2023,6037310602,Census Tract 3106.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),637,120,58,93,11,18,43,32,65,46,47,43,39,37,0,14,83,70,271,86,20,23,637,120,26,32,0,14,0,14,20,31,0,14,6,11,0,14,340,122,79,96,15,23,27,30,20,29,189,87,10,15,234,86,33,32,50,40,0,14,19,23,122,69,10,18,37,41,0,14,0,14,0,14,0,14,37,41,0,14,61.7,23.08,61.47,60.26,100.0,42.54,23.08%,61.47%,60.26%,100.0%,1
2023,6037310701,Census Tract 3107.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1071,198,10,16,54,41,66,48,110,62,301,115,54,47,84,58,64,57,308,171,20,22,1071,198,21,22,5,9,0,14,6,12,0,14,10,17,0,14,212,81,10,16,67,55,29,26,0,14,96,65,10,15,376,168,63,47,7,12,57,53,14,14,235,154,0,14,462,117,52,46,36,39,209,108,40,45,115,65,10,16,47.62,47.62,45.28,66.22,33.55,28.76,47.62%,45.28%,66.22%,33.55%,1
2023,6037310703,Census Tract 3107.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1672,266,120,165,25,29,167,84,95,58,89,55,350,212,0,19,13,21,737,204,76,68,1672,266,24,28,0,19,0,19,0,19,0,19,24,28,0,19,437,187,126,77,26,29,42,30,92,102,151,141,0,19,835,274,186,168,69,51,47,46,229,192,277,141,27,32,376,147,0,19,0,19,0,19,29,33,298,134,49,59,65.79,100.0,55.61,60.6,86.97,44.08,100.0%,55.61%,60.6%,86.97%,1
2023,6037310704,Census Tract 3107.04,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1907,282,0,14,44,48,197,129,84,59,155,136,173,103,92,91,303,229,781,189,78,91,1907,282,14,24,0,14,0,14,0,14,14,24,0,14,0,14,523,217,11,15,14,26,78,127,87,66,255,140,78,91,656,193,107,78,48,42,45,38,59,75,397,167,0,14,714,270,123,112,22,42,32,32,13,20,524,249,0,14,70.74,100.0,65.39,69.51,75.21,40.95,100.0%,65.39%,69.51%,75.21%,1
2023,6037310705,Census Tract 3107.05,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1263,202,0,14,28,44,15,17,138,83,134,90,207,174,63,67,170,128,381,122,127,97,1263,202,84,73,0,14,0,14,0,14,0,14,84,73,0,14,285,178,8,13,51,55,49,65,79,119,98,96,0,14,380,178,28,44,0,14,9,14,102,120,188,116,53,65,514,116,7,13,87,63,76,66,26,32,244,112,74,69,65.0,100.0,62.11,76.32,52.53,30.17,100.0%,62.11%,76.32%,52.53%,1
2023,6037310800,Census Tract 3108,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1104,347,35,55,40,66,43,43,76,74,124,88,149,116,31,40,52,54,554,376,0,19,1104,347,109,90,0,19,0,19,84,85,0,19,25,41,0,19,158,101,13,21,17,29,0,19,41,64,87,87,0,19,625,335,105,95,59,67,40,43,82,85,339,356,0,19,212,86,0,19,0,19,0,19,26,44,186,99,0,19,71.2,22.94,81.01,67.36,100.0,50.18,22.94%,81.01%,67.36%,100.0%,1
2023,6037310900,Census Tract 3109,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),639,242,13,23,25,34,120,95,16,26,80,73,31,38,38,61,77,127,211,136,28,36,639,242,15,24,15,24,0,19,0,19,0,19,0,19,0,19,134,112,58,77,0,19,8,12,0,19,68,76,0,19,460,203,71,65,0,19,72,71,31,38,258,171,28,36,30,34,14,23,16,26,0,19,0,19,0,19,0,19,55.87,0.0,50.75,62.83,0.0,33.02,0.0%,50.75%,62.83%,0.0%,1
2023,6037311000,Census Tract 3110,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),720,154,18,27,77,56,43,32,163,83,64,59,37,31,48,45,29,22,202,105,39,49,720,154,16,17,0,14,0,14,0,14,9,15,7,10,0,14,70,46,18,20,27,31,13,21,0,14,12,12,0,14,599,152,112,66,136,83,51,54,28,27,243,115,29,48,35,27,8,12,0,14,0,14,0,14,17,17,10,15,43.89,100.0,17.14,45.24,48.57,28.06,100.0%,17.14%,45.24%,48.57%,1
2023,6037311100,Census Tract 3111,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),598,247,0,14,29,40,159,171,112,150,53,43,73,50,20,20,0,14,79,53,73,61,598,247,0,14,0,14,0,14,0,14,0,14,0,14,0,14,154,173,135,170,0,14,0,14,8,14,11,18,0,14,350,183,53,47,112,150,34,31,59,45,70,45,22,33,94,59,0,14,0,14,19,30,6,11,18,19,51,49,28.76,,12.34,36.86,25.53,13.21,Not Available,12.34%,36.86%,25.53%,1
2023,6037311200,Census Tract 3112,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),691,195,8,13,43,36,56,52,121,59,45,35,103,160,23,23,103,64,156,91,33,26,691,195,6,10,0,14,0,14,0,14,0,14,6,10,0,14,150,81,26,28,0,14,24,24,0,14,92,75,8,13,442,186,81,55,102,56,21,26,103,160,116,70,19,22,93,54,0,14,19,21,0,14,0,14,68,55,6,10,55.72,100.0,61.33,49.55,73.12,22.58,100.0%,61.33%,49.55%,73.12%,1
2023,6037311300,Census Tract 3113,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),669,246,8,12,0,14,207,193,35,39,72,51,42,36,49,49,102,83,145,73,9,15,669,246,8,15,0,14,0,14,0,14,0,14,8,15,0,14,321,230,131,185,35,39,0,14,21,26,134,86,0,14,273,91,84,54,0,14,72,51,21,24,87,62,9,15,67,51,0,14,0,14,0,14,0,14,67,51,0,14,50.52,100.0,48.29,39.56,100.0,21.67,100.0%,48.29%,39.56%,100.0%,1
2023,6037311400,Census Tract 3114,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),450,127,8,12,85,70,124,85,53,41,37,27,23,24,0,14,34,25,66,37,20,23,450,127,8,12,0,14,0,14,0,14,0,14,8,12,0,14,92,51,62,54,2,6,0,14,0,14,28,27,0,14,315,101,155,94,51,40,21,23,20,23,54,35,14,21,35,25,0,14,0,14,16,18,3,5,10,17,6,9,27.33,100.0,30.43,23.49,37.14,14.67,100.0%,30.43%,23.49%,37.14%,1
2023,6037311500,Census Tract 3115,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1322,202,0,19,135,124,182,117,144,106,147,91,195,112,164,94,13,22,323,172,19,30,1322,202,104,119,0,19,0,19,0,19,0,19,104,119,0,19,443,187,108,114,85,94,88,76,54,76,108,64,0,19,725,205,209,122,42,41,59,55,141,88,255,155,19,30,50,49,0,19,17,30,0,19,0,19,33,38,0,19,52.57,100.0,36.57,54.62,66.0,24.43,100.0%,36.57%,54.62%,66.0%,1
2023,6037311601,Census Tract 3116.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),516,156,22,36,63,48,10,17,96,87,111,100,33,39,11,23,42,39,119,74,9,15,516,156,16,25,0,14,0,14,0,14,0,14,16,25,0,14,126,65,17,28,28,46,30,36,0,14,51,48,0,14,343,136,78,54,68,76,81,91,18,29,89,59,9,15,31,31,0,14,0,14,0,14,15,24,16,19,0,14,39.73,100.0,40.48,31.2,100.0,23.06,100.0%,40.48%,31.2%,100.0%,1
2023,6037311602,Census Tract 3116.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1980,289,24,37,145,74,60,48,204,117,361,194,115,123,229,135,65,55,608,199,169,134,1980,289,172,122,0,14,0,14,0,14,0,14,57,48,115,115,735,210,109,59,60,63,261,178,21,29,272,144,12,20,876,250,106,63,130,93,100,76,94,118,446,197,0,14,197,119,14,22,14,22,0,14,0,14,127,97,42,70,51.36,33.14,39.86,61.64,64.47,30.71,33.14%,39.86%,61.64%,64.47%,1
2023,6037311700,Census Tract 3117,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1232,194,22,35,57,48,95,64,239,137,116,73,73,58,29,35,114,80,357,184,130,89,1232,194,33,41,0,19,0,19,0,19,0,19,33,41,0,19,302,183,35,44,53,60,34,39,17,29,163,147,0,19,745,183,124,79,171,124,41,43,56,50,223,123,130,89,152,107,15,26,15,24,41,49,0,19,81,90,0,19,46.51,100.0,59.6,37.45,53.29,28.98,100.0%,59.6%,37.45%,53.29%,1
2023,6037311801,Census Tract 3118.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),974,215,0,14,84,47,141,95,110,66,132,97,27,30,60,52,85,66,296,181,39,64,974,215,9,14,0,14,0,14,0,14,0,14,9,14,0,14,213,104,67,53,21,24,56,75,0,14,69,57,0,14,657,204,129,84,75,57,76,65,27,30,350,189,0,14,95,83,29,45,14,22,0,14,0,14,13,21,39,64,48.05,100.0,32.39,57.38,13.68,30.39,100.0%,32.39%,57.38%,13.68%,1
2023,6037311802,Census Tract 3118.02,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),1213,205,79,88,107,137,160,90,191,90,112,90,179,90,27,43,121,62,191,71,46,43,1213,205,45,55,0,14,34,53,0,14,0,14,11,17,0,14,458,182,131,138,18,20,30,37,64,54,176,72,39,42,645,132,182,93,131,73,82,74,98,78,145,66,7,13,65,54,33,44,8,15,0,14,17,20,7,14,0,14,42.7,24.44,52.4,37.67,36.92,15.75,24.44%,52.4%,37.67%,36.92%,1
2023,6037980001,Census Tract 9800.01,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,,,,,,,Not Available,Not Available,Not Available,Not Available,1
2014,6037123103,Census Tract 1231.03,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),922,104,10,15,27,31,73,55,128,73,149,81,118,78,125,74,8,16,219,91,65,48,922,104,58,47,0,12,21,34,0,12,16,23,21,21,0,12,248,101,19,21,30,39,44,49,44,51,93,65,18,28,531,118,81,58,77,48,81,65,48,46,227,99,17,27,85,42,10,15,0,12,24,27,10,16,11,17,30,26,50.98,63.79,55.24,51.79,24.71,23.75,63.79%,55.24%,51.79%,24.71%,1
2014,6037310100,Census Tract 3101,Burbank (Los Angeles County),Los Angeles County,California,Burbank(LosAngelesCounty),176,94,0,17,14,25,0,17,0,17,29,38,59,56,26,40,29,36,10,16,9,16,176,94,0,17,0,17,0,17,0,17,0,17,0,17,0,17,19,30,0,17,0,17,0,17,19,30,0,17,0,17,137,80,14,25,0,17,29,38,40,45,45,45,9,16,20,32,0,17,0,17,0,17,0,17,20,32,0,17,70.45,,100.0,62.04,100.0,5.68,Not Available,100.0%,62.04%,100.0%,1
