YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,447,113,0,132,0,132,24,29,24,29,107,87,0,132,40,39,31,48,157,90,64,77,447,113,58,70,0,132,0,132,44,68,0,132,14,23,0,132,84,81,0,132,0,132,21,33,0,132,63,77,0,132,223,115,24,29,24,29,42,50,0,132,85,64,48,75,82,52,0,132,0,132,0,132,0,132,66,47,16,25,51.01,24.14,75.0,38.12,80.49,35.12
2010,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,136,75,9,15,20,22,29,48,0,132,13,23,30,45,0,132,0,132,16,24,19,22,136,75,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,123,73,58,56,0,132,0,132,30,45,16,24,19,22,13,23,0,132,0,132,13,23,0,132,0,132,0,132,33.82,,,37.4,0.0,11.76
2010,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,409,138,14,22,30,36,49,45,0,132,50,77,18,29,39,49,41,37,70,57,98,106,409,138,0,132,0,132,0,132,0,132,0,132,0,132,0,132,52,50,16,25,0,132,0,132,0,132,17,30,19,29,305,129,63,53,0,132,50,77,18,29,95,58,79,103,52,51,14,22,0,132,0,132,0,132,38,45,0,132,41.08,,32.69,37.05,73.08,17.11
2010,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,113,67,12,20,0,132,0,132,10,15,25,27,0,132,10,15,47,54,9,14,0,132,113,67,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,103,65,12,20,10,15,25,27,0,132,56,55,0,132,10,15,0,132,0,132,0,132,0,132,10,15,0,132,58.41,,,54.37,100.0,7.96
2010,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,388,118,0,132,58,61,45,66,61,45,10,16,31,31,14,21,0,132,118,78,51,55,388,118,0,132,0,132,0,132,0,132,0,132,0,132,0,132,121,78,58,68,16,26,0,132,18,24,17,25,12,18,201,93,45,57,22,26,0,132,13,20,115,81,6,7,66,62,0,132,23,30,10,16,0,132,0,132,33,52,42.01,,28.93,63.68,0.0,30.41
2010,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,296,127,14,22,15,23,39,63,35,40,18,30,15,25,0,132,0,132,124,94,36,41,296,127,0,132,0,132,0,132,0,132,0,132,0,132,0,132,36,56,0,132,0,132,0,132,0,132,36,56,0,132,190,115,54,68,35,40,18,30,0,132,62,75,21,33,70,51,14,22,0,132,0,132,15,25,26,30,15,23,46.96,,100.0,32.63,58.57,41.89
2010,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,405,98,13,22,19,29,20,24,96,88,0,132,100,69,0,132,45,41,77,69,35,41,405,98,37,40,0,132,0,132,0,132,0,132,14,21,23,34,51,63,0,132,51,63,0,132,0,132,0,132,0,132,304,111,39,37,45,70,0,132,100,69,108,75,12,21,13,22,13,22,0,132,0,132,0,132,0,132,0,132,54.81,37.84,0.0,68.42,0.0,19.01
2010,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,989,171,40,49,39,36,95,73,200,105,40,60,94,82,49,57,45,35,360,138,27,43,989,171,105,76,0,132,0,132,0,132,0,132,78,63,27,43,358,145,71,67,102,77,40,60,94,82,51,58,0,132,421,128,92,63,98,74,0,132,0,132,231,121,0,132,105,73,11,17,0,132,0,132,0,132,94,71,0,132,55.41,74.29,40.5,54.87,89.52,36.4
2011,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,462,123,0,95,0,95,28,37,56,47,108,95,0,95,19,32,60,68,119,69,72,86,462,123,77,86,0,95,26,40,51,81,0,95,0,95,0,95,44,50,0,95,0,95,25,38,0,95,19,32,0,95,253,104,28,37,30,37,32,40,0,95,107,69,56,85,88,55,0,95,0,95,0,95,0,95,72,51,16,27,42.86,0.0,43.18,42.29,81.82,25.76
2011,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,94,64,0,95,9,15,0,95,0,95,10,15,30,49,0,95,8,13,17,24,20,23,94,64,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,84,63,9,15,0,95,0,95,30,49,25,32,20,23,10,15,0,95,0,95,10,15,0,95,0,95,0,95,58.51,,,65.48,0.0,18.09
2011,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,532,164,27,31,27,32,68,58,32,45,41,64,14,23,62,53,28,31,143,104,90,103,532,164,0,95,0,95,0,95,0,95,0,95,0,95,0,95,61,54,14,24,32,45,0,95,0,95,0,95,15,24,407,155,94,66,0,95,41,64,14,23,183,114,75,101,64,51,14,22,0,95,0,95,0,95,50,48,0,95,46.43,,0.0,48.4,78.12,26.88
2011,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,264,120,17,26,0,95,21,35,9,17,42,39,0,95,0,95,39,51,120,104,16,24,264,120,45,68,0,95,0,95,0,95,0,95,45,68,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,203,105,38,46,9,17,42,39,0,95,114,90,0,95,16,24,0,95,0,95,0,95,0,95,0,95,16,24,60.23,100.0,,56.16,0.0,45.45
2011,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,426,90,0,95,64,70,61,70,43,35,36,42,45,42,31,32,0,95,86,49,60,62,426,90,25,36,0,95,0,95,25,36,0,95,0,95,0,95,144,75,76,73,13,19,0,95,30,35,12,19,13,20,184,87,49,68,20,26,0,95,15,23,91,55,9,11,73,67,0,95,10,17,11,18,0,95,14,22,38,59,38.03,0.0,29.17,57.61,19.18,20.19
2011,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,308,125,0,95,15,24,34,57,28,34,12,20,14,21,0,95,0,95,159,101,46,41,308,125,0,95,0,95,0,95,0,95,0,95,0,95,0,95,32,51,0,95,0,95,0,95,0,95,32,51,0,95,208,111,49,61,28,34,12,20,0,95,102,89,17,28,68,41,0,95,0,95,0,95,14,21,25,29,29,33,56.17,,100.0,49.04,57.35,51.62
2011,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,446,132,17,22,46,63,38,43,53,80,0,95,81,62,12,18,37,35,117,80,45,53,446,132,52,53,0,95,0,95,0,95,0,95,22,28,30,44,60,80,7,12,53,80,0,95,0,95,0,95,0,95,324,123,84,72,0,95,0,95,81,62,144,86,15,27,10,17,10,17,0,95,0,95,0,95,0,95,0,95,55.38,42.31,0.0,69.44,0.0,26.23
2011,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,928,148,95,76,34,33,70,62,174,113,57,61,100,82,0,95,55,43,303,115,40,50,928,148,92,66,0,95,0,95,0,95,0,95,64,48,28,46,353,122,106,66,100,84,47,59,100,82,0,95,0,95,389,132,82,53,74,63,10,15,0,95,211,113,12,19,94,69,11,17,0,95,0,95,0,95,83,66,0,95,49.35,69.57,28.33,54.24,88.3,32.65
2012,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,568,141,0,18,0,18,44,52,153,118,131,98,0,18,0,18,64,72,147,94,29,33,568,141,94,103,0,18,32,49,62,93,0,18,0,18,0,18,24,39,0,18,0,18,24,39,0,18,0,18,0,18,343,146,21,34,121,113,45,39,0,18,146,94,10,15,107,71,23,39,0,18,0,18,0,18,65,64,19,29,37.15,0.0,0.0,42.57,60.75,25.88
2012,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,93,52,0,18,12,19,0,18,0,18,11,17,8,15,9,14,9,13,21,24,23,26,93,52,0,18,0,18,0,18,0,18,0,18,0,18,0,18,9,14,0,18,0,18,0,18,0,18,9,14,0,18,73,46,12,19,0,18,0,18,8,15,30,28,23,26,11,17,0,18,0,18,11,17,0,18,0,18,0,18,50.54,,100.0,52.05,0.0,22.58
2012,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,500,161,33,37,33,32,62,43,40,49,47,74,15,25,51,37,57,68,97,81,65,70,500,161,42,62,0,18,0,18,0,18,0,18,42,62,0,18,101,91,14,23,25,40,47,74,0,18,0,18,15,23,300,118,98,57,15,24,0,18,15,25,122,84,50,66,57,45,16,25,0,18,0,18,0,18,41,37,0,18,44.0,100.0,0.0,45.67,71.93,19.4
2012,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,238,91,14,22,0,18,19,28,0,18,43,35,0,18,0,18,40,44,90,77,32,35,238,91,33,51,0,18,0,18,0,18,0,18,33,51,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,176,80,19,28,0,18,43,35,0,18,97,63,17,26,29,32,14,22,0,18,0,18,0,18,0,18,15,23,54.62,100.0,,55.11,0.0,37.82
2012,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,444,106,0,18,55,67,50,62,52,36,56,50,38,35,27,30,0,18,96,58,70,74,444,106,34,42,0,18,0,18,26,40,0,18,8,12,0,18,127,69,65,66,11,16,0,18,23,25,15,23,13,21,203,85,40,63,31,28,17,19,15,23,89,59,11,10,80,77,0,18,10,16,13,21,0,18,11,18,46,71,36.26,23.53,29.92,51.23,13.75,21.62
2012,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,211,92,0,13,0,13,36,40,32,36,16,27,0,13,0,13,0,13,82,72,45,42,211,92,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,164,91,36,40,32,36,16,27,0,13,61,73,19,27,47,39,0,13,0,13,0,13,0,13,21,24,26,30,38.86,,,37.2,44.68,38.86
2012,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,474,132,23,26,21,33,6,11,59,72,12,19,118,84,23,28,28,33,170,100,14,25,474,132,51,47,0,13,0,13,0,13,24,37,27,31,0,13,92,78,8,13,49,72,0,13,27,44,8,13,0,13,316,119,27,34,10,16,12,19,67,61,186,118,14,25,15,22,15,22,0,13,0,13,0,13,0,13,0,13,71.52,100.0,38.04,80.06,0.0,35.86
2012,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,939,168,94,65,50,40,68,58,114,80,120,98,71,59,25,29,96,66,269,124,32,36,939,168,33,31,0,18,0,18,0,18,0,18,33,31,0,18,294,122,99,86,38,35,101,98,56,53,0,18,0,18,507,150,99,60,76,71,19,22,15,25,266,122,32,36,105,78,14,22,0,18,0,18,0,18,91,75,0,18,49.09,100.0,19.05,55.42,86.67,28.65
2013,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,514,124,0,17,0,17,19,30,127,103,60,46,0,17,0,17,134,112,139,85,35,45,514,124,47,77,0,17,47,77,0,17,0,17,0,17,0,17,45,49,0,17,0,17,22,33,0,17,23,37,0,17,361,133,0,17,80,89,38,32,0,17,208,118,35,45,61,46,19,30,0,17,0,17,0,17,42,47,0,17,53.11,0.0,51.11,57.62,68.85,27.04
2013,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,155,87,0,17,38,47,0,17,0,17,42,54,8,13,32,37,13,17,22,26,0,17,155,87,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,12,0,17,0,17,0,17,0,17,7,12,0,17,138,88,38,47,0,17,32,51,8,13,60,47,0,17,10,15,0,17,0,17,10,15,0,17,0,17,0,17,48.39,,100.0,49.28,0.0,14.19
2013,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,491,159,30,34,30,35,32,34,44,48,43,67,14,21,69,57,67,68,114,75,48,61,491,159,38,60,0,17,0,17,0,17,0,17,38,60,0,17,108,91,0,17,31,44,43,67,0,17,21,34,13,21,279,116,77,49,13,22,0,17,14,21,140,81,35,58,66,48,15,24,0,17,0,17,0,17,51,41,0,17,53.77,100.0,19.44,55.2,77.27,23.22
2013,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,299,117,11,19,0,17,31,35,0,17,62,53,0,17,0,17,38,41,87,73,70,65,299,117,29,46,0,17,0,17,0,17,0,17,29,46,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,244,105,31,35,0,17,62,53,0,17,96,72,55,59,26,24,11,19,0,17,0,17,0,17,0,17,15,23,41.81,100.0,,39.34,0.0,29.1
2013,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,458,106,0,17,54,64,52,64,73,42,49,54,39,30,26,30,9,14,85,62,71,72,458,106,38,51,0,17,0,17,31,49,0,17,7,12,0,17,122,66,67,68,12,19,0,17,16,23,14,21,13,20,231,83,39,61,52,32,18,20,23,25,89,65,10,9,67,72,0,17,9,16,0,17,0,17,10,16,48,70,34.72,18.42,24.59,48.48,14.93,18.56
2013,6037800204,Census Tract 8002.04,Calabasas,Los Angeles County,California,Calabasas,337,114,0,12,0,12,58,61,28,34,49,58,0,12,20,27,0,12,119,85,63,53,337,114,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,248,106,58,61,28,34,49,58,0,12,89,61,24,36,89,71,0,12,0,12,0,12,0,12,50,64,39,37,41.25,,,35.89,56.18,35.31
2013,6037800328,Census Tract 8003.28,Calabasas,Los Angeles County,California,Calabasas,468,107,29,32,0,12,22,25,53,61,29,34,74,59,31,33,64,56,158,85,8,12,468,107,58,41,0,12,0,12,0,12,20,32,30,28,8,12,95,68,20,24,48,60,0,12,23,35,4,8,0,12,296,105,12,18,5,9,29,34,31,36,219,100,0,12,19,28,19,28,0,12,0,12,0,12,0,12,0,12,69.87,86.21,28.42,84.46,0.0,33.76
2013,6037800329,Census Tract 8003.29,Calabasas,Los Angeles County,California,Calabasas,886,147,86,72,21,24,83,62,36,32,109,78,84,55,40,38,129,83,224,105,74,75,886,147,27,25,0,17,0,17,0,17,0,17,27,25,0,17,289,113,102,88,14,17,89,79,47,41,0,17,37,60,470,133,76,47,22,25,20,24,37,36,278,111,37,42,100,74,12,19,0,17,0,17,0,17,88,73,0,17,53.84,100.0,16.26,67.02,88.0,25.28
2014,6037137402,Census Tract 1374.02,Calabasas,Los Angeles County,California,Calabasas,642,162,0,17,11,18,74,90,124,97,33,29,16,26,0,17,150,107,190,119,44,44,642,162,49,72,0,17,49,72,0,17,0,17,0,17,0,17,18,30,0,17,0,17,0,17,0,17,18,30,0,17,460,163,56,86,75,85,33,29,16,26,236,144,44,44,115,61,29,33,0,17,0,17,0,17,86,55,0,17,55.45,0.0,100.0,54.78,74.78,29.6
2014,6037800101,Census Tract 8001.01,Calabasas,Los Angeles County,California,Calabasas,223,94,0,17,51,54,0,17,0,17,78,68,9,14,38,48,23,21,24,26,0,17,223,94,0,17,0,17,0,17,0,17,0,17,0,17,0,17,18,20,0,17,0,17,0,17,0,17,18,20,0,17,193,93,51,54,0,17,66,65,9,14,67,54,0,17,12,18,0,17,0,17,12,18,0,17,0,17,0,17,42.15,,100.0,39.38,0.0,10.76
2014,6037800102,Census Tract 8001.02,Calabasas,Los Angeles County,California,Calabasas,473,154,14,22,32,36,25,31,46,49,52,64,13,20,76,59,62,62,92,77,61,62,473,154,35,55,0,17,0,17,0,17,0,17,35,55,0,17,105,82,0,17,34,43,52,64,0,17,19,30,0,17,285,125,71,53,12,20,0,17,13,20,128,94,61,62,48,37,0,17,0,17,0,17,0,17,48,37,0,17,51.37,100.0,18.1,49.47,100.0,19.45
2014,6037800202,Census Tract 8002.02,Calabasas,Los Angeles County,California,Calabasas,275,112,16,25,0,17,37,36,0,17,41,32,0,17,0,17,20,29,97,78,64,61,275,112,22,35,0,17,0,17,0,17,0,17,22,35,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,219,98,37,36,0,17,41,32,0,17,95,72,46,55,34,38,16,25,0,17,0,17,0,17,0,17,18,28,42.55,100.0,,43.38,0.0,35.27
2014,6037800203,Census Tract 8002.03,Calabasas,Los Angeles County,California,Calabasas,464,104,0,17,104,77,15,22,51,33,46,46,26,22,22,22,34,38,87,58,79,80,464,104,83,58,0,17,0,17,25,38,8,13,25,23,25,38,98,59,51,45,0,17,0,17,11,18,36,38,0,17,222,83,68,70,51,33,21,22,7,11,70,55,5,7,61,72,0,17,0,17,0,17,0,17,12,17,49,70,36.42,39.76,47.96,34.68,19.67,18.75
