YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,898,150,6,10,19,20,90,64,130,73,36,29,140,106,99,60,42,51,250,105,86,65,898,150,44,38,0,132,8,13,0,132,0,132,16,17,20,33,158,82,39,30,14,23,0,132,48,51,38,46,19,31,616,139,63,56,108,68,30,27,82,79,298,119,35,44,80,41,13,21,0,132,6,10,10,16,39,30,12,17,59.13,36.36,54.43,61.69,61.25,27.84
2010,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,63,54,0,132,9,14,0,132,0,132,12,20,0,132,0,132,0,132,32,45,10,18,63,54,0,132,0,132,0,132,0,132,0,132,0,132,0,132,54,51,0,132,0,132,12,20,0,132,32,45,10,18,9,14,9,14,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,50.79,,59.26,0.0,,50.79
2010,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,114,77,17,28,0,132,27,35,0,132,39,44,0,132,0,132,31,45,0,132,0,132,114,77,0,132,0,132,0,132,0,132,0,132,0,132,0,132,31,45,0,132,0,132,0,132,0,132,31,45,0,132,61,50,44,45,0,132,17,31,0,132,0,132,0,132,22,32,0,132,0,132,22,32,0,132,0,132,0,132,27.19,,100.0,0.0,0.0,0.0
2010,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,90,61,0,132,0,132,0,132,54,53,16,28,0,132,0,132,20,33,0,132,0,132,90,61,0,132,0,132,0,132,0,132,0,132,0,132,0,132,43,50,0,132,23,37,0,132,0,132,20,33,0,132,47,50,0,132,31,43,16,28,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,22.22,,46.51,0.0,,0.0
2010,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,95,68,25,23,0,132,0,132,0,132,70,60,0,132,0,132,0,132,0,132,0,132,95,68,0,132,0,132,0,132,0,132,0,132,0,132,0,132,12,19,0,132,0,132,12,19,0,132,0,132,0,132,83,74,25,23,0,132,58,64,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0.0,,0.0,0.0,,0.0
2011,6037920102,Census Tract 9201.02,Castaic,Los Angeles County,California,Castaic,898,152,5,9,35,41,85,71,102,73,60,38,148,92,102,57,48,50,260,111,53,57,898,152,24,21,0,95,9,13,0,95,0,95,15,17,0,95,128,79,21,24,0,95,10,15,51,54,46,51,0,95,655,156,83,68,93,72,43,35,87,72,308,113,41,54,91,48,21,33,0,95,7,12,10,15,41,35,12,18,62.14,62.5,75.78,60.31,56.04,28.95
2011,6037920104,Census Tract 9201.04,Castaic,Los Angeles County,California,Castaic,49,41,0,95,13,20,0,95,0,95,14,21,0,95,0,95,0,95,0,95,22,29,49,41,0,95,0,95,0,95,0,95,0,95,0,95,0,95,29,32,0,95,0,95,14,21,0,95,0,95,15,26,13,20,13,20,0,95,0,95,0,95,0,95,0,95,7,11,0,95,0,95,0,95,0,95,0,95,7,11,0.0,,0.0,0.0,0.0,0.0
2011,6037920116,Census Tract 9201.16,Castaic,Los Angeles County,California,Castaic,133,91,0,95,0,95,26,31,0,95,75,81,0,95,0,95,32,48,0,95,0,95,133,91,0,95,0,95,0,95,0,95,0,95,0,95,0,95,32,48,0,95,0,95,0,95,0,95,32,48,0,95,101,85,26,31,0,95,75,81,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,24.06,,100.0,0.0,,0.0
2011,6037920118,Census Tract 9201.18,Castaic,Los Angeles County,California,Castaic,184,119,0,95,0,95,0,95,56,55,18,29,42,68,0,95,51,64,17,27,0,95,184,119,0,95,0,95,0,95,0,95,0,95,0,95,0,95,40,46,0,95,25,37,0,95,0,95,15,25,0,95,127,106,0,95,31,46,18,29,42,68,36,59,0,95,17,27,0,95,0,95,0,95,0,95,17,27,0,95,59.78,,37.5,61.42,100.0,9.24
2011,6037920119,Census Tract 9201.19,Castaic,Los Angeles County,California,Castaic,55,62,5,16,0,95,0,95,0,95,50,51,0,95,0,95,0,95,0,95,0,95,55,62,0,95,0,95,0,95,0,95,0,95,0,95,0,95,7,13,0,95,0,95,7,13,0,95,0,95,0,95,48,54,5,16,0,95,43,42,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0.0,,0.0,0.0,,0.0
