YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037504102,Census Tract 5041.02,Cerritos,Los Angeles County,California,Cerritos,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,,,,,,
2010,6037553000,Census Tract 5530,Cerritos,Los Angeles County,California,Cerritos,264,100,10,16,54,60,0,132,14,23,9,16,62,50,0,132,59,52,48,40,8,14,264,100,47,57,33,51,14,23,0,132,0,132,0,132,0,132,16,25,0,132,0,132,0,132,0,132,16,25,0,132,193,94,31,36,0,132,9,16,62,50,91,67,0,132,8,14,0,132,0,132,0,132,0,132,0,132,8,14,64.02,0.0,100.0,79.27,0.0,18.18
2010,6037554511,Census Tract 5545.11,Cerritos,Los Angeles County,California,Cerritos,198,70,0,132,12,20,12,20,0,132,14,21,88,65,0,132,20,23,52,46,0,132,198,70,0,132,0,132,0,132,0,132,0,132,0,132,0,132,14,21,0,132,0,132,14,21,0,132,0,132,0,132,160,63,24,29,0,132,0,132,74,60,62,52,0,132,24,25,0,132,0,132,0,132,14,20,10,15,0,132,80.81,,0.0,85.0,100.0,26.26
2010,6037554512,Census Tract 5545.12,Cerritos,Los Angeles County,California,Cerritos,123,70,34,41,0,132,0,132,0,132,0,132,11,17,14,20,10,15,5,9,49,43,123,70,15,24,0,132,0,132,0,132,0,132,0,132,15,24,25,31,0,132,0,132,0,132,0,132,0,132,25,31,83,55,34,41,0,132,0,132,11,17,29,27,9,15,0,132,0,132,0,132,0,132,0,132,0,132,0,132,32.52,0.0,0.0,48.19,,4.07
2010,6037554513,Census Tract 5545.13,Cerritos,Los Angeles County,California,Cerritos,218,87,0,132,18,20,18,20,37,48,27,43,9,14,18,21,26,25,33,41,32,41,218,87,0,132,0,132,0,132,0,132,0,132,0,132,0,132,32,41,0,132,0,132,0,132,0,132,8,14,24,39,177,80,27,26,37,48,27,43,9,14,69,47,8,14,9,13,9,13,0,132,0,132,0,132,0,132,0,132,39.45,,25.0,44.07,0.0,15.14
2010,6037554514,Census Tract 5545.14,Cerritos,Los Angeles County,California,Cerritos,400,106,0,132,26,25,22,24,64,64,28,25,10,16,25,29,14,23,164,91,47,52,400,106,0,132,0,132,0,132,0,132,0,132,0,132,0,132,52,49,13,19,0,132,0,132,0,132,39,46,0,132,290,108,35,28,64,64,19,21,10,16,156,84,6,9,58,56,0,132,0,132,9,14,0,132,8,13,41,51,53.25,,75.0,57.24,13.79,41.0
2010,6037554515,Census Tract 5545.15,Cerritos,Los Angeles County,California,Cerritos,200,74,0,132,26,35,0,132,31,26,10,16,0,132,52,39,44,42,18,20,19,23,200,74,46,39,26,35,0,132,0,132,0,132,20,21,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,97,54,0,132,20,20,0,132,0,132,77,57,0,132,57,33,0,132,11,17,10,16,0,132,17,19,19,23,57.0,43.48,,79.38,29.82,9.0
2010,6037554516,Census Tract 5545.16,Cerritos,Los Angeles County,California,Cerritos,170,72,0,132,0,132,13,20,0,132,0,132,38,42,0,132,7,12,67,44,45,37,170,72,17,24,0,132,0,132,0,132,0,132,0,132,17,24,0,132,0,132,0,132,0,132,0,132,0,132,0,132,120,62,0,132,0,132,0,132,38,42,74,46,8,12,33,31,13,20,0,132,0,132,0,132,0,132,20,23,65.88,0.0,,93.33,0.0,39.41
2010,6037554517,Census Tract 5545.17,Cerritos,Los Angeles County,California,Cerritos,429,90,9,15,27,27,92,70,53,54,46,50,33,28,7,12,29,28,62,39,71,60,429,90,0,132,0,132,0,132,0,132,0,132,0,132,0,132,178,81,64,51,31,48,39,49,10,17,18,21,16,22,251,86,64,56,22,27,7,11,23,24,80,44,55,58,0,132,0,132,0,132,0,132,0,132,0,132,0,132,30.54,,15.73,41.04,,14.45
2010,6037554518,Census Tract 5545.18,Cerritos,Los Angeles County,California,Cerritos,304,91,0,132,0,132,0,132,39,35,19,23,46,35,27,23,19,17,134,76,20,30,304,91,0,132,0,132,0,132,0,132,0,132,0,132,0,132,19,23,0,132,0,132,11,18,0,132,8,13,0,132,250,83,0,132,39,35,8,14,46,35,137,77,20,30,35,30,0,132,0,132,0,132,0,132,35,30,0,132,74.34,,42.11,73.2,100.0,44.08
