YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,225,74,0,14,0,14,0,14,22,26,27,24,7,10,11,18,0,14,45,46,113,59,225,74,0,14,0,14,0,14,0,14,0,14,0,14,0,14,21,25,0,14,14,22,7,11,0,14,0,14,0,14,55,35,0,14,8,13,20,22,0,14,19,22,8,12,149,67,0,14,0,14,0,14,7,10,37,44,105,56,28.0,,0.0,34.55,29.53,20.0,Not Available,0.0%,34.55%,29.53%,1
2023,6037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,239,84,0,14,0,14,10,16,14,21,74,58,43,45,16,24,34,50,31,23,17,20,239,84,0,14,0,14,0,14,0,14,0,14,0,14,0,14,35,37,0,14,14,21,21,29,0,14,0,14,0,14,75,54,10,16,0,14,23,26,25,34,9,19,8,13,129,64,0,14,0,14,30,45,18,27,72,48,9,14,51.88,,0.0,45.33,69.77,12.97,Not Available,0.0%,45.33%,69.77%,1
2023,6037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,736,264,14,23,6,10,33,27,124,77,45,54,202,203,67,78,42,32,203,90,0,19,736,264,18,30,0,19,0,19,0,19,0,19,18,30,0,19,79,56,14,23,5,10,0,19,42,47,18,20,0,19,316,92,32,25,98,72,12,18,39,38,135,70,0,19,323,228,7,12,21,33,33,49,121,190,141,93,0,19,69.84,100.0,75.95,55.06,81.11,27.58,100.0%,75.95%,55.06%,81.11%,1
2023,6037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,1067,326,0,19,51,52,108,132,141,96,342,195,52,58,170,175,96,103,93,86,14,17,1067,326,7,11,0,19,0,19,0,19,0,19,0,19,7,11,410,263,17,26,33,53,218,193,11,18,131,167,0,19,591,219,142,143,108,82,91,85,41,55,202,148,7,13,59,62,0,19,0,19,33,55,0,19,26,30,0,19,38.52,0.0,34.63,41.12,44.07,8.72,0.0%,34.63%,41.12%,44.07%,1
2023,6037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,789,199,57,76,9,14,122,123,0,19,118,94,134,85,8,12,115,74,208,112,18,22,789,199,0,19,0,19,0,19,0,19,0,19,0,19,0,19,89,57,0,19,0,19,19,24,12,18,58,55,0,19,507,185,179,146,0,19,90,89,42,44,185,114,11,18,193,100,9,14,0,19,9,15,80,77,88,62,7,12,58.94,,78.65,44.77,87.05,26.36,Not Available,78.65%,44.77%,87.05%,1
2014,6037403702,Census Tract 4037.02,Charter Oak,Los Angeles County,California,CharterOak,240,84,0,12,0,12,24,27,94,67,12,21,21,26,24,35,9,14,42,36,14,21,240,84,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,219,83,15,22,94,67,0,12,21,26,75,48,14,21,21,25,9,15,0,12,12,21,0,12,0,12,0,12,40.0,,,43.84,0.0,17.5,Not Available,Not Available,43.84%,0.0%,1
2014,6037403703,Census Tract 4037.03,Charter Oak,Los Angeles County,California,CharterOak,146,60,0,12,9,15,0,12,10,14,6,10,7,13,25,30,0,12,84,52,5,8,146,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,36,0,12,0,12,0,12,0,12,23,36,0,12,50,34,9,15,5,11,6,10,7,13,23,23,0,12,73,45,0,12,5,9,0,12,0,12,63,44,5,8,79.45,,100.0,60.0,86.3,57.53,Not Available,100.0%,60.0%,86.3%,1
2014,6037403721,Census Tract 4037.21,Charter Oak,Los Angeles County,California,CharterOak,413,103,0,12,38,46,25,27,62,53,20,24,49,31,6,11,64,54,136,53,13,20,413,103,0,12,0,12,0,12,0,12,0,12,0,12,0,12,104,68,17,20,44,50,9,15,8,13,26,40,0,12,201,81,46,49,8,13,11,18,30,23,93,51,13,20,108,41,0,12,10,16,0,12,11,18,87,37,0,12,61.74,,32.69,61.19,90.74,32.93,Not Available,32.69%,61.19%,90.74%,1
2014,6037403801,Census Tract 4038.01,Charter Oak,Los Angeles County,California,CharterOak,675,123,7,13,44,46,71,54,117,60,65,58,42,46,53,38,82,64,194,96,0,17,675,123,48,44,0,17,14,24,0,17,0,17,34,37,0,17,189,88,28,43,82,61,35,54,0,17,44,37,0,17,393,117,94,60,21,24,30,34,42,46,206,102,0,17,45,51,0,17,0,17,0,17,0,17,45,51,0,17,54.96,70.83,23.28,63.1,100.0,28.74,70.83%,23.28%,63.1%,100.0%,1
2014,6037403802,Census Tract 4038.02,Charter Oak,Los Angeles County,California,CharterOak,709,120,32,47,37,35,74,65,135,70,99,54,105,66,86,71,0,17,116,72,25,23,709,120,18,21,0,17,0,17,0,17,0,17,11,18,7,11,207,92,33,41,35,43,26,30,54,59,59,57,0,17,338,103,110,71,100,65,56,38,15,17,57,51,0,17,146,61,0,17,0,17,17,19,36,24,75,54,18,20,43.3,61.11,54.59,21.3,76.03,16.36,61.11%,54.59%,21.3%,76.03%,1
