YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,425,93,7,13,24,31,38,60,28,36,55,40,45,38,52,47,41,42,135,79,0,132,425,93,8,14,0,132,0,132,0,132,0,132,8,14,0,132,54,51,0,132,0,132,0,132,21,33,33,40,0,132,225,86,69,64,28,36,43,35,16,18,69,54,0,132,138,67,0,132,0,132,12,18,8,13,118,65,0,132,64.24,100.0,100.0,37.78,91.3,31.76
2010,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,705,152,5,9,4,9,102,81,64,42,56,57,113,81,87,56,96,76,163,109,15,22,705,152,98,65,0,132,22,36,0,132,0,132,76,60,0,132,231,97,44,54,19,21,33,52,45,51,90,69,0,132,339,139,62,62,12,18,12,18,58,59,180,111,15,22,37,31,5,9,11,18,11,17,10,17,0,132,0,132,65.11,77.55,58.44,70.21,27.03,23.12
2010,6037403901,Census Tract 4039.01,Citrus,Los Angeles County,California,Citrus,184,58,0,132,0,132,14,21,9,15,36,35,11,17,0,132,29,29,59,45,26,29,184,58,20,30,0,132,0,132,20,30,0,132,0,132,0,132,22,24,0,132,0,132,10,16,0,132,12,17,0,132,101,56,14,21,9,15,2,9,0,132,76,47,0,132,41,31,0,132,0,132,4,10,11,17,0,132,26,29,53.8,0.0,54.55,75.25,26.83,32.07
2010,6037404000,Census Tract 4040,Citrus,Los Angeles County,California,Citrus,376,97,0,132,0,132,22,24,31,47,92,63,36,46,53,51,15,24,93,72,34,42,376,97,38,46,0,132,0,132,0,132,28,44,10,16,0,132,75,61,0,132,31,47,12,20,0,132,32,42,0,132,263,90,22,24,0,132,80,58,8,12,119,67,34,42,0,132,0,132,0,132,0,132,0,132,0,132,0,132,52.39,100.0,42.67,48.29,,24.73
2010,6037404100,Census Tract 4041,Citrus,Los Angeles County,California,Citrus,381,111,0,132,41,44,50,58,27,42,17,21,20,33,59,65,34,40,118,68,15,18,381,111,18,29,0,132,0,132,0,132,0,132,18,29,0,132,206,98,75,66,0,132,9,16,20,33,102,87,0,132,116,68,16,24,0,132,8,14,0,132,84,61,8,14,41,47,0,132,27,42,0,132,0,132,7,11,7,11,60.63,100.0,59.22,72.41,17.07,30.97
2010,6037404201,Census Tract 4042.01,Citrus,Los Angeles County,California,Citrus,524,94,0,132,0,132,17,30,59,58,37,45,146,82,77,53,43,47,145,71,0,132,524,94,50,47,0,132,0,132,0,132,0,132,50,47,0,132,138,89,0,132,49,55,24,41,0,132,65,52,0,132,298,97,17,30,10,17,13,19,108,72,150,73,0,132,38,53,0,132,0,132,0,132,38,53,0,132,0,132,78.44,100.0,47.1,86.58,100.0,27.67
2010,6037404202,Census Tract 4042.02,Citrus,Los Angeles County,California,Citrus,485,88,13,30,36,36,0,132,36,41,98,61,0,132,13,20,114,75,165,76,10,17,485,88,178,70,0,132,8,14,65,56,0,132,105,61,0,132,87,58,13,30,6,24,33,39,0,132,25,30,10,17,196,87,36,36,22,36,0,132,0,132,138,83,0,132,24,42,0,132,0,132,0,132,0,132,24,42,0,132,60.21,58.99,28.74,70.41,100.0,34.02
2010,6037405900,Census Tract 4059,Citrus,Los Angeles County,California,Citrus,371,118,0,132,22,32,79,59,69,63,19,22,56,59,7,11,25,38,94,61,0,132,371,118,37,40,0,132,30,39,0,132,0,132,7,11,0,132,58,51,11,19,0,132,0,132,0,132,47,46,0,132,255,123,90,67,39,50,9,14,45,58,72,57,0,132,21,25,0,132,0,132,10,17,11,17,0,132,0,132,49.06,18.92,81.03,45.88,52.38,25.34
2011,6037400900,Census Tract 4009,Citrus,Los Angeles County,California,Citrus,477,115,8,12,28,27,41,55,27,42,75,60,100,75,8,14,38,44,152,116,0,95,477,115,8,13,0,95,0,95,0,95,0,95,8,13,0,95,87,71,6,12,0,95,15,26,29,48,37,45,0,95,292,91,71,60,27,42,50,52,60,59,84,65,0,95,90,67,0,95,0,95,10,18,11,17,69,68,0,95,62.47,100.0,75.86,49.32,88.89,31.87
2011,6037403801,Census Tract 4038.01,Citrus,Los Angeles County,California,Citrus,641,150,6,12,2,8,121,86,50,51,55,56,67,53,84,58,64,49,179,96,13,21,641,150,72,60,0,95,26,40,0,95,0,95,46,50,0,95,169,81,34,48,7,11,25,41,11,18,92,71,0,95,376,131,89,63,17,26,20,24,48,46,189,84,13,21,24,24,6,12,0,95,10,17,8,13,0,95,0,95,61.47,63.89,60.95,63.03,33.33,27.93
