YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037403601,Census Tract 4036.01,Covina,Los Angeles County,California,Covina,620,281,0,19,29,46,33,51,51,62,290,238,0,19,0,19,0,19,174,140,43,48,620,281,53,59,29,46,24,36,0,19,0,19,0,19,0,19,119,112,33,51,27,46,0,19,0,19,59,93,0,19,340,240,0,19,0,19,290,238,0,19,43,58,7,17,108,104,0,19,0,19,0,19,0,19,72,95,36,46,28.06,0.0,49.58,12.65,66.67,28.06,0.0%,49.58%,12.65%,66.67%,1
2023,6037403702,Census Tract 4037.02,Covina,Los Angeles County,California,Covina,225,74,0,14,0,14,0,14,22,26,27,24,7,10,11,18,0,14,45,46,113,59,225,74,0,14,0,14,0,14,0,14,0,14,0,14,0,14,21,25,0,14,14,22,7,11,0,14,0,14,0,14,55,35,0,14,8,13,20,22,0,14,19,22,8,12,149,67,0,14,0,14,0,14,7,10,37,44,105,56,28.0,,0.0,34.55,29.53,20.0,Not Available,0.0%,34.55%,29.53%,1
2023,6037403703,Census Tract 4037.03,Covina,Los Angeles County,California,Covina,239,84,0,14,0,14,10,16,14,21,74,58,43,45,16,24,34,50,31,23,17,20,239,84,0,14,0,14,0,14,0,14,0,14,0,14,0,14,35,37,0,14,14,21,21,29,0,14,0,14,0,14,75,54,10,16,0,14,23,26,25,34,9,19,8,13,129,64,0,14,0,14,30,45,18,27,72,48,9,14,51.88,,0.0,45.33,69.77,12.97,Not Available,0.0%,45.33%,69.77%,1
2023,6037403721,Census Tract 4037.21,Covina,Los Angeles County,California,Covina,736,264,14,23,6,10,33,27,124,77,45,54,202,203,67,78,42,32,203,90,0,19,736,264,18,30,0,19,0,19,0,19,0,19,18,30,0,19,79,56,14,23,5,10,0,19,42,47,18,20,0,19,316,92,32,25,98,72,12,18,39,38,135,70,0,19,323,228,7,12,21,33,33,49,121,190,141,93,0,19,69.84,100.0,75.95,55.06,81.11,27.58,100.0%,75.95%,55.06%,81.11%,1
2023,6037403722,Census Tract 4037.22,Covina,Los Angeles County,California,Covina,1012,157,0,19,49,43,63,37,85,57,60,65,137,79,55,67,124,79,382,131,57,53,1012,157,0,19,0,19,0,19,0,19,0,19,0,19,0,19,385,131,64,51,7,11,33,52,17,20,250,119,14,22,530,130,48,35,78,55,27,41,112,80,222,93,43,49,97,66,0,19,0,19,0,19,8,12,89,64,0,19,68.97,,69.35,63.02,100.0,37.75,Not Available,69.35%,63.02%,100.0%,1
2023,6037403801,Census Tract 4038.01,Covina,Los Angeles County,California,Covina,1067,326,0,19,51,52,108,132,141,96,342,195,52,58,170,175,96,103,93,86,14,17,1067,326,7,11,0,19,0,19,0,19,0,19,0,19,7,11,410,263,17,26,33,53,218,193,11,18,131,167,0,19,591,219,142,143,108,82,91,85,41,55,202,148,7,13,59,62,0,19,0,19,33,55,0,19,26,30,0,19,38.52,0.0,34.63,41.12,44.07,8.72,0.0%,34.63%,41.12%,44.07%,1
2023,6037403802,Census Tract 4038.02,Covina,Los Angeles County,California,Covina,789,199,57,76,9,14,122,123,0,19,118,94,134,85,8,12,115,74,208,112,18,22,789,199,0,19,0,19,0,19,0,19,0,19,0,19,0,19,89,57,0,19,0,19,19,24,12,18,58,55,0,19,507,185,179,146,0,19,90,89,42,44,185,114,11,18,193,100,9,14,0,19,9,15,80,77,88,62,7,12,58.94,,78.65,44.77,87.05,26.36,Not Available,78.65%,44.77%,87.05%,1
2023,6037405400,Census Tract 4054,Covina,Los Angeles County,California,Covina,236,159,0,19,0,19,17,27,35,38,126,156,5,10,0,19,12,19,41,29,0,19,236,159,0,19,0,19,0,19,0,19,0,19,0,19,0,19,98,149,0,19,0,19,90,148,0,19,8,12,0,19,102,74,17,27,25,36,36,57,5,10,19,26,0,19,36,43,0,19,10,16,0,19,0,19,26,38,0,19,24.58,,8.16,23.53,72.22,17.37,Not Available,8.16%,23.53%,72.22%,1
2023,6037405701,Census Tract 4057.01,Covina,Los Angeles County,California,Covina,444,105,0,14,0,14,0,14,68,57,59,59,33,30,92,107,47,58,88,61,57,52,444,105,98,75,0,14,0,14,35,55,0,14,63,63,0,14,65,53,0,14,14,22,5,8,0,14,9,14,37,50,262,112,0,14,54,56,19,23,24,26,145,114,20,24,19,22,0,14,0,14,0,14,9,14,10,16,0,14,58.56,64.29,13.85,64.5,100.0,19.82,64.29%,13.85%,64.5%,100.0%,1
2023,6037405702,Census Tract 4057.02,Covina,Los Angeles County,California,Covina,487,157,0,19,51,56,86,60,159,95,13,18,35,53,65,59,23,38,16,27,39,43,487,157,34,51,0,19,34,51,0,19,0,19,0,19,0,19,92,73,22,25,35,50,0,19,35,53,0,19,0,19,289,139,101,81,90,66,13,18,0,19,65,63,20,31,72,58,14,21,0,19,0,19,0,19,39,48,19,27,28.54,0.0,38.04,22.49,54.17,3.29,0.0%,38.04%,22.49%,54.17%,1
