YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,998,126,14,21,95,80,21,24,70,50,108,71,142,92,0,14,187,98,344,120,17,25,998,126,38,46,0,14,11,18,0,14,0,14,27,43,0,14,103,58,12,18,0,14,11,17,0,14,63,45,17,25,699,151,104,81,48,51,58,49,110,81,379,139,0,14,158,74,14,21,11,18,39,46,32,45,62,46,0,14,67.43,71.05,61.17,69.96,59.49,34.47,71.05%,61.17%,69.96%,59.49%,1
2023,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,841,111,0,14,0,14,83,51,69,44,129,62,92,54,74,54,66,48,284,115,44,39,841,111,34,32,0,14,0,14,27,30,0,14,7,10,0,14,127,55,31,39,10,18,38,28,0,14,38,32,10,15,572,117,38,30,45,35,44,47,92,54,319,115,34,36,108,61,14,16,14,22,20,24,0,14,60,54,0,14,61.36,20.59,29.92,71.85,55.56,33.77,20.59%,29.92%,71.85%,55.56%,1
2023,6037534403,Census Tract 5344.03,Cudahy,Los Angeles County,California,Cudahy,763,122,4,7,40,37,39,37,49,36,109,114,55,33,90,57,99,71,244,84,34,27,763,122,0,14,0,14,0,14,0,14,0,14,0,14,0,14,107,61,21,27,15,23,0,14,0,14,71,49,0,14,602,130,55,43,34,29,109,114,49,32,325,103,30,26,54,41,7,11,0,14,0,14,6,11,37,35,4,5,63.96,,66.36,62.13,79.63,31.98,Not Available,66.36%,62.13%,79.63%,1
2023,6037534404,Census Tract 5344.04,Cudahy,Los Angeles County,California,Cudahy,666,97,42,42,59,35,21,18,110,66,59,39,14,16,64,45,46,37,173,70,78,68,666,97,22,33,0,14,0,14,0,14,0,14,22,33,0,14,192,66,60,35,32,43,0,14,14,16,40,28,46,43,316,96,62,48,71,48,25,20,0,14,126,64,32,51,136,68,0,14,7,11,34,34,0,14,95,56,0,14,44.59,100.0,28.12,39.87,69.85,25.98,100.0%,28.12%,39.87%,69.85%,1
2023,6037534405,Census Tract 5344.05,Cudahy,Los Angeles County,California,Cudahy,745,101,0,14,28,45,52,49,75,62,45,46,175,89,38,33,89,62,237,91,6,9,745,101,0,14,0,14,0,14,0,14,0,14,0,14,0,14,162,79,6,9,0,14,0,14,80,63,76,56,0,14,450,103,74,62,44,41,45,46,79,61,208,91,0,14,133,68,0,14,31,48,0,14,16,24,80,46,6,9,72.35,,96.3,63.78,72.18,31.81,Not Available,96.3%,63.78%,72.18%,1
2023,6037534406,Census Tract 5344.06,Cudahy,Los Angeles County,California,Cudahy,1102,195,10,16,18,29,93,71,67,63,204,115,125,87,73,63,141,95,255,110,116,188,1102,195,33,54,0,14,0,14,33,54,0,14,0,14,0,14,419,203,9,17,42,49,40,56,73,84,139,87,116,188,563,151,84,68,25,40,84,69,52,43,318,143,0,14,87,65,28,33,0,14,47,52,0,14,12,19,0,14,53.9,0.0,50.6,65.72,13.79,23.14,0.0%,50.6%,65.72%,13.79%,1
2014,6037533806,Census Tract 5338.06,Cudahy,Los Angeles County,California,Cudahy,643,109,8,12,26,32,65,55,59,46,26,32,35,38,70,54,50,46,280,114,24,31,643,109,59,47,0,12,15,25,0,12,0,12,44,43,0,12,184,86,30,30,0,12,19,30,0,12,135,76,0,12,390,109,69,57,44,38,7,13,35,38,211,97,24,31,10,16,0,12,0,12,0,12,0,12,10,16,0,12,67.65,74.58,73.37,63.08,100.0,43.55,74.58%,73.37%,63.08%,100.0%,1
2014,6037534201,Census Tract 5342.01,Cudahy,Los Angeles County,California,Cudahy,848,61,27,27,0,12,76,50,71,49,91,56,84,47,67,33,124,58,301,72,7,10,848,61,29,28,0,12,0,12,0,12,25,27,4,7,0,12,263,75,30,34,5,8,76,52,16,18,136,57,0,12,497,84,68,45,66,48,15,21,43,32,299,69,6,9,59,36,5,8,0,12,0,12,0,12,53,35,1,3,67.92,100.0,57.79,68.81,89.83,35.5,100.0%,57.79%,68.81%,89.83%,1
2014,6037534301,Census Tract 5343.01,Cudahy,Los Angeles County,California,Cudahy,900,65,47,40,57,42,31,34,76,59,104,55,68,49,57,41,82,51,338,83,40,37,900,65,44,36,0,12,0,12,8,12,18,29,8,11,10,14,142,76,17,27,0,12,17,27,18,28,90,56,0,12,661,87,118,57,76,59,79,54,32,25,326,83,30,33,53,48,0,12,0,12,0,12,0,12,53,48,0,12,60.56,59.09,76.06,54.16,100.0,37.56,59.09%,76.06%,54.16%,100.0%,1
2014,6037534302,Census Tract 5343.02,Cudahy,Los Angeles County,California,Cudahy,694,54,0,12,64,46,54,37,87,39,60,31,69,37,70,40,71,40,219,68,0,12,694,54,8,13,0,12,0,12,0,12,0,12,8,13,0,12,228,66,22,22,32,29,17,18,39,28,118,58,0,12,431,87,89,51,55,33,43,26,30,28,214,67,0,12,27,19,7,11,0,12,0,12,0,12,20,17,0,12,61.82,100.0,68.86,56.61,74.07,31.56,100.0%,68.86%,56.61%,74.07%,1
