YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,463,201,17,28,16,27,99,107,120,108,0,132,0,132,0,132,145,138,46,53,20,32,463,201,16,27,0,132,0,132,0,132,0,132,16,27,0,132,199,145,87,105,53,80,0,132,0,132,59,89,0,132,209,124,45,44,67,79,0,132,0,132,97,100,0,132,39,43,0,132,0,132,0,132,0,132,19,31,20,32,41.25,100.0,29.65,46.41,48.72,9.94
2010,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,657,145,11,17,78,57,31,29,50,47,85,61,55,52,23,26,121,96,177,90,26,28,657,145,74,69,11,18,0,132,0,132,28,45,35,44,0,132,124,64,26,26,41,45,32,30,0,132,11,17,14,22,339,116,72,50,9,16,53,53,17,21,188,103,0,132,120,84,11,17,0,132,0,132,10,16,87,82,12,18,57.23,85.14,8.87,60.47,80.83,26.94
2011,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,524,166,15,24,0,95,82,81,182,111,31,34,0,95,0,95,183,108,15,24,16,26,524,166,69,85,0,95,53,82,0,95,0,95,16,26,0,95,228,132,71,80,47,73,16,25,0,95,94,87,0,95,196,116,26,30,82,84,15,23,0,95,73,63,0,95,31,38,0,95,0,95,0,95,0,95,15,28,16,26,37.79,23.19,41.23,37.24,48.39,2.86
2011,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,689,151,25,27,42,41,30,30,92,77,70,52,53,46,65,75,109,97,169,94,34,31,689,151,65,62,0,95,0,95,0,95,24,38,31,49,10,16,149,76,18,24,82,73,27,27,0,95,9,14,13,20,375,116,79,45,10,18,43,46,18,20,225,114,0,95,100,72,0,95,0,95,0,95,11,16,78,70,11,18,57.47,84.62,6.04,64.8,89.0,24.53
2012,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,582,156,0,18,0,18,101,92,204,109,32,30,0,18,10,16,111,85,98,71,26,43,582,156,85,75,0,18,45,68,0,18,0,18,40,44,0,18,222,134,93,91,47,63,13,20,0,18,69,80,0,18,243,93,8,14,112,83,19,22,0,18,104,65,0,18,32,43,0,18,0,18,0,18,0,18,6,10,26,43,37.63,47.06,31.08,42.8,18.75,16.84
2012,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,738,132,29,32,53,43,52,44,111,75,104,78,74,52,57,71,61,69,165,93,32,34,738,132,74,73,0,18,0,18,0,18,28,45,34,55,12,19,155,69,22,28,67,54,30,28,14,22,11,17,11,19,436,131,112,60,44,50,74,73,32,31,174,105,0,18,73,57,0,18,0,18,0,18,0,18,64,55,9,14,48.37,83.78,16.13,47.25,87.67,22.36
2013,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,593,165,0,17,0,17,102,83,186,130,54,42,9,14,21,24,85,58,117,75,19,31,593,165,104,93,0,17,54,85,0,17,0,17,50,50,0,17,118,79,53,65,16,24,22,28,0,17,27,32,0,17,344,140,49,54,116,93,32,29,9,14,138,78,0,17,27,32,0,17,0,17,0,17,0,17,8,13,19,31,39.12,48.08,22.88,42.73,29.63,19.73
2013,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,823,139,27,31,73,58,73,59,102,62,98,77,95,59,51,63,58,65,223,101,23,25,823,139,71,69,0,17,0,17,0,17,26,41,33,53,12,18,154,77,23,27,56,49,29,25,35,37,0,17,11,18,519,131,150,85,46,43,69,74,34,32,220,92,0,17,79,60,0,17,0,17,0,17,0,17,79,60,0,17,51.88,83.1,22.73,48.94,100.0,27.1
2014,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,561,158,0,17,0,17,82,71,189,128,59,41,9,15,31,26,76,46,102,68,13,23,561,158,91,80,0,17,51,77,0,17,0,17,40,35,0,17,128,60,53,52,16,23,30,31,0,17,29,32,0,17,322,134,29,48,122,100,29,26,9,15,133,66,0,17,20,25,0,17,0,17,0,17,0,17,7,12,13,23,38.86,43.96,22.66,44.1,35.0,18.18
2014,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,886,157,58,48,48,42,126,78,60,50,91,81,112,64,54,67,12,19,298,134,27,30,886,157,77,67,0,17,0,17,13,21,0,17,37,59,27,30,140,68,68,45,17,27,11,17,44,43,0,17,0,17,545,164,164,87,43,43,67,76,53,46,218,128,0,17,124,88,0,17,0,17,0,17,15,23,109,75,0,17,53.72,48.05,31.43,49.72,100.0,33.63
