YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,332,103,44,55,0,132,46,37,66,62,0,132,32,29,30,46,19,21,95,69,0,132,332,103,19,21,0,132,0,132,0,132,0,132,19,21,0,132,147,80,0,132,56,62,0,132,9,14,82,61,0,132,125,68,90,64,10,16,0,132,16,23,9,13,0,132,41,39,0,132,0,132,0,132,7,14,34,39,0,132,53.01,100.0,61.9,20.0,100.0,28.61
2010,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,272,105,16,19,0,132,67,65,0,132,31,32,10,16,9,13,15,18,100,72,24,27,272,105,40,48,30,45,0,132,0,132,0,132,0,132,10,16,107,64,34,40,0,132,0,132,0,132,73,59,0,132,125,71,19,22,0,132,31,32,10,16,51,50,14,22,0,132,0,132,0,132,0,132,0,132,0,132,0,132,49.26,0.0,68.22,48.8,,36.76
2011,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,313,96,41,47,4,7,51,38,30,36,0,95,25,26,50,49,16,18,96,64,0,95,313,96,17,19,0,95,0,95,0,95,0,95,17,19,0,95,123,65,14,22,24,36,0,95,8,12,77,55,0,95,136,65,82,56,6,11,0,95,12,20,36,30,0,95,37,37,0,95,0,95,0,95,5,10,32,38,0,95,59.74,100.0,69.11,35.29,100.0,30.67
2011,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,247,80,2,12,0,95,57,64,0,95,26,25,13,22,7,11,6,9,117,70,19,24,247,80,34,54,34,54,0,95,0,95,0,95,0,95,0,95,115,62,25,39,0,95,0,95,0,95,90,61,0,95,98,55,0,95,0,95,26,25,13,22,40,36,19,24,0,95,0,95,0,95,0,95,0,95,0,95,0,95,57.89,0.0,78.26,54.08,,47.37
2012,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,307,87,25,26,6,8,57,39,37,35,6,9,24,18,21,17,21,24,105,66,5,7,307,87,7,11,0,13,0,13,0,13,0,13,7,11,0,13,130,64,29,31,22,33,6,9,8,12,65,51,0,13,120,44,59,33,15,17,0,13,6,9,40,28,0,13,50,36,0,13,0,13,0,13,10,13,35,37,5,7,55.7,100.0,56.15,38.33,90.0,34.2
2012,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,292,85,4,9,70,73,26,41,13,21,58,48,20,33,8,13,0,13,64,51,29,31,292,85,26,41,26,41,0,13,0,13,0,13,0,13,0,13,77,57,4,9,0,13,31,42,0,13,42,47,0,13,189,80,70,73,13,21,27,23,20,33,30,25,29,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31.51,0.0,54.55,26.46,,21.92
2013,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,313,70,12,20,4,6,54,33,39,34,9,12,16,16,46,39,29,25,94,51,10,12,313,70,17,20,0,12,0,12,0,12,0,12,17,20,0,12,128,61,38,33,20,28,9,12,6,11,55,49,0,12,129,44,32,18,19,22,0,12,8,10,65,35,5,8,39,23,0,12,0,12,0,12,2,9,32,23,5,8,59.11,100.0,47.66,56.59,87.18,30.03
2013,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,335,87,5,14,57,52,0,12,21,18,53,55,0,12,0,12,0,12,164,88,35,35,335,87,0,12,0,12,0,12,0,12,0,12,0,12,0,12,114,75,5,14,0,12,35,52,0,12,74,59,0,12,221,70,57,52,21,18,18,20,0,12,90,70,35,35,0,12,0,12,0,12,0,12,0,12,0,12,0,12,48.96,,64.91,40.72,,48.96
2014,6037463101,Census Tract 4631.01,East Pasadena,Los Angeles County,California,EastPasadena,317,63,11,18,11,11,50,33,33,33,14,14,23,15,56,36,32,25,78,37,9,11,317,63,15,17,0,12,0,12,0,12,0,12,15,17,0,12,100,49,36,33,19,29,8,10,0,12,37,28,0,12,138,45,36,20,14,17,0,12,15,12,68,32,5,8,64,31,0,12,0,12,6,9,8,10,46,27,4,7,59.62,100.0,37.0,60.14,84.38,24.61
2014,6037463102,Census Tract 4631.02,East Pasadena,Los Angeles County,California,EastPasadena,404,101,12,20,50,61,31,47,50,36,39,39,0,12,45,51,14,23,126,74,37,29,404,101,0,12,0,12,0,12,0,12,0,12,0,12,0,12,77,60,12,20,0,12,22,34,0,12,43,47,0,12,327,91,81,76,50,36,17,20,0,12,142,77,37,29,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45.79,,55.84,43.43,,31.19
