YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037541802,Census Tract 5418.02,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,316,69,0,19,12,19,15,23,21,34,0,19,39,43,9,14,90,68,108,60,22,34,316,69,27,33,0,19,0,19,0,19,0,19,27,33,0,19,90,56,0,19,21,34,0,19,0,19,69,52,0,19,191,74,27,30,0,19,0,19,39,43,103,59,22,34,8,15,0,19,0,19,0,19,0,19,8,15,0,19,77.85,100.0,76.67,74.35,100.0,34.18,100.0%,76.67%,74.35%,100.0%,1
2023,6037542000,Census Tract 5420,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,370,94,0,19,75,75,27,34,27,40,44,41,25,42,36,51,36,47,67,57,33,42,370,94,0,19,0,19,0,19,0,19,0,19,0,19,0,19,60,37,34,43,0,19,0,19,0,19,0,19,26,39,281,90,68,66,27,40,44,41,25,42,110,76,7,15,29,45,0,19,0,19,0,19,0,19,29,45,0,19,44.32,,0.0,48.04,100.0,18.11,Not Available,0.0%,48.04%,100.0%,1
2023,6037542103,Census Tract 5421.03,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,401,82,0,14,47,36,52,40,31,41,32,35,52,43,32,31,15,24,85,54,55,42,401,82,0,14,0,14,0,14,0,14,0,14,0,14,0,14,11,17,0,14,0,14,0,14,0,14,11,17,0,14,364,80,92,54,31,41,32,35,38,38,116,61,55,42,26,26,7,11,0,14,0,14,14,21,5,9,0,14,45.89,,100.0,42.31,73.08,21.2,Not Available,100.0%,42.31%,73.08%,1
2023,6037542104,Census Tract 5421.04,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,415,108,0,14,9,16,13,19,41,37,104,94,32,38,52,38,11,16,123,59,30,30,415,108,7,12,0,14,0,14,0,14,0,14,7,12,0,14,64,41,13,19,11,18,8,13,0,14,18,19,14,22,335,112,0,14,30,31,96,93,32,38,161,59,16,19,9,16,9,16,0,14,0,14,0,14,0,14,0,14,52.53,100.0,28.12,57.61,0.0,29.64,100.0%,28.12%,57.61%,0.0%,1
2023,6037542105,Census Tract 5421.05,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,677,166,82,83,13,20,0,19,117,77,45,43,61,64,29,47,41,47,215,94,74,114,677,166,0,19,0,19,0,19,0,19,0,19,0,19,0,19,99,94,44,69,0,19,0,19,0,19,55,66,0,19,472,126,39,44,117,77,45,43,61,64,210,98,0,19,106,123,12,19,0,19,0,19,0,19,20,35,74,114,51.11,,55.56,57.42,18.87,31.76,Not Available,55.56%,57.42%,18.87%,1
2023,6037542106,Census Tract 5421.06,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,457,116,17,27,0,14,10,17,26,24,160,102,24,28,19,21,28,30,143,58,30,32,457,116,13,21,0,14,0,14,0,14,0,14,13,21,0,14,25,29,0,14,0,14,8,12,0,14,17,28,0,14,276,114,27,32,26,24,96,92,17,25,96,50,14,21,143,56,0,14,0,14,56,42,7,11,64,44,16,25,46.83,100.0,68.0,40.94,49.65,31.29,100.0%,68.0%,40.94%,49.65%,1
2023,6037542200,Census Tract 5422,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,383,126,0,19,18,31,0,19,28,45,35,38,22,37,61,68,18,31,144,78,57,56,383,126,0,19,0,19,0,19,0,19,0,19,0,19,0,19,107,77,0,19,0,19,22,34,0,19,85,73,0,19,169,84,18,31,28,45,0,19,22,37,92,69,9,17,107,74,0,19,0,19,13,17,0,19,46,43,48,54,63.97,,79.44,67.46,42.99,37.6,Not Available,79.44%,67.46%,42.99%,1
2014,6037541802,Census Tract 5418.02,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,457,121,0,17,0,17,8,13,4,7,72,58,77,58,38,46,0,17,230,101,28,28,457,121,25,30,0,17,0,17,0,17,13,22,12,21,0,17,40,31,0,17,4,7,0,17,5,9,31,29,0,17,378,118,8,13,0,17,72,58,59,52,211,103,28,28,14,22,0,17,0,17,0,17,0,17,14,22,0,17,75.49,100.0,90.0,71.43,100.0,50.33,100.0%,90.0%,71.43%,100.0%,1
2014,6037542000,Census Tract 5420,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,519,118,0,17,57,41,11,15,41,43,0,17,71,54,66,58,75,67,188,92,10,16,519,118,19,30,0,17,0,17,0,17,0,17,19,30,0,17,60,41,15,16,9,13,0,17,0,17,36,35,0,17,410,98,43,38,32,41,0,17,71,54,254,109,10,16,30,33,10,15,0,17,0,17,0,17,20,29,0,17,77.07,100.0,60.0,79.27,66.67,36.22,100.0%,60.0%,79.27%,66.67%,1
2014,6037542103,Census Tract 5421.03,East Rancho Dominguez,Los Angeles County,California,EastRanchoDominguez,428,74,5,7,0,12,19,22,18,27,53,42,62,36,24,20,59,37,158,52,30,29,428,74,32,31,9,15,0,12,16,25,7,11,0,12,0,12,88,51,10,17,0,12,17,27,0,12,61,43,0,12,294,70,5,7,18,27,20,23,55,33,166,61,30,29,14,16,0,12,0,12,0,12,0,12,14,16,0,12,70.79,21.88,69.32,75.17,100.0,36.92,21.88%,69.32%,75.17%,100.0%,1
