YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037431800,Census Tract 4318,East San Gabriel,Los Angeles County,California,EastSanGabriel,859,187,0,19,103,80,86,96,58,59,37,36,109,87,108,78,57,58,240,124,61,52,859,187,0,19,0,19,0,19,0,19,0,19,0,19,0,19,192,110,58,81,0,19,0,19,33,51,87,80,14,23,553,172,131,60,58,59,20,25,56,66,274,137,14,22,114,66,0,19,0,19,17,27,20,32,44,53,33,41,59.84,,62.5,59.67,56.14,27.94,Not Available,62.5%,59.67%,56.14%,1
2023,6037480002,Census Tract 4800.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,229,89,72,77,21,32,9,14,27,26,29,27,11,21,0,14,49,51,11,14,0,14,229,89,0,14,0,14,0,14,0,14,0,14,0,14,0,14,37,28,0,14,13,18,13,17,11,21,0,14,0,14,112,53,48,43,7,11,16,19,0,14,41,46,0,14,80,65,54,63,7,12,0,14,0,14,19,19,0,14,31.0,,29.73,36.61,23.75,4.8,Not Available,29.73%,36.61%,23.75%,1
2023,6037480011,Census Tract 4800.11,East San Gabriel,Los Angeles County,California,EastSanGabriel,999,166,9,14,13,14,142,91,150,91,56,47,52,35,121,80,89,56,359,148,8,13,999,166,77,58,0,19,25,41,0,19,0,19,52,43,0,19,229,117,34,57,23,18,30,38,21,24,121,88,0,19,544,131,116,65,102,88,26,23,31,25,261,96,8,13,149,140,14,15,0,19,0,19,0,19,135,130,0,19,62.16,67.53,62.01,53.68,90.6,35.94,67.53%,62.01%,53.68%,90.6%,1
2023,6037480012,Census Tract 4800.12,East San Gabriel,Los Angeles County,California,EastSanGabriel,813,137,0,14,34,29,35,27,97,78,170,107,90,69,31,29,69,52,205,83,82,56,813,137,27,43,0,14,0,14,0,14,0,14,0,14,27,43,135,72,20,16,30,48,20,23,25,29,40,46,0,14,537,129,24,26,67,70,150,103,65,59,195,71,36,31,114,64,25,21,0,14,0,14,0,14,70,55,19,22,48.59,0.0,48.15,48.42,61.4,25.22,0.0%,48.15%,48.42%,61.4%,1
2023,6037480102,Census Tract 4801.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,466,140,0,14,32,35,88,70,36,33,69,58,0,14,9,14,30,27,98,54,104,110,466,140,6,10,0,14,0,14,0,14,0,14,6,10,0,14,131,83,32,35,21,25,50,53,0,14,0,14,28,44,276,130,81,69,15,19,0,14,0,14,104,53,76,106,53,32,7,13,0,14,19,22,0,14,27,23,0,14,29.4,100.0,0.0,37.68,50.94,21.03,100.0%,0.0%,37.68%,50.94%,1
2023,6037481102,Census Tract 4811.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,1175,125,38,40,53,44,146,87,134,61,215,122,100,55,62,57,91,51,336,98,0,14,1175,125,24,28,14,24,0,14,0,14,0,14,10,15,0,14,285,116,79,73,9,14,74,87,38,41,85,39,0,14,787,112,144,60,117,59,132,85,52,34,342,116,0,14,79,38,0,14,8,12,9,13,10,15,52,30,0,14,50.13,41.67,43.16,50.06,78.48,28.6,41.67%,43.16%,50.06%,78.48%,1
2023,6037481203,Census Tract 4812.03,East San Gabriel,Los Angeles County,California,EastSanGabriel,1070,192,0,19,106,77,86,72,121,97,40,42,203,122,43,59,121,100,305,181,45,47,1070,192,51,57,0,19,0,19,0,19,0,19,51,57,0,19,233,129,66,70,11,18,8,16,61,69,87,99,0,19,579,176,126,89,95,90,32,36,133,89,193,119,0,19,207,108,0,19,15,24,0,19,9,15,138,91,45,47,62.8,100.0,63.52,56.3,71.01,28.5,100.0%,63.52%,56.3%,71.01%,1
2014,6037463101,Census Tract 4631.01,East San Gabriel,Los Angeles County,California,EastSanGabriel,317,63,11,18,11,11,50,33,33,33,14,14,23,15,56,36,32,25,78,37,9,11,317,63,15,17,0,12,0,12,0,12,0,12,15,17,0,12,100,49,36,33,19,29,8,10,0,12,37,28,0,12,138,45,36,20,14,17,0,12,15,12,68,32,5,8,64,31,0,12,0,12,6,9,8,10,46,27,4,7,59.62,100.0,37.0,60.14,84.38,24.61,100.0%,37.0%,60.14%,84.38%,1
2014,6037480002,Census Tract 4800.02,East San Gabriel,Los Angeles County,California,EastSanGabriel,129,70,0,12,0,12,41,45,21,24,42,50,0,12,0,12,0,12,11,16,14,22,129,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,60,55,28,34,0,12,32,48,0,12,0,12,0,12,36,32,13,19,13,20,10,17,0,12,0,12,0,12,33,30,0,12,8,12,0,12,0,12,11,16,14,22,8.53,,0.0,0.0,33.33,8.53,Not Available,0.0%,0.0%,33.33%,1
2014,6037480011,Census Tract 4800.11,East San Gabriel,Los Angeles County,California,EastSanGabriel,1065,137,29,27,29,24,134,64,110,73,149,79,54,35,79,62,94,47,311,97,76,58,1065,137,63,53,0,17,14,17,0,17,0,17,49,50,0,17,258,82,16,19,51,52,49,53,26,23,107,50,9,14,556,124,167,74,45,48,100,68,28,25,197,80,19,30,188,101,9,15,0,17,0,17,0,17,131,87,48,48,50.52,77.78,51.55,40.47,69.68,29.2,77.78%,51.55%,40.47%,69.68%,1
