YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037431501,Census Tract 4315.01,El Monte,Los Angeles County,California,ElMonte,689,139,41,52,23,28,5,9,81,57,115,61,74,58,10,16,45,44,233,88,62,58,689,139,35,46,0,14,0,14,29,45,0,14,6,10,0,14,91,65,0,14,0,14,40,46,16,24,35,34,0,14,417,122,69,58,81,57,22,26,48,50,147,87,50,52,146,78,0,14,0,14,24,29,10,15,100,74,12,20,52.54,17.14,56.04,46.76,75.34,33.82,17.14%,56.04%,46.76%,75.34%,1
2023,6037431502,Census Tract 4315.02,El Monte,Los Angeles County,California,ElMonte,575,125,20,32,58,53,63,60,37,34,117,78,0,14,13,20,80,68,155,81,32,25,575,125,0,14,0,14,0,14,0,14,0,14,0,14,0,14,61,59,18,25,0,14,30,48,0,14,13,20,0,14,377,121,68,62,28,31,76,60,0,14,184,86,21,26,137,71,55,53,9,14,11,17,0,14,51,42,11,16,43.13,,21.31,48.81,37.23,26.96,Not Available,21.31%,48.81%,37.23%,1
2023,6037432101,Census Tract 4321.01,El Monte,Los Angeles County,California,ElMonte,277,100,9,14,23,37,17,19,101,71,48,41,18,21,11,16,8,12,34,26,8,12,277,100,0,14,0,14,0,14,0,14,0,14,0,14,0,14,74,56,19,21,24,36,21,33,10,16,0,14,0,14,170,79,30,38,53,51,27,24,8,14,44,29,8,12,33,39,0,14,24,37,0,14,0,14,9,15,0,14,25.63,,13.51,30.59,27.27,12.27,Not Available,13.51%,30.59%,27.27%,1
2023,6037432102,Census Tract 4321.02,El Monte,Los Angeles County,California,ElMonte,257,86,20,22,11,17,2,8,30,26,11,16,35,33,0,19,0,19,65,43,83,55,257,86,0,19,0,19,0,19,0,19,0,19,0,19,0,19,37,29,0,19,11,18,0,19,6,9,8,12,12,18,171,82,33,29,9,14,11,16,29,32,45,45,44,44,49,32,0,19,10,15,0,19,0,19,12,18,27,24,38.91,,37.84,43.27,24.49,25.29,Not Available,37.84%,43.27%,24.49%,1
2023,6037432300,Census Tract 4323,El Monte,Los Angeles County,California,ElMonte,447,146,0,14,7,12,58,40,75,81,50,32,34,54,19,23,0,14,171,113,33,42,447,146,27,41,0,14,0,14,0,14,0,14,0,14,27,41,55,45,0,14,9,15,4,7,0,14,42,43,0,14,301,123,32,27,66,79,46,31,34,54,117,93,6,9,64,49,33,34,0,14,0,14,0,14,31,38,0,14,50.11,0.0,76.36,50.17,48.44,38.26,0.0%,76.36%,50.17%,48.44%,1
2023,6037432401,Census Tract 4324.01,El Monte,Los Angeles County,California,ElMonte,590,117,8,12,10,10,39,27,134,78,106,56,51,41,41,41,78,55,107,69,16,19,590,117,21,34,0,14,0,14,0,14,0,14,21,34,0,14,109,47,12,18,50,41,26,36,5,7,16,17,0,14,356,112,38,23,80,74,75,48,32,38,131,75,0,14,104,54,7,10,4,7,5,8,14,21,58,46,16,19,46.95,100.0,19.27,45.79,69.23,18.14,100.0%,19.27%,45.79%,69.23%,1
2023,6037432402,Census Tract 4324.02,El Monte,Los Angeles County,California,ElMonte,1077,135,6,10,9,14,85,58,195,118,69,62,58,53,82,68,188,114,373,135,12,17,1077,135,31,45,0,19,0,19,0,19,31,45,0,19,0,19,197,106,0,19,33,46,28,44,0,19,136,96,0,19,615,145,91,59,131,100,15,27,19,29,355,116,4,9,234,79,9,14,31,32,26,31,8,13,152,73,8,14,65.09,100.0,69.04,60.81,68.38,34.63,100.0%,69.04%,60.81%,68.38%,1
2023,6037432501,Census Tract 4325.01,El Monte,Los Angeles County,California,ElMonte,652,173,7,12,27,36,124,116,52,53,119,80,38,54,34,42,95,85,100,78,56,66,652,173,5,8,5,8,0,14,0,14,0,14,0,14,0,14,17,29,0,14,17,29,0,14,0,14,0,14,0,14,537,168,146,122,35,42,89,70,31,52,180,108,56,66,93,55,7,12,0,14,30,38,7,11,49,41,0,14,40.95,0.0,0.0,39.29,60.22,15.34,0.0%,0.0%,39.29%,60.22%,1
2023,6037432502,Census Tract 4325.02,El Monte,Los Angeles County,California,ElMonte,261,114,25,40,0,14,11,17,66,63,44,66,39,46,14,23,14,24,32,38,16,21,261,114,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,24,0,14,14,23,2,5,0,14,0,14,0,14,199,100,36,43,52,59,42,66,17,27,52,47,0,14,46,45,0,14,0,14,0,14,22,37,8,14,16,21,37.93,,0.0,34.67,65.22,12.26,Not Available,0.0%,34.67%,65.22%,1
2023,6037432601,Census Tract 4326.01,El Monte,Los Angeles County,California,ElMonte,1040,206,10,15,16,19,87,74,145,89,39,54,101,99,12,18,112,94,400,137,118,111,1040,206,0,19,0,19,0,19,0,19,0,19,0,19,0,19,60,46,10,15,0,19,0,19,0,19,50,40,0,19,711,157,89,74,79,71,39,54,101,99,396,146,7,13,269,136,14,24,66,62,0,19,0,19,78,55,111,111,60.1,,83.33,69.9,29.0,38.46,Not Available,83.33%,69.9%,29.0%,1
