YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037602601,Census Tract 6026.01,Gardena,Los Angeles County,California,Gardena,606,146,35,43,7,13,61,90,0,14,57,59,54,56,94,108,70,80,220,129,8,12,606,146,0,14,0,14,0,14,0,14,0,14,0,14,0,14,95,106,7,13,0,14,0,14,0,14,88,104,0,14,445,162,96,101,0,14,9,15,54,56,286,117,0,14,66,59,0,14,0,14,48,57,0,14,10,17,8,12,72.28,,92.63,76.4,15.15,36.3,Not Available,92.63%,76.4%,15.15%,1
2023,6037602602,Census Tract 6026.02,Gardena,Los Angeles County,California,Gardena,513,144,0,14,0,14,12,20,6,9,95,59,32,38,32,51,27,46,256,168,53,52,513,144,0,14,0,14,0,14,0,14,0,14,0,14,0,14,42,47,12,20,0,14,0,14,0,14,30,50,0,14,331,133,0,14,6,9,95,59,16,26,196,153,18,29,140,94,0,14,0,14,0,14,16,27,89,90,35,54,67.64,,71.43,64.05,75.0,49.9,Not Available,71.43%,64.05%,75.0%,1
2023,6037602900,Census Tract 6029,Gardena,Los Angeles County,California,Gardena,598,266,139,207,57,58,61,57,12,18,191,136,32,38,0,14,0,14,73,74,33,41,598,266,0,14,0,14,0,14,0,14,0,14,0,14,0,14,160,207,160,207,0,14,0,14,0,14,0,14,0,14,323,153,24,27,12,18,149,126,32,38,73,74,33,41,115,95,73,83,0,14,42,53,0,14,0,14,0,14,17.56,,0.0,32.51,0.0,12.21,Not Available,0.0%,32.51%,0.0%,1
2023,6037603004,Census Tract 6030.04,Gardena,Los Angeles County,California,Gardena,527,60,6,12,33,28,101,43,26,29,43,38,42,41,31,31,81,37,157,55,7,10,527,60,27,31,8,14,0,14,0,14,0,14,19,26,0,14,92,41,35,29,6,9,28,28,0,14,23,29,0,14,359,63,97,39,14,25,15,25,42,41,184,57,7,10,49,31,0,14,6,10,0,14,0,14,43,30,0,14,59.01,70.37,25.0,62.95,87.76,29.79,70.37%,25.0%,62.95%,87.76%,1
2023,6037603005,Census Tract 6030.05,Gardena,Los Angeles County,California,Gardena,1379,240,85,104,19,22,202,160,125,94,60,56,109,86,44,52,295,139,418,140,22,26,1379,240,43,54,0,19,0,19,0,19,0,19,43,54,0,19,303,154,71,122,0,19,40,52,0,19,192,89,0,19,945,196,235,114,125,94,10,16,109,86,454,161,12,20,88,70,0,19,0,19,10,16,0,19,68,67,10,16,62.8,100.0,63.37,59.58,77.27,30.31,100.0%,63.37%,59.58%,77.27%,1
2023,6037603006,Census Tract 6030.06,Gardena,Los Angeles County,California,Gardena,473,72,35,36,25,21,59,39,51,28,112,65,24,24,16,23,30,33,97,62,24,33,473,72,0,14,0,14,0,14,0,14,0,14,0,14,0,14,77,42,11,13,25,25,24,27,7,12,4,6,6,8,344,75,103,52,26,18,88,56,4,7,123,73,0,14,52,35,5,8,0,14,0,14,13,21,16,14,18,28,35.31,,14.29,36.92,55.77,20.51,Not Available,14.29%,36.92%,55.77%,1
2023,6037603007,Census Tract 6030.07,Gardena,Los Angeles County,California,Gardena,705,185,0,14,17,28,60,73,38,35,12,20,214,138,23,26,84,82,181,110,76,67,705,185,0,14,0,14,0,14,0,14,0,14,0,14,0,14,234,131,0,14,0,14,0,14,31,47,193,119,10,26,347,171,13,22,38,35,12,20,148,119,83,64,53,62,124,94,64,78,0,14,0,14,35,53,12,15,13,17,71.21,,95.73,66.57,37.9,25.67,Not Available,95.73%,66.57%,37.9%,1
2023,6037603008,Census Tract 6030.08,Gardena,Los Angeles County,California,Gardena,704,262,0,14,26,40,56,72,185,115,226,261,19,30,9,15,45,52,126,85,12,19,704,262,18,29,0,14,0,14,18,29,0,14,0,14,0,14,97,89,0,14,48,75,0,14,0,14,49,52,0,14,478,277,82,76,137,89,164,269,19,30,76,67,0,14,111,72,0,14,0,14,44,47,0,14,55,58,12,19,28.27,0.0,50.52,19.87,49.55,17.9,0.0%,50.52%,19.87%,49.55%,1
2023,6037603101,Census Tract 6031.01,Gardena,Los Angeles County,California,Gardena,1090,176,0,14,75,63,57,56,226,94,81,54,20,23,72,57,93,76,449,166,17,26,1090,176,79,61,0,14,0,14,0,14,0,14,62,55,17,26,217,94,15,14,51,42,11,17,10,17,130,89,0,14,580,165,92,72,158,82,70,52,10,15,250,126,0,14,214,135,25,40,17,23,0,14,0,14,172,144,0,14,58.17,78.48,64.52,44.83,80.37,41.19,78.48%,64.52%,44.83%,80.37%,1
2023,6037603102,Census Tract 6031.02,Gardena,Los Angeles County,California,Gardena,866,126,9,15,28,36,142,116,84,58,20,23,140,77,77,65,147,73,201,96,18,28,866,126,0,14,0,14,0,14,0,14,0,14,0,14,0,14,146,77,18,15,50,46,0,14,0,14,78,68,0,14,491,139,134,110,24,34,0,14,71,59,244,105,18,28,229,72,27,41,10,17,20,23,69,51,103,49,0,14,65.24,,53.42,64.15,75.11,23.21,Not Available,53.42%,64.15%,75.11%,1
2023,6037603200,Census Tract 6032,Gardena,Los Angeles County,California,Gardena,453,113,11,20,78,70,58,50,0,14,63,58,32,33,43,54,97,84,43,37,28,26,453,113,20,27,0,14,0,14,0,14,0,14,20,27,0,14,119,85,80,70,0,14,0,14,0,14,31,50,8,13,127,76,31,41,0,14,8,13,17,26,71,62,0,14,187,93,36,41,0,14,55,56,15,23,61,60,20,21,47.46,100.0,26.05,69.29,40.64,9.49,100.0%,26.05%,69.29%,40.64%,1
2023,6037603301,Census Tract 6033.01,Gardena,Los Angeles County,California,Gardena,945,115,20,34,71,58,141,67,87,54,132,74,31,25,46,27,86,41,281,91,50,44,945,115,45,39,0,14,0,14,21,31,0,14,24,27,0,14,133,63,47,42,19,21,7,13,22,22,38,29,0,14,537,109,121,68,68,52,78,54,9,13,220,74,41,42,230,97,64,58,0,14,26,43,0,14,131,78,9,14,46.98,53.33,45.11,42.64,56.96,29.74,53.33%,45.11%,42.64%,56.96%,1
2023,6037603302,Census Tract 6033.02,Gardena,Los Angeles County,California,Gardena,658,113,64,58,52,51,59,55,60,52,118,57,53,50,53,60,64,51,93,54,42,46,658,113,0,14,0,14,0,14,0,14,0,14,0,14,0,14,68,58,8,14,39,49,0,14,10,16,11,16,0,14,431,127,132,84,12,19,86,50,18,24,183,85,0,14,159,72,35,41,9,14,32,34,25,41,16,18,42,46,39.97,,30.88,46.64,25.79,14.13,Not Available,30.88%,46.64%,25.79%,1
2023,6037603400,Census Tract 6034,Gardena,Los Angeles County,California,Gardena,582,101,0,14,22,27,64,47,135,82,85,72,65,52,0,14,46,37,147,84,18,20,582,101,11,13,3,8,0,14,0,14,0,14,8,12,0,14,163,85,15,21,25,35,45,53,24,38,44,56,10,15,324,97,25,28,103,72,40,54,41,40,115,71,0,14,84,47,43,36,7,13,0,14,0,14,26,19,8,12,44.33,72.73,41.72,48.15,30.95,25.26,72.73%,41.72%,48.15%,30.95%,1
2023,6037603500,Census Tract 6035,Gardena,Los Angeles County,California,Gardena,293,85,10,15,8,13,49,47,11,14,46,41,11,15,17,15,19,22,105,67,17,23,293,85,16,22,0,14,0,14,0,14,0,14,16,22,0,14,58,32,30,38,0,14,5,8,0,14,6,9,17,23,200,81,37,33,2,5,41,41,11,15,109,70,0,14,19,19,0,14,9,13,0,14,0,14,10,13,0,14,51.88,100.0,10.34,60.0,52.63,35.84,100.0%,10.34%,60.0%,52.63%,1
2023,6037603600,Census Tract 6036,Gardena,Los Angeles County,California,Gardena,291,91,0,14,27,29,10,17,67,66,0,14,36,52,58,67,47,56,33,29,13,20,291,91,0,14,0,14,0,14,0,14,0,14,0,14,0,14,126,67,24,28,40,63,0,14,0,14,62,68,0,14,134,74,13,20,27,29,0,14,36,52,58,59,0,14,31,28,0,14,0,14,0,14,0,14,18,20,13,20,59.79,,49.21,70.15,58.06,11.34,Not Available,49.21%,70.15%,58.06%,1
2014,6037291300,Census Tract 2913,Gardena,Los Angeles County,California,Gardena,184,78,0,12,12,20,26,36,15,14,24,30,13,14,5,7,6,10,70,53,13,16,184,78,8,13,0,12,0,12,0,12,0,12,8,13,0,12,26,31,0,12,0,12,20,30,0,12,6,10,0,12,96,39,38,39,15,14,0,12,9,11,28,20,6,10,54,45,0,12,0,12,4,6,4,7,39,45,7,12,51.09,100.0,23.08,38.54,79.63,38.04,100.0%,23.08%,38.54%,79.63%,1
2014,6037602600,Census Tract 6026,Gardena,Los Angeles County,California,Gardena,1011,165,33,50,45,51,50,57,103,77,86,74,72,77,187,128,162,105,273,108,0,17,1011,165,29,47,0,17,0,17,0,17,0,17,29,47,0,17,191,108,20,32,11,22,38,46,0,17,122,93,0,17,727,168,90,83,92,71,48,52,72,77,425,146,0,17,64,50,18,29,0,17,0,17,0,17,46,42,0,17,68.64,100.0,63.87,68.36,71.88,27.0,100.0%,63.87%,68.36%,71.88%,1
2014,6037602900,Census Tract 6029,Gardena,Los Angeles County,California,Gardena,453,98,7,12,28,34,42,39,17,26,35,36,33,33,52,36,87,60,133,78,19,21,453,98,12,10,0,12,0,12,0,12,0,12,12,10,0,12,145,69,20,31,0,12,11,18,0,12,114,60,0,12,271,73,57,40,17,26,24,30,33,33,130,61,10,15,25,23,0,12,0,12,0,12,0,12,16,18,9,14,67.33,100.0,78.62,60.15,64.0,29.36,100.0%,78.62%,60.15%,64.0%,1
2014,6037603001,Census Tract 6030.01,Gardena,Los Angeles County,California,Gardena,1476,169,61,68,51,61,122,87,81,61,214,123,93,81,76,58,184,138,551,185,43,53,1476,169,27,31,10,15,17,27,0,17,0,17,0,17,0,17,403,152,11,17,11,18,44,54,43,50,294,138,0,17,942,171,183,120,53,58,158,103,50,63,455,152,43,53,104,82,30,49,0,17,12,20,0,17,62,65,0,17,61.25,0.0,83.62,53.61,59.62,37.33,0.0%,83.62%,53.61%,59.62%,1
2014,6037603004,Census Tract 6030.04,Gardena,Los Angeles County,California,Gardena,505,58,24,27,15,23,108,62,57,41,59,35,52,35,19,30,53,42,118,48,0,12,505,58,41,39,0,12,0,12,0,12,0,12,41,39,0,12,129,55,68,58,13,20,6,11,29,30,13,14,0,12,249,69,52,34,40,32,53,32,10,14,94,51,0,12,86,43,27,26,4,6,0,12,13,15,42,31,0,12,47.92,100.0,32.56,41.77,63.95,23.37,100.0%,32.56%,41.77%,63.95%,1
2014,6037603005,Census Tract 6030.05,Gardena,Los Angeles County,California,Gardena,1125,171,54,58,0,17,147,74,46,43,74,68,70,45,132,93,168,98,369,148,65,74,1125,171,0,17,0,17,0,17,0,17,0,17,0,17,0,17,526,118,62,56,12,17,46,52,6,11,371,114,29,48,467,130,70,47,34,40,24,39,56,42,247,103,36,56,132,73,69,62,0,17,4,14,8,13,51,45,0,17,65.69,,71.67,64.88,44.7,32.8,Not Available,71.67%,64.88%,44.7%,1
2014,6037603006,Census Tract 6030.06,Gardena,Los Angeles County,California,Gardena,569,65,23,28,34,31,55,42,60,45,82,84,22,24,22,28,60,40,193,72,18,15,569,65,0,12,0,12,0,12,0,12,0,12,0,12,0,12,132,59,89,52,20,32,0,12,0,12,23,30,0,12,330,76,23,28,40,32,82,84,6,10,173,66,6,9,107,38,0,12,0,12,0,12,16,22,79,31,12,12,52.2,,17.42,54.24,88.79,33.92,Not Available,17.42%,54.24%,88.79%,1
2014,6037603101,Census Tract 6031.01,Gardena,Los Angeles County,California,Gardena,1019,121,49,45,73,54,133,75,49,40,109,70,91,58,64,58,60,45,296,108,95,70,1019,121,16,18,16,18,0,12,0,12,0,12,0,12,0,12,285,116,52,48,31,36,32,48,13,20,122,82,35,43,496,129,156,77,10,15,44,36,68,51,158,85,60,54,222,98,31,49,8,13,33,43,10,16,140,76,0,12,50.15,0.0,47.37,45.56,67.57,29.05,0.0%,47.37%,45.56%,67.57%,1
2014,6037603102,Census Tract 6031.02,Gardena,Los Angeles County,California,Gardena,895,95,0,12,52,40,62,36,79,58,153,70,133,75,48,37,39,40,271,92,58,41,895,95,7,10,0,12,0,12,0,12,0,12,0,12,7,10,132,73,0,12,15,21,6,10,26,38,85,60,0,12,485,93,85,46,49,54,87,47,44,38,188,78,32,26,271,73,29,23,15,17,60,42,63,53,85,42,19,29,54.86,0.0,84.09,47.84,54.61,30.28,0.0%,84.09%,47.84%,54.61%,1
2014,6037603200,Census Tract 6032,Gardena,Los Angeles County,California,Gardena,337,97,0,12,27,28,15,20,44,36,42,31,61,45,95,73,16,25,32,30,5,10,337,97,0,12,0,12,0,12,0,12,0,12,0,12,0,12,80,43,0,12,24,30,15,19,6,11,35,34,0,12,179,80,31,31,20,22,16,19,15,21,92,71,5,10,78,57,11,17,0,12,11,18,40,40,16,25,0,12,60.53,,51.25,59.78,71.79,9.5,Not Available,51.25%,59.78%,71.79%,1
2014,6037603301,Census Tract 6033.01,Gardena,Los Angeles County,California,Gardena,974,127,38,26,49,35,81,46,152,81,91,48,101,67,38,31,133,74,257,106,34,34,974,127,33,33,7,12,0,12,19,30,0,12,7,11,0,12,229,102,9,14,25,40,8,13,58,59,129,66,0,12,451,115,107,58,120,71,46,28,19,22,134,71,25,32,261,82,45,33,7,10,18,21,24,24,158,75,9,13,54.31,21.21,81.66,33.92,69.73,26.39,21.21%,81.66%,33.92%,69.73%,1
2014,6037603302,Census Tract 6033.02,Gardena,Los Angeles County,California,Gardena,697,124,13,20,62,49,112,71,54,55,145,77,37,29,35,42,24,34,195,95,20,22,697,124,55,61,0,12,31,49,0,12,0,12,24,35,0,12,32,24,16,18,9,15,0,12,0,12,7,12,0,12,450,125,146,72,14,16,97,56,26,24,147,82,20,22,160,95,25,25,0,12,48,64,11,17,76,63,0,12,41.75,43.64,21.88,38.44,54.37,27.98,43.64%,21.88%,38.44%,54.37%,1
