YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037403326,Census Tract 4033.26,Industry,Los Angeles County,California,Industry,171,81,0,14,11,14,15,23,20,26,18,17,0,14,41,60,0,14,53,44,13,19,171,81,4,6,0,14,0,14,0,14,0,14,4,6,0,14,31,33,0,14,0,14,0,14,0,14,31,33,0,14,89,49,26,28,20,26,12,14,0,14,18,27,13,19,47,61,0,14,0,14,6,9,0,14,41,60,0,14,54.97,100.0,100.0,20.22,87.23,30.99,100.0%,100.0%,20.22%,87.23%,1
2023,6037403327,Census Tract 4033.27,Industry,Los Angeles County,California,Industry,57,33,0,14,0,14,15,19,9,13,17,18,9,13,0,14,0,14,7,11,0,14,57,33,7,11,0,14,7,11,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,50,30,15,19,2,7,17,18,9,13,7,11,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,28.07,0.0,,32.0,,12.28,0.0%,Not Available,32.0%,Not Available,1
2023,6037407002,Census Tract 4070.02,Industry,Los Angeles County,California,Industry,78,40,0,14,14,15,16,26,14,16,0,14,0,14,21,18,0,14,13,19,0,14,78,40,0,14,0,14,0,14,0,14,0,14,0,14,0,14,17,16,7,10,4,7,0,14,0,14,6,10,0,14,48,33,23,28,10,14,0,14,0,14,15,15,0,14,13,19,0,14,0,14,0,14,0,14,13,19,0,14,43.59,,35.29,31.25,100.0,16.67,Not Available,35.29%,31.25%,100.0%,1
2023,6037407701,Census Tract 4077.01,Industry,Los Angeles County,California,Industry,582,81,0,14,92,68,0,14,108,74,55,54,29,26,124,65,22,27,135,76,17,20,582,81,0,14,0,14,0,14,0,14,0,14,0,14,0,14,79,60,29,34,23,40,0,14,3,8,24,32,0,14,386,86,39,47,85,64,55,54,0,14,190,75,17,20,117,67,24,38,0,14,0,14,26,25,67,49,0,14,53.26,,34.18,49.22,79.49,23.2,Not Available,34.18%,49.22%,79.49%,1
2023,6037407802,Census Tract 4078.02,Industry,Los Angeles County,California,Industry,183,82,27,30,17,24,18,27,27,27,45,56,8,12,0,14,8,12,30,27,3,6,183,82,3,6,0,14,3,6,0,14,0,14,0,14,0,14,34,30,18,27,0,14,8,11,8,12,0,14,0,14,123,72,44,37,23,26,37,55,0,14,19,20,0,14,23,23,0,14,1,2,0,14,0,14,19,22,3,6,25.14,0.0,23.53,15.45,82.61,16.39,0.0%,23.53%,15.45%,82.61%,1
2023,6037408212,Census Tract 4082.12,Industry,Los Angeles County,California,Industry,279,100,0,14,20,24,50,44,44,61,8,14,9,14,8,13,0,14,88,49,52,52,279,100,0,14,0,14,0,14,0,14,0,14,0,14,0,14,80,58,61,41,0,14,0,14,0,14,0,14,19,32,128,85,9,14,44,61,8,14,9,14,58,45,0,14,71,48,0,14,0,14,0,14,0,14,38,28,33,40,37.63,,0.0,52.34,53.52,31.54,Not Available,0.0%,52.34%,53.52%,1
2023,6037408301,Census Tract 4083.01,Industry,Los Angeles County,California,Industry,462,134,0,19,40,37,10,15,83,75,26,28,26,28,28,39,60,47,178,95,11,17,462,134,22,34,0,19,0,19,0,19,0,19,22,34,0,19,49,41,0,19,0,19,12,18,13,20,24,32,0,19,366,124,50,37,69,69,14,21,13,19,209,101,11,17,25,25,0,19,14,23,0,19,0,19,11,13,0,19,63.2,100.0,75.51,60.66,44.0,38.53,100.0%,75.51%,60.66%,44.0%,1
2023,6037408302,Census Tract 4083.02,Industry,Los Angeles County,California,Industry,265,117,0,14,0,14,29,40,23,36,18,22,12,19,0,14,11,15,101,85,71,74,265,117,11,18,0,14,0,14,0,14,0,14,11,18,0,14,55,68,0,14,0,14,0,14,12,19,0,14,43,64,191,99,29,40,23,36,18,22,0,14,101,82,20,34,8,12,0,14,0,14,0,14,0,14,0,14,8,12,46.79,100.0,21.82,52.88,0.0,38.11,100.0%,21.82%,52.88%,0.0%,1
2023,6037408303,Census Tract 4083.03,Industry,Los Angeles County,California,Industry,135,90,0,14,19,28,0,14,40,43,0,14,7,12,0,14,0,14,69,63,0,14,135,90,0,14,0,14,0,14,0,14,0,14,0,14,0,14,7,12,0,14,0,14,0,14,7,12,0,14,0,14,128,89,19,28,40,43,0,14,0,14,69,63,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,56.3,,100.0,53.91,,51.11,Not Available,100.0%,53.91%,Not Available,1
2023,6037408401,Census Tract 4084.01,Industry,Los Angeles County,California,Industry,443,109,46,40,14,24,22,28,35,32,60,48,36,43,60,54,8,15,96,66,66,49,443,109,8,11,0,14,0,14,0,14,0,14,8,11,0,14,109,69,46,40,0,14,0,14,0,14,63,55,0,14,209,83,22,28,35,32,60,48,0,14,50,52,42,35,117,74,14,24,0,14,0,14,36,43,43,30,24,37,45.15,100.0,57.8,23.92,67.52,21.67,100.0%,57.8%,23.92%,67.52%,1
2023,6037408402,Census Tract 4084.02,Industry,Los Angeles County,California,Industry,287,120,5,8,45,43,13,21,113,96,0,19,10,15,30,47,0,19,56,47,15,18,287,120,0,19,0,19,0,19,0,19,0,19,0,19,0,19,30,47,0,19,0,19,0,19,0,19,30,47,0,19,219,102,63,46,84,82,0,19,10,15,56,47,6,9,38,47,0,19,29,44,0,19,0,19,0,19,9,14,33.45,,100.0,30.14,0.0,19.51,Not Available,100.0%,30.14%,0.0%,1
2023,6037433302,Census Tract 4333.02,Industry,Los Angeles County,California,Industry,405,104,19,21,6,9,68,51,41,32,74,70,40,35,24,30,43,41,64,49,26,25,405,104,0,14,0,14,0,14,0,14,0,14,0,14,0,14,102,87,18,30,14,15,40,60,24,25,6,10,0,14,246,73,56,41,27,29,34,39,16,25,113,56,0,14,57,35,19,20,0,14,0,14,0,14,12,20,26,25,42.22,,29.41,52.44,21.05,15.8,Not Available,29.41%,52.44%,21.05%,1
2023,6037500300,Census Tract 5003,Industry,Los Angeles County,California,Industry,172,78,0,14,0,14,39,34,8,13,0,14,18,26,10,16,19,29,46,56,32,38,172,78,0,14,0,14,0,14,0,14,0,14,0,14,0,14,35,35,16,24,0,14,0,14,0,14,19,29,0,14,109,74,23,24,8,13,0,14,0,14,46,56,32,38,28,30,0,14,0,14,0,14,18,26,10,16,0,14,54.07,,54.29,42.2,100.0,26.74,Not Available,54.29%,42.2%,100.0%,1
2023,6037980035,Census Tract 9800.35,Industry,Los Angeles County,California,Industry,91,40,1,3,14,18,7,11,9,10,0,14,31,27,5,7,14,16,10,16,0,14,91,40,10,16,0,14,0,14,0,14,0,14,10,16,0,14,7,7,2,2,1,2,0,14,0,14,4,6,0,14,64,39,13,18,7,8,0,14,31,27,13,17,0,14,10,11,7,11,1,3,0,14,0,14,2,3,0,14,65.93,100.0,57.14,68.75,20.0,10.99,100.0%,57.14%,68.75%,20.0%,1
2014,6037403303,Census Tract 4033.03,Industry,Los Angeles County,California,Industry,104,52,0,12,7,12,26,30,11,14,0,12,1,4,0,12,23,24,30,28,6,8,104,52,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,92,53,26,30,11,14,0,12,1,4,48,39,6,8,12,14,7,12,0,12,0,12,0,12,5,7,0,12,51.92,,,53.26,41.67,28.85,Not Available,Not Available,53.26%,41.67%,1
2014,6037403312,Census Tract 4033.12,Industry,Los Angeles County,California,Industry,320,122,12,21,16,24,60,58,59,58,25,38,41,41,42,52,35,43,30,33,0,17,320,122,0,17,0,17,0,17,0,17,0,17,0,17,0,17,123,82,11,20,33,42,0,17,28,37,51,57,0,17,192,92,77,53,26,38,25,38,13,19,51,52,0,17,5,10,0,17,0,17,0,17,0,17,5,10,0,17,46.25,,64.23,33.33,100.0,9.38,Not Available,64.23%,33.33%,100.0%,1
2014,6037404703,Census Tract 4047.03,Industry,Los Angeles County,California,Industry,404,62,0,12,6,9,28,29,27,27,50,31,30,27,52,36,65,36,146,52,0,12,404,62,41,30,12,20,0,12,0,12,0,12,29,27,0,12,87,42,0,12,13,14,21,22,7,11,46,34,0,12,266,58,22,22,14,23,24,22,23,25,183,60,0,12,10,11,0,12,0,12,5,7,0,12,5,8,0,12,72.52,70.73,60.92,77.44,50.0,36.14,70.73%,60.92%,77.44%,50.0%,1
2014,6037407001,Census Tract 4070.01,Industry,Los Angeles County,California,Industry,166,66,9,14,17,27,11,19,14,15,10,15,22,35,0,17,38,37,41,42,4,9,166,66,11,18,0,17,0,17,0,17,0,17,11,18,0,17,50,40,26,30,8,12,0,17,0,17,16,25,0,17,99,58,11,19,0,17,10,15,22,35,52,48,4,9,6,9,0,17,6,9,0,17,0,17,0,17,0,17,60.84,100.0,32.0,74.75,0.0,24.7,100.0%,32.0%,74.75%,0.0%,1
2014,6037407002,Census Tract 4070.02,Industry,Los Angeles County,California,Industry,154,65,0,12,9,15,16,20,5,7,6,9,6,10,7,11,13,17,52,52,40,32,154,65,16,18,0,12,0,12,0,12,0,12,16,18,0,12,30,29,16,20,0,12,0,12,0,12,0,12,14,22,84,54,9,15,0,12,6,9,6,10,43,49,20,22,24,22,0,12,5,7,0,12,0,12,13,20,6,9,50.65,100.0,0.0,58.33,54.17,33.77,100.0%,0.0%,58.33%,54.17%,1
2014,6037407602,Census Tract 4076.02,Industry,Los Angeles County,California,Industry,263,74,9,11,4,6,15,24,10,14,12,20,27,23,56,62,34,28,87,47,9,10,263,74,9,16,0,12,0,12,0,12,0,12,9,16,0,12,116,71,0,12,10,14,0,12,15,23,86,65,5,9,138,53,28,27,0,12,12,20,12,20,82,43,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,77.57,100.0,87.07,68.12,,33.08,100.0%,87.07%,68.12%,Not Available,1
2014,6037407802,Census Tract 4078.02,Industry,Los Angeles County,California,Industry,195,91,4,7,5,7,13,13,41,56,18,22,9,14,0,12,52,46,5,9,48,46,195,91,0,12,0,12,0,12,0,12,0,12,0,12,0,12,31,33,6,9,0,12,0,12,0,12,0,12,25,35,141,78,16,14,41,56,18,22,9,14,57,46,0,12,23,29,0,12,0,12,0,12,0,12,0,12,23,29,33.85,,0.0,46.81,0.0,2.56,Not Available,0.0%,46.81%,0.0%,1
