YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037406901,Census Tract 4069.01,La Puente,Los Angeles County,California,LaPuente,470,114,0,132,12,21,7,11,9,15,110,65,69,89,43,57,19,24,201,90,0,132,470,114,0,132,0,132,0,132,0,132,0,132,0,132,0,132,64,62,7,11,0,132,0,132,0,132,57,60,0,132,269,112,12,21,9,15,65,53,60,88,123,85,0,132,137,73,0,132,0,132,45,46,9,15,83,63,0,132,70.64,,89.06,68.03,67.15,42.77
2010,6037406902,Census Tract 4069.02,La Puente,Los Angeles County,California,LaPuente,177,84,53,72,0,132,0,132,24,31,42,34,0,132,0,132,10,17,48,60,0,132,177,84,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,111,83,53,72,12,24,9,16,0,132,37,57,0,132,66,43,0,132,12,20,33,32,0,132,21,25,0,132,32.77,,,33.33,31.82,27.12
2010,6037407002,Census Tract 4070.02,La Puente,Los Angeles County,California,LaPuente,142,67,0,132,26,37,0,132,0,132,58,39,0,132,0,132,24,27,30,38,4,11,142,67,27,40,0,132,0,132,27,40,0,132,0,132,0,132,39,34,0,132,0,132,31,31,0,132,8,13,0,132,56,51,26,37,0,132,0,132,0,132,30,38,0,132,20,24,0,132,0,132,0,132,0,132,16,22,4,11,38.03,0.0,20.51,53.57,80.0,21.13
2010,6037407101,Census Tract 4071.01,La Puente,Los Angeles County,California,LaPuente,385,102,0,132,10,15,26,39,59,54,32,38,60,57,32,40,9,15,110,68,47,41,385,102,21,36,0,132,0,132,0,132,0,132,21,36,0,132,124,65,0,132,24,38,32,38,26,40,33,39,9,14,225,99,36,42,35,42,0,132,34,44,88,65,32,38,15,18,0,132,0,132,0,132,0,132,9,15,6,12,54.81,100.0,47.58,54.22,60.0,28.57
2010,6037407102,Census Tract 4071.02,La Puente,Los Angeles County,California,LaPuente,398,93,0,132,19,30,66,48,50,46,35,29,11,18,85,77,63,65,69,51,0,132,398,93,26,43,0,132,0,132,0,132,0,132,26,43,0,132,205,84,31,39,20,34,20,30,0,132,134,79,0,132,127,67,37,38,30,32,15,21,11,18,34,39,0,132,40,37,17,24,0,132,0,132,0,132,23,27,0,132,57.29,100.0,65.37,35.43,57.5,17.34
2010,6037407200,Census Tract 4072,La Puente,Los Angeles County,California,LaPuente,414,109,0,132,11,17,10,17,113,92,63,55,28,33,19,21,49,44,112,83,9,15,414,109,46,48,0,132,27,43,0,132,0,132,19,21,0,132,52,64,0,132,41,62,0,132,0,132,11,18,0,132,259,90,10,17,45,55,50,48,28,33,126,87,0,132,57,41,11,17,0,132,13,20,0,132,24,37,9,15,50.24,41.3,21.15,59.46,42.11,27.05
2010,6037407301,Census Tract 4073.01,La Puente,Los Angeles County,California,LaPuente,130,83,0,132,16,22,0,132,9,15,7,18,11,16,0,132,25,35,25,25,37,56,130,83,0,132,0,132,0,132,0,132,0,132,0,132,0,132,20,22,0,132,9,15,0,132,11,16,0,132,0,132,110,80,16,22,0,132,7,18,0,132,50,43,37,56,0,132,0,132,0,132,0,132,0,132,0,132,0,132,46.92,,55.0,45.45,,19.23
2010,6037407302,Census Tract 4073.02,La Puente,Los Angeles County,California,LaPuente,147,80,0,132,0,132,20,22,23,34,28,45,0,132,0,132,25,32,51,48,0,132,147,80,0,132,0,132,0,132,0,132,0,132,0,132,0,132,40,48,12,18,0,132,28,45,0,132,0,132,0,132,99,64,8,13,23,34,0,132,0,132,68,53,0,132,8,13,0,132,0,132,0,132,0,132,8,13,0,132,51.7,,0.0,68.69,100.0,34.69
2010,6037407501,Census Tract 4075.01,La Puente,Los Angeles County,California,LaPuente,378,105,0,132,10,16,20,23,42,37,18,20,68,57,59,40,51,46,103,69,7,11,378,105,0,132,0,132,0,132,0,132,0,132,0,132,0,132,103,58,20,23,9,15,0,132,7,12,67,49,0,132,259,94,10,16,33,34,18,20,61,58,130,76,7,11,16,18,0,132,0,132,0,132,0,132,16,18,0,132,74.34,,71.84,73.75,100.0,27.25
2010,6037407601,Census Tract 4076.01,La Puente,Los Angeles County,California,LaPuente,763,113,0,132,41,42,145,106,93,51,44,55,24,33,30,48,137,105,237,127,12,21,763,113,124,103,26,40,0,132,0,132,0,132,98,101,0,132,104,76,48,55,20,24,0,132,0,132,36,50,0,132,493,113,100,88,73,45,44,55,24,33,240,116,12,21,42,65,12,25,0,132,0,132,0,132,30,55,0,132,56.09,79.03,34.62,53.55,71.43,31.06
