YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,215,100,0,14,0,14,16,18,14,22,0,14,0,14,46,53,9,18,71,71,59,46,215,100,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,162,88,16,18,14,22,0,14,0,14,100,77,32,36,53,48,0,14,0,14,0,14,0,14,26,42,27,26,58.6,,,61.73,49.06,33.02,Not Available,Not Available,61.73%,49.06%,1
2023,6037400208,Census Tract 4002.08,La Verne,Los Angeles County,California,LaVerne,22,24,0,14,0,14,0,14,0,14,0,14,13,20,0,14,0,14,9,14,0,14,22,24,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,22,24,0,14,0,14,0,14,13,20,9,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,100.0,,,100.0,,40.91,Not Available,Not Available,100.0%,Not Available,1
2023,6037400209,Census Tract 4002.09,La Verne,Los Angeles County,California,LaVerne,155,93,0,14,0,14,50,58,34,53,0,14,0,14,0,14,0,14,47,56,24,37,155,93,24,37,0,14,0,14,0,14,0,14,0,14,24,37,0,14,0,14,0,14,0,14,0,14,0,14,0,14,116,90,50,58,34,53,0,14,0,14,32,52,0,14,15,24,0,14,0,14,0,14,0,14,15,24,0,14,30.32,0.0,,27.59,100.0,30.32,0.0%,Not Available,27.59%,100.0%,1
2023,6037401500,Census Tract 4015,La Verne,Los Angeles County,California,LaVerne,707,145,14,22,0,19,59,48,150,82,71,51,47,39,32,33,77,65,155,103,102,86,707,145,73,52,7,11,0,19,22,26,21,32,23,37,0,19,192,95,14,23,66,63,32,39,0,19,56,49,24,41,362,95,44,42,84,58,8,13,26,23,167,68,33,39,80,73,8,13,0,19,9,14,0,19,18,21,45,70,43.99,60.27,29.17,53.31,22.5,21.92,60.27%,29.17%,53.31%,22.5%,1
2023,6037401601,Census Tract 4016.01,La Verne,Los Angeles County,California,LaVerne,866,202,18,30,21,34,111,80,103,95,181,120,134,123,58,93,40,35,123,89,77,93,866,202,70,66,0,19,0,19,25,38,24,41,21,35,0,19,211,134,37,44,23,38,90,91,35,57,0,19,26,45,379,181,81,95,80,91,16,26,75,103,127,110,0,19,206,123,32,37,0,19,50,75,0,19,73,60,51,80,40.99,64.29,16.59,53.3,35.44,14.2,64.29%,16.59%,53.3%,35.44%,1
2023,6037401602,Census Tract 4016.02,La Verne,Los Angeles County,California,LaVerne,1170,228,53,84,44,54,157,85,123,124,75,65,155,96,101,95,15,25,328,157,119,82,1170,228,32,36,11,19,0,19,21,34,0,19,0,19,0,19,125,67,57,37,0,19,0,19,21,28,47,52,0,19,787,209,129,112,123,124,54,55,104,83,297,151,80,73,226,124,57,77,0,19,0,19,30,35,100,91,39,41,51.2,0.0,54.4,50.95,57.52,28.03,0.0%,54.4%,50.95%,57.52%,1
2023,6037408900,Census Tract 4089,La Verne,Los Angeles County,California,LaVerne,871,222,24,28,43,40,87,56,38,35,192,123,27,31,10,17,63,50,277,151,110,69,871,222,0,19,0,19,0,19,0,19,0,19,0,19,0,19,76,93,0,19,0,19,0,19,0,19,50,87,26,35,312,123,139,70,29,37,27,34,17,27,67,57,33,40,483,147,15,24,9,14,165,120,10,16,233,106,51,44,43.28,,65.79,26.92,50.31,31.8,Not Available,65.79%,26.92%,50.31%,1
2014,6037400204,Census Tract 4002.04,La Verne,Los Angeles County,California,LaVerne,225,113,0,17,32,49,0,17,0,17,14,23,42,49,69,86,27,39,12,20,29,33,225,113,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,20,0,17,0,17,0,17,0,17,12,20,0,17,200,111,32,49,0,17,14,23,42,49,96,76,16,25,13,21,0,17,0,17,0,17,0,17,0,17,13,21,66.67,,100.0,69.0,0.0,5.33,Not Available,100.0%,69.0%,0.0%,1
2014,6037400205,Census Tract 4002.05,La Verne,Los Angeles County,California,LaVerne,82,48,0,12,0,12,12,20,0,12,12,19,0,12,0,12,0,12,37,35,21,23,82,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,8,12,0,12,0,12,0,12,0,12,0,12,8,12,74,47,12,20,0,12,12,19,0,12,37,35,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,45.12,,0.0,50.0,,45.12,Not Available,0.0%,50.0%,Not Available,1
2014,6037400207,Census Tract 4002.07,La Verne,Los Angeles County,California,LaVerne,130,68,0,12,22,26,0,12,42,28,21,30,0,12,0,12,31,42,14,20,0,12,130,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,6,10,0,12,0,12,0,12,115,65,22,26,33,24,15,28,0,12,45,47,0,12,9,15,0,12,9,15,0,12,0,12,0,12,0,12,34.62,,0.0,39.13,0.0,10.77,Not Available,0.0%,39.13%,0.0%,1
2014,6037400302,Census Tract 4003.02,La Verne,Los Angeles County,California,LaVerne,466,72,9,14,29,27,99,70,9,14,103,53,83,60,14,17,23,26,97,60,0,12,466,72,8,13,0,12,0,12,0,12,0,12,8,13,0,12,57,48,44,47,0,12,13,20,0,12,0,12,0,12,155,73,58,53,9,14,0,12,28,45,60,38,0,12,246,59,35,30,0,12,90,51,55,44,66,55,0,12,46.57,100.0,0.0,56.77,49.19,20.82,100.0%,0.0%,56.77%,49.19%,1
2014,6037400304,Census Tract 4003.04,La Verne,Los Angeles County,California,LaVerne,1138,161,31,35,89,76,120,72,113,76,111,97,116,107,63,57,118,92,242,102,135,75,1138,161,149,77,14,22,0,17,0,17,0,17,0,17,135,75,316,118,107,89,33,40,30,36,116,107,30,35,0,17,537,155,109,63,45,37,81,88,0,17,302,117,0,17,136,74,10,19,35,54,0,17,0,17,91,60,0,17,47.36,0.0,46.2,56.24,66.91,21.27,0.0%,46.2%,56.24%,66.91%,1
