YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037236000,Census Tract 2360,Ladera Heights,Los Angeles County,California,LaderaHeights,465,156,37,61,67,68,63,50,96,100,14,23,40,49,16,25,0,132,132,102,0,132,465,156,0,132,0,132,0,132,0,132,0,132,0,132,0,132,79,72,54,67,8,13,0,132,0,132,17,27,0,132,358,165,99,73,88,102,14,23,26,44,131,101,0,132,28,32,14,22,0,132,0,132,14,22,0,132,0,132,40.43,,21.52,43.85,50.0,28.39
2010,6037702502,Census Tract 7025.02,Ladera Heights,Los Angeles County,California,LaderaHeights,536,156,0,132,10,15,65,57,98,70,54,34,26,31,0,132,145,63,67,58,71,100,536,156,23,35,0,132,0,132,0,132,0,132,23,35,0,132,89,66,31,48,43,41,0,132,0,132,15,26,0,132,273,125,34,33,45,59,0,132,26,31,97,77,71,100,151,58,10,16,10,16,54,34,0,132,77,44,0,132,44.4,100.0,16.85,45.05,50.99,12.5
2010,6037703001,Census Tract 7030.01,Ladera Heights,Los Angeles County,California,LaderaHeights,1314,233,38,42,57,49,201,111,151,88,208,101,95,72,67,59,206,121,254,114,37,41,1314,233,53,66,42,63,0,132,0,132,0,132,11,17,0,132,433,135,129,54,84,68,98,72,44,61,78,69,0,132,663,182,125,96,67,56,110,62,37,33,324,136,0,132,165,78,0,132,0,132,0,132,14,22,114,63,37,41,47.34,20.75,28.18,54.45,77.58,19.33
2010,6037703002,Census Tract 7030.02,Ladera Heights,Los Angeles County,California,LaderaHeights,838,153,0,132,162,123,30,47,77,67,228,120,89,68,29,44,33,39,132,108,58,52,838,153,38,58,0,132,0,132,38,58,0,132,0,132,0,132,127,81,23,35,29,48,7,11,28,46,40,45,0,132,558,168,104,100,18,26,183,111,61,47,154,111,38,40,115,103,65,79,30,35,0,132,0,132,0,132,20,33,33.77,0.0,53.54,38.53,0.0,15.75
2011,6037236000,Census Tract 2360,Ladera Heights,Los Angeles County,California,LaderaHeights,476,144,0,95,22,34,62,41,80,83,52,67,45,54,28,33,0,95,187,112,0,95,476,144,0,95,0,95,0,95,0,95,0,95,0,95,0,95,146,103,47,38,11,17,42,64,0,95,46,58,0,95,302,130,37,29,69,82,10,18,31,49,155,99,0,95,28,33,0,95,0,95,0,95,14,22,14,23,0,95,54.62,,31.51,61.59,100.0,39.29
2011,6037702502,Census Tract 7025.02,Ladera Heights,Los Angeles County,California,LaderaHeights,506,129,0,95,21,26,82,72,134,95,29,24,35,49,0,95,93,53,97,79,15,25,506,129,0,95,0,95,0,95,0,95,0,95,0,95,0,95,107,75,51,66,47,42,0,95,0,95,9,20,0,95,244,126,39,37,76,91,0,95,35,49,79,72,15,25,155,63,13,21,11,18,29,24,0,95,102,53,0,95,44.47,,8.41,46.72,65.81,19.17
2011,6037703001,Census Tract 7030.01,Ladera Heights,Los Angeles County,California,LaderaHeights,1369,180,34,35,96,66,220,132,163,107,228,111,54,40,39,39,160,111,353,128,22,35,1369,180,49,59,38,56,0,95,0,95,0,95,11,17,0,95,385,115,167,76,62,64,97,73,7,14,52,43,0,95,737,161,145,95,75,60,110,74,34,32,373,122,0,95,198,88,0,95,26,40,21,34,13,21,116,76,22,35,44.27,22.45,15.32,55.22,65.15,25.79
2011,6037703002,Census Tract 7030.02,Ladera Heights,Los Angeles County,California,LaderaHeights,872,140,0,95,164,127,92,96,74,66,243,132,52,48,0,95,43,33,156,100,48,45,872,140,38,56,0,95,0,95,38,56,0,95,0,95,0,95,114,75,24,38,28,43,0,95,26,41,36,42,0,95,582,162,158,129,13,21,205,128,26,27,147,105,33,38,138,90,74,77,33,39,0,95,0,95,16,21,15,24,28.78,0.0,54.39,29.73,11.59,17.89
2012,6037236000,Census Tract 2360,Ladera Heights,Los Angeles County,California,LaderaHeights,472,144,0,13,17,28,60,40,62,56,78,73,69,75,31,35,0,13,155,112,0,13,472,144,0,13,0,13,0,13,0,13,0,13,0,13,0,13,151,90,40,32,12,19,50,67,0,13,49,57,0,13,285,133,37,28,50,52,28,33,48,65,122,98,0,13,36,42,0,13,0,13,0,13,21,32,15,24,0,13,54.03,,32.45,59.65,100.0,32.84
2012,6037702502,Census Tract 7025.02,Ladera Heights,Los Angeles County,California,LaderaHeights,490,134,0,13,36,34,39,37,83,74,31,27,62,65,38,60,98,54,90,71,13,21,490,134,0,13,0,13,0,13,0,13,0,13,0,13,0,13,89,68,12,22,68,68,0,13,0,13,9,19,0,13,229,119,51,40,15,24,0,13,44,58,106,87,13,21,172,53,12,19,0,13,31,27,18,29,111,53,0,13,58.78,,10.11,65.5,75.0,18.37
