YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,138,55,8,12,27,41,13,14,17,19,1,2,0,14,0,14,20,32,21,23,31,21,138,55,7,10,7,10,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,82,42,35,42,17,19,1,2,0,14,6,9,23,20,49,40,6,10,0,14,0,14,0,14,35,36,8,12,29.71,0.0,,7.32,71.43,15.22,0.0%,Not Available,7.32%,71.43%,1
2023,6037920102,Census Tract 9201.02,Lake Hughes,Los Angeles County,California,LakeHughes,723,150,0,14,11,17,32,34,78,78,13,18,13,22,72,78,169,111,299,148,36,49,723,150,44,74,0,14,0,14,0,14,0,14,44,74,0,14,102,80,11,17,33,54,0,14,13,22,45,57,0,14,352,141,32,34,45,60,0,14,0,14,269,132,6,10,225,108,0,14,0,14,13,18,0,14,182,97,30,47,76.49,100.0,56.86,76.42,80.89,41.36,100.0%,56.86%,76.42%,80.89%,1
2014,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,85,41,19,24,0,12,3,6,0,12,11,15,0,12,6,8,0,12,10,11,36,31,85,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,14,23,14,23,0,12,0,12,0,12,0,12,0,12,71,36,8,9,0,12,11,15,0,12,16,13,36,31,0,12,0,12,0,12,0,12,0,12,0,12,0,12,18.82,,0.0,22.54,,11.76,Not Available,0.0%,22.54%,Not Available,1
2014,6037920102,Census Tract 9201.02,Lake Hughes,Los Angeles County,California,LakeHughes,908,133,0,17,40,49,36,28,93,74,55,50,86,63,100,66,119,67,280,100,99,81,908,133,9,13,0,17,0,17,0,17,0,17,9,13,0,17,162,80,9,13,41,50,11,18,12,19,79,57,10,16,597,133,55,45,52,55,15,21,74,60,344,119,57,63,140,72,12,18,0,17,29,44,0,17,67,38,32,50,64.43,100.0,56.17,70.02,47.86,30.84,100.0%,56.17%,70.02%,47.86%,1
2022,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,89,52,0,13,27,39,6,9,11,14,2,4,0,13,0,13,2,3,28,36,13,16,89,52,6,9,6,9,0,13,0,13,0,13,0,13,0,13,2,3,0,13,0,13,0,13,0,13,2,3,0,13,81,52,27,39,11,14,2,4,0,13,28,36,13,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,33.71,0.0,100.0,34.57,,31.46,0.0%,100.0%,34.57%,Not Available,1
2022,6037920102,Census Tract 9201.02,Lake Hughes,Los Angeles County,California,LakeHughes,661,164,8,13,16,21,31,33,96,83,33,40,0,13,34,56,156,91,249,104,38,53,661,164,0,13,0,13,0,13,0,13,0,13,0,13,0,13,127,93,7,14,40,53,20,35,0,13,60,65,0,13,313,134,48,40,56,68,0,13,0,13,203,114,6,10,221,92,0,13,0,13,13,20,0,13,176,82,32,52,66.41,,47.24,64.86,79.64,37.67,Not Available,47.24%,64.86%,79.64%,1
2017,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,99,45,6,8,16,23,3,4,0,12,12,14,6,9,6,8,36,37,6,9,8,11,99,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,83,41,25,24,0,12,12,14,6,9,32,32,8,11,16,25,0,12,0,12,0,12,0,12,16,25,0,12,54.55,,,45.78,100.0,6.06,Not Available,Not Available,45.78%,100.0%,1
2017,6037920102,Census Tract 9201.02,Lake Hughes,Los Angeles County,California,LakeHughes,842,114,0,17,56,40,51,41,78,55,24,34,93,50,63,59,127,69,195,85,155,75,842,114,8,14,0,17,0,17,0,17,0,17,8,14,0,17,190,78,7,11,40,46,0,17,43,36,76,53,24,29,535,115,89,46,38,29,24,34,31,27,251,99,102,54,109,61,11,17,0,17,0,17,19,21,50,35,29,46,56.77,100.0,62.63,52.71,63.3,23.16,100.0%,62.63%,52.71%,63.3%,1
2019,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,140,67,1,3,51,40,5,7,5,8,3,6,8,11,0,12,43,40,24,40,0,12,140,67,5,7,5,7,0,12,0,12,0,12,0,12,0,12,3,5,0,12,0,12,0,12,0,12,3,5,0,12,117,68,52,39,5,8,3,6,8,11,49,48,0,12,15,24,0,12,0,12,0,12,0,12,15,24,0,12,53.57,0.0,100.0,48.72,100.0,17.14,0.0%,100.0%,48.72%,100.0%,1
2019,6037920102,Census Tract 9201.02,Lake Hughes,Los Angeles County,California,LakeHughes,789,154,12,19,83,60,29,33,70,67,77,74,106,54,20,23,121,74,166,66,105,77,789,154,9,14,0,17,0,17,0,17,0,17,9,14,0,17,154,80,15,18,0,17,37,56,55,39,30,23,17,27,453,138,109,61,70,67,28,43,31,29,127,80,88,73,173,75,0,17,0,17,12,18,20,23,141,73,0,17,52.34,100.0,55.19,34.88,93.06,21.04,100.0%,55.19%,34.88%,93.06%,1
2016,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,112,53,20,25,20,29,4,6,0,12,14,16,5,7,6,8,17,27,5,8,21,25,112,53,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,24,15,24,0,12,0,12,0,12,0,12,0,12,80,42,29,29,0,12,14,16,5,7,11,11,21,25,17,27,0,12,0,12,0,12,0,12,17,27,0,12,29.46,,0.0,20.0,100.0,4.46,Not Available,0.0%,20.0%,100.0%,1
2016,6037920102,Census Tract 9201.02,Lake Hughes,Los Angeles County,California,LakeHughes,860,114,0,17,30,22,53,41,83,55,54,56,92,39,67,60,139,75,220,100,122,71,860,114,0,17,0,17,0,17,0,17,0,17,0,17,0,17,160,76,6,10,38,45,0,17,26,24,80,58,10,16,559,119,65,44,45,37,26,38,56,33,284,101,83,71,141,61,12,19,0,17,28,43,10,16,62,39,29,47,60.23,,66.25,60.82,51.06,25.58,Not Available,66.25%,60.82%,51.06%,1
2018,6037901209,Census Tract 9012.09,Lake Hughes,Los Angeles County,California,LakeHughes,118,62,6,8,18,27,1,4,0,12,6,9,6,9,0,12,44,41,18,29,19,30,118,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2,3,0,12,0,12,0,12,0,12,2,3,0,12,99,57,25,28,0,12,6,9,6,9,43,42,19,30,17,26,0,12,0,12,0,12,0,12,17,26,0,12,57.63,,100.0,49.49,100.0,15.25,Not Available,100.0%,49.49%,100.0%,1
