YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,97,67,0,132,0,132,0,132,52,55,21,28,0,132,0,132,0,132,0,132,24,37,97,67,0,132,0,132,0,132,0,132,0,132,0,132,0,132,55,51,0,132,41,46,14,24,0,132,0,132,0,132,42,43,0,132,11,17,7,12,0,132,0,132,24,37,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0.0,,0.0,0.0,,0.0
2010,6037900103,Census Tract 9001.03,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,337,137,0,132,0,132,0,132,41,62,49,47,15,26,66,64,0,132,90,72,76,62,337,137,15,26,0,132,0,132,0,132,15,26,0,132,0,132,72,64,0,132,0,132,18,28,0,132,28,33,26,41,250,129,0,132,41,62,31,38,0,132,128,89,50,47,0,132,0,132,0,132,0,132,0,132,0,132,0,132,50.74,100.0,38.89,51.2,,26.71
2010,6037900104,Census Tract 9001.04,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,413,122,0,132,4,19,32,51,0,132,21,34,53,64,113,89,40,67,111,83,39,62,413,122,0,132,0,132,0,132,0,132,0,132,0,132,0,132,67,70,0,132,0,132,0,132,37,58,30,46,0,132,239,105,36,53,0,132,21,34,16,30,127,79,39,62,107,80,0,132,0,132,0,132,0,132,107,80,0,132,76.76,,100.0,59.83,100.0,26.88
2011,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,106,63,0,95,0,95,0,95,55,51,8,13,0,95,0,95,0,95,12,12,31,39,106,63,3,5,0,95,0,95,0,95,0,95,3,5,0,95,43,45,0,95,43,45,0,95,0,95,0,95,0,95,60,51,0,95,12,22,8,13,0,95,9,11,31,39,0,95,0,95,0,95,0,95,0,95,0,95,0,95,11.32,100.0,0.0,15.0,,11.32
2011,6037900103,Census Tract 9001.03,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,399,158,0,95,0,95,0,95,38,60,36,35,26,32,73,73,0,95,145,104,81,79,399,158,12,19,0,95,0,95,0,95,12,19,0,95,0,95,55,52,0,95,0,95,12,22,0,95,22,27,21,40,332,156,0,95,38,60,24,28,14,23,196,121,60,64,0,95,0,95,0,95,0,95,0,95,0,95,0,95,61.15,100.0,40.0,63.25,,36.34
2011,6037900104,Census Tract 9001.04,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,407,130,0,95,59,74,34,56,0,95,21,34,31,51,132,94,39,67,91,64,0,95,407,130,0,95,0,95,0,95,0,95,0,95,0,95,0,95,71,66,0,95,0,95,0,95,31,51,40,46,0,95,208,97,49,61,0,95,21,34,0,95,138,100,0,95,128,118,44,69,0,95,0,95,0,95,84,90,0,95,71.99,,100.0,66.35,65.62,22.36
2012,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,143,74,0,13,0,13,0,13,54,53,9,15,0,13,0,13,0,13,46,36,34,43,143,74,3,6,0,13,0,13,0,13,0,13,3,6,0,13,46,51,0,13,46,51,0,13,0,13,0,13,0,13,94,66,0,13,8,15,9,15,0,13,43,36,34,43,0,13,0,13,0,13,0,13,0,13,0,13,0,13,32.17,100.0,0.0,45.74,,32.17
2012,6037900103,Census Tract 9001.03,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,462,158,0,18,10,20,0,18,40,61,61,46,28,34,18,30,0,18,193,118,112,82,462,158,11,18,0,18,0,18,0,18,11,18,0,18,0,18,105,79,0,18,0,18,12,23,0,18,38,42,55,59,336,151,0,18,40,61,49,49,17,27,173,115,57,57,10,20,10,20,0,18,0,18,0,18,0,18,0,18,51.73,100.0,36.19,56.55,0.0,41.77
2012,6037900104,Census Tract 9001.04,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,507,146,0,18,92,113,74,68,10,16,27,32,46,66,112,84,9,16,137,97,0,18,507,146,0,18,0,18,0,18,0,18,0,18,0,18,0,18,89,63,0,18,0,18,0,18,37,64,52,61,0,18,275,94,90,76,10,16,27,32,9,16,139,62,0,18,143,119,76,108,0,18,0,18,0,18,67,73,0,18,59.96,,100.0,53.82,46.85,27.02
2013,6037900102,Census Tract 9001.02,Lake Los Angeles,Los Angeles County,California,LakeLosAngeles,131,70,0,12,0,12,0,12,29,44,10,14,0,12,0,12,0,12,43,31,49,51,131,70,3,6,0,12,0,12,0,12,0,12,3,6,0,12,42,48,0,12,29,44,0,12,0,12,0,12,13,19,86,57,0,12,0,12,10,14,0,12,40,30,36,45,0,12,0,12,0,12,0,12,0,12,0,12,0,12,32.82,100.0,0.0,46.51,,32.82
