YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037554521,Census Tract 5545.21,Lakewood,Los Angeles County,California,Lakewood,509,141,0,132,32,39,0,132,0,132,13,23,17,26,105,96,44,57,180,95,118,101,509,141,41,61,0,132,0,132,0,132,0,132,41,61,0,132,63,71,21,34,0,132,0,132,0,132,42,61,0,132,283,163,11,20,0,132,13,23,17,26,138,111,104,99,122,69,0,132,0,132,0,132,0,132,108,70,14,21,67.98,100.0,66.67,54.77,88.52,35.36
2010,6037555001,Census Tract 5550.01,Lakewood,Los Angeles County,California,Lakewood,496,101,8,12,108,73,41,43,35,48,61,47,52,51,0,132,104,77,68,53,19,20,496,101,48,46,37,41,0,132,11,19,0,132,0,132,0,132,75,58,0,132,0,132,18,25,0,132,57,51,0,132,357,97,120,75,30,44,32,30,52,51,104,78,19,20,16,24,0,132,5,17,0,132,0,132,11,15,0,132,45.16,0.0,76.0,43.7,68.75,13.71
2010,6037555002,Census Tract 5550.02,Lakewood,Los Angeles County,California,Lakewood,489,94,15,20,44,47,120,91,8,13,71,51,36,32,11,17,76,61,79,62,29,29,489,94,36,54,0,132,0,132,0,132,0,132,36,54,0,132,179,87,49,61,0,132,49,44,12,17,55,53,14,23,233,86,115,85,8,13,22,28,24,27,56,37,8,13,41,31,15,20,0,132,0,132,0,132,19,22,7,11,41.31,100.0,37.43,34.33,46.34,16.16
2010,6037555102,Census Tract 5551.02,Lakewood,Los Angeles County,California,Lakewood,1152,151,38,44,107,70,141,73,117,65,150,85,113,86,132,78,59,46,295,100,0,132,1152,151,4,8,4,8,0,132,0,132,0,132,0,132,0,132,313,123,91,72,31,39,38,48,15,22,138,81,0,132,696,142,179,85,73,55,102,70,69,72,273,91,0,132,139,82,12,19,13,21,10,18,29,48,75,56,0,132,52.0,0.0,48.88,49.14,74.82,25.61
2010,6037555103,Census Tract 5551.03,Lakewood,Los Angeles County,California,Lakewood,610,106,7,11,43,43,84,71,70,59,69,67,54,55,58,46,54,34,171,74,0,132,610,106,122,76,33,50,31,50,0,132,12,18,46,47,0,132,117,63,35,48,0,132,0,132,42,52,40,42,0,132,348,98,52,42,39,32,69,67,0,132,188,77,0,132,23,25,14,22,0,132,0,132,0,132,9,14,0,132,55.25,47.54,70.09,54.02,39.13,28.03
2010,6037555104,Census Tract 5551.04,Lakewood,Los Angeles County,California,Lakewood,549,102,0,132,0,132,38,31,185,96,79,69,32,26,50,41,21,20,114,67,30,37,549,102,0,132,0,132,0,132,0,132,0,132,0,132,0,132,162,77,0,132,126,81,11,15,0,132,25,39,0,132,278,94,16,27,59,49,59,64,32,26,90,59,22,35,109,44,22,26,0,132,9,15,0,132,70,38,8,13,39.53,,15.43,43.88,64.22,20.77
2010,6037570001,Census Tract 5700.01,Lakewood,Los Angeles County,California,Lakewood,493,106,0,132,92,58,44,48,77,61,69,59,63,45,37,43,50,45,57,43,4,10,493,106,76,56,0,132,30,45,10,16,25,34,11,17,0,132,43,37,13,20,13,21,0,132,17,28,0,132,0,132,341,93,123,65,34,33,59,55,9,14,112,61,4,10,33,31,0,132,0,132,0,132,12,18,21,25,0,132,41.99,47.37,39.53,35.48,100.0,11.56
2010,6037570002,Census Tract 5700.02,Lakewood,Los Angeles County,California,Lakewood,143,67,0,132,35,37,37,58,0,132,44,40,0,132,0,132,0,132,27,29,0,132,143,67,36,37,0,132,0,132,36,37,0,132,0,132,0,132,18,25,0,132,0,132,0,132,0,132,18,25,0,132,89,59,72,66,0,132,8,14,0,132,9,16,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,18.88,0.0,100.0,10.11,,18.88
2010,6037570003,Census Tract 5700.03,Lakewood,Los Angeles County,California,Lakewood,203,87,0,132,11,18,11,19,47,47,21,25,17,28,0,132,56,62,11,19,29,29,203,87,0,132,0,132,0,132,0,132,0,132,0,132,0,132,11,19,0,132,0,132,0,132,0,132,11,19,0,132,184,87,22,26,47,47,21,25,17,28,56,62,21,26,8,14,0,132,0,132,0,132,0,132,0,132,8,14,41.38,,100.0,39.67,0.0,5.42
2010,6037570100,Census Tract 5701,Lakewood,Los Angeles County,California,Lakewood,207,75,0,132,27,31,69,61,13,19,0,132,0,132,57,52,9,13,32,49,0,132,207,75,0,132,0,132,0,132,0,132,0,132,0,132,0,132,41,50,0,132,0,132,0,132,0,132,41,50,0,132,153,80,96,58,0,132,0,132,0,132,57,52,0,132,13,19,0,132,13,19,0,132,0,132,0,132,0,132,47.34,,100.0,37.25,0.0,15.46
