YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037900301,Census Tract 9003.01,Lancaster,Los Angeles County,California,Lancaster,316,142,96,97,0,14,36,55,0,14,12,24,0,14,16,22,0,14,139,110,17,27,316,142,0,14,0,14,0,14,0,14,0,14,0,14,0,14,145,105,36,55,0,14,12,24,0,14,97,102,0,14,141,106,96,97,0,14,0,14,0,14,45,33,0,14,30,34,0,14,0,14,0,14,0,14,13,21,17,27,49.05,,66.9,31.91,43.33,43.99,Not Available,66.9%,31.91%,43.33%,1
2023,6037900501,Census Tract 9005.01,Lancaster,Los Angeles County,California,Lancaster,723,184,0,19,38,48,46,76,109,103,10,17,12,19,0,19,99,94,360,178,49,55,723,184,0,19,0,19,0,19,0,19,0,19,0,19,0,19,122,108,0,19,70,92,0,19,12,19,40,62,0,19,452,155,38,48,7,13,10,17,0,19,372,163,25,39,149,110,46,76,32,52,0,19,0,19,47,70,24,40,65.15,,42.62,82.3,31.54,49.79,Not Available,42.62%,82.3%,31.54%,1
2023,6037900504,Census Tract 9005.04,Lancaster,Los Angeles County,California,Lancaster,832,183,0,19,0,19,31,28,51,46,109,102,176,98,90,80,57,62,240,126,78,90,832,183,54,64,0,19,0,19,0,19,0,19,54,64,0,19,206,115,0,19,51,46,33,54,51,52,59,58,12,24,422,155,25,25,0,19,76,87,107,84,214,127,0,19,150,104,6,14,0,19,0,19,18,27,60,35,66,88,67.67,100.0,53.4,76.07,52.0,28.85,100.0%,53.4%,76.07%,52.0%,1
2023,6037900505,Census Tract 9005.05,Lancaster,Los Angeles County,California,Lancaster,452,138,0,14,0,14,29,28,0,14,73,71,51,54,60,63,35,37,165,93,39,63,452,138,0,14,0,14,0,14,0,14,0,14,0,14,0,14,63,72,0,14,0,14,0,14,0,14,63,72,0,14,361,123,20,24,0,14,65,70,51,54,186,79,39,63,28,26,9,15,0,14,8,12,0,14,11,17,0,14,68.81,,100.0,65.65,39.29,36.5,Not Available,100.0%,65.65%,39.29%,1
2023,6037900506,Census Tract 9005.06,Lancaster,Los Angeles County,California,Lancaster,611,179,0,19,7,12,70,57,77,65,47,47,16,24,17,27,207,155,158,84,12,18,611,179,30,48,0,19,30,48,0,19,0,19,0,19,0,19,62,44,24,27,0,19,11,18,0,19,15,18,12,18,450,168,53,53,47,49,36,44,16,24,298,158,0,19,69,56,0,19,0,19,0,19,0,19,69,56,0,19,65.14,0.0,24.19,69.78,100.0,25.86,0.0%,24.19%,69.78%,100.0%,1
2023,6037900508,Census Tract 9005.08,Lancaster,Los Angeles County,California,Lancaster,211,97,0,14,5,9,28,36,19,29,0,14,29,41,25,31,10,16,88,46,7,11,211,97,0,14,0,14,0,14,0,14,0,14,0,14,0,14,63,49,11,17,0,14,0,14,29,41,23,25,0,14,148,76,22,31,19,29,0,14,0,14,100,52,7,11,0,14,0,14,0,14,0,14,0,14,0,14,0,14,72.04,,82.54,67.57,,41.71,Not Available,82.54%,67.57%,Not Available,1
2023,6037900509,Census Tract 9005.09,Lancaster,Los Angeles County,California,Lancaster,602,134,38,60,43,52,123,111,71,91,47,54,11,18,0,14,108,104,67,66,94,84,602,134,14,24,0,14,0,14,0,14,0,14,14,24,0,14,170,117,29,36,0,14,47,54,0,14,94,103,0,14,292,134,130,114,71,91,0,14,11,18,67,66,13,20,126,109,45,77,0,14,0,14,0,14,0,14,81,81,30.9,100.0,55.29,26.71,0.0,11.13,100.0%,55.29%,26.71%,0.0%,1
2023,6037900510,Census Tract 9005.10,Lancaster,Los Angeles County,California,Lancaster,491,194,19,29,35,55,0,14,6,27,29,44,67,111,0,14,111,85,136,59,88,135,491,194,0,14,0,14,0,14,0,14,0,14,0,14,0,14,67,83,0,14,0,14,0,14,0,14,67,83,0,14,336,153,54,61,6,27,29,44,67,111,180,99,0,14,88,135,0,14,0,14,0,14,0,14,0,14,88,135,63.95,,100.0,73.51,0.0,27.7,Not Available,100.0%,73.51%,0.0%,1
2023,6037900602,Census Tract 9006.02,Lancaster,Los Angeles County,California,Lancaster,585,169,0,19,11,18,59,51,50,49,99,125,14,21,61,62,124,91,141,63,26,28,585,169,0,19,0,19,0,19,0,19,0,19,0,19,0,19,135,133,0,19,25,34,87,126,0,19,23,37,0,19,358,132,48,46,25,39,0,19,0,19,259,114,26,28,92,51,22,25,0,19,12,19,14,21,44,37,0,19,58.12,,17.04,72.35,63.04,24.1,Not Available,17.04%,72.35%,63.04%,1
2023,6037900606,Census Tract 9006.06,Lancaster,Los Angeles County,California,Lancaster,1018,457,14,25,166,173,256,410,33,46,5,13,101,81,0,14,53,82,337,151,53,49,1018,457,5,13,0,14,0,14,5,13,0,14,0,14,0,14,385,437,335,437,0,14,0,14,19,30,31,42,0,14,584,160,97,75,33,46,0,14,55,72,346,155,53,49,44,35,4,6,0,14,0,14,27,29,13,21,0,14,48.23,0.0,12.99,68.66,90.91,33.1,0.0%,12.99%,68.66%,90.91%,1
