YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037603801,Census Tract 6038.01,Lawndale,Los Angeles County,California,Lawndale,1070,128,27,32,76,51,75,66,174,105,144,83,45,49,69,53,132,89,243,101,85,94,1070,128,59,55,10,20,0,132,21,36,0,132,28,36,0,132,198,108,0,132,82,80,26,29,10,20,80,71,0,132,694,157,155,79,92,79,97,70,35,44,262,123,53,81,119,82,13,21,0,132,0,132,0,132,74,64,32,51,45.7,47.46,45.45,42.8,62.18,22.71
2010,6037603802,Census Tract 6038.02,Lawndale,Los Angeles County,California,Lawndale,835,106,95,83,22,30,30,40,92,74,116,103,64,73,22,30,82,59,270,111,42,41,835,106,13,17,0,132,0,132,8,14,0,132,5,9,0,132,211,94,41,43,48,60,7,15,0,132,99,63,16,29,572,127,91,77,44,49,101,100,64,73,246,100,26,32,39,43,15,28,0,132,0,132,0,132,24,31,0,132,52.46,38.46,46.92,54.2,61.54,32.34
2010,6037603900,Census Tract 6039,Lawndale,Los Angeles County,California,Lawndale,1455,167,18,29,78,67,148,76,147,88,155,96,171,106,137,91,92,71,440,149,69,61,1455,167,118,77,27,44,0,132,0,132,0,132,91,65,0,132,323,128,42,36,0,132,31,39,85,72,165,103,0,132,802,170,159,86,106,73,84,65,46,53,383,141,24,29,212,97,16,26,41,47,40,62,40,65,30,28,45,55,57.73,77.12,77.4,53.49,33.02,30.24
2010,6037604001,Census Tract 6040.01,Lawndale,Los Angeles County,California,Lawndale,918,118,22,32,39,53,15,26,75,61,138,78,11,19,57,58,104,91,436,141,21,28,918,118,0,132,0,132,0,132,0,132,0,132,0,132,0,132,252,121,0,132,23,36,44,41,11,19,174,113,0,132,637,168,76,57,52,51,94,74,0,132,410,149,5,11,29,32,0,132,0,132,0,132,0,132,13,20,16,26,66.23,,73.41,64.36,44.83,47.49
2010,6037604002,Census Tract 6040.02,Lawndale,Los Angeles County,California,Lawndale,1115,142,0,132,87,67,159,98,167,101,38,42,39,43,131,83,213,105,281,117,0,132,1115,142,29,31,21,25,0,132,0,132,0,132,8,18,0,132,343,115,31,37,87,66,0,132,13,21,212,111,0,132,724,157,194,101,80,65,38,42,26,36,386,128,0,132,19,29,0,132,0,132,0,132,0,132,19,29,0,132,59.55,27.59,65.6,56.91,100.0,25.2
2010,6037604100,Census Tract 6041,Lawndale,Los Angeles County,California,Lawndale,1187,136,10,17,56,40,130,66,173,97,100,67,98,60,87,51,175,94,314,102,44,60,1187,136,85,73,8,13,0,132,0,132,23,37,54,63,0,132,218,80,66,50,17,21,16,26,0,132,119,62,0,132,816,132,103,55,156,98,84,61,75,56,364,121,34,57,68,38,19,22,0,132,0,132,0,132,39,30,10,17,56.78,90.59,54.59,53.8,57.35,26.45
2010,6037650300,Census Tract 6503,Lawndale,Los Angeles County,California,Lawndale,1267,171,45,44,50,47,137,82,80,59,220,111,92,70,121,102,161,102,361,136,0,132,1267,171,0,132,0,132,0,132,0,132,0,132,0,132,0,132,240,112,57,59,39,55,60,57,0,132,84,60,0,132,664,182,139,83,26,31,124,93,48,40,327,159,0,132,363,102,36,41,15,24,36,41,44,70,232,96,0,132,58.01,,35.0,56.48,76.03,28.49
2011,6037603801,Census Tract 6038.01,Lawndale,Los Angeles County,California,Lawndale,1090,138,28,33,103,67,124,66,140,77,167,104,56,55,75,57,113,77,244,109,40,63,1090,138,92,60,15,24,18,29,24,38,0,95,35,40,0,95,149,87,0,95,28,32,24,30,0,95,97,79,0,95,724,160,227,75,74,58,119,94,56,55,248,110,0,95,125,97,13,21,20,38,0,95,0,95,52,56,40,63,44.77,38.04,65.1,41.99,41.6,22.39
2011,6037603802,Census Tract 6038.02,Lawndale,Los Angeles County,California,Lawndale,872,125,47,42,43,53,11,18,48,45,98,74,43,49,94,78,35,37,381,119,72,64,872,125,10,15,0,95,0,95,10,15,0,95,0,95,0,95,279,132,41,50,28,42,23,44,0,95,135,96,52,60,434,109,60,52,20,23,65,58,43,49,226,87,20,24,149,84,0,95,0,95,0,95,0,95,149,84,0,95,63.42,0.0,48.39,61.98,100.0,43.69
2011,6037603900,Census Tract 6039,Lawndale,Los Angeles County,California,Lawndale,1381,196,24,37,71,71,170,88,100,76,124,76,185,98,119,90,83,61,479,143,26,30,1381,196,122,84,28,45,0,95,32,53,0,95,62,51,0,95,230,115,33,34,0,95,0,95,94,79,103,88,0,95,861,181,192,94,90,75,66,51,46,53,455,155,12,20,168,65,12,19,10,16,26,40,45,37,61,45,14,22,62.71,50.82,85.65,58.19,63.1,34.69
