YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,817,121,17,21,63,61,149,97,106,78,69,56,71,62,13,21,24,40,305,137,0,14,817,121,27,30,0,14,0,14,0,14,14,22,13,20,0,14,224,96,23,35,23,35,21,35,29,46,128,76,0,14,437,144,196,99,52,52,36,44,0,14,153,117,0,14,129,80,10,15,31,48,12,19,28,41,48,48,0,14,50.55,100.0,70.09,35.01,58.91,37.33,100.0%,70.09%,35.01%,58.91%,1
2023,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,570,90,0,14,65,53,82,57,58,47,73,45,55,40,17,26,60,48,130,60,30,31,570,90,38,39,0,14,0,14,0,14,0,14,21,31,17,27,68,46,28,35,5,8,6,10,23,23,6,9,0,14,397,101,104,68,38,37,67,45,32,34,149,72,7,14,67,42,15,21,15,20,0,14,0,14,31,29,6,9,45.96,55.26,42.65,45.59,46.27,22.81,55.26%,42.65%,45.59%,46.27%,1
2023,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,924,312,32,47,85,67,95,66,112,80,33,36,37,45,117,107,41,48,352,281,20,33,924,312,0,14,0,14,0,14,0,14,0,14,0,14,0,14,139,92,51,56,0,14,0,14,0,14,88,86,0,14,728,312,154,80,112,80,33,36,37,45,392,292,0,14,57,59,7,13,0,14,0,14,0,14,30,38,20,33,59.2,,63.31,58.93,52.63,38.1,Not Available,63.31%,58.93%,52.63%,1
2023,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,1092,222,46,52,37,42,103,82,38,47,105,85,32,52,34,46,239,181,364,121,94,96,1092,222,57,59,0,19,0,19,22,36,0,19,35,41,0,19,124,87,48,54,0,19,0,19,0,19,76,63,0,19,825,208,122,96,38,47,83,78,32,52,456,177,94,96,86,70,16,26,0,19,0,19,0,19,70,66,0,19,61.26,61.4,61.29,59.15,81.4,33.33,61.4%,61.29%,59.15%,81.4%,1
2023,6037601801,Census Tract 6018.01,Lennox,Los Angeles County,California,Lennox,573,147,0,14,58,44,55,37,61,42,104,91,24,27,29,29,42,38,200,90,0,14,573,147,15,21,0,14,0,14,15,21,0,14,0,14,0,14,129,84,34,31,0,14,0,14,0,14,95,75,0,14,372,120,70,47,50,38,89,88,18,26,145,68,0,14,57,37,9,14,11,18,0,14,6,10,31,34,0,14,51.48,0.0,73.64,43.82,64.91,34.9,0.0%,73.64%,43.82%,64.91%,1
2023,6037601802,Census Tract 6018.02,Lennox,Los Angeles County,California,Lennox,606,128,22,34,67,76,93,67,71,56,57,53,0,14,34,33,96,65,100,52,66,54,606,128,13,21,0,14,0,14,0,14,0,14,13,21,0,14,158,72,20,22,0,14,41,47,0,14,97,50,0,14,349,127,139,104,71,56,16,26,0,14,83,51,40,42,86,68,23,35,0,14,0,14,0,14,37,43,26,35,37.95,100.0,61.39,23.78,43.02,16.5,100.0%,61.39%,23.78%,43.02%,1
2014,6037601501,Census Tract 6015.01,Lennox,Los Angeles County,California,Lennox,911,89,13,22,46,49,28,32,166,75,112,60,121,65,60,41,22,26,322,102,21,16,911,89,109,59,0,12,8,12,14,21,21,33,61,46,5,9,163,86,0,12,34,38,31,43,22,32,76,57,0,12,563,123,87,61,124,64,44,41,78,57,221,90,9,13,76,54,0,12,0,12,23,31,0,12,46,49,7,11,57.63,75.23,60.12,53.11,60.53,35.35,75.23%,60.12%,53.11%,60.53%,1
2014,6037601502,Census Tract 6015.02,Lennox,Los Angeles County,California,Lennox,580,89,0,12,28,31,70,46,53,45,65,49,4,7,40,33,104,42,216,77,0,12,580,89,86,57,0,12,13,21,31,44,0,12,42,34,0,12,126,63,47,42,0,12,0,12,0,12,79,50,0,12,339,93,46,44,40,41,34,26,4,7,215,80,0,12,29,27,5,8,0,12,0,12,0,12,24,25,0,12,62.76,48.84,62.7,64.6,82.76,37.24,48.84%,62.7%,64.6%,82.76%,1
2014,6037601600,Census Tract 6016,Lennox,Los Angeles County,California,Lennox,703,99,0,12,92,80,41,28,71,49,70,43,48,43,81,62,72,66,228,115,0,12,703,99,7,12,0,12,0,12,0,12,0,12,7,12,0,12,225,112,72,74,16,25,19,25,0,12,118,92,0,12,436,115,51,39,55,46,51,43,48,43,231,106,0,12,35,36,10,18,0,12,0,12,0,12,25,32,0,12,61.02,100.0,52.44,63.99,71.43,32.43,100.0%,52.44%,63.99%,71.43%,1
2014,6037601700,Census Tract 6017,Lennox,Los Angeles County,California,Lennox,967,114,20,33,28,32,38,38,75,54,125,76,42,43,51,50,105,71,455,108,28,25,967,114,19,24,8,13,0,17,0,17,0,17,11,19,0,17,213,90,0,17,16,17,24,39,0,17,162,89,11,17,710,132,78,59,59,51,93,63,42,43,438,109,0,17,25,23,0,17,0,17,8,13,0,17,0,17,17,19,67.53,57.89,76.06,67.61,0.0,47.05,57.89%,76.06%,67.61%,0.0%,1
