YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037901213,Census Tract 9012.13,Leona Valley,Los Angeles County,California,LeonaValley,118,61,13,21,0,132,0,132,0,132,0,132,18,27,28,30,14,21,35,35,10,15,118,61,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,108,59,13,21,0,132,0,132,18,27,77,48,0,132,10,15,0,132,0,132,0,132,0,132,0,132,10,15,80.51,,,87.96,0.0,29.66
2010,6037910206,Census Tract 9102.06,Leona Valley,Los Angeles County,California,LeonaValley,124,82,0,132,0,132,5,12,6,14,22,35,49,58,7,22,0,132,35,58,0,132,124,82,37,55,0,132,0,132,0,132,37,55,0,132,0,132,5,12,5,12,0,132,0,132,0,132,0,132,0,132,82,65,0,132,6,14,22,35,12,21,42,54,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,73.39,100.0,0.0,65.85,,28.23
2010,6037910302,Census Tract 9103.02,Leona Valley,Los Angeles County,California,LeonaValley,49,39,9,14,0,132,0,132,0,132,12,19,0,132,11,17,0,132,0,132,17,25,49,39,0,132,0,132,0,132,0,132,0,132,0,132,0,132,29,33,0,132,0,132,12,19,0,132,0,132,17,25,20,22,9,14,0,132,0,132,0,132,11,17,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,22.45,,0.0,55.0,,0.0
2010,6037920012,Census Tract 9200.12,Leona Valley,Los Angeles County,California,LeonaValley,63,62,0,132,0,132,36,53,0,132,0,132,0,132,0,132,0,132,0,132,27,31,63,62,0,132,0,132,0,132,0,132,0,132,0,132,0,132,36,53,36,53,0,132,0,132,0,132,0,132,0,132,27,31,0,132,0,132,0,132,0,132,0,132,27,31,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0.0,,0.0,0.0,,0.0
2011,6037901213,Census Tract 9012.13,Leona Valley,Los Angeles County,California,LeonaValley,111,60,0,95,0,95,0,95,3,7,0,95,13,19,22,26,27,29,37,38,9,14,111,60,0,95,0,95,0,95,0,95,0,95,0,95,0,95,3,7,0,95,3,7,0,95,0,95,0,95,0,95,99,60,0,95,0,95,0,95,13,19,86,57,0,95,9,14,0,95,0,95,0,95,0,95,0,95,9,14,89.19,,0.0,100.0,0.0,33.33
2011,6037910206,Census Tract 9102.06,Leona Valley,Los Angeles County,California,LeonaValley,192,107,0,95,0,95,5,13,19,28,36,53,55,67,39,56,0,95,38,58,0,95,192,107,41,64,0,95,0,95,0,95,41,64,0,95,0,95,5,13,5,13,0,95,0,95,0,95,0,95,0,95,146,90,0,95,19,28,36,53,14,23,77,71,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,68.75,100.0,0.0,62.33,,19.79
2011,6037910302,Census Tract 9103.02,Leona Valley,Los Angeles County,California,LeonaValley,152,62,24,28,0,95,0,95,0,95,12,20,23,40,81,52,0,95,0,95,12,19,152,62,0,95,0,95,0,95,0,95,0,95,0,95,0,95,24,28,0,95,0,95,12,20,0,95,0,95,12,19,128,58,24,28,0,95,0,95,23,40,81,52,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,68.42,,0.0,81.25,,0.0
2011,6037920012,Census Tract 9200.12,Leona Valley,Los Angeles County,California,LeonaValley,91,60,0,95,0,95,46,52,0,95,0,95,16,27,3,6,4,7,0,95,22,25,91,60,0,95,0,95,0,95,0,95,0,95,0,95,0,95,46,52,46,52,0,95,0,95,0,95,0,95,0,95,42,34,0,95,0,95,0,95,16,27,4,7,22,25,3,6,0,95,0,95,0,95,0,95,3,6,0,95,25.27,,0.0,47.62,100.0,0.0
2012,6037901213,Census Tract 9012.13,Leona Valley,Los Angeles County,California,LeonaValley,162,74,0,13,31,41,7,12,20,23,0,13,21,23,22,23,19,24,33,34,9,16,162,74,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,19,0,13,6,10,0,13,10,16,0,13,0,13,137,72,38,44,14,21,0,13,11,16,74,49,0,13,9,16,0,13,0,13,0,13,0,13,0,13,9,16,58.64,,62.5,62.04,0.0,20.37
2012,6037910206,Census Tract 9102.06,Leona Valley,Los Angeles County,California,LeonaValley,140,74,0,13,0,13,13,15,11,18,26,42,51,58,17,26,0,13,22,29,0,13,140,74,37,55,0,13,0,13,0,13,37,55,0,13,0,13,12,14,6,10,0,13,0,13,0,13,6,9,0,13,91,60,7,12,11,18,26,42,14,21,33,39,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,64.29,100.0,50.0,51.65,,15.71
