YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,593,233,9,16,0,19,15,24,58,79,0,19,12,22,0,19,200,105,196,176,103,129,593,233,0,19,0,19,0,19,0,19,0,19,0,19,0,19,115,132,0,19,0,19,0,19,0,19,31,38,84,128,386,165,24,30,46,76,0,19,12,22,285,160,19,31,92,117,0,19,12,29,0,19,0,19,80,112,0,19,68.8,,26.96,76.94,86.96,33.05,Not Available,26.96%,76.94%,86.96%,1
2023,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,199,105,43,53,35,55,0,14,0,14,0,14,0,14,27,44,0,14,42,51,52,62,199,105,0,14,0,14,0,14,0,14,0,14,0,14,0,14,72,51,35,55,0,14,0,14,0,14,37,47,0,14,63,59,14,23,0,14,0,14,0,14,32,49,17,24,64,75,29,48,0,14,0,14,0,14,0,14,35,57,34.67,,51.39,50.79,0.0,21.11,Not Available,51.39%,50.79%,0.0%,1
2014,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,531,190,0,17,13,24,72,75,29,34,64,70,79,91,39,63,3,8,193,112,39,42,531,190,14,24,0,17,0,17,0,17,0,17,14,24,0,17,70,73,0,17,0,17,0,17,0,17,70,73,0,17,395,157,72,79,29,34,64,70,79,91,112,86,39,42,52,65,13,21,0,17,0,17,0,17,39,62,0,17,59.13,100.0,100.0,48.35,75.0,36.35,100.0%,100.0%,48.35%,75.0%,1
2014,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,347,100,0,17,0,17,0,17,0,17,10,17,31,40,31,47,81,66,183,89,11,16,347,100,35,36,0,17,0,17,0,17,0,17,35,36,0,17,156,74,0,17,0,17,10,17,31,40,115,67,0,17,140,70,0,17,0,17,0,17,0,17,129,69,11,16,16,19,0,17,0,17,0,17,0,17,16,19,0,17,93.95,100.0,93.59,92.14,100.0,52.74,100.0%,93.59%,92.14%,100.0%,1
2014,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,352,122,0,12,0,12,0,12,97,67,34,51,42,43,0,12,8,14,81,57,90,77,352,122,0,12,0,12,0,12,0,12,0,12,0,12,0,12,33,31,0,12,10,15,0,12,12,20,11,19,0,12,202,93,0,12,72,63,0,12,30,37,50,42,50,58,117,87,0,12,15,19,34,51,0,12,28,45,40,52,37.22,,69.7,39.6,23.93,23.01,Not Available,69.7%,39.6%,23.93%,1
2022,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,634,250,10,16,47,75,16,24,72,79,0,19,12,19,0,19,133,97,240,178,104,135,634,250,0,19,0,19,0,19,0,19,0,19,0,19,0,19,118,137,0,19,0,19,0,19,0,19,31,38,87,132,427,184,73,79,61,77,0,19,12,19,264,163,17,30,89,111,0,19,11,18,0,19,0,19,78,110,0,19,60.73,,26.27,64.64,87.64,37.85,Not Available,26.27%,64.64%,87.64%,1
2022,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,207,115,44,52,36,57,28,45,0,13,0,13,0,13,27,44,0,13,64,62,8,16,207,115,0,13,0,13,0,13,0,13,0,13,0,13,0,13,74,73,36,57,0,13,0,13,0,13,38,47,0,13,94,83,43,53,0,13,0,13,0,13,43,58,8,16,39,48,29,45,0,13,0,13,0,13,10,15,0,13,43.96,,51.35,45.74,25.64,30.92,Not Available,51.35%,45.74%,25.64%,1
2017,6037910002,Census Tract 9100.02,Littlerock,Los Angeles County,California,Littlerock,714,170,0,17,33,37,129,91,31,39,18,29,0,17,81,86,74,79,332,128,16,26,714,170,18,28,0,17,0,17,0,17,0,17,18,28,0,17,170,128,10,27,0,17,0,17,0,17,160,125,0,17,458,154,152,102,31,39,18,29,0,17,241,115,16,26,68,94,0,17,0,17,0,17,0,17,68,94,0,17,68.21,100.0,94.12,52.62,100.0,46.5,100.0%,94.12%,52.62%,100.0%,1
2017,6037910706,Census Tract 9107.06,Littlerock,Los Angeles County,California,Littlerock,382,115,0,17,0,17,12,18,36,41,33,40,41,36,52,43,67,63,117,79,24,38,382,115,30,38,0,17,0,17,0,17,0,17,30,38,0,17,100,59,0,17,0,17,0,17,24,29,76,60,0,17,228,101,12,18,36,41,9,15,17,20,130,79,24,38,24,37,0,17,0,17,24,37,0,17,0,17,0,17,72.51,100.0,100.0,64.47,0.0,30.63,100.0%,100.0%,64.47%,0.0%,1
2017,6037911001,Census Tract 9110.01,Littlerock,Los Angeles County,California,Littlerock,433,142,0,12,30,48,32,52,47,52,61,47,43,51,0,12,21,32,99,80,100,83,433,142,0,12,0,12,0,12,0,12,0,12,0,12,0,12,23,27,0,12,10,17,0,12,13,22,0,12,0,12,290,127,32,52,37,50,30,39,30,47,120,89,41,51,120,95,30,48,0,12,31,50,0,12,0,12,59,68,37.64,,56.52,51.72,0.0,22.86,Not Available,56.52%,51.72%,0.0%,1
