YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037101110,Census Tract 1011.10,Los Angeles,Los Angeles County,California,LosAngeles,901,112,0,132,8,15,157,103,38,34,115,72,66,53,107,86,53,46,281,102,76,71,901,112,39,37,17,28,15,22,0,132,0,132,7,11,0,132,252,92,57,64,9,15,13,17,12,19,110,82,51,65,441,118,91,71,14,23,42,44,41,45,228,94,25,29,169,83,0,132,0,132,60,55,13,20,96,70,0,132,56.27,17.95,48.41,61.0,64.5,31.19
2010,6037101122,Census Tract 1011.22,Los Angeles,Los Angeles County,California,LosAngeles,149,79,0,132,0,132,46,65,16,24,0,132,27,30,23,27,7,11,19,30,11,17,149,79,0,132,0,132,0,132,0,132,0,132,0,132,0,132,10,16,0,132,0,132,0,132,10,16,0,132,0,132,139,80,46,65,16,24,0,132,17,28,49,42,11,17,0,132,0,132,0,132,0,132,0,132,0,132,0,132,51.01,,100.0,47.48,,12.75
2010,6037101210,Census Tract 1012.10,Los Angeles,Los Angeles County,California,LosAngeles,1781,151,28,32,131,90,127,93,176,97,195,110,124,101,154,100,145,97,632,189,69,56,1781,151,45,50,0,132,19,30,26,40,0,132,0,132,0,132,467,154,116,106,85,78,46,52,0,132,200,117,20,34,997,166,126,81,61,50,95,69,114,98,552,170,49,46,272,87,44,40,11,18,28,36,10,17,179,79,0,132,59.24,0.0,42.83,66.8,69.49,35.49
2010,6037101220,Census Tract 1012.20,Los Angeles,Los Angeles County,California,LosAngeles,707,124,7,11,7,11,95,62,90,56,86,64,25,29,42,43,122,62,204,93,29,33,707,124,13,21,0,132,13,21,0,132,0,132,0,132,0,132,162,85,33,38,20,31,11,17,15,24,83,69,0,132,349,99,53,41,57,48,53,47,10,16,147,73,29,33,183,77,23,27,0,132,22,36,0,132,138,76,0,132,55.59,0.0,60.49,44.99,75.41,28.85
2010,6037101300,Census Tract 1013,Los Angeles,Los Angeles County,California,LosAngeles,191,77,0,132,8,12,0,132,0,132,41,43,44,37,7,13,9,13,34,36,48,41,191,77,50,42,0,132,0,132,31,47,19,25,0,132,0,132,29,29,0,132,0,132,10,12,0,132,19,28,0,132,89,51,8,12,0,132,0,132,25,26,16,19,40,38,23,26,0,132,0,132,0,132,0,132,15,23,8,13,49.21,38.0,65.52,46.07,65.22,17.8
2010,6037101400,Census Tract 1014,Los Angeles,Los Angeles County,California,LosAngeles,333,108,0,132,0,132,0,132,23,33,26,34,36,55,46,42,60,43,142,68,0,132,333,108,47,57,0,132,0,132,0,132,0,132,47,57,0,132,43,38,0,132,6,10,4,10,0,132,33,35,0,132,216,87,0,132,17,27,22,32,36,55,141,63,0,132,27,32,0,132,0,132,0,132,0,132,27,32,0,132,85.29,100.0,76.74,81.94,100.0,42.64
2010,6037102103,Census Tract 1021.03,Los Angeles,Los Angeles County,California,LosAngeles,133,80,0,132,0,132,0,132,14,24,0,132,0,132,0,132,0,132,61,59,58,53,133,80,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,59,58,0,132,14,24,0,132,0,132,25,42,20,32,74,61,0,132,0,132,0,132,0,132,36,42,38,43,45.86,,,42.37,48.65,45.86
2010,6037102104,Census Tract 1021.04,Los Angeles,Los Angeles County,California,LosAngeles,204,135,0,132,84,93,16,26,9,19,11,20,8,12,14,22,0,132,20,24,42,51,204,135,0,132,0,132,0,132,0,132,0,132,0,132,0,132,13,20,0,132,0,132,0,132,0,132,13,20,0,132,176,136,100,97,9,19,11,20,0,132,14,22,42,51,15,19,0,132,0,132,0,132,8,12,7,13,0,132,20.59,,100.0,7.95,100.0,9.8
2010,6037102105,Census Tract 1021.05,Los Angeles,Los Angeles County,California,LosAngeles,143,100,54,78,0,132,0,132,0,132,0,132,43,54,13,23,0,132,33,35,0,132,143,100,0,132,0,132,0,132,0,132,0,132,0,132,0,132,56,52,0,132,0,132,0,132,43,54,13,23,0,132,87,95,54,78,0,132,0,132,0,132,33,35,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,62.24,,100.0,37.93,,23.08
2010,6037102107,Census Tract 1021.07,Los Angeles,Los Angeles County,California,LosAngeles,323,103,0,132,15,26,87,98,18,21,63,66,37,57,10,17,19,18,60,45,14,16,323,103,0,132,0,132,0,132,0,132,0,132,0,132,0,132,81,70,0,132,8,13,54,64,0,132,12,21,7,10,196,98,91,92,10,15,9,15,37,57,42,28,7,13,46,44,11,17,0,132,0,132,0,132,35,41,0,132,39.01,,14.81,40.31,76.09,18.58
2010,6037103101,Census Tract 1031.01,Los Angeles,Los Angeles County,California,LosAngeles,115,54,0,132,9,14,0,132,7,11,9,14,0,132,0,132,37,38,45,37,8,13,115,54,0,132,0,132,0,132,0,132,0,132,0,132,0,132,23,33,0,132,0,132,0,132,0,132,23,33,0,132,76,47,9,14,7,11,9,14,0,132,51,41,0,132,16,18,0,132,0,132,0,132,0,132,8,13,8,13,71.3,,100.0,67.11,50.0,39.13
2010,6037103102,Census Tract 1031.02,Los Angeles,Los Angeles County,California,LosAngeles,409,119,0,132,44,57,57,50,51,52,30,28,51,53,21,23,48,50,89,44,18,20,409,119,0,132,0,132,0,132,0,132,0,132,0,132,0,132,20,23,9,15,0,132,0,132,0,132,11,17,0,132,280,110,92,76,30,46,22,24,41,52,77,45,18,20,109,56,0,132,21,23,8,14,10,15,70,55,0,132,51.1,,55.0,42.14,73.39,21.76
