YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1249,313,90,99,224,156,116,122,57,47,144,107,105,82,82,112,38,46,373,178,20,31,1249,313,18,30,0,14,0,14,0,14,0,14,18,30,0,14,287,156,63,61,0,14,27,39,93,79,104,105,0,14,610,234,348,205,43,46,22,36,0,14,197,139,0,14,334,149,19,30,14,22,95,95,12,21,174,119,20,31,47.88,100.0,68.64,32.3,55.69,29.86,100.0%,68.64%,32.3%,55.69%,1
2023,6037702900,Census Tract 7029,Marina del Rey,Los Angeles County,California,MarinadelRey,4788,734,50,86,326,236,659,407,820,459,680,396,374,251,205,216,423,307,1201,472,50,88,4788,734,427,384,0,19,0,19,200,314,0,19,227,213,0,19,1073,444,259,170,323,302,58,96,0,19,433,272,0,19,2968,664,774,427,394,291,422,271,373,250,955,415,50,88,320,182,2,29,103,89,0,19,1,14,214,152,0,19,46.01,53.16,40.35,44.74,67.19,25.08,53.16%,40.35%,44.74%,67.19%,1
2014,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1170,213,70,60,72,88,213,96,187,116,198,154,160,120,64,67,93,64,81,71,32,40,1170,213,19,33,0,12,0,12,0,12,0,12,0,12,19,33,401,212,91,73,57,87,105,132,67,91,81,80,0,12,599,191,201,108,119,94,70,70,51,66,145,101,13,20,151,75,63,52,11,17,23,24,42,53,12,20,0,12,34.02,0.0,36.91,32.72,35.76,6.92,0.0%,36.91%,32.72%,35.76%,1
2014,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5083,371,156,132,326,175,492,183,828,246,809,278,504,233,446,186,535,235,863,263,124,86,5083,371,216,146,0,17,11,18,95,113,10,16,84,78,16,26,1265,294,156,103,226,121,173,100,242,188,447,192,21,35,2874,334,750,231,479,195,476,234,169,108,956,284,44,59,728,178,68,68,112,97,65,76,83,84,357,131,43,49,46.19,43.52,54.47,39.14,60.44,16.98,43.52%,54.47%,39.14%,60.44%,1
2022,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1025,357,84,95,193,149,103,116,57,48,90,98,86,94,81,101,20,33,293,182,18,29,1025,357,15,26,0,13,0,13,0,13,0,13,15,26,0,13,259,148,61,60,11,18,15,26,86,94,86,103,0,13,604,281,319,201,33,38,75,94,0,13,177,122,0,13,147,124,0,13,13,22,0,13,0,13,116,119,18,29,46.83,100.0,66.41,29.3,78.91,28.59,100.0%,66.41%,29.3%,78.91%,1
2022,6037702900,Census Tract 7029,Marina del Rey,Los Angeles County,California,MarinadelRey,5126,688,118,120,340,252,625,348,587,334,1137,447,329,235,206,202,366,253,1376,484,42,78,5126,688,550,404,75,96,23,38,206,325,0,21,246,216,0,21,915,340,199,136,62,91,174,176,25,41,455,310,0,21,3248,575,670,340,443,321,735,242,295,238,1063,434,42,78,413,182,139,115,59,65,22,39,9,18,184,154,0,21,44.42,44.73,52.46,41.81,46.73,26.84,44.73%,52.46%,41.81%,46.73%,1
2017,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,1283,226,163,100,160,117,179,101,209,114,121,99,191,128,131,113,67,69,39,37,23,27,1283,226,7,12,0,12,7,12,0,12,0,12,0,12,0,12,265,144,108,66,0,12,70,75,78,102,9,15,0,12,840,183,328,146,191,116,51,65,113,101,134,83,23,27,171,75,66,74,11,19,0,12,0,12,94,105,0,12,33.36,0.0,32.83,29.4,54.97,3.04,0.0%,32.83%,29.4%,54.97%,1
2017,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5200,339,124,119,406,186,462,212,750,260,663,253,519,227,255,143,705,294,1145,307,171,135,5200,339,162,149,0,17,31,51,45,73,0,17,41,66,45,74,1517,344,177,121,315,187,188,124,246,155,591,250,0,17,2861,450,770,281,303,154,407,218,147,102,1187,356,47,54,660,233,45,58,101,97,23,39,126,105,286,164,79,100,50.46,25.31,55.17,46.63,62.42,22.02,25.31%,55.17%,46.63%,62.42%,1
2019,6037274202,Census Tract 2742.02,Marina del Rey,Los Angeles County,California,MarinadelRey,992,218,135,103,152,121,91,62,142,108,116,106,137,103,151,111,22,38,34,42,12,20,992,218,10,20,0,12,10,20,0,12,0,12,0,12,0,12,212,115,96,88,16,27,62,59,38,62,0,12,0,12,629,186,266,122,116,104,54,84,99,89,82,60,12,20,141,107,16,26,0,12,0,12,0,12,125,104,0,12,34.68,0.0,17.92,28.78,88.65,3.43,0.0%,17.92%,28.78%,88.65%,1
2019,6037702901,Census Tract 7029.01,Marina del Rey,Los Angeles County,California,MarinadelRey,5221,456,116,101,457,162,493,250,497,182,793,330,512,256,227,139,567,254,1411,401,148,132,5221,456,274,158,70,87,45,53,0,17,0,17,115,108,44,73,1404,342,214,151,188,119,288,206,253,204,461,194,0,17,2935,413,641,266,212,131,479,241,204,134,1351,401,48,56,608,235,141,92,52,61,26,43,55,71,278,158,56,93,52.04,41.97,50.85,52.98,54.77,27.03,41.97%,50.85%,52.98%,54.77%,1
