YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,231,75,0,132,0,132,35,31,43,36,12,19,8,13,24,20,51,48,58,47,0,132,231,75,26,27,11,18,0,132,0,132,0,132,15,23,0,132,19,22,0,132,0,132,0,132,8,13,11,17,0,132,137,64,13,19,43,36,12,19,0,132,69,49,0,132,49,43,11,17,0,132,0,132,0,132,38,42,0,132,61.04,57.69,100.0,50.36,77.55,25.11
2010,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,252,112,0,132,22,30,37,40,33,42,31,45,23,37,30,51,11,20,42,43,23,22,252,112,0,132,0,132,0,132,0,132,0,132,0,132,0,132,27,26,13,21,0,132,0,132,0,132,0,132,14,16,160,94,46,41,33,42,31,45,0,132,50,56,0,132,65,54,0,132,0,132,0,132,23,37,33,41,9,14,42.06,,0.0,31.25,86.15,16.67
2011,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,200,69,0,95,0,95,36,31,36,41,12,18,9,14,20,21,25,27,58,46,4,7,200,69,0,95,0,95,0,95,0,95,0,95,0,95,0,95,42,34,7,12,4,7,0,95,9,14,22,26,0,95,126,60,17,23,32,40,12,18,0,95,65,44,0,95,32,32,12,17,0,95,0,95,0,95,16,25,4,7,56.0,,73.81,51.59,50.0,29.0
2011,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,154,89,0,95,18,25,14,22,35,41,32,50,5,9,28,44,3,8,10,16,9,15,154,89,0,95,0,95,0,95,0,95,0,95,0,95,0,95,19,25,14,22,0,95,0,95,5,9,0,95,0,95,106,83,18,25,25,38,32,50,0,95,31,45,0,95,29,27,0,95,10,15,0,95,0,95,10,16,9,15,29.87,,26.32,29.25,34.48,6.49
2012,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,220,74,0,13,17,28,61,36,39,38,20,24,6,9,13,17,13,19,43,37,8,13,220,74,0,13,0,13,0,13,0,13,0,13,0,13,0,13,48,29,12,17,17,19,0,13,0,13,19,22,0,13,153,62,55,39,22,33,20,24,6,9,50,39,0,13,19,21,11,16,0,13,0,13,0,13,0,13,8,13,34.09,,39.58,36.6,0.0,19.55
2012,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,229,106,0,13,13,21,21,25,39,44,54,59,4,8,25,41,20,25,29,27,24,40,229,106,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,22,12,20,0,13,0,13,4,8,0,13,0,13,188,97,22,27,29,42,54,59,0,13,59,54,24,40,25,24,0,13,10,14,0,13,0,13,15,20,0,13,34.06,,25.0,31.38,60.0,12.66
2013,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,209,68,0,12,42,44,40,23,28,21,18,22,12,13,8,13,11,16,39,32,11,10,209,68,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,31,10,14,16,16,0,12,7,10,22,25,0,12,137,57,62,47,12,14,18,22,5,8,36,29,4,7,17,18,10,15,0,12,0,12,0,12,0,12,7,10,33.49,,52.73,29.93,0.0,18.66
2013,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,302,102,0,12,0,12,32,35,31,37,55,63,88,60,0,12,12,16,46,35,38,45,302,102,0,12,0,12,0,12,0,12,0,12,0,12,0,12,26,33,20,31,0,12,0,12,6,10,0,12,0,12,217,102,12,18,23,36,55,63,65,62,33,32,29,44,59,41,0,12,8,12,0,12,17,26,25,22,9,15,48.34,,23.08,45.16,71.19,15.23
2014,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,287,62,17,23,47,42,40,22,30,19,10,11,27,21,16,16,18,17,70,43,12,11,287,62,8,10,0,12,0,12,0,12,0,12,8,10,0,12,65,35,23,25,16,14,0,12,6,10,20,18,0,12,191,53,71,43,14,14,10,11,14,15,76,43,6,9,23,19,10,14,0,12,0,12,7,10,0,12,6,9,45.64,100.0,40.0,47.12,30.43,24.39
2014,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,347,101,0,12,0,12,37,36,21,28,51,57,77,59,27,36,14,18,59,35,61,58,347,101,5,9,0,12,0,12,0,12,0,12,5,9,0,12,61,52,29,32,0,12,0,12,6,10,0,12,26,41,191,92,8,14,14,24,51,57,63,61,32,28,23,35,90,50,0,12,7,11,0,12,8,13,63,46,12,18,51.01,100.0,9.84,49.74,78.89,17.0
2015,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,306,64,32,32,61,45,28,20,26,17,10,11,27,22,46,33,14,14,49,32,13,10,306,64,8,9,0,12,0,12,0,12,0,12,8,9,0,12,91,45,52,39,14,11,0,12,5,9,20,18,0,12,185,52,69,40,12,14,10,11,14,15,74,39,6,9,22,16,0,12,0,12,0,12,8,12,7,11,7,10,44.44,100.0,27.47,47.57,68.18,16.01
2015,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,370,120,0,12,0,12,15,15,27,34,21,24,99,72,33,39,16,22,87,51,72,61,370,120,6,10,0,12,0,12,0,12,0,12,6,10,0,12,43,46,9,15,0,12,0,12,8,12,0,12,26,41,225,95,6,10,20,32,21,24,70,64,80,52,28,43,96,56,0,12,7,12,0,12,21,23,50,44,18,19,63.51,100.0,18.6,66.67,73.96,23.51
2016,6037431300,Census Tract 4313,Mayflower Village,Los Angeles County,California,MayflowerVillage,300,60,31,29,52,40,27,18,34,23,10,11,35,26,40,26,14,13,51,36,6,9,300,60,7,9,0,12,0,12,0,12,0,12,7,9,0,12,81,40,44,35,21,20,0,12,5,7,11,11,0,12,202,53,66,37,13,13,10,11,25,24,82,43,6,9,10,11,0,12,0,12,0,12,5,8,5,8,0,12,46.67,100.0,19.75,52.97,100.0,17.0
2016,6037431400,Census Tract 4314,Mayflower Village,Los Angeles County,California,MayflowerVillage,412,123,37,48,0,12,11,16,44,50,23,26,99,74,26,30,0,12,95,47,77,56,412,123,32,37,0,12,25,35,0,12,0,12,7,12,0,12,53,41,7,13,0,12,0,12,0,12,8,13,38,44,239,112,41,47,19,30,23,26,75,68,61,38,20,32,88,46,0,12,0,12,0,12,24,27,45,32,19,21,53.4,21.88,15.09,56.9,78.41,23.06
