YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037553502,Census Tract 5535.02,Paramount,Los Angeles County,California,Paramount,716,192,112,139,50,46,108,73,57,66,98,68,28,31,51,76,86,74,126,92,0,14,716,192,71,67,25,34,0,14,0,14,0,14,46,62,0,14,158,94,43,44,5,10,20,32,0,14,90,80,0,14,320,112,125,82,52,65,49,40,15,25,79,62,0,14,167,143,77,112,0,14,29,43,13,19,48,70,0,14,40.64,64.79,56.96,29.38,36.53,17.6,64.79%,56.96%,29.38%,36.53%,1
2023,6037553503,Census Tract 5535.03,Paramount,Los Angeles County,California,Paramount,522,130,18,28,27,28,37,32,39,28,7,11,97,54,5,10,132,108,126,47,34,32,522,130,0,14,0,14,0,14,0,14,0,14,0,14,0,14,92,57,9,15,14,15,7,11,20,32,42,44,0,14,355,131,51,39,25,26,0,14,49,44,202,113,28,32,75,44,22,23,0,14,0,14,28,32,19,17,6,9,68.97,,67.39,70.7,62.67,24.14,Not Available,67.39%,70.7%,62.67%,1
2023,6037553504,Census Tract 5535.04,Paramount,Los Angeles County,California,Paramount,445,117,0,14,0,14,69,71,21,32,76,60,37,39,12,20,96,66,129,58,5,9,445,117,0,14,0,14,0,14,0,14,0,14,0,14,0,14,113,83,42,60,0,14,33,44,22,29,16,21,0,14,295,102,27,42,21,32,43,51,15,26,189,86,0,14,37,42,0,14,0,14,0,14,0,14,32,41,5,9,61.57,,33.63,69.15,86.49,28.99,Not Available,33.63%,69.15%,86.49%,1
2023,6037553601,Census Tract 5536.01,Paramount,Los Angeles County,California,Paramount,743,200,0,14,26,42,95,64,70,60,68,64,27,28,35,39,64,57,348,180,10,16,743,200,9,13,0,14,0,14,0,14,0,14,9,13,0,14,111,65,52,56,8,13,0,14,10,17,31,41,10,16,584,195,69,56,62,60,68,64,17,21,368,178,0,14,39,62,0,14,0,14,0,14,0,14,39,62,0,14,63.8,100.0,36.94,65.92,100.0,46.84,100.0%,36.94%,65.92%,100.0%,1
2023,6037553602,Census Tract 5536.02,Paramount,Los Angeles County,California,Paramount,924,194,0,19,24,40,19,32,125,80,148,121,95,61,54,65,219,113,240,181,0,19,924,194,44,54,0,19,0,19,0,19,13,20,31,50,0,19,394,144,24,40,60,66,81,100,0,19,229,121,0,19,456,204,19,32,65,50,67,71,52,52,253,188,0,19,30,37,0,19,0,19,0,19,30,37,0,19,0,19,65.8,100.0,58.12,66.89,100.0,25.97,100.0%,58.12%,66.89%,100.0%,1
2023,6037553701,Census Tract 5537.01,Paramount,Los Angeles County,California,Paramount,517,98,9,16,23,20,101,52,66,54,75,50,23,25,7,14,29,27,178,78,6,8,517,98,28,33,28,33,0,14,0,14,0,14,0,14,0,14,91,58,19,24,21,36,8,14,0,14,43,37,0,14,353,78,82,48,34,32,62,49,23,25,152,70,0,14,45,34,4,8,11,18,5,9,0,14,19,27,6,8,45.84,0.0,47.25,49.58,42.22,34.43,0.0%,47.25%,49.58%,42.22%,1
2023,6037553702,Census Tract 5537.02,Paramount,Los Angeles County,California,Paramount,616,132,8,14,21,33,85,53,71,58,47,45,31,35,23,27,63,55,233,102,34,32,616,132,0,14,0,14,0,14,0,14,0,14,0,14,0,14,50,37,0,14,0,14,0,14,0,14,50,37,0,14,495,122,106,65,71,58,47,45,31,35,214,91,26,29,71,55,8,14,0,14,0,14,0,14,55,53,8,12,56.82,,100.0,49.49,77.46,37.82,Not Available,100.0%,49.49%,77.46%,1
2023,6037553801,Census Tract 5538.01,Paramount,Los Angeles County,California,Paramount,714,90,0,14,56,50,68,66,20,25,30,28,81,66,0,14,115,72,322,110,22,25,714,90,12,19,0,14,0,14,0,14,0,14,12,19,0,14,63,51,0,14,0,14,8,13,0,14,55,48,0,14,608,101,124,83,20,25,11,18,74,65,357,113,22,25,31,23,0,14,0,14,11,17,7,11,13,17,0,14,72.55,100.0,87.3,70.89,64.52,45.1,100.0%,87.3%,70.89%,64.52%,1
2023,6037553802,Census Tract 5538.02,Paramount,Los Angeles County,California,Paramount,1035,205,0,19,0,19,114,87,159,113,85,57,77,69,143,100,78,81,246,114,133,121,1035,205,61,63,0,19,33,53,0,19,16,25,12,19,0,19,163,79,26,22,8,13,40,40,0,19,89,66,0,19,663,207,67,78,97,98,35,41,61,65,301,151,102,117,148,74,21,33,21,33,10,16,0,19,65,50,31,35,52.56,45.9,54.6,54.6,43.92,23.77,45.9%,54.6%,54.6%,43.92%,1
2023,6037553901,Census Tract 5539.01,Paramount,Los Angeles County,California,Paramount,787,206,10,15,38,33,107,90,143,151,83,86,70,75,24,30,83,69,220,97,9,21,787,206,36,45,0,19,0,19,0,19,0,19,36,45,0,19,139,89,52,44,22,27,54,67,0,19,11,27,0,19,464,130,103,75,32,32,29,46,70,75,221,93,9,21,148,149,0,19,89,143,0,19,0,19,59,45,0,19,50.44,100.0,7.91,62.72,39.86,27.95,100.0%,7.91%,62.72%,39.86%,1
