YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037500300,Census Tract 5003,Pico Rivera,Los Angeles County,California,PicoRivera,172,78,0,14,0,14,39,34,8,13,0,14,18,26,10,16,19,29,46,56,32,38,172,78,0,14,0,14,0,14,0,14,0,14,0,14,0,14,35,35,16,24,0,14,0,14,0,14,19,29,0,14,109,74,23,24,8,13,0,14,0,14,46,56,32,38,28,30,0,14,0,14,0,14,18,26,10,16,0,14,54.07,,54.29,42.2,100.0,26.74,Not Available,54.29%,42.2%,100.0%,1
2023,6037500402,Census Tract 5004.02,Pico Rivera,Los Angeles County,California,PicoRivera,612,120,0,14,40,65,106,64,0,14,19,29,36,37,127,88,67,58,128,64,89,65,612,120,86,86,40,65,0,14,0,14,0,14,46,51,0,14,29,46,0,14,0,14,0,14,0,14,29,46,0,14,366,99,106,64,0,14,19,29,31,37,154,89,56,56,131,71,0,14,0,14,0,14,5,10,93,64,33,40,58.5,53.49,100.0,50.55,74.81,20.92,53.49%,100.0%,50.55%,74.81%,1
2023,6037500403,Census Tract 5004.03,Pico Rivera,Los Angeles County,California,PicoRivera,20,24,2,12,9,15,0,14,0,14,0,14,0,14,9,17,0,14,0,14,0,14,20,24,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,20,24,11,19,0,14,0,14,0,14,9,17,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,45.0,,,45.0,,0.0,Not Available,Not Available,45.0%,Not Available,1
2023,6037500404,Census Tract 5004.04,Pico Rivera,Los Angeles County,California,PicoRivera,237,86,13,22,8,13,46,51,0,14,38,47,0,14,12,20,58,60,57,65,5,8,237,86,0,14,0,14,0,14,0,14,0,14,0,14,0,14,27,43,0,14,0,14,0,14,0,14,27,43,0,14,178,82,67,57,0,14,38,47,0,14,73,61,0,14,32,37,0,14,0,14,0,14,0,14,27,36,5,8,53.59,,100.0,41.01,84.38,24.05,Not Available,100.0%,41.01%,84.38%,1
2023,6037500500,Census Tract 5005,Pico Rivera,Los Angeles County,California,PicoRivera,301,93,25,29,0,14,11,12,6,11,48,39,0,14,55,54,23,29,51,44,82,60,301,93,24,39,0,14,0,14,0,14,0,14,24,39,0,14,31,31,25,29,6,11,0,14,0,14,0,14,0,14,172,68,11,12,0,14,42,38,0,14,54,48,65,44,74,46,0,14,0,14,6,10,0,14,51,44,17,26,42.86,100.0,0.0,31.4,68.92,16.94,100.0%,0.0%,31.4%,68.92%,1
2023,6037500600,Census Tract 5006,Pico Rivera,Los Angeles County,California,PicoRivera,360,138,0,19,0,19,43,58,23,36,12,20,59,50,33,51,40,40,116,84,34,35,360,138,0,19,0,19,0,19,0,19,0,19,0,19,0,19,23,36,0,19,0,19,0,19,23,36,0,19,0,19,321,140,43,58,23,36,12,20,36,45,173,101,34,35,16,17,0,19,0,19,0,19,0,19,16,17,0,19,68.89,,100.0,65.11,100.0,32.22,Not Available,100.0%,65.11%,100.0%,1
2023,6037500700,Census Tract 5007,Pico Rivera,Los Angeles County,California,PicoRivera,436,113,8,12,61,60,61,51,50,49,59,50,25,28,59,58,29,39,67,54,17,27,436,113,6,9,0,19,0,19,0,19,0,19,6,9,0,19,65,62,15,25,0,19,0,19,0,19,50,56,0,19,283,94,87,59,34,44,59,50,16,25,70,45,17,27,82,69,28,44,16,24,0,19,9,13,29,46,0,19,41.28,100.0,76.92,30.39,46.34,15.37,100.0%,76.92%,30.39%,46.34%,1
2023,6037500800,Census Tract 5008,Pico Rivera,Los Angeles County,California,PicoRivera,264,105,0,14,23,26,54,49,7,11,0,14,20,24,82,91,10,17,68,71,0,14,264,105,40,59,0,14,0,14,0,14,0,14,40,59,0,14,73,57,29,39,0,14,0,14,13,22,31,46,0,14,106,86,48,37,0,14,0,14,7,10,51,81,0,14,45,47,0,14,7,11,0,14,0,14,38,46,0,14,68.18,100.0,60.27,54.72,84.44,25.76,100.0%,60.27%,54.72%,84.44%,1
2023,6037500900,Census Tract 5009,Pico Rivera,Los Angeles County,California,PicoRivera,870,338,0,19,32,50,81,97,16,19,73,62,268,278,22,34,11,18,336,151,31,29,870,338,0,19,0,19,0,19,0,19,0,19,0,19,0,19,18,21,0,19,0,19,0,19,10,17,8,14,0,19,421,190,102,100,8,14,65,61,10,18,214,153,22,24,431,311,11,18,8,14,8,13,248,277,147,113,9,15,73.22,,100.0,53.21,91.65,38.62,Not Available,100.0%,53.21%,91.65%,1
2023,6037502401,Census Tract 5024.01,Pico Rivera,Los Angeles County,California,PicoRivera,449,166,0,19,4,11,68,49,45,42,32,30,120,89,0,19,90,125,53,47,37,36,449,166,0,19,0,19,0,19,0,19,0,19,0,19,0,19,28,29,0,19,13,20,0,19,0,19,0,19,15,23,362,161,72,47,32,39,23,27,70,72,143,133,22,29,59,52,0,19,0,19,9,14,50,50,0,19,0,19,58.57,,0.0,58.84,84.75,11.8,Not Available,0.0%,58.84%,84.75%,1
2023,6037502402,Census Tract 5024.02,Pico Rivera,Los Angeles County,California,PicoRivera,146,45,0,14,0,14,37,32,26,22,6,9,11,11,0,14,13,21,39,34,14,20,146,45,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,103,42,22,21,14,17,0,14,6,8,47,40,14,20,43,30,15,23,12,19,6,9,5,7,5,8,0,14,43.15,,,51.46,23.26,26.71,Not Available,Not Available,51.46%,23.26%,1
2023,6037502500,Census Tract 5025,Pico Rivera,Los Angeles County,California,PicoRivera,466,142,39,55,16,19,61,68,22,33,52,52,69,64,14,20,0,14,102,47,91,110,466,142,0,14,0,14,0,14,0,14,0,14,0,14,0,14,37,37,0,14,17,31,0,14,0,14,20,25,0,14,350,138,100,83,0,14,45,48,54,61,60,36,91,110,79,43,16,19,5,10,7,10,15,17,36,33,0,14,39.7,,54.05,32.57,64.56,21.89,Not Available,54.05%,32.57%,64.56%,1
