YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037670328,Census Tract 6703.28,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,158,72,12,15,0,14,21,32,8,13,0,14,0,14,0,14,19,31,74,46,24,24,158,72,0,14,0,14,0,14,0,14,0,14,0,14,0,14,21,30,0,14,0,14,0,14,0,14,21,30,0,14,94,66,33,35,8,13,0,14,0,14,47,50,6,10,43,39,0,14,0,14,0,14,0,14,25,39,18,21,58.86,,100.0,50.0,58.14,46.84,Not Available,100.0%,50.0%,58.14%,1
2023,6037670405,Census Tract 6704.05,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,267,76,8,13,8,13,17,19,42,41,23,22,8,14,15,17,0,14,111,66,35,47,267,76,0,14,0,14,0,14,0,14,0,14,0,14,0,14,8,14,0,14,0,14,0,14,8,14,0,14,0,14,91,52,25,24,8,13,15,18,0,14,8,13,35,47,168,69,8,13,34,40,8,14,0,14,118,63,0,14,50.19,,100.0,8.79,70.24,41.57,Not Available,100.0%,8.79%,70.24%,1
2023,6037670407,Census Tract 6704.07,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,957,232,13,20,57,67,123,92,128,111,232,175,32,37,68,61,67,56,122,79,115,105,957,232,65,99,0,19,65,99,0,19,0,19,0,19,0,19,15,25,0,19,0,19,0,19,15,25,0,19,0,19,752,242,176,113,63,50,203,172,0,19,195,103,115,105,125,73,17,26,0,19,29,32,17,28,62,58,0,19,30.2,0.0,100.0,25.93,63.2,12.75,0.0%,100.0%,25.93%,63.2%,1
2023,6037670413,Census Tract 6704.13,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,416,111,0,14,33,37,59,44,12,21,10,14,44,35,64,41,65,60,73,42,56,38,416,111,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,20,0,14,0,14,0,14,0,14,0,14,12,20,321,106,92,63,12,21,10,14,44,35,129,59,34,31,83,38,0,14,0,14,0,14,0,14,73,40,10,15,59.13,,0.0,53.89,87.95,17.55,Not Available,0.0%,53.89%,87.95%,1
2023,6037670416,Census Tract 6704.16,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,570,198,0,14,8,12,81,64,77,52,33,33,81,72,45,36,132,151,80,60,33,37,570,198,10,15,0,14,10,15,0,14,0,14,0,14,0,14,36,34,17,27,10,17,9,16,0,14,0,14,0,14,367,187,43,36,48,43,0,14,72,71,171,158,33,37,157,72,29,44,9,15,24,28,9,15,86,61,0,14,59.3,0.0,0.0,66.21,60.51,14.04,0.0%,0.0%,66.21%,60.51%,1
2023,6037670417,Census Tract 6704.17,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,151,55,0,14,5,7,11,14,26,33,23,21,3,5,0,14,45,28,38,29,0,14,151,55,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,132,53,11,14,26,33,19,21,3,5,73,36,0,14,19,19,5,7,0,14,4,7,0,14,10,16,0,14,56.95,,,57.58,52.63,25.17,Not Available,Not Available,57.58%,52.63%,1
2023,6037670418,Census Tract 6704.18,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,129,59,14,18,0,14,7,12,15,17,16,27,9,14,15,22,10,12,9,15,34,40,129,59,0,14,0,14,0,14,0,14,0,14,0,14,0,14,25,37,0,14,0,14,0,14,0,14,0,14,25,37,70,43,21,21,15,17,0,14,0,14,34,29,0,14,34,30,0,14,0,14,16,27,9,14,0,14,9,15,33.33,,0.0,48.57,26.47,6.98,Not Available,0.0%,48.57%,26.47%,1
2023,6037670603,Census Tract 6706.03,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,50,36,0,14,11,18,0,14,8,17,8,13,0,14,0,14,0,14,23,27,0,14,50,36,0,14,0,14,0,14,0,14,0,14,0,14,0,14,8,17,0,14,8,17,0,14,0,14,0,14,0,14,42,33,11,18,0,14,8,13,0,14,23,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,46.0,,0.0,54.76,,46.0,Not Available,0.0%,54.76%,Not Available,1
2023,6037670604,Census Tract 6706.04,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,231,117,18,29,19,30,10,18,36,40,14,24,51,57,62,79,21,36,0,14,0,14,231,117,0,14,0,14,0,14,0,14,0,14,0,14,0,14,62,79,0,14,0,14,0,14,0,14,62,79,0,14,125,94,18,29,21,31,14,24,51,57,21,36,0,14,44,43,29,34,15,25,0,14,0,14,0,14,0,14,58.01,,100.0,57.6,0.0,0.0,Not Available,100.0%,57.6%,0.0%,1
2023,6037670701,Census Tract 6707.01,Rancho Palos Verdes,Los Angeles County,California,RanchoPalosVerdes,171,101,11,17,12,21,0,19,38,45,32,37,0,19,43,65,0,19,35,41,0,19,171,101,0,19,0,19,0,19,0,19,0,19,0,19,0,19,35,41,0,19,0,19,0,19,0,19,35,41,0,19,93,68,23,25,38,45,32,37,0,19,0,19,0,19,43,65,0,19,0,19,0,19,0,19,43,65,0,19,45.61,,100.0,0.0,100.0,20.47,Not Available,100.0%,0.0%,100.0%,1
