YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,625,145,135,105,40,52,56,39,95,65,26,28,10,16,123,106,0,132,140,71,0,132,625,145,51,54,0,132,0,132,8,17,0,132,43,52,0,132,204,101,147,104,38,42,9,16,0,132,10,17,0,132,328,102,84,61,48,49,9,18,10,16,177,107,0,132,42,37,0,132,9,15,0,132,0,132,33,34,0,132,43.68,84.31,4.9,57.01,78.57,22.4
2010,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,913,122,10,17,17,21,101,63,272,111,72,48,35,33,64,54,134,82,190,93,18,21,913,122,19,23,0,132,0,132,11,19,0,132,8,13,0,132,393,119,75,55,150,100,22,24,12,19,134,89,0,132,343,101,43,35,55,51,39,39,14,22,174,85,18,21,158,78,10,17,67,62,0,132,9,15,72,48,0,132,46.33,42.11,37.15,54.81,51.27,20.81
2010,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,853,153,63,49,92,58,146,68,128,73,82,57,22,24,50,53,67,60,192,105,11,16,853,153,32,25,18,21,0,132,7,11,0,132,7,11,0,132,232,102,93,61,37,49,36,47,10,16,56,57,0,132,509,137,179,90,91,54,29,27,12,18,198,96,0,132,80,64,11,17,0,132,10,17,0,132,48,57,11,16,38.8,21.88,28.45,41.26,60.0,22.51
2010,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1193,199,76,83,128,72,179,84,110,77,59,59,177,85,25,29,103,78,317,141,19,24,1193,199,52,52,2,14,0,132,0,132,0,132,50,49,0,132,332,113,89,51,41,44,31,46,90,71,72,42,9,18,738,184,273,134,69,59,28,33,87,63,271,126,10,17,71,53,19,17,0,132,0,132,0,132,52,49,0,132,52.14,96.15,48.8,48.51,73.24,26.57
2010,6037620602,Census Tract 6206.02,Redondo Beach,Los Angeles County,California,RedondoBeach,701,190,0,132,52,54,26,37,62,60,103,97,95,80,63,61,29,46,209,127,62,44,701,190,32,34,0,132,0,132,0,132,0,132,0,132,32,34,248,116,22,30,16,27,70,89,47,69,80,67,13,19,357,123,56,68,46,51,33,43,48,39,174,118,0,132,64,47,0,132,0,132,0,132,0,132,47,38,17,27,56.49,0.0,51.21,62.18,73.44,29.81
2010,6037620701,Census Tract 6207.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1392,168,93,81,68,48,169,95,141,95,187,122,185,124,0,132,97,98,395,137,57,41,1392,168,128,109,0,132,0,132,0,132,57,86,57,74,14,23,411,158,74,58,39,46,93,105,128,96,57,77,20,23,659,187,243,120,94,70,85,66,0,132,214,121,23,28,194,78,13,20,8,15,9,14,0,132,164,74,0,132,48.64,89.06,45.01,32.47,84.54,28.38
2010,6037620702,Census Tract 6207.02,Redondo Beach,Los Angeles County,California,RedondoBeach,708,161,17,27,67,55,59,52,98,62,157,76,80,56,29,32,48,36,153,102,0,132,708,161,30,37,0,132,0,132,15,25,0,132,15,25,0,132,274,114,65,52,39,49,33,35,45,39,92,89,0,132,368,130,78,54,59,40,109,64,18,30,104,63,0,132,36,39,0,132,0,132,0,132,17,28,19,28,0,132,43.79,50.0,50.0,33.15,100.0,21.61
2010,6037621201,Census Tract 6212.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1136,166,36,43,94,58,277,123,224,104,155,96,76,68,14,22,66,41,194,107,0,132,1136,166,11,17,0,132,0,132,0,132,0,132,11,17,0,132,461,141,191,104,65,69,81,77,76,68,48,59,0,132,635,148,216,107,159,90,74,56,0,132,186,96,0,132,29,27,0,132,0,132,0,132,0,132,29,27,0,132,30.81,100.0,26.9,29.29,100.0,17.08
2010,6037621204,Census Tract 6212.04,Redondo Beach,Los Angeles County,California,RedondoBeach,1426,185,70,68,111,67,225,102,126,69,237,110,95,61,77,43,112,78,227,110,146,119,1426,185,81,59,25,28,0,132,0,132,13,22,43,40,0,132,252,128,40,36,46,44,29,32,14,24,71,70,52,83,739,187,312,139,80,53,118,79,43,41,117,55,69,86,354,114,29,33,0,132,90,82,25,29,185,100,25,29,35.83,69.14,33.73,21.65,59.32,15.92
2010,6037621301,Census Tract 6213.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1415,171,28,32,98,56,165,100,131,87,231,123,130,77,116,105,43,41,386,144,87,83,1415,171,73,92,0,132,0,132,0,132,0,132,73,92,0,132,363,120,66,49,59,69,90,70,0,132,109,75,39,59,819,193,212,94,72,57,97,81,118,74,284,145,36,54,160,77,13,20,0,132,44,55,12,19,79,43,12,19,47.7,100.0,30.03,49.08,56.88,27.28
2010,6037621324,Census Tract 6213.24,Redondo Beach,Los Angeles County,California,RedondoBeach,1347,177,54,49,78,73,207,132,176,96,192,90,156,105,62,47,87,73,250,132,85,95,1347,177,28,36,0,132,0,132,0,132,13,24,15,24,0,132,402,158,90,87,105,89,59,46,62,66,86,62,0,132,786,175,249,135,55,39,127,74,81,65,189,115,85,95,131,82,0,132,16,22,6,10,0,132,109,84,0,132,41.2,100.0,36.82,34.35,83.21,18.56
2010,6037621326,Census Tract 6213.26,Redondo Beach,Los Angeles County,California,RedondoBeach,1378,170,25,28,150,79,161,74,248,105,248,103,186,92,55,44,37,37,229,103,39,35,1378,170,123,70,0,132,30,42,30,48,0,132,63,71,0,132,276,96,50,40,58,40,60,59,34,33,74,47,0,132,875,160,275,88,108,72,158,87,139,82,167,75,28,31,104,57,11,18,52,43,0,132,13,20,17,21,11,17,36.79,51.22,39.13,34.97,28.85,16.62
2010,6037621400,Census Tract 6214,Redondo Beach,Los Angeles County,California,RedondoBeach,961,107,31,48,121,75,106,63,305,122,76,61,20,23,40,36,112,82,114,68,36,28,961,107,54,57,0,132,18,21,0,132,0,132,36,49,0,132,216,88,31,30,111,74,31,28,0,132,43,36,0,132,600,141,227,92,145,102,32,50,20,23,147,93,29,29,91,62,0,132,31,48,13,20,0,132,40,36,7,11,29.76,66.67,19.91,27.83,43.96,11.86
2010,6037650502,Census Tract 6505.02,Redondo Beach,Los Angeles County,California,RedondoBeach,507,117,0,132,36,34,75,73,54,46,30,29,66,58,82,78,46,46,100,75,18,20,507,117,0,132,0,132,0,132,0,132,0,132,0,132,0,132,131,92,41,52,30,36,9,14,13,21,38,58,0,132,367,103,70,63,24,26,21,24,53,53,181,94,18,20,9,15,0,132,0,132,0,132,0,132,9,15,0,132,57.99,,38.93,63.76,100.0,19.72
2011,6037620501,Census Tract 6205.01,Redondo Beach,Los Angeles County,California,RedondoBeach,622,152,130,118,45,48,40,38,120,71,35,40,0,95,70,98,0,95,182,92,0,95,622,152,66,76,0,95,0,95,5,11,0,95,61,77,0,95,190,115,123,102,44,48,23,37,0,95,0,95,0,95,329,127,92,73,76,54,7,11,0,95,154,114,0,95,37,39,0,95,0,95,0,95,0,95,37,39,0,95,40.51,92.42,0.0,46.81,100.0,29.26
2011,6037620521,Census Tract 6205.21,Redondo Beach,Los Angeles County,California,RedondoBeach,917,125,5,7,29,28,171,90,172,81,100,60,20,18,54,40,134,78,202,83,30,27,917,125,18,21,0,95,8,13,10,16,0,95,0,95,0,95,354,121,131,79,53,49,24,27,7,11,139,94,0,95,439,133,69,45,61,45,59,56,5,8,215,113,30,27,106,62,5,7,50,51,7,11,8,12,36,31,0,95,44.71,0.0,41.24,50.11,41.51,22.03
2011,6037620522,Census Tract 6205.22,Redondo Beach,Los Angeles County,California,RedondoBeach,712,142,38,30,80,68,98,58,96,73,59,33,21,23,61,64,57,55,193,92,9,15,712,142,44,35,30,32,0,95,9,15,0,95,5,8,0,95,176,99,103,69,32,51,19,23,11,17,11,18,0,95,425,132,83,51,64,51,23,26,10,16,245,104,0,95,67,56,0,95,0,95,8,13,0,95,50,54,9,15,46.63,11.36,12.5,60.0,74.63,27.11
2011,6037620601,Census Tract 6206.01,Redondo Beach,Los Angeles County,California,RedondoBeach,1240,150,93,73,150,78,179,100,105,70,76,59,235,119,46,37,63,56,267,117,26,30,1240,150,64,56,10,22,0,95,0,95,0,95,54,52,0,95,375,115,132,73,46,50,40,43,104,74,37,30,16,25,717,158,261,124,59,49,19,27,131,100,237,112,10,16,84,59,19,16,0,95,17,29,0,95,48,52,0,95,49.27,84.38,37.6,51.32,57.14,21.53
