YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037432201,Census Tract 4322.01,Rosemead,Los Angeles County,California,Rosemead,529,225,29,41,20,24,43,39,53,50,25,29,232,210,0,14,9,14,111,57,7,13,529,225,0,14,0,14,0,14,0,14,0,14,0,14,0,14,60,59,19,31,0,14,0,14,24,37,17,25,0,14,244,105,59,52,9,14,25,29,80,84,71,47,0,14,225,210,14,21,44,48,0,14,128,198,32,26,7,13,66.54,,68.33,61.89,71.11,20.98,Not Available,68.33%,61.89%,71.11%,1
2023,6037432202,Census Tract 4322.02,Rosemead,Los Angeles County,California,Rosemead,475,128,0,14,48,49,44,52,91,47,66,55,0,14,10,16,65,53,102,74,49,42,475,128,49,35,0,14,0,14,0,14,0,14,49,35,0,14,98,78,58,64,0,14,25,39,0,14,15,23,0,14,230,90,6,12,70,42,33,36,0,14,72,65,49,42,98,73,28,30,21,33,8,13,0,14,41,52,0,14,37.26,100.0,15.31,31.3,41.84,21.47,100.0%,15.31%,31.3%,41.84%,1
2023,6037432901,Census Tract 4329.01,Rosemead,Los Angeles County,California,Rosemead,717,114,0,14,53,55,56,66,14,22,113,48,88,60,55,43,6,11,302,101,30,38,717,114,69,69,38,61,0,14,0,14,16,21,15,24,0,14,83,60,10,16,0,14,36,35,5,11,32,38,0,14,396,106,61,58,14,22,77,27,67,58,177,89,0,14,169,80,0,14,0,14,0,14,0,14,139,75,30,38,62.9,44.93,44.58,61.62,82.25,42.12,44.93%,44.58%,61.62%,82.25%,1
2023,6037432902,Census Tract 4329.02,Rosemead,Los Angeles County,California,Rosemead,261,70,11,12,16,18,49,33,29,27,3,5,16,14,8,9,51,36,58,37,20,21,261,70,4,6,0,14,0,14,0,14,0,14,4,6,0,14,51,41,0,14,4,7,0,14,7,10,28,30,12,18,125,51,27,22,25,27,0,14,5,9,60,34,8,10,81,42,49,34,0,14,3,5,4,6,25,25,0,14,50.96,100.0,68.63,52.0,35.8,22.22,100.0%,68.63%,52.0%,35.8%,1
2023,6037433601,Census Tract 4336.01,Rosemead,Los Angeles County,California,Rosemead,783,160,30,28,10,16,60,52,58,43,92,85,0,14,96,77,139,95,143,97,155,82,783,160,0,14,0,14,0,14,0,14,0,14,0,14,0,14,107,79,0,14,5,9,27,44,0,14,66,66,9,16,544,146,64,42,20,25,65,76,0,14,306,118,89,62,132,77,36,51,33,36,0,14,0,14,6,11,57,48,48.28,,61.68,56.25,4.55,18.26,Not Available,61.68%,56.25%,4.55%,1
2023,6037433602,Census Tract 4336.02,Rosemead,Los Angeles County,California,Rosemead,449,86,0,14,16,19,54,37,57,32,17,18,52,36,15,15,28,22,181,80,29,27,449,86,49,47,0,14,0,14,0,14,0,14,49,47,0,14,7,11,7,11,0,14,0,14,0,14,0,14,0,14,268,79,63,40,35,28,17,18,11,11,135,64,7,11,125,50,0,14,22,17,0,14,41,35,40,27,22,25,61.47,100.0,0.0,54.48,64.8,40.31,100.0%,0.0%,54.48%,64.8%,1
2023,6037481300,Census Tract 4813,Rosemead,Los Angeles County,California,Rosemead,304,96,12,14,16,21,17,23,41,35,4,6,101,84,12,19,14,13,45,27,42,34,304,96,0,14,0,14,0,14,0,14,0,14,0,14,0,14,22,26,0,14,0,14,0,14,18,29,0,14,4,8,244,97,45,34,32,31,0,14,77,80,55,31,35,34,38,27,0,14,9,13,4,6,6,9,16,18,3,5,56.58,,81.82,54.1,57.89,14.8,Not Available,81.82%,54.1%,57.89%,1
2023,6037482303,Census Tract 4823.03,Rosemead,Los Angeles County,California,Rosemead,878,123,7,11,23,27,53,36,96,57,91,58,150,84,75,58,88,60,258,92,37,45,878,123,30,36,0,14,11,18,0,14,0,14,19,31,0,14,185,83,21,24,5,8,0,14,22,25,137,75,0,14,435,114,47,34,42,37,25,30,128,82,182,81,11,17,228,88,15,18,38,38,66,59,0,14,83,59,26,41,65.03,63.33,85.95,71.26,36.4,29.38,63.33%,85.95%,71.26%,36.4%,1
2023,6037482304,Census Tract 4823.04,Rosemead,Los Angeles County,California,Rosemead,602,125,25,32,48,35,75,56,39,32,68,48,15,14,31,33,78,60,155,53,68,45,602,125,5,8,0,14,0,14,0,14,0,14,5,8,0,14,77,46,37,30,0,14,16,25,5,8,19,23,0,14,461,119,111,65,32,28,52,36,0,14,209,85,57,44,59,32,0,14,7,10,0,14,10,12,31,25,11,12,46.35,100.0,31.17,45.34,69.49,25.75,100.0%,31.17%,45.34%,69.49%,1
2023,6037482401,Census Tract 4824.01,Rosemead,Los Angeles County,California,Rosemead,719,118,19,24,56,54,175,94,38,29,28,24,25,30,41,36,22,16,309,78,6,10,719,118,18,28,0,14,0,14,0,14,0,14,18,28,0,14,59,41,19,27,8,11,0,14,0,14,32,28,0,14,469,96,188,74,30,27,28,24,4,6,219,83,0,14,173,84,43,64,0,14,0,14,21,29,103,49,6,10,55.22,100.0,54.24,47.55,71.68,42.98,100.0%,54.24%,47.55%,71.68%,1
