YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037403326,Census Tract 4033.26,Rowland Heights,Los Angeles County,California,RowlandHeights,171,81,0,14,11,14,15,23,20,26,18,17,0,14,41,60,0,14,53,44,13,19,171,81,4,6,0,14,0,14,0,14,0,14,4,6,0,14,31,33,0,14,0,14,0,14,0,14,31,33,0,14,89,49,26,28,20,26,12,14,0,14,18,27,13,19,47,61,0,14,0,14,6,9,0,14,41,60,0,14,54.97,100.0,100.0,20.22,87.23,30.99,100.0%,100.0%,20.22%,87.23%,1
2023,6037408212,Census Tract 4082.12,Rowland Heights,Los Angeles County,California,RowlandHeights,279,100,0,14,20,24,50,44,44,61,8,14,9,14,8,13,0,14,88,49,52,52,279,100,0,14,0,14,0,14,0,14,0,14,0,14,0,14,80,58,61,41,0,14,0,14,0,14,0,14,19,32,128,85,9,14,44,61,8,14,9,14,58,45,0,14,71,48,0,14,0,14,0,14,0,14,38,28,33,40,37.63,,0.0,52.34,53.52,31.54,Not Available,0.0%,52.34%,53.52%,1
2023,6037408213,Census Tract 4082.13,Rowland Heights,Los Angeles County,California,RowlandHeights,798,155,6,10,86,78,79,88,99,67,102,70,62,40,81,61,103,88,153,76,27,28,798,155,40,43,0,19,0,19,22,36,0,19,18,26,0,19,236,116,62,86,34,39,57,55,24,31,59,44,0,19,461,151,103,83,56,45,23,34,38,28,214,110,27,28,61,51,6,10,9,15,0,19,0,19,46,48,0,19,50.0,45.0,35.17,54.66,75.41,19.17,45.0%,35.17%,54.66%,75.41%,1
2023,6037408626,Census Tract 4086.26,Rowland Heights,Los Angeles County,California,RowlandHeights,467,134,9,15,0,14,12,21,109,82,32,37,27,28,0,14,29,44,197,108,52,47,467,134,64,69,0,14,0,14,0,14,0,14,64,69,0,14,162,109,0,14,43,48,0,14,8,14,88,78,23,36,203,101,9,15,66,64,32,37,19,23,67,50,10,17,38,39,12,21,0,14,0,14,0,14,7,15,19,23,54.18,100.0,59.26,42.36,18.42,42.18,100.0%,59.26%,42.36%,18.42%,1
2023,6037408627,Census Tract 4086.27,Rowland Heights,Los Angeles County,California,RowlandHeights,122,58,0,14,15,21,7,11,23,37,6,7,12,20,12,20,14,20,9,12,24,27,122,58,0,14,0,14,0,14,0,14,0,14,0,14,0,14,6,10,0,14,0,14,0,14,0,14,0,14,6,10,97,55,15,21,23,37,6,7,0,14,35,30,18,25,19,23,7,11,0,14,0,14,12,20,0,14,0,14,38.52,,0.0,36.08,63.16,7.38,Not Available,0.0%,36.08%,63.16%,1
2023,6037408703,Census Tract 4087.03,Rowland Heights,Los Angeles County,California,RowlandHeights,122,66,0,19,0,19,25,38,19,22,0,19,0,19,0,19,24,37,24,25,30,26,122,66,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,12,0,19,0,19,0,19,0,19,0,19,8,12,93,64,25,38,6,10,0,19,0,19,48,45,14,19,21,24,0,19,13,20,0,19,0,19,0,19,8,13,39.34,,0.0,51.61,0.0,19.67,Not Available,0.0%,51.61%,0.0%,1
2023,6037408705,Census Tract 4087.05,Rowland Heights,Los Angeles County,California,RowlandHeights,481,135,0,19,17,20,14,20,72,66,45,58,55,56,59,63,56,53,124,77,39,32,481,135,0,19,0,19,0,19,0,19,0,19,0,19,0,19,98,82,0,19,5,9,0,19,0,19,93,83,0,19,293,127,25,26,67,66,45,58,39,48,112,79,5,9,90,57,6,10,0,19,0,19,16,26,34,35,34,31,61.12,,94.9,51.54,55.56,25.78,Not Available,94.9%,51.54%,55.56%,1
2023,6037408707,Census Tract 4087.07,Rowland Heights,Los Angeles County,California,RowlandHeights,177,101,46,64,0,19,3,7,21,32,48,53,0,19,0,19,1,9,31,33,27,26,177,101,0,19,0,19,0,19,0,19,0,19,0,19,0,19,23,30,0,19,0,19,0,19,0,19,23,30,0,19,146,96,49,63,21,32,48,53,0,19,9,14,19,24,8,12,0,19,0,19,0,19,0,19,0,19,8,12,18.08,,100.0,6.16,0.0,17.51,Not Available,100.0%,6.16%,0.0%,1
2023,6037408722,Census Tract 4087.22,Rowland Heights,Los Angeles County,California,RowlandHeights,208,86,0,14,0,14,0,14,13,23,0,14,40,44,56,62,13,22,81,51,5,8,208,86,0,14,0,14,0,14,0,14,0,14,0,14,0,14,77,68,0,14,13,23,0,14,31,48,33,45,0,14,109,49,0,14,0,14,0,14,9,15,95,50,5,8,22,22,0,14,0,14,0,14,0,14,22,22,0,14,91.35,,83.12,95.41,100.0,38.94,Not Available,83.12%,95.41%,100.0%,1
2023,6037408724,Census Tract 4087.24,Rowland Heights,Los Angeles County,California,RowlandHeights,1569,156,58,56,81,58,234,118,202,99,251,120,144,79,55,47,117,71,359,114,68,43,1569,156,134,88,37,51,17,29,0,19,0,19,80,63,0,19,340,135,30,27,26,31,82,87,17,18,185,103,0,19,933,145,270,112,126,78,150,71,127,76,203,94,57,39,162,83,36,44,33,39,19,21,0,19,63,47,11,17,43.02,59.7,59.41,35.37,38.89,22.88,59.7%,59.41%,35.37%,38.89%,1
2023,6037408725,Census Tract 4087.25,Rowland Heights,Los Angeles County,California,RowlandHeights,858,188,40,39,41,37,41,35,51,38,119,134,81,74,63,42,49,39,304,103,69,63,858,188,0,19,0,19,0,19,0,19,0,19,0,19,0,19,53,39,0,19,0,19,9,13,7,12,37,36,0,19,526,124,92,51,45,36,26,26,74,74,250,103,39,44,279,157,30,30,6,10,84,132,0,19,129,67,30,31,57.93,,83.02,61.6,46.24,35.43,Not Available,83.02%,61.6%,46.24%,1
2023,6037980035,Census Tract 9800.35,Rowland Heights,Los Angeles County,California,RowlandHeights,91,40,1,3,14,18,7,11,9,10,0,14,31,27,5,7,14,16,10,16,0,14,91,40,10,16,0,14,0,14,0,14,0,14,10,16,0,14,7,7,2,2,1,2,0,14,0,14,4,6,0,14,64,39,13,18,7,8,0,14,31,27,13,17,0,14,10,11,7,11,1,3,0,14,0,14,2,3,0,14,65.93,100.0,57.14,68.75,20.0,10.99,100.0%,57.14%,68.75%,20.0%,1
