YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037400207,Census Tract 4002.07,San Dimas,Los Angeles County,California,SanDimas,57,47,0,132,0,132,0,132,42,41,15,23,0,132,0,132,0,132,0,132,0,132,57,47,0,132,0,132,0,132,0,132,0,132,0,132,0,132,27,42,0,132,27,42,0,132,0,132,0,132,0,132,30,30,0,132,15,18,15,23,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0.0,,0.0,0.0,,0.0
2010,6037400302,Census Tract 4003.02,San Dimas,Los Angeles County,California,SanDimas,457,87,0,132,72,72,29,31,34,39,51,48,80,58,29,28,21,23,141,76,0,132,457,87,33,38,0,132,0,132,0,132,0,132,33,38,0,132,69,59,0,132,23,33,0,132,46,52,0,132,0,132,196,75,86,77,11,18,0,132,0,132,99,62,0,132,159,53,15,20,0,132,51,48,34,25,59,49,0,132,59.3,100.0,66.67,50.51,58.49,30.85
2010,6037400304,Census Tract 4003.04,San Dimas,Los Angeles County,California,SanDimas,1224,165,59,50,94,80,164,96,177,115,128,100,40,63,12,20,100,96,341,149,109,90,1224,165,65,58,0,132,0,132,32,52,0,132,22,26,11,18,322,138,112,88,12,20,11,20,40,63,107,97,40,64,551,171,190,97,133,97,27,20,0,132,160,103,41,57,286,108,15,25,32,51,58,61,0,132,164,93,17,23,40.28,33.85,45.65,29.04,57.34,27.86
2010,6037400403,Census Tract 4004.03,San Dimas,Los Angeles County,California,SanDimas,403,104,11,18,23,26,0,132,52,41,69,66,17,19,56,61,42,63,94,68,39,49,403,104,0,132,0,132,0,132,0,132,0,132,0,132,0,132,99,70,8,14,6,11,28,47,7,11,50,49,0,132,260,110,26,29,46,39,41,47,10,16,105,89,32,47,44,47,0,132,0,132,0,132,0,132,37,47,7,11,51.86,,57.58,44.23,84.09,23.33
2010,6037401202,Census Tract 4012.02,San Dimas,Los Angeles County,California,SanDimas,110,62,0,132,0,132,26,24,10,19,20,31,0,132,28,40,9,15,17,21,0,132,110,62,17,21,0,132,0,132,0,132,0,132,17,21,0,132,35,40,7,11,0,132,0,132,0,132,28,40,0,132,58,44,19,22,10,19,20,31,0,132,9,15,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,49.09,100.0,80.0,15.52,,15.45
2010,6037401303,Census Tract 4013.03,San Dimas,Los Angeles County,California,SanDimas,76,43,0,132,0,132,0,132,0,132,12,21,21,35,0,132,43,37,0,132,0,132,76,43,0,132,0,132,0,132,0,132,0,132,0,132,0,132,21,35,0,132,0,132,0,132,21,35,0,132,0,132,55,38,0,132,0,132,12,21,0,132,43,37,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,84.21,,100.0,78.18,,0.0
2010,6037401304,Census Tract 4013.04,San Dimas,Los Angeles County,California,SanDimas,354,127,0,132,20,31,10,16,15,23,64,70,0,132,48,62,59,46,36,59,102,90,354,127,0,132,0,132,0,132,0,132,0,132,0,132,0,132,112,77,0,132,15,23,38,62,0,132,59,46,0,132,84,74,20,31,0,132,14,23,0,132,0,132,50,63,158,102,10,16,0,132,12,19,0,132,84,86,52,65,40.4,,52.68,0.0,53.16,10.17
2010,6037401311,Census Tract 4013.11,San Dimas,Los Angeles County,California,SanDimas,1036,129,54,60,101,55,66,55,167,98,154,100,35,33,199,106,136,101,114,50,10,16,1036,129,22,19,0,132,0,132,0,132,0,132,22,19,0,132,353,132,63,61,80,79,64,66,10,17,136,95,0,132,536,153,146,81,51,57,90,78,15,23,234,113,0,132,125,45,12,20,36,33,0,132,10,16,57,31,10,16,46.72,100.0,41.36,46.46,53.6,11.0
2010,6037401312,Census Tract 4013.12,San Dimas,Los Angeles County,California,SanDimas,118,59,0,132,28,33,0,132,71,45,0,132,0,132,0,132,9,15,10,16,0,132,118,59,0,132,0,132,0,132,0,132,0,132,0,132,0,132,55,51,18,28,37,41,0,132,0,132,0,132,0,132,63,40,10,16,34,26,0,132,0,132,19,22,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,16.1,,0.0,30.16,,8.47
2010,6037403703,Census Tract 4037.03,San Dimas,Los Angeles County,California,SanDimas,107,61,0,132,12,19,21,30,0,132,0,132,0,132,10,17,0,132,64,59,0,132,107,61,0,132,0,132,0,132,0,132,0,132,0,132,0,132,23,32,0,132,0,132,0,132,0,132,23,32,0,132,44,37,33,33,0,132,0,132,0,132,11,17,0,132,40,42,0,132,0,132,0,132,0,132,40,42,0,132,69.16,,100.0,25.0,100.0,59.81
