YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037464200,Census Tract 4642,San Gabriel,Los Angeles County,California,SanGabriel,181,73,0,132,6,17,64,58,0,132,37,36,19,21,0,132,11,16,0,132,44,34,181,73,8,12,0,132,0,132,0,132,8,12,0,132,0,132,62,61,39,54,0,132,0,132,0,132,0,132,23,25,100,53,31,33,0,132,37,36,11,17,11,16,10,17,11,17,0,132,0,132,0,132,0,132,0,132,11,17,16.57,100.0,0.0,22.0,0.0,0.0
2010,6037480002,Census Tract 4800.02,San Gabriel,Los Angeles County,California,SanGabriel,147,78,0,132,36,41,11,18,50,40,0,132,0,132,0,132,27,39,12,20,11,17,147,78,0,132,0,132,0,132,0,132,0,132,0,132,0,132,11,17,11,17,0,132,0,132,0,132,0,132,0,132,112,74,36,42,37,35,0,132,0,132,39,42,0,132,24,26,0,132,13,20,0,132,0,132,0,132,11,17,26.53,,0.0,34.82,0.0,8.16
2010,6037480102,Census Tract 4801.02,San Gabriel,Los Angeles County,California,SanGabriel,410,99,12,18,29,29,0,132,29,35,71,60,29,28,32,28,57,45,114,56,37,44,410,99,0,132,0,132,0,132,0,132,0,132,0,132,0,132,106,59,10,16,11,20,36,44,9,15,40,39,0,132,235,70,24,26,18,27,35,40,20,24,124,52,14,22,69,51,7,12,0,132,0,132,0,132,39,32,23,38,56.59,,46.23,61.28,56.52,27.8
2010,6037480201,Census Tract 4802.01,San Gabriel,Los Angeles County,California,SanGabriel,182,87,0,132,22,25,8,15,20,24,0,132,0,132,34,52,10,16,24,24,64,61,182,87,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,137,76,30,29,20,24,0,132,0,132,50,56,37,47,45,46,0,132,0,132,0,132,0,132,18,21,27,42,37.36,,,36.5,40.0,13.19
2010,6037480202,Census Tract 4802.02,San Gabriel,Los Angeles County,California,SanGabriel,167,73,0,132,30,44,0,132,27,30,9,14,47,36,0,132,13,19,11,19,30,37,167,73,0,132,0,132,0,132,0,132,0,132,0,132,0,132,40,45,30,44,0,132,0,132,10,16,0,132,0,132,97,57,0,132,27,30,9,14,37,36,24,27,0,132,30,37,0,132,0,132,0,132,0,132,0,132,30,37,42.51,,25.0,62.89,0.0,6.59
2010,6037480302,Census Tract 4803.02,San Gabriel,Los Angeles County,California,SanGabriel,983,111,33,31,112,65,158,78,77,51,168,73,65,54,69,49,101,65,131,49,69,48,983,111,61,46,10,17,0,132,21,33,0,132,30,29,0,132,265,90,156,75,36,44,33,26,9,14,31,50,0,132,371,98,110,64,30,28,21,23,20,22,153,69,37,35,286,62,27,27,11,17,93,55,36,44,87,48,32,46,37.23,49.18,15.09,46.63,43.01,13.33
2010,6037481101,Census Tract 4811.01,San Gabriel,Los Angeles County,California,SanGabriel,1162,98,71,64,60,46,225,112,54,38,192,94,116,75,44,46,35,41,304,87,61,46,1162,98,12,19,0,132,0,132,0,132,0,132,12,19,0,132,407,97,145,74,33,31,79,64,0,132,142,80,8,12,705,121,204,97,21,21,95,60,116,75,222,77,47,42,38,35,7,11,0,132,18,30,0,132,7,15,6,10,42.94,100.0,34.89,47.94,18.42,26.16
2010,6037481102,Census Tract 4811.02,San Gabriel,Los Angeles County,California,SanGabriel,1204,112,51,40,145,81,136,77,155,76,162,86,51,39,38,31,136,67,289,96,41,39,1204,112,109,67,39,44,18,28,0,132,6,9,32,35,14,16,337,106,126,71,74,55,55,56,26,32,36,40,20,33,682,126,157,80,55,48,99,67,19,21,345,103,7,11,76,42,10,15,8,14,8,12,0,132,50,38,0,132,42.69,34.86,18.4,53.37,65.79,24.0
2010,6037481103,Census Tract 4811.03,San Gabriel,Los Angeles County,California,SanGabriel,627,115,0,132,14,19,57,61,42,32,54,46,61,52,14,21,104,75,251,94,30,29,627,115,13,15,0,132,0,132,8,13,0,132,5,9,0,132,143,81,0,132,0,132,0,132,40,49,103,71,0,132,360,104,71,62,31,28,35,42,21,24,183,83,19,21,111,66,0,132,11,17,11,17,0,132,78,59,11,18,68.58,38.46,100.0,56.67,70.27,40.03
2010,6037481202,Census Tract 4812.02,San Gabriel,Los Angeles County,California,SanGabriel,852,133,25,38,43,72,25,28,140,108,97,66,44,46,47,43,96,67,267,138,68,81,852,133,75,57,0,132,0,132,20,29,15,24,40,45,0,132,220,102,14,22,72,76,15,24,12,21,88,59,19,31,532,149,79,86,53,81,62,56,17,28,272,132,49,75,25,29,0,132,15,23,0,132,0,132,10,17,0,132,53.29,73.33,45.45,54.32,40.0,31.34
