YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,352,77,4,8,19,18,39,25,43,40,71,46,34,24,22,18,29,23,80,39,11,13,352,77,4,7,0,14,0,14,0,14,0,14,4,7,0,14,89,38,14,14,10,8,27,27,9,10,29,24,0,14,202,71,48,28,33,40,44,39,18,16,54,36,5,9,57,31,0,14,0,14,0,14,7,11,44,28,6,10,46.88,100.0,42.7,35.64,89.47,22.73,100.0%,42.7%,35.64%,89.47%,1
2014,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,389,69,28,38,42,35,29,20,91,57,60,37,20,17,26,25,41,34,36,35,16,15,389,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,156,54,29,27,29,30,56,38,6,9,36,30,0,12,189,66,59,47,58,44,4,8,5,8,52,39,11,13,44,32,11,16,4,8,0,12,9,13,15,20,5,8,31.62,,26.92,30.16,54.55,9.25,Not Available,26.92%,30.16%,54.55%,1
2022,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,347,69,4,6,16,16,50,33,38,40,82,40,9,8,25,20,51,33,50,30,22,19,347,69,16,26,0,13,0,13,0,13,0,13,16,26,0,13,68,36,4,6,5,8,26,24,3,4,30,24,0,13,217,81,62,37,33,39,56,41,6,9,45,27,15,16,46,29,4,6,0,13,0,13,0,13,35,27,7,10,38.9,100.0,48.53,23.5,76.09,14.41,100.0%,48.53%,23.5%,76.09%,1
2017,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,386,68,5,7,34,24,23,18,34,31,44,33,59,40,28,27,38,31,103,51,18,17,386,68,4,6,0,12,0,12,0,12,0,12,4,6,0,12,178,59,32,25,22,28,27,29,22,27,62,33,13,14,166,53,22,15,12,13,11,12,37,29,79,47,5,7,38,29,8,11,0,12,6,9,0,12,24,26,0,12,59.07,100.0,47.19,69.88,63.16,26.68,100.0%,47.19%,69.88%,63.16%,1
2019,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,418,69,5,7,14,12,44,32,17,16,59,37,59,46,34,27,26,22,146,53,14,13,418,69,20,22,0,12,0,12,0,12,0,12,20,22,0,12,110,49,12,13,5,8,33,31,18,28,31,24,11,12,205,60,41,27,12,14,20,17,41,37,88,45,3,6,83,46,10,11,0,12,6,8,0,12,67,43,0,12,63.4,100.0,44.55,62.93,80.72,34.93,100.0%,44.55%,62.93%,80.72%,1
2016,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,370,60,5,7,34,30,29,20,43,32,53,38,37,33,24,28,51,33,83,36,11,13,370,60,0,12,0,12,0,12,0,12,0,12,0,12,0,12,176,55,36,25,32,31,44,37,5,7,59,39,0,12,170,66,32,25,11,13,4,6,32,33,88,46,3,6,24,22,0,12,0,12,5,9,0,12,11,17,8,11,52.7,,36.36,70.59,45.83,22.43,Not Available,36.36%,70.59%,45.83%,1
2018,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,398,71,5,8,15,12,37,29,44,35,42,25,62,43,27,25,31,24,122,51,13,12,398,71,11,14,0,12,0,12,0,12,0,12,11,14,0,12,116,44,14,13,23,30,11,13,20,23,37,24,11,12,224,68,31,22,21,19,25,21,42,37,103,49,2,5,47,32,12,12,0,12,6,9,0,12,29,30,0,12,60.8,100.0,49.14,64.73,61.7,30.65,100.0%,49.14%,64.73%,61.7%,1
2021,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,341,74,4,7,8,11,35,29,46,44,52,31,28,32,27,20,27,23,76,33,38,30,341,74,19,20,0,13,0,13,0,13,0,13,19,20,0,13,91,45,4,7,10,10,30,27,15,22,11,12,21,24,179,61,38,30,36,43,22,17,13,21,58,34,12,15,52,29,5,8,0,13,0,13,0,13,42,28,5,9,46.33,100.0,28.57,39.66,80.77,22.29,100.0%,28.57%,39.66%,80.77%,1
2010,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,364,84,27,29,29,24,59,47,81,57,44,42,29,29,46,34,9,12,40,39,0,132,364,84,45,34,0,132,0,132,0,132,6,11,39,32,0,132,79,59,42,42,25,37,0,132,0,132,12,15,0,132,209,65,65,40,56,48,44,42,0,132,44,39,0,132,31,31,8,14,0,132,0,132,23,27,0,132,0,132,34.07,100.0,15.19,21.05,74.19,10.99,100.0%,15.19%,21.05%,74.19%,1
2015,6037463300,Census Tract 4633,San Pasqual,Los Angeles County,California,SanPasqual,351,62,5,8,35,31,27,18,44,33,69,44,9,10,50,33,39,34,56,41,17,16,351,62,0,12,0,12,0,12,0,12,0,12,0,12,0,12,166,49,36,26,28,31,59,41,5,7,38,33,0,12,152,55,31,26,11,12,4,6,4,7,90,53,12,14,33,25,0,12,5,7,6,8,0,12,17,20,5,8,43.87,,25.9,61.84,51.52,15.95,Not Available,25.9%,61.84%,51.52%,1
