YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037910807,Census Tract 9108.07,Santa Clarita,Los Angeles County,California,SantaClarita,307,99,0,19,18,20,42,34,19,27,30,48,32,37,9,15,38,48,44,35,75,62,307,99,0,19,0,19,0,19,0,19,0,19,0,19,0,19,64,55,11,19,0,19,0,19,25,36,28,44,0,19,190,82,40,31,19,27,30,48,7,12,56,38,38,44,53,50,9,14,0,19,0,19,0,19,7,12,37,45,40.07,,82.81,33.16,13.21,14.33,Not Available,82.81%,33.16%,13.21%,1
2023,6037910808,Census Tract 9108.08,Santa Clarita,Los Angeles County,California,SantaClarita,38,32,0,14,10,16,0,14,0,14,8,12,8,14,12,19,0,14,0,14,0,14,38,32,0,14,0,14,0,14,0,14,0,14,0,14,0,14,12,19,0,14,0,14,0,14,0,14,12,19,0,14,26,24,10,16,0,14,8,12,8,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,52.63,,100.0,30.77,,0.0,Not Available,100.0%,30.77%,Not Available,1
2023,6037910809,Census Tract 9108.09,Santa Clarita,Los Angeles County,California,SantaClarita,29,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,17,25,12,13,29,27,0,14,0,14,0,14,0,14,0,14,0,14,0,14,23,26,0,14,0,14,0,14,0,14,17,25,6,9,6,9,0,14,0,14,0,14,0,14,0,14,6,9,0,14,0,14,0,14,0,14,0,14,0,14,0,14,58.62,,73.91,0.0,,58.62,Not Available,73.91%,0.0%,Not Available,1
2023,6037910810,Census Tract 9108.10,Santa Clarita,Los Angeles County,California,SantaClarita,63,53,0,14,10,15,0,14,0,14,0,14,0,14,0,14,0,14,53,54,0,14,63,53,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,21,0,14,0,14,0,14,0,14,16,21,0,14,13,16,10,15,0,14,0,14,0,14,3,5,0,14,34,50,0,14,0,14,0,14,0,14,34,50,0,14,84.13,,100.0,23.08,100.0,84.13,Not Available,100.0%,23.08%,100.0%,1
2023,6037920013,Census Tract 9200.13,Santa Clarita,Los Angeles County,California,SantaClarita,258,188,15,25,0,19,21,40,18,33,0,19,0,19,14,22,0,19,115,162,75,69,258,188,0,19,0,19,0,19,0,19,0,19,0,19,0,19,137,169,36,54,0,19,0,19,0,19,101,160,0,19,86,72,0,19,18,33,0,19,0,19,14,22,54,62,35,40,0,19,0,19,0,19,0,19,14,23,21,33,50.0,,73.72,16.28,40.0,44.57,Not Available,73.72%,16.28%,40.0%,1
2023,6037920015,Census Tract 9200.15,Santa Clarita,Los Angeles County,California,SantaClarita,69,68,0,19,0,19,0,19,0,19,0,19,0,19,10,16,53,66,0,19,6,9,69,68,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,53,66,0,19,0,19,0,19,0,19,53,66,0,19,16,19,0,19,0,19,0,19,0,19,10,16,6,9,91.3,,,100.0,62.5,0.0,Not Available,Not Available,100.0%,62.5%,1
2023,6037920016,Census Tract 9200.16,Santa Clarita,Los Angeles County,California,SantaClarita,287,242,0,19,0,19,66,103,17,26,0,19,26,31,0,19,16,18,142,211,20,31,287,242,0,19,0,19,0,19,0,19,0,19,0,19,0,19,66,103,66,103,0,19,0,19,0,19,0,19,0,19,52,42,0,19,17,26,0,19,26,31,9,15,0,19,169,214,0,19,0,19,0,19,0,19,149,212,20,31,64.11,,0.0,67.31,88.17,49.48,Not Available,0.0%,67.31%,88.17%,1
2023,6037920017,Census Tract 9200.17,Santa Clarita,Los Angeles County,California,SantaClarita,267,115,28,45,0,14,83,54,9,14,0,14,0,14,8,13,24,39,71,65,44,58,267,115,9,14,9,14,0,14,0,14,0,14,0,14,0,14,75,71,51,59,0,14,0,14,0,14,24,39,0,14,139,70,51,39,9,14,0,14,0,14,79,64,0,14,44,58,0,14,0,14,0,14,0,14,0,14,44,58,38.58,0.0,32.0,56.83,0.0,26.59,0.0%,32.0%,56.83%,0.0%,1
2023,6037920018,Census Tract 9200.18,Santa Clarita,Los Angeles County,California,SantaClarita,51,32,5,8,0,14,14,18,0,14,0,14,0,14,27,31,0,14,5,7,0,14,51,32,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,41,34,9,15,0,14,0,14,0,14,32,33,0,14,10,13,10,13,0,14,0,14,0,14,0,14,0,14,62.75,,,78.05,0.0,9.8,Not Available,Not Available,78.05%,0.0%,1
2023,6037920020,Census Tract 9200.20,Santa Clarita,Los Angeles County,California,SantaClarita,247,150,0,19,48,68,0,19,0,19,25,28,40,63,0,19,120,135,0,19,14,22,247,150,0,19,0,19,0,19,0,19,0,19,0,19,0,19,88,91,48,68,0,19,0,19,40,63,0,19,0,19,159,127,0,19,0,19,25,28,0,19,120,135,14,22,0,19,0,19,0,19,0,19,0,19,0,19,0,19,64.78,,45.45,75.47,,0.0,Not Available,45.45%,75.47%,Not Available,1
