YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037502200,Census Tract 5022,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,553,110,14,17,45,53,18,21,62,46,57,53,73,65,39,59,38,33,196,89,11,17,553,110,0,132,0,132,0,132,0,132,0,132,0,132,0,132,197,87,11,17,50,49,26,40,0,132,110,86,0,132,290,101,66,58,12,21,31,35,64,63,106,46,11,17,66,42,0,132,0,132,0,132,9,14,57,41,0,132,62.57,,55.84,58.62,100.0,35.44
2010,6037502301,Census Tract 5023.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,229,89,0,132,10,17,45,50,34,31,9,15,12,19,12,19,45,56,37,36,25,28,229,89,13,19,0,132,0,132,0,132,0,132,0,132,13,19,11,16,0,132,0,132,0,132,0,132,11,16,0,132,146,79,17,28,34,31,9,15,12,19,74,68,0,132,59,48,38,45,0,132,0,132,0,132,9,15,12,20,46.29,0.0,100.0,58.9,15.25,16.16
2010,6037502302,Census Tract 5023.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,414,69,0,132,19,24,60,51,40,38,68,44,25,29,7,11,30,35,165,60,0,132,414,69,10,17,0,132,10,17,0,132,0,132,0,132,0,132,139,69,65,55,12,23,0,132,0,132,62,43,0,132,218,82,14,19,18,29,59,41,25,29,102,49,0,132,47,35,0,132,0,132,9,13,0,132,38,33,0,132,54.83,0.0,44.6,58.26,80.85,39.86
2010,6037502700,Census Tract 5027,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,695,132,21,25,80,64,92,58,82,64,48,59,91,54,40,43,37,33,180,94,24,26,695,132,18,26,0,132,0,132,0,132,0,132,18,26,0,132,108,65,41,39,17,21,0,132,14,23,36,45,0,132,480,124,152,80,65,59,39,58,77,51,130,74,17,23,89,55,0,132,0,132,9,13,0,132,73,54,7,12,50.07,100.0,46.3,43.12,82.02,25.9
2010,6037502801,Census Tract 5028.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,232,93,0,132,30,46,27,31,37,58,0,132,10,16,66,48,0,132,51,58,11,18,232,93,0,132,0,132,0,132,0,132,0,132,0,132,0,132,63,61,0,132,0,132,0,132,0,132,63,61,0,132,111,67,27,31,37,58,0,132,0,132,36,37,11,18,58,56,30,46,0,132,0,132,10,16,18,29,0,132,54.74,,100.0,32.43,48.28,21.98
2010,6037502802,Census Tract 5028.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,726,75,0,132,0,132,27,45,115,77,185,95,41,38,51,61,99,66,195,84,13,22,726,75,0,132,0,132,0,132,0,132,0,132,0,132,0,132,60,51,0,132,0,132,1,15,21,31,25,39,13,22,252,95,0,132,81,58,78,65,12,19,81,66,0,132,414,100,27,45,34,52,106,71,8,14,239,83,0,132,53.17,,76.67,36.9,59.66,26.86
2010,6037502901,Census Tract 5029.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,223,104,0,132,40,60,35,40,17,18,22,24,23,34,0,132,58,66,8,15,20,25,223,104,0,132,0,132,0,132,0,132,0,132,0,132,0,132,87,84,40,60,0,132,0,132,0,132,47,59,0,132,113,63,22,35,17,18,22,24,23,34,19,28,10,18,23,25,13,20,0,132,0,132,0,132,0,132,10,17,39.91,,54.02,37.17,0.0,3.59
2010,6037502902,Census Tract 5029.02,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,518,82,31,43,76,75,95,67,15,23,59,55,52,46,33,37,61,53,96,51,0,132,518,82,0,132,0,132,0,132,0,132,0,132,0,132,0,132,152,82,115,85,0,132,0,132,26,31,11,17,0,132,331,89,87,74,15,23,47,53,26,37,156,79,0,132,35,28,0,132,0,132,12,22,0,132,23,23,0,132,46.72,,24.34,54.98,65.71,18.53
2010,6037503000,Census Tract 5030,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,699,138,0,132,53,45,141,87,73,65,56,66,59,68,69,64,76,64,172,90,0,132,699,138,21,29,0,132,0,132,0,132,0,132,21,29,0,132,198,93,24,29,44,61,10,15,0,132,120,95,0,132,410,149,126,73,29,32,46,59,50,68,159,99,0,132,70,70,44,66,0,132,0,132,9,15,17,20,0,132,53.79,100.0,60.61,50.98,37.14,24.61
2010,6037504101,Census Tract 5041.01,Santa Fe Springs,Los Angeles County,California,SantaFeSprings,467,99,0,132,8,14,70,66,11,18,57,53,38,42,24,30,89,72,161,84,9,15,467,99,30,49,0,132,0,132,0,132,0,132,30,49,0,132,108,71,10,17,0,132,0,132,27,39,71,63,0,132,253,98,68,65,0,132,45,48,0,132,131,75,9,15,76,49,0,132,11,18,12,19,11,17,42,41,0,132,66.81,100.0,90.74,51.78,69.74,34.48
