YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,360,114,23,26,89,69,0,132,12,19,74,58,37,42,12,19,0,132,92,80,21,25,360,114,31,49,0,132,0,132,31,49,0,132,0,132,0,132,27,29,13,21,0,132,0,132,0,132,2,7,12,20,293,109,99,70,12,19,43,29,37,42,102,81,0,132,9,15,0,132,0,132,0,132,0,132,0,132,9,15,39.17,0.0,7.41,47.44,0.0,25.56
2010,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,1457,223,14,22,281,114,185,118,217,122,161,104,92,66,87,97,105,88,292,114,23,20,1457,223,12,20,0,132,0,132,0,132,0,132,12,20,0,132,219,115,131,87,14,24,16,29,31,48,27,31,0,132,967,198,323,123,143,102,114,94,46,41,330,146,11,18,259,123,26,28,60,79,31,34,15,23,115,76,12,20,39.53,100.0,26.48,38.88,50.19,20.04
2011,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,403,97,19,23,97,72,0,95,23,23,71,65,51,45,0,95,0,95,110,73,32,30,403,97,34,53,0,95,0,95,34,53,0,95,0,95,0,95,35,36,17,27,0,95,0,95,0,95,5,10,13,21,305,101,99,72,16,22,37,37,51,45,94,72,8,14,29,27,0,95,7,11,0,95,0,95,11,18,11,17,39.95,0.0,14.29,47.54,37.93,27.3
2011,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,1351,206,26,31,308,136,179,100,205,118,117,74,78,58,72,72,70,70,283,105,13,20,1351,206,12,19,0,95,0,95,0,95,0,95,12,19,0,95,216,104,132,86,14,23,13,22,25,37,32,39,0,95,878,216,354,157,141,98,69,53,37,37,264,116,13,20,245,98,27,30,50,66,35,42,16,26,117,62,0,95,37.23,100.0,26.39,34.28,54.29,20.95
2012,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,383,93,22,24,74,59,11,17,25,26,36,42,48,45,27,44,0,13,110,70,30,28,383,93,0,13,0,13,0,13,0,13,0,13,0,13,0,13,40,50,0,13,0,13,0,13,0,13,27,44,13,21,314,89,107,64,18,24,36,42,48,45,98,70,7,12,29,25,0,13,7,11,0,13,0,13,12,17,10,15,48.3,,67.5,46.5,41.38,28.72
2012,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,1506,168,42,39,273,136,220,128,267,144,151,89,66,65,85,72,90,77,285,101,27,32,1506,168,12,20,0,18,0,18,0,18,0,18,12,20,0,18,219,110,123,85,58,68,11,18,0,18,27,32,0,18,1045,155,385,150,170,112,98,76,66,65,299,111,27,32,230,104,27,30,39,62,42,39,0,18,122,61,0,18,34.93,100.0,12.33,34.93,53.04,18.92
2013,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,387,89,30,29,83,70,33,41,30,25,7,11,45,43,25,42,0,12,108,65,26,20,387,89,0,12,0,12,0,12,0,12,0,12,0,12,0,12,70,60,25,38,0,12,0,12,0,12,35,44,10,17,283,91,121,77,23,26,7,11,45,43,80,60,7,12,34,28,0,12,7,11,0,12,0,12,18,20,9,14,45.99,,50.0,44.17,52.94,27.91
2013,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,1594,179,68,78,264,127,230,130,294,144,149,80,59,51,61,45,100,74,328,112,41,35,1594,179,8,13,0,17,0,17,0,17,0,17,8,13,0,17,179,106,83,63,62,69,9,15,0,17,25,30,0,17,1094,176,465,146,179,109,102,71,44,44,263,98,41,35,313,108,14,21,53,68,38,36,15,24,193,83,0,17,34.38,100.0,13.97,28.06,66.45,20.58
2014,6037430501,Census Tract 4305.01,Sierra Madre,Los Angeles County,California,SierraMadre,309,77,19,20,78,60,25,27,27,26,18,19,14,15,19,34,7,11,95,49,7,11,309,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,55,45,28,27,0,12,0,12,0,12,27,37,0,12,213,79,94,61,17,20,18,19,14,15,63,45,7,11,41,29,0,12,10,15,0,12,0,12,31,26,0,12,43.69,,49.09,36.15,75.61,30.74
2014,6037430502,Census Tract 4305.02,Sierra Madre,Los Angeles County,California,SierraMadre,1585,185,62,68,320,139,197,103,210,123,228,100,51,42,86,59,122,82,260,100,49,44,1585,185,11,18,0,17,0,17,0,17,0,17,11,18,0,17,171,125,98,84,56,72,6,13,0,17,11,18,0,17,1060,184,441,160,104,77,157,83,36,40,273,104,49,44,343,113,40,34,50,63,65,49,15,23,173,85,0,17,32.74,100.0,6.43,29.15,54.81,16.4
