YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037573401,Census Tract 5734.01,Signal Hill,Los Angeles County,California,SignalHill,295,85,5,7,0,14,44,42,39,30,28,27,48,45,0,14,24,21,99,47,8,12,295,85,0,14,0,14,0,14,0,14,0,14,0,14,0,14,73,44,0,14,28,25,0,14,0,14,45,40,0,14,182,71,44,43,11,15,28,27,27,30,72,40,0,14,40,39,5,9,0,14,0,14,21,35,6,10,8,12,57.97,,61.64,54.4,67.5,33.56,Not Available,61.64%,54.4%,67.5%,1
2023,6037573402,Census Tract 5734.02,Signal Hill,Los Angeles County,California,SignalHill,1708,255,69,70,179,123,335,193,323,199,189,154,155,196,116,102,213,139,129,114,0,19,1708,255,48,64,15,27,0,19,0,19,0,19,33,56,0,19,447,198,68,62,67,79,0,19,141,196,171,130,0,19,1080,296,487,212,256,189,189,154,14,27,134,85,0,19,133,117,13,22,0,19,0,19,0,19,120,115,0,19,35.89,68.75,69.8,13.7,90.23,7.55,68.75%,69.8%,13.7%,90.23%,1
2023,6037573403,Census Tract 5734.03,Signal Hill,Los Angeles County,California,SignalHill,254,119,0,14,31,51,27,41,108,51,11,16,22,28,8,20,14,33,0,14,33,34,254,119,0,14,0,14,0,14,0,14,0,14,0,14,0,14,175,83,36,52,95,47,0,14,17,27,0,14,27,33,73,72,22,39,13,23,11,16,5,12,22,37,0,14,6,9,0,14,0,14,0,14,0,14,0,14,6,9,17.32,,9.71,36.99,0.0,0.0,Not Available,9.71%,36.99%,0.0%,1
2023,6037980018,Census Tract 9800.18,Signal Hill,Los Angeles County,California,SignalHill,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,,,,,,,Not Available,Not Available,Not Available,Not Available,1
2014,6037572001,Census Tract 5720.01,Signal Hill,Los Angeles County,California,SignalHill,912,152,0,17,58,68,42,42,108,79,105,72,166,120,96,65,8,14,317,134,12,20,912,152,8,14,8,14,0,17,0,17,0,17,0,17,0,17,157,102,50,67,30,42,48,59,29,32,0,17,0,17,631,148,31,36,78,70,57,48,137,112,316,133,12,20,116,72,11,20,0,17,0,17,0,17,105,70,0,17,64.36,0.0,18.47,71.79,90.52,34.76,0.0%,18.47%,71.79%,90.52%,1
2014,6037573401,Census Tract 5734.01,Signal Hill,Los Angeles County,California,SignalHill,293,56,7,8,26,21,34,36,24,16,25,22,30,27,15,17,52,33,53,34,27,27,293,56,13,15,0,12,0,12,0,12,0,12,13,15,0,12,45,29,0,12,5,9,0,12,0,12,40,27,0,12,220,54,60,37,19,16,25,22,30,27,67,37,19,26,15,16,7,10,0,12,0,12,0,12,0,12,8,12,51.19,100.0,88.89,44.09,0.0,18.09,100.0%,88.89%,44.09%,0.0%,1
2014,6037573402,Census Tract 5734.02,Signal Hill,Los Angeles County,California,SignalHill,1532,147,35,38,102,71,170,112,139,86,215,116,92,62,124,80,167,113,488,158,0,17,1532,147,62,69,11,17,0,17,0,17,10,16,41,64,0,17,365,136,107,86,17,22,116,87,27,30,98,81,0,17,1036,187,177,97,103,75,87,71,29,35,640,179,0,17,69,61,12,20,19,32,12,22,26,39,0,17,0,17,56.85,82.26,34.25,64.58,37.68,31.85,82.26%,34.25%,64.58%,37.68%,1
2014,6037573403,Census Tract 5734.03,Signal Hill,Los Angeles County,California,SignalHill,314,89,9,13,5,10,45,49,27,23,45,40,68,52,10,15,16,25,89,52,0,12,314,89,17,22,0,12,5,9,0,12,0,12,12,20,0,12,79,59,26,41,6,9,0,12,22,30,25,22,0,12,200,77,24,31,16,19,45,40,37,48,78,45,0,12,18,19,9,13,0,12,0,12,9,14,0,12,0,12,58.28,70.59,59.49,57.5,50.0,28.34,70.59%,59.49%,57.5%,50.0%,1
2014,6037575101,Census Tract 5751.01,Signal Hill,Los Angeles County,California,SignalHill,983,111,10,14,5,9,93,57,97,50,76,58,89,65,23,30,224,89,345,84,21,34,983,111,54,32,0,12,0,12,18,28,0,12,36,26,0,12,242,103,10,15,0,12,28,42,7,10,197,89,0,12,627,122,98,59,89,50,30,28,82,64,307,101,21,34,60,43,0,12,8,13,0,12,0,12,52,39,0,12,69.28,66.67,84.3,62.04,86.67,35.1,66.67%,84.3%,62.04%,86.67%,1
2014,6037980018,Census Tract 9800.18,Signal Hill,Los Angeles County,California,SignalHill,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,Not Available,Not Available,Not Available,Not Available,1
