YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037183702,Census Tract 1837.02,South Pasadena,Los Angeles County,California,SouthPasadena,500,104,12,20,78,64,11,19,27,29,129,90,46,57,13,20,90,77,94,73,0,132,500,104,11,18,11,18,0,132,0,132,0,132,0,132,0,132,167,93,36,35,13,19,30,49,34,54,54,55,0,132,244,103,54,57,14,21,43,52,12,20,121,91,0,132,78,60,0,132,0,132,56,62,0,132,22,25,0,132,48.6,0.0,52.69,54.51,28.21,18.8
2010,6037464000,Census Tract 4640,South Pasadena,Los Angeles County,California,SouthPasadena,1157,188,14,22,91,59,222,136,117,85,101,80,121,85,27,36,64,43,339,119,61,44,1157,188,95,82,15,21,0,132,0,132,0,132,80,79,0,132,428,138,107,83,28,33,60,72,68,54,165,95,0,132,560,169,191,120,89,76,26,30,53,66,154,80,47,45,74,53,14,23,0,132,15,24,0,132,31,35,14,22,47.62,84.21,54.44,36.96,41.89,29.3
2010,6037480400,Census Tract 4804,South Pasadena,Los Angeles County,California,SouthPasadena,1026,181,56,62,60,50,209,123,134,74,140,104,29,35,40,37,47,43,270,151,41,37,1026,181,13,20,0,132,0,132,0,132,0,132,13,20,0,132,250,119,136,105,50,60,50,75,0,132,14,24,0,132,520,160,103,80,72,52,90,101,13,22,215,131,27,31,243,96,86,73,12,19,0,132,16,26,115,74,14,22,37.62,100.0,5.6,43.85,53.91,26.32
2010,6037480500,Census Tract 4805,South Pasadena,Los Angeles County,California,SouthPasadena,944,149,49,39,105,71,146,82,111,67,56,53,73,63,64,56,80,71,221,101,39,37,944,149,40,51,0,132,0,132,0,132,0,132,40,51,0,132,274,103,71,61,75,51,0,132,0,132,128,97,0,132,580,161,214,77,36,43,56,53,73,63,162,105,39,37,50,42,15,24,0,132,0,132,0,132,35,33,0,132,46.4,100.0,46.72,40.52,70.0,23.41
2010,6037480600,Census Tract 4806,South Pasadena,Los Angeles County,California,SouthPasadena,2455,185,159,110,295,133,452,160,342,152,189,97,189,102,132,63,197,111,419,159,81,68,2455,185,78,62,0,132,0,132,0,132,15,24,49,54,14,22,786,194,262,138,90,73,118,89,16,25,246,115,54,65,1427,210,578,145,223,129,71,47,158,96,397,139,0,132,164,72,66,51,29,31,0,132,0,132,56,35,13,20,38.17,82.05,33.33,38.89,34.15,17.07
2010,6037480702,Census Tract 4807.02,South Pasadena,Los Angeles County,California,SouthPasadena,467,110,13,20,0,132,80,64,93,54,24,27,13,22,55,55,39,46,118,78,32,27,467,110,0,132,0,132,0,132,0,132,0,132,0,132,0,132,86,50,16,17,44,36,13,21,13,22,0,132,0,132,350,114,77,65,49,43,11,17,0,132,190,99,23,24,31,28,0,132,0,132,0,132,0,132,22,25,9,13,48.18,,15.12,54.29,70.97,25.27
2010,6037480703,Census Tract 4807.03,South Pasadena,Los Angeles County,California,SouthPasadena,504,111,50,62,50,55,127,86,97,61,26,30,50,65,52,48,22,30,30,25,0,132,504,111,34,51,34,51,0,132,0,132,0,132,0,132,0,132,111,75,86,73,12,18,13,21,0,132,0,132,0,132,320,104,107,77,74,52,13,21,50,65,76,51,0,132,39,38,0,132,11,18,0,132,0,132,28,32,0,132,30.56,0.0,0.0,39.38,71.79,5.95
2010,6037480704,Census Tract 4807.04,South Pasadena,Los Angeles County,California,SouthPasadena,1305,126,51,34,130,76,278,101,225,113,124,84,58,34,27,26,103,53,244,106,65,58,1305,126,27,28,0,132,0,132,11,17,0,132,16,21,0,132,266,93,146,87,31,27,7,12,10,16,72,43,0,132,936,139,302,97,175,109,96,80,48,33,250,109,65,58,76,43,11,18,19,19,10,16,0,132,36,32,0,132,33.1,59.26,30.83,31.84,47.37,18.7
2011,6037183702,Census Tract 1837.02,South Pasadena,Los Angeles County,California,SouthPasadena,572,128,12,18,64,55,0,95,28,30,86,71,67,51,35,42,121,110,159,100,0,95,572,128,31,36,17,29,0,95,0,95,0,95,14,22,0,95,183,114,30,35,12,19,31,49,35,52,75,76,0,95,253,128,29,32,16,25,26,39,32,36,150,115,0,95,105,89,0,95,0,95,29,45,0,95,76,77,0,95,66.78,45.16,60.11,71.94,72.38,27.8
2011,6037464000,Census Tract 4640,South Pasadena,Los Angeles County,California,SouthPasadena,1124,176,12,19,108,71,229,124,135,98,74,76,90,88,0,95,114,73,296,118,66,53,1124,176,58,68,14,21,0,95,0,95,0,95,44,64,0,95,402,118,134,88,15,24,48,72,42,43,163,70,0,95,589,166,188,114,120,96,12,19,48,77,171,83,50,45,75,53,13,21,0,95,14,22,0,95,32,36,16,26,44.48,75.86,51.0,37.18,42.67,26.33
