YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,910,173,30,46,71,61,36,46,245,114,27,30,99,76,27,46,29,35,285,159,61,51,910,173,0,132,0,132,0,132,0,132,0,132,0,132,0,132,108,84,0,132,63,61,18,26,0,132,27,46,0,132,633,175,107,74,182,107,9,16,59,67,246,154,30,34,169,78,30,46,0,132,0,132,40,44,68,56,31,39,48.35,,25.0,48.18,63.91,31.32
2010,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,499,108,0,132,38,35,58,51,13,19,42,46,74,61,46,49,83,59,87,41,58,58,499,108,27,34,0,132,0,132,0,132,19,32,8,13,0,132,96,73,0,132,0,132,16,28,0,132,80,57,0,132,255,104,38,35,0,132,19,28,55,52,103,63,40,54,121,63,58,51,13,19,7,11,0,132,25,20,18,21,58.12,100.0,83.33,61.96,20.66,17.43
2010,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,305,92,0,132,41,42,29,27,41,40,45,41,0,132,0,132,29,31,70,61,50,48,305,92,8,14,8,14,0,132,0,132,0,132,0,132,0,132,94,60,41,42,22,37,9,15,0,132,22,33,0,132,143,71,21,23,19,16,36,46,0,132,57,52,10,15,60,51,0,132,0,132,0,132,0,132,20,22,40,46,32.46,0.0,23.4,39.86,33.33,22.95
2011,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,899,166,40,64,34,39,29,36,169,119,28,33,126,84,52,66,16,28,375,149,30,35,899,166,0,95,0,95,0,95,0,95,0,95,0,95,0,95,95,79,0,95,15,23,16,26,22,27,42,64,0,95,675,148,63,50,154,114,12,19,72,75,361,152,13,20,129,88,40,64,0,95,0,95,32,35,40,39,17,28,63.29,,67.37,64.15,55.81,41.71
2011,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,394,113,0,95,11,19,24,26,0,95,45,44,53,57,58,52,69,54,70,52,64,66,394,113,7,12,0,95,0,95,0,95,0,95,7,12,0,95,132,83,0,95,0,95,24,38,22,34,86,71,0,95,179,94,11,19,0,95,11,18,31,42,81,48,45,62,76,38,24,26,0,95,10,15,0,95,23,18,19,21,63.45,100.0,81.82,62.57,30.26,17.77
2011,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,316,103,0,95,45,41,60,41,12,20,67,57,29,45,0,95,45,38,47,59,11,18,316,103,8,14,8,14,0,95,0,95,0,95,0,95,0,95,64,50,43,42,0,95,10,15,0,95,11,20,0,95,232,101,54,40,12,20,57,61,29,45,69,61,11,18,12,19,0,95,0,95,0,95,0,95,12,19,0,95,38.29,0.0,17.19,42.24,100.0,14.87
2012,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,1005,177,36,57,32,36,30,37,140,105,105,89,118,73,63,85,35,28,411,158,35,41,1005,177,0,18,0,18,0,18,0,18,0,18,0,18,0,18,176,132,17,27,0,18,84,93,19,26,56,85,0,18,719,177,45,46,140,105,21,32,69,64,427,148,17,29,110,83,36,57,0,18,0,18,30,35,26,34,18,29,62.39,,42.61,68.98,50.91,40.9
2012,6037482521,Census Tract 4825.21,South San Gabriel,Los Angeles County,California,SouthSanGabriel,373,112,0,18,22,34,50,43,0,18,57,67,60,53,8,13,23,25,92,41,61,70,373,112,0,18,0,18,0,18,0,18,0,18,0,18,0,18,82,70,0,18,0,18,28,45,27,44,27,33,0,18,204,101,50,48,0,18,21,32,33,40,55,40,45,68,87,42,22,26,0,18,8,13,0,18,41,20,16,17,49.06,,65.85,43.14,47.13,24.66
2012,6037482522,Census Tract 4825.22,South San Gabriel,Los Angeles County,California,SouthSanGabriel,363,114,0,13,52,44,87,50,15,19,58,53,25,36,0,13,35,32,64,65,27,42,363,114,9,14,9,14,0,13,0,13,0,13,0,13,0,13,79,54,45,44,6,10,11,17,0,13,17,28,0,13,225,86,85,50,9,17,47,50,25,36,59,50,0,13,50,50,0,13,0,13,0,13,0,13,23,26,27,42,34.16,0.0,21.52,37.33,46.0,17.63
2013,6037482402,Census Tract 4824.02,South San Gabriel,Los Angeles County,California,SouthSanGabriel,869,170,45,73,65,74,19,25,80,65,60,64,94,69,6,12,62,59,422,178,16,26,869,170,0,17,0,17,0,17,0,17,0,17,0,17,0,17,137,102,75,74,0,17,51,64,11,16,0,17,0,17,627,192,9,15,80,65,9,16,70,67,443,175,16,26,105,90,45,73,0,17,0,17,13,21,47,45,0,17,67.2,,8.03,81.82,57.14,48.56
