YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,990,141,18,28,47,51,105,66,84,58,128,77,152,87,14,24,56,37,323,89,63,52,990,141,144,64,14,24,0,132,29,34,21,25,60,50,20,30,183,69,33,31,49,49,9,16,20,24,63,43,9,16,554,113,123,81,27,26,90,51,77,68,224,84,13,20,109,62,0,132,8,13,0,132,34,44,46,34,21,28,55.05,56.25,45.36,54.33,73.39,32.63
2010,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,52,55,0,132,0,132,0,132,0,132,0,132,24,37,0,132,0,132,0,132,28,38,52,55,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,24,37,0,132,0,132,0,132,24,37,0,132,0,132,28,38,0,132,0,132,0,132,0,132,0,132,28,38,46.15,,,100.0,0.0,0.0
2010,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,311,105,0,132,80,85,73,55,50,41,21,33,10,19,32,37,0,132,45,39,0,132,311,105,17,26,17,26,0,132,0,132,0,132,0,132,0,132,70,52,25,37,22,36,0,132,10,19,13,20,0,132,192,98,111,94,28,34,21,33,0,132,32,37,0,132,32,32,0,132,0,132,0,132,0,132,32,32,0,132,27.97,0.0,32.86,16.67,100.0,14.47
2011,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1006,160,17,28,38,48,155,94,64,52,130,65,129,72,31,41,88,66,289,107,65,48,1006,160,135,73,0,95,0,95,31,39,22,27,57,54,25,36,167,85,34,32,28,44,9,15,9,15,79,69,8,15,560,149,164,99,29,27,90,49,68,62,199,98,10,15,144,51,12,19,7,10,0,95,30,37,73,43,22,26,53.38,58.52,52.69,47.68,71.53,28.73
2011,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,74,83,0,95,0,95,0,95,0,95,0,95,21,32,0,95,0,95,0,95,53,78,74,83,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,21,32,0,95,0,95,0,95,21,32,0,95,0,95,53,78,0,95,0,95,0,95,0,95,0,95,53,78,28.38,,,100.0,0.0,0.0
2011,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,478,142,17,26,114,81,76,59,62,55,30,49,26,30,36,42,0,95,117,107,0,95,478,142,17,26,17,26,0,95,0,95,0,95,0,95,0,95,129,108,29,41,24,36,0,95,15,24,61,94,0,95,295,115,161,94,38,44,30,49,11,20,55,53,0,95,37,37,0,95,0,95,0,95,0,95,37,37,0,95,37.45,0.0,58.91,22.37,100.0,24.48
2012,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1187,195,0,18,50,48,162,102,28,25,221,117,152,91,103,90,180,97,235,91,56,44,1187,195,174,82,0,18,0,18,43,48,23,26,84,69,24,33,221,97,70,56,0,18,56,72,11,17,76,69,8,13,623,169,126,92,20,22,122,73,88,63,267,134,0,18,169,70,16,26,8,12,0,18,30,39,91,46,24,30,56.44,61.49,39.37,56.98,71.6,19.8
2012,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,136,99,0,18,0,18,0,18,0,18,10,17,19,28,0,18,42,48,10,17,55,87,136,99,0,18,0,18,0,18,0,18,0,18,0,18,0,18,10,17,0,18,0,18,0,18,0,18,10,17,0,18,71,58,0,18,0,18,10,17,19,28,42,48,0,18,55,87,0,18,0,18,0,18,0,18,0,18,55,87,52.21,,100.0,85.92,0.0,7.35
2012,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,498,166,21,34,74,61,178,126,49,48,34,53,23,28,15,24,0,18,104,81,0,18,498,166,10,16,10,16,0,18,0,18,0,18,0,18,0,18,162,123,77,97,17,28,0,18,14,23,54,79,0,18,294,120,186,99,32,39,34,53,9,17,33,38,0,18,32,36,0,18,0,18,0,18,0,18,32,36,0,18,28.51,0.0,41.98,14.29,100.0,20.88
2013,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1229,197,0,17,67,83,143,100,55,77,264,129,92,65,110,77,222,130,261,110,15,24,1229,197,160,93,0,17,0,17,47,50,16,28,97,77,0,17,236,123,58,45,0,17,98,96,0,17,80,71,0,17,664,211,137,117,47,76,119,93,48,37,313,154,0,17,169,62,15,24,8,15,0,17,28,44,103,47,15,24,55.74,70.62,33.9,54.37,77.51,21.24
2013,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,146,80,0,17,0,17,0,17,0,17,23,24,18,27,0,17,50,46,55,66,0,17,146,80,0,17,0,17,0,17,0,17,0,17,0,17,0,17,12,19,0,17,0,17,0,17,0,17,12,19,0,17,134,84,0,17,0,17,23,24,18,27,93,78,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,84.25,,100.0,82.84,,37.67
2013,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,578,161,18,29,90,71,135,98,42,43,15,24,90,84,0,17,47,67,113,89,28,44,578,161,11,17,11,17,0,17,0,17,0,17,0,17,0,17,160,107,67,78,17,27,0,17,28,38,48,69,0,17,350,145,165,95,25,33,15,24,62,75,83,77,0,17,57,45,0,17,0,17,0,17,0,17,29,33,28,44,43.25,0.0,47.5,41.43,50.88,19.55
2014,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1325,191,16,28,93,110,102,78,92,94,230,124,147,102,106,81,222,119,274,109,43,50,1325,191,108,80,0,17,0,17,0,17,15,26,93,74,0,17,281,132,57,45,37,56,95,91,13,20,52,63,27,42,675,198,139,123,46,72,135,92,37,34,318,140,0,17,261,85,15,23,9,16,0,17,82,80,139,58,16,25,56.53,100.0,23.13,52.59,84.67,20.68
2014,6037920338,Census Tract 9203.38,Stevenson Ranch,Los Angeles County,California,StevensonRanch,156,89,0,17,0,17,0,17,0,17,58,62,0,17,0,17,54,51,44,52,0,17,156,89,0,17,0,17,0,17,0,17,0,17,0,17,0,17,9,14,0,17,0,17,0,17,0,17,9,14,0,17,147,90,0,17,0,17,58,62,0,17,89,70,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,62.82,,100.0,60.54,,28.21
2014,6037920339,Census Tract 9203.39,Stevenson Ranch,Los Angeles County,California,StevensonRanch,671,160,16,27,62,56,156,112,45,44,136,115,44,71,16,27,31,50,137,100,28,35,671,160,0,17,0,17,0,17,0,17,0,17,0,17,0,17,216,119,108,101,17,27,42,63,0,17,49,74,0,17,427,131,126,86,28,33,94,95,44,71,135,97,0,17,28,35,0,17,0,17,0,17,0,17,0,17,28,35,33.98,,22.69,41.92,0.0,20.42
2015,6037920326,Census Tract 9203.26,Stevenson Ranch,Los Angeles County,California,StevensonRanch,1219,183,18,31,88,104,129,100,113,115,211,120,113,85,108,76,175,117,201,93,63,75,1219,183,75,67,0,17,0,17,0,17,16,29,59,60,0,17,257,149,41,40,43,70,98,98,13,21,17,26,45,69,642,184,179,132,47,76,113,86,34,33,269,133,0,17,245,99,15,23,23,36,0,17,50,60,139,61,18,29,48.97,100.0,11.67,47.2,77.14,16.49
