YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,136,75,9,15,20,22,29,48,0,132,13,23,30,45,0,132,0,132,16,24,19,22,136,75,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,123,73,58,56,0,132,0,132,30,45,16,24,19,22,13,23,0,132,0,132,13,23,0,132,0,132,0,132,33.82,,,37.4,0.0,11.76
2010,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,409,138,14,22,30,36,49,45,0,132,50,77,18,29,39,49,41,37,70,57,98,106,409,138,0,132,0,132,0,132,0,132,0,132,0,132,0,132,52,50,16,25,0,132,0,132,0,132,17,30,19,29,305,129,63,53,0,132,50,77,18,29,95,58,79,103,52,51,14,22,0,132,0,132,0,132,38,45,0,132,41.08,,32.69,37.05,73.08,17.11
2010,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,244,94,9,17,21,26,50,51,36,41,19,25,24,38,8,14,8,13,59,63,10,16,244,94,0,132,0,132,0,132,0,132,0,132,0,132,0,132,62,53,34,43,20,30,0,132,0,132,8,12,0,132,172,85,46,40,16,25,19,25,24,38,67,64,0,132,10,16,0,132,0,132,0,132,0,132,0,132,10,16,40.57,,12.9,52.91,0.0,24.18
2011,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,94,64,0,95,9,15,0,95,0,95,10,15,30,49,0,95,8,13,17,24,20,23,94,64,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,84,63,9,15,0,95,0,95,30,49,25,32,20,23,10,15,0,95,0,95,10,15,0,95,0,95,0,95,58.51,,,65.48,0.0,18.09
2011,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,532,164,27,31,27,32,68,58,32,45,41,64,14,23,62,53,28,31,143,104,90,103,532,164,0,95,0,95,0,95,0,95,0,95,0,95,0,95,61,54,14,24,32,45,0,95,0,95,0,95,15,24,407,155,94,66,0,95,41,64,14,23,183,114,75,101,64,51,14,22,0,95,0,95,0,95,50,48,0,95,46.43,,0.0,48.4,78.12,26.88
2011,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,340,117,46,36,37,31,56,57,6,11,11,20,26,43,23,30,47,47,88,71,0,95,340,117,0,95,0,95,0,95,0,95,0,95,0,95,0,95,99,65,39,50,0,95,0,95,0,95,60,44,0,95,233,99,92,53,6,11,11,20,26,43,98,77,0,95,8,13,8,13,0,95,0,95,0,95,0,95,0,95,54.12,,60.61,53.22,0.0,25.88
2012,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,93,52,0,18,12,19,0,18,0,18,11,17,8,15,9,14,9,13,21,24,23,26,93,52,0,18,0,18,0,18,0,18,0,18,0,18,0,18,9,14,0,18,0,18,0,18,0,18,9,14,0,18,73,46,12,19,0,18,0,18,8,15,30,28,23,26,11,17,0,18,0,18,11,17,0,18,0,18,0,18,50.54,,100.0,52.05,0.0,22.58
2012,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,500,161,33,37,33,32,62,43,40,49,47,74,15,25,51,37,57,68,97,81,65,70,500,161,42,62,0,18,0,18,0,18,0,18,42,62,0,18,101,91,14,23,25,40,47,74,0,18,0,18,15,23,300,118,98,57,15,24,0,18,15,25,122,84,50,66,57,45,16,25,0,18,0,18,0,18,41,37,0,18,44.0,100.0,0.0,45.67,71.93,19.4
2012,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,387,113,23,20,39,41,119,74,4,9,0,13,25,39,13,24,46,42,118,70,0,13,387,113,4,7,4,7,0,13,0,13,0,13,0,13,0,13,97,71,45,50,0,13,0,13,0,13,52,44,0,13,279,94,125,72,4,9,0,13,25,39,125,72,0,13,7,13,7,13,0,13,0,13,0,13,0,13,0,13,52.2,0.0,53.61,53.76,0.0,30.49
2013,6037800101,Census Tract 8001.01,Topanga,Los Angeles County,California,Topanga,155,87,0,17,38,47,0,17,0,17,42,54,8,13,32,37,13,17,22,26,0,17,155,87,0,17,0,17,0,17,0,17,0,17,0,17,0,17,7,12,0,17,0,17,0,17,0,17,7,12,0,17,138,88,38,47,0,17,32,51,8,13,60,47,0,17,10,15,0,17,0,17,10,15,0,17,0,17,0,17,48.39,,100.0,49.28,0.0,14.19
2013,6037800102,Census Tract 8001.02,Topanga,Los Angeles County,California,Topanga,491,159,30,34,30,35,32,34,44,48,43,67,14,21,69,57,67,68,114,75,48,61,491,159,38,60,0,17,0,17,0,17,0,17,38,60,0,17,108,91,0,17,31,44,43,67,0,17,21,34,13,21,279,116,77,49,13,22,0,17,14,21,140,81,35,58,66,48,15,24,0,17,0,17,0,17,51,41,0,17,53.77,100.0,19.44,55.2,77.27,23.22
2013,6037800506,Census Tract 8005.06,Topanga,Los Angeles County,California,Topanga,333,113,24,24,39,37,66,52,8,14,0,12,0,12,18,28,59,45,119,70,0,12,333,113,8,13,8,13,0,12,0,12,0,12,0,12,0,12,73,58,0,12,0,12,0,12,0,12,73,58,0,12,233,100,112,68,8,14,0,12,0,12,113,71,0,12,19,22,9,15,0,12,0,12,0,12,10,16,0,12,58.86,0.0,100.0,48.5,52.63,35.74
