YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037650001,Census Tract 6500.01,Torrance,Los Angeles County,California,Torrance,806,222,0,19,42,43,24,37,35,40,101,99,121,114,32,53,128,96,235,149,88,90,806,222,0,19,0,19,0,19,0,19,0,19,0,19,0,19,244,150,0,19,0,19,25,46,55,90,119,100,45,70,473,187,66,54,35,40,76,93,66,73,202,140,28,47,89,59,0,19,0,19,0,19,0,19,74,51,15,26,64.02,,71.31,56.66,83.15,29.16,Not Available,71.31%,56.66%,83.15%,1
2023,6037650003,Census Tract 6500.03,Torrance,Los Angeles County,California,Torrance,739,82,0,14,26,35,36,33,114,76,74,49,134,60,64,50,139,85,115,102,37,34,739,82,23,27,0,14,0,14,0,14,0,14,17,26,6,10,156,72,26,35,13,16,23,32,82,52,12,21,0,14,512,109,30,32,101,73,51,38,47,46,264,88,19,29,48,29,6,10,0,14,0,14,5,9,25,22,12,15,61.16,73.91,60.26,60.74,62.5,15.56,73.91%,60.26%,60.74%,62.5%,1
2023,6037650004,Census Tract 6500.04,Torrance,Los Angeles County,California,Torrance,948,173,23,25,91,56,131,78,86,69,114,72,111,100,55,64,122,67,199,110,16,18,948,173,32,41,25,39,0,14,0,14,0,14,7,11,0,14,187,74,54,38,0,14,38,38,6,10,81,71,8,13,579,167,119,73,86,69,26,25,105,98,243,118,0,14,150,79,47,56,0,14,50,58,0,14,45,33,8,13,51.37,21.88,46.52,60.1,30.0,20.99,21.88%,46.52%,60.1%,30.0%,1
2023,6037650101,Census Tract 6501.01,Torrance,Los Angeles County,California,Torrance,410,281,0,19,0,19,8,17,30,47,49,54,19,30,0,19,48,58,256,276,0,19,410,281,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,17,8,17,0,19,0,19,0,19,0,19,0,19,389,284,0,19,30,47,49,54,19,30,291,281,0,19,13,21,0,19,0,19,0,19,0,19,13,21,0,19,78.78,,0.0,79.69,100.0,62.44,Not Available,0.0%,79.69%,100.0%,1
2023,6037650102,Census Tract 6501.02,Torrance,Los Angeles County,California,Torrance,226,82,0,14,7,10,22,14,14,17,60,40,43,55,18,29,11,18,38,37,13,13,226,82,0,14,0,14,0,14,0,14,0,14,0,14,0,14,25,23,3,5,7,12,15,22,0,14,0,14,0,14,188,81,19,16,7,13,39,34,43,55,67,50,13,13,13,13,7,10,0,14,6,9,0,14,0,14,0,14,48.67,,0.0,58.51,0.0,16.81,Not Available,0.0%,58.51%,0.0%,1
2023,6037650200,Census Tract 6502,Torrance,Los Angeles County,California,Torrance,397,126,0,19,15,18,80,60,24,33,32,26,7,12,86,79,19,22,125,67,9,14,397,126,11,18,0,19,0,19,0,19,0,19,11,18,0,19,70,43,29,27,0,19,17,18,0,19,24,25,0,19,294,119,66,64,24,33,15,18,7,12,182,101,0,19,22,24,0,19,0,19,0,19,0,19,13,19,9,14,59.7,100.0,34.29,64.29,59.09,31.49,100.0%,34.29%,64.29%,59.09%,1
2023,6037650300,Census Tract 6503,Torrance,Los Angeles County,California,Torrance,1492,256,0,19,39,45,94,91,170,119,383,230,37,43,74,92,200,128,426,227,69,108,1492,256,17,27,0,19,0,19,0,19,17,27,0,19,0,19,201,123,67,86,36,43,10,18,0,19,88,88,0,19,900,245,51,51,96,103,209,194,0,19,475,251,69,108,374,164,15,23,38,45,164,134,20,32,137,98,0,19,49.4,100.0,43.78,52.78,41.98,28.55,100.0%,43.78%,52.78%,41.98%,1
2023,6037650401,Census Tract 6504.01,Torrance,Los Angeles County,California,Torrance,225,88,18,25,0,14,21,23,74,53,30,32,0,14,0,14,17,27,27,33,38,39,225,88,0,14,0,14,0,14,0,14,0,14,0,14,0,14,68,45,39,33,12,17,0,14,0,14,17,27,0,14,90,59,0,14,49,48,12,15,0,14,6,10,23,27,67,46,0,14,13,22,18,27,0,14,21,32,15,24,19.56,,25.0,6.67,31.34,12.0,Not Available,25.0%,6.67%,31.34%,1
2023,6037650501,Census Tract 6505.01,Torrance,Los Angeles County,California,Torrance,122,52,8,15,29,22,0,14,7,12,0,14,32,43,0,14,8,14,13,21,25,29,122,52,0,14,0,14,0,14,0,14,0,14,0,14,0,14,7,12,0,14,7,12,0,14,0,14,0,14,0,14,107,48,37,25,0,14,0,14,32,43,13,21,25,29,8,14,0,14,0,14,0,14,0,14,8,14,0,14,43.44,,0.0,42.06,100.0,10.66,Not Available,0.0%,42.06%,100.0%,1
2023,6037650502,Census Tract 6505.02,Torrance,Los Angeles County,California,Torrance,397,116,0,14,47,62,103,50,43,51,63,48,0,14,27,33,19,23,55,39,40,39,397,116,0,14,0,14,0,14,0,14,0,14,0,14,0,14,88,57,39,41,0,14,27,22,0,14,0,14,22,34,261,115,111,61,43,51,36,43,0,14,53,51,18,21,48,33,0,14,0,14,0,14,0,14,48,33,0,14,25.44,,0.0,20.31,100.0,13.85,Not Available,0.0%,20.31%,100.0%,1
