YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,194,90,10,15,29,34,0,14,34,32,17,28,5,8,17,27,46,53,36,40,0,14,194,90,0,14,0,14,0,14,0,14,0,14,0,14,0,14,29,39,0,14,0,14,0,14,0,14,29,39,0,14,165,72,39,37,34,32,17,28,5,8,70,60,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,53.61,,100.0,45.45,,18.56,Not Available,100.0%,45.45%,Not Available,1
2014,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,240,68,14,22,15,21,56,36,9,9,0,12,4,6,21,23,23,30,88,54,10,12,240,68,13,20,0,12,0,12,0,12,0,12,13,20,0,12,9,12,0,12,0,12,0,12,0,12,9,12,0,12,195,66,85,47,9,9,0,12,4,6,92,48,5,8,23,28,0,12,0,12,0,12,0,12,18,26,5,9,56.67,100.0,100.0,49.23,78.26,36.67,100.0%,100.0%,49.23%,78.26%,1
2022,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,134,67,0,13,5,9,6,10,15,20,17,28,6,10,16,27,53,55,16,25,0,13,134,67,8,12,0,13,0,13,0,13,0,13,8,12,0,13,22,26,6,10,0,13,0,13,0,13,16,25,0,13,104,61,5,9,15,20,17,28,6,10,61,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,67.91,100.0,72.73,64.42,,11.94,100.0%,72.73%,64.42%,Not Available,1
2017,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,180,60,18,22,20,18,54,37,20,26,5,7,34,28,0,12,0,12,25,25,4,6,180,60,4,6,4,6,0,12,0,12,0,12,0,12,0,12,9,15,0,12,0,12,0,12,9,15,0,12,0,12,142,58,83,43,20,26,5,7,25,25,9,10,0,12,25,26,5,8,0,12,0,12,0,12,16,24,4,6,32.78,0.0,100.0,23.94,64.0,13.89,0.0%,100.0%,23.94%,64.0%,1
2019,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,152,62,3,7,21,21,20,16,41,40,5,8,35,31,0,12,4,7,23,29,0,12,152,62,7,10,3,7,0,12,0,12,0,12,4,7,0,12,43,28,7,10,0,12,0,12,13,20,23,29,0,12,96,50,28,23,41,40,5,8,22,24,0,12,0,12,6,9,6,9,0,12,0,12,0,12,0,12,0,12,40.79,57.14,83.72,22.92,0.0,15.13,57.14%,83.72%,22.92%,0.0%,1
2016,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,197,62,17,22,9,14,57,36,19,21,6,9,36,32,0,12,18,25,25,25,10,10,197,62,4,8,4,8,0,12,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,10,15,0,12,0,12,159,57,75,41,19,21,6,9,26,28,28,28,5,7,24,24,4,6,0,12,0,12,0,12,15,22,5,7,40.1,0.0,100.0,33.96,62.5,12.69,0.0%,100.0%,33.96%,62.5%,1
2018,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,147,59,19,23,18,19,44,34,17,23,5,7,30,28,0,12,5,7,5,7,4,6,147,59,9,9,4,7,0,12,0,12,0,12,5,7,0,12,18,19,6,8,0,12,0,12,12,18,0,12,0,12,111,54,66,47,17,23,5,7,18,23,5,7,0,12,9,10,5,8,0,12,0,12,0,12,0,12,4,6,27.21,55.56,66.67,20.72,0.0,3.4,55.56%,66.67%,20.72%,0.0%,1
2021,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,149,62,0,13,14,16,7,11,18,21,17,28,6,9,17,27,58,56,12,20,0,13,149,62,10,14,0,13,0,13,0,13,0,13,10,14,0,13,19,23,7,11,0,13,0,13,0,13,12,20,0,13,120,61,14,16,18,21,17,28,6,9,65,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,62.42,100.0,63.16,59.17,,8.05,100.0%,63.16%,59.17%,Not Available,1
2010,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,238,97,26,41,15,28,31,34,0,132,28,35,19,26,15,17,8,12,75,66,21,26,238,97,0,132,0,132,0,132,0,132,0,132,0,132,0,132,40,46,26,41,0,132,0,132,0,132,14,21,0,132,190,82,46,48,0,132,28,35,19,26,76,60,21,26,8,14,0,132,0,132,0,132,0,132,8,14,0,132,49.16,,35.0,50.0,100.0,31.51,Not Available,35.0%,50.0%,100.0%,1
2015,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,192,57,18,23,0,12,52,37,20,19,6,8,6,10,13,19,17,23,50,36,10,11,192,57,17,20,4,7,0,12,0,12,0,12,13,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,151,52,61,33,20,19,6,8,6,10,53,35,5,8,24,25,5,7,0,12,0,12,0,12,14,22,5,7,44.79,76.47,,39.07,58.33,26.04,76.47%,Not Available,39.07%,58.33%,1
2020,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,173,64,0,13,18,18,11,14,15,24,22,29,37,30,16,27,41,51,13,20,0,13,173,64,11,15,0,13,0,13,0,13,0,13,11,15,0,13,34,32,6,9,0,13,0,13,15,23,13,20,0,13,128,56,23,20,15,24,22,29,22,21,46,56,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,61.85,100.0,82.35,53.12,,7.51,100.0%,82.35%,53.12%,Not Available,1
2013,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,240,78,0,12,26,34,25,20,9,11,12,17,8,12,28,30,39,43,88,59,5,9,240,78,16,24,0,12,0,12,0,12,0,12,16,24,0,12,10,14,0,12,0,12,0,12,0,12,10,14,0,12,200,75,51,38,9,11,12,17,8,12,115,62,5,9,14,23,0,12,0,12,0,12,0,12,14,23,0,12,67.92,100.0,100.0,61.5,100.0,36.67,100.0%,100.0%,61.5%,100.0%,1
2011,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,257,99,27,44,22,32,17,23,3,6,29,35,21,32,42,42,7,12,82,71,7,11,257,99,29,38,0,95,0,95,0,95,0,95,29,38,0,95,34,44,27,44,0,95,0,95,0,95,7,12,0,95,184,83,39,38,3,6,29,35,21,32,85,71,7,11,10,17,0,95,0,95,0,95,0,95,10,17,0,95,59.14,100.0,20.59,57.61,100.0,31.91,100.0%,20.59%,57.61%,100.0%,1
2012,6037920106,Census Tract 9201.06,Val Verde,Los Angeles County,California,ValVerde,281,87,26,41,36,50,18,24,11,12,10,15,37,52,33,30,23,24,70,54,17,20,281,87,14,22,0,13,0,13,0,13,0,13,14,22,0,13,36,44,26,41,0,13,0,13,0,13,10,16,0,13,222,78,54,55,11,12,10,15,37,52,93,57,17,20,9,14,0,13,0,13,0,13,0,13,9,14,0,13,58.01,100.0,27.78,58.56,100.0,24.91,100.0%,27.78%,58.56%,100.0%,1
