YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,304,100,0,132,0,132,1,6,71,64,32,40,15,23,46,51,38,60,79,79,22,24,304,100,0,132,0,132,0,132,0,132,0,132,0,132,0,132,32,39,0,132,0,132,21,35,0,132,11,17,0,132,216,89,1,6,71,64,11,17,15,23,108,57,10,15,56,51,0,132,0,132,0,132,0,132,44,48,12,18,58.55,,34.38,56.94,78.57,25.99
2010,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,372,149,0,132,22,24,46,59,25,29,68,63,0,132,91,93,77,79,32,26,11,16,372,149,34,25,0,132,13,21,0,132,0,132,10,15,11,16,149,105,0,132,12,19,35,55,0,132,102,94,0,132,166,100,56,61,0,132,33,32,0,132,77,79,0,132,23,28,12,18,0,132,0,132,0,132,11,20,0,132,53.76,29.41,68.46,46.39,47.83,8.6
2010,6037407501,Census Tract 4075.01,Valinda,Los Angeles County,California,Valinda,378,105,0,132,10,16,20,23,42,37,18,20,68,57,59,40,51,46,103,69,7,11,378,105,0,132,0,132,0,132,0,132,0,132,0,132,0,132,103,58,20,23,9,15,0,132,7,12,67,49,0,132,259,94,10,16,33,34,18,20,61,58,130,76,7,11,16,18,0,132,0,132,0,132,0,132,16,18,0,132,74.34,,71.84,73.75,100.0,27.25
2010,6037407502,Census Tract 4075.02,Valinda,Los Angeles County,California,Valinda,320,102,0,132,8,12,31,36,20,21,14,21,46,44,84,67,60,48,57,44,0,132,320,102,11,19,11,19,0,132,0,132,0,132,0,132,0,132,107,69,0,132,0,132,0,132,23,36,84,64,0,132,202,95,28,33,20,21,14,21,23,26,117,68,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,77.19,0.0,100.0,69.31,,17.81
2010,6037407801,Census Tract 4078.01,Valinda,Los Angeles County,California,Valinda,245,103,39,62,10,16,0,132,0,132,68,70,15,22,36,55,17,27,60,58,0,132,245,103,0,132,0,132,0,132,0,132,0,132,0,132,0,132,120,87,0,132,0,132,32,50,15,22,73,68,0,132,125,82,49,64,0,132,36,55,0,132,40,41,0,132,0,132,0,132,0,132,0,132,0,132,0,132,0,132,52.24,,73.33,32.0,,24.49
2010,6037407802,Census Tract 4078.02,Valinda,Los Angeles County,California,Valinda,194,69,11,18,8,14,0,132,42,39,21,24,25,25,0,132,40,42,47,41,0,132,194,69,0,132,0,132,0,132,0,132,0,132,0,132,0,132,58,45,1,3,21,25,0,132,0,132,36,38,0,132,128,60,10,18,21,30,21,24,25,25,51,41,0,132,8,14,8,14,0,132,0,132,0,132,0,132,0,132,57.73,,62.07,59.38,0.0,24.23
2010,6037407900,Census Tract 4079,Valinda,Los Angeles County,California,Valinda,290,108,0,132,9,14,22,23,57,55,19,31,0,132,10,15,37,37,127,80,9,15,290,108,10,15,0,132,0,132,0,132,0,132,10,15,0,132,88,63,0,132,0,132,19,31,0,132,60,53,9,15,156,86,31,26,57,55,0,132,0,132,68,52,0,132,36,43,0,132,0,132,0,132,0,132,36,43,0,132,60.0,100.0,68.18,43.59,100.0,43.79
2010,6037408003,Census Tract 4080.03,Valinda,Los Angeles County,California,Valinda,281,136,0,132,70,69,20,28,0,132,105,100,20,30,13,20,0,132,43,55,10,19,281,136,20,30,0,132,0,132,0,132,20,30,0,132,0,132,175,117,70,69,0,132,105,100,0,132,0,132,0,132,86,69,20,28,0,132,0,132,0,132,56,62,10,19,0,132,0,132,0,132,0,132,0,132,0,132,0,132,27.05,100.0,0.0,65.12,,15.3
2011,6037406601,Census Tract 4066.01,Valinda,Los Angeles County,California,Valinda,293,95,0,95,0,95,0,95,56,60,19,27,42,52,47,42,33,52,75,73,21,24,293,95,0,95,0,95,0,95,0,95,0,95,0,95,0,95,30,31,0,95,0,95,19,27,0,95,11,17,0,95,190,88,0,95,56,60,0,95,31,48,94,55,9,15,73,49,0,95,0,95,0,95,11,20,50,59,12,18,67.24,,36.67,65.79,83.56,25.6
2011,6037406602,Census Tract 4066.02,Valinda,Los Angeles County,California,Valinda,344,124,0,95,21,25,34,46,19,22,48,49,0,95,90,91,70,67,51,36,11,18,344,124,38,28,0,95,10,15,0,95,0,95,17,20,11,18,150,108,0,95,9,16,29,45,0,95,112,92,0,95,131,87,44,48,0,95,19,23,0,95,68,64,0,95,25,29,11,19,0,95,0,95,0,95,14,21,0,95,61.34,44.74,74.67,51.91,56.0,14.83
