YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden
2010,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,853,171,37,61,61,62,51,64,142,96,106,90,115,93,94,82,66,55,150,90,31,49,853,171,22,28,0,132,11,19,11,18,0,132,0,132,0,132,225,124,47,58,72,75,0,132,25,30,81,78,0,132,556,165,102,91,47,56,95,89,90,97,191,94,31,49,50,41,0,132,12,20,0,132,0,132,38,35,0,132,49.82,0.0,47.11,50.54,76.0,17.58
2010,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,468,152,39,41,0,132,123,91,19,30,98,86,0,132,0,132,30,34,85,81,74,62,468,152,0,132,0,132,0,132,0,132,0,132,0,132,0,132,109,75,28,35,0,132,19,33,0,132,38,57,24,36,266,114,134,99,0,132,79,77,0,132,21,26,32,37,93,80,0,132,19,30,0,132,0,132,56,68,18,29,24.57,,34.86,7.89,60.22,18.16
2011,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,789,189,0,95,14,23,41,45,108,86,125,103,153,116,98,76,50,54,200,123,0,95,789,189,11,18,0,95,11,18,0,95,0,95,0,95,0,95,176,108,27,32,44,67,0,95,28,34,77,73,0,95,502,169,28,40,38,48,125,103,85,92,226,117,0,95,100,72,0,95,15,24,0,95,40,61,45,40,0,95,63.5,0.0,59.66,61.95,85.0,25.35
2011,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,477,154,35,35,0,95,72,72,19,30,88,79,0,95,39,47,7,15,159,105,58,51,477,154,0,95,0,95,0,95,0,95,0,95,0,95,0,95,116,80,13,24,0,95,16,27,0,95,61,69,26,37,288,118,94,77,0,95,72,74,0,95,90,75,32,38,73,68,0,95,19,30,0,95,0,95,54,63,0,95,42.98,,52.59,31.25,73.97,33.33
2012,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,892,220,0,18,0,18,71,76,63,50,128,107,126,106,141,107,103,77,260,121,0,18,892,220,13,21,0,18,13,21,0,18,0,18,0,18,0,18,166,94,17,29,0,18,14,24,33,37,102,81,0,18,600,192,54,70,37,40,114,106,50,78,345,154,0,18,113,71,0,18,13,22,0,18,43,61,57,45,0,18,70.63,0.0,81.33,65.83,88.5,29.15
2012,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,494,174,35,42,69,78,64,67,20,32,67,68,0,18,34,39,10,17,157,100,38,43,494,174,0,18,0,18,0,18,0,18,0,18,0,18,0,18,62,49,6,12,0,18,17,28,0,18,39,44,0,18,349,164,162,115,0,18,50,62,0,18,99,80,38,43,83,79,0,18,20,32,0,18,0,18,63,73,0,18,40.69,,62.9,28.37,75.9,31.78
2013,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,767,203,0,17,9,18,28,34,58,49,158,125,80,71,140,124,98,90,196,107,0,17,767,203,0,17,0,17,0,17,0,17,0,17,0,17,0,17,188,120,18,30,15,25,71,96,34,38,50,58,0,17,482,187,19,26,24,29,87,82,16,40,336,170,0,17,97,61,0,17,19,31,0,17,30,40,48,47,0,17,67.01,,44.68,73.03,80.41,25.55
2013,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,493,182,39,60,60,64,38,49,41,47,47,74,0,17,37,43,18,28,175,124,38,43,493,182,0,17,0,17,0,17,0,17,0,17,0,17,0,17,56,62,0,17,0,17,0,17,0,17,56,62,0,17,401,169,137,98,22,35,47,74,0,17,157,111,38,43,36,39,0,17,19,30,0,17,0,17,17,27,0,17,46.65,,100.0,39.15,47.22,35.5
2014,6037703100,Census Tract 7031,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,874,233,0,17,13,23,72,62,115,104,136,107,63,58,217,121,94,92,164,94,0,17,874,233,0,17,0,17,0,17,0,17,0,17,0,17,0,17,124,95,15,23,12,21,61,80,15,25,21,31,0,17,672,227,70,66,85,97,75,78,15,25,427,168,0,17,78,62,0,17,18,29,0,17,33,44,27,36,0,17,61.56,,29.03,65.77,76.92,18.76
2014,6037703200,Census Tract 7032,View Park-Windsor Hills,Los Angeles County,California,ViewPark-WindsorHills,522,157,0,17,72,74,47,54,37,43,93,100,0,17,33,43,15,26,206,118,19,29,522,157,0,17,0,17,0,17,0,17,0,17,0,17,0,17,69,77,0,17,0,17,44,68,0,17,25,39,0,17,375,158,119,88,19,29,49,79,0,17,169,102,19,29,78,78,0,17,18,30,0,17,0,17,60,73,0,17,48.66,,36.23,45.07,76.92,39.46
