YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,360,82,0,14,19,22,0,14,17,23,92,57,49,66,13,14,51,48,119,53,0,14,360,82,10,16,10,16,0,14,0,14,0,14,0,14,0,14,23,27,0,14,0,14,0,14,4,14,19,24,0,14,293,83,9,13,17,23,92,57,45,64,130,43,0,14,34,29,0,14,0,14,0,14,0,14,34,29,0,14,64.44,0.0,100.0,59.73,100.0,33.06,0.0%,100.0%,59.73%,100.0%,1
2023,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,201,71,16,20,30,34,27,32,0,14,33,31,41,36,13,21,0,14,41,31,0,14,201,71,0,14,0,14,0,14,0,14,0,14,0,14,0,14,19,29,19,29,0,14,0,14,0,14,0,14,0,14,149,63,36,36,0,14,33,31,41,36,39,30,0,14,33,24,18,20,0,14,0,14,0,14,15,19,0,14,47.26,,0.0,53.69,45.45,20.4,Not Available,0.0%,53.69%,45.45%,1
2023,6037405301,Census Tract 4053.01,Vincent,Los Angeles County,California,Vincent,513,101,12,12,11,13,0,14,55,44,114,78,81,64,44,38,12,16,175,92,9,14,513,101,62,49,0,14,24,37,13,22,0,14,25,35,0,14,70,64,0,14,12,18,36,57,8,15,14,17,0,14,291,96,12,12,10,15,52,69,54,51,163,87,0,14,90,52,11,13,9,13,13,23,19,31,29,23,9,14,60.82,40.32,31.43,74.57,53.33,34.11,40.32%,31.43%,74.57%,53.33%,1
2023,6037405400,Census Tract 4054,Vincent,Los Angeles County,California,Vincent,236,159,0,19,0,19,17,27,35,38,126,156,5,10,0,19,12,19,41,29,0,19,236,159,0,19,0,19,0,19,0,19,0,19,0,19,0,19,98,149,0,19,0,19,90,148,0,19,8,12,0,19,102,74,17,27,25,36,36,57,5,10,19,26,0,19,36,43,0,19,10,16,0,19,0,19,26,38,0,19,24.58,,8.16,23.53,72.22,17.37,Not Available,8.16%,23.53%,72.22%,1
2023,6037405500,Census Tract 4055,Vincent,Los Angeles County,California,Vincent,524,127,0,19,18,20,64,65,46,37,46,44,24,37,17,31,38,42,206,103,65,63,524,127,8,15,0,19,0,19,0,19,0,19,0,19,8,15,147,78,74,67,0,19,0,19,24,37,49,42,0,19,232,97,8,13,39,36,46,44,0,19,100,55,39,53,137,89,0,19,7,13,0,19,0,19,112,81,18,29,54.39,0.0,49.66,43.1,81.75,39.31,0.0%,49.66%,43.1%,81.75%,1
2023,6037405701,Census Tract 4057.01,Vincent,Los Angeles County,California,Vincent,444,105,0,14,0,14,0,14,68,57,59,59,33,30,92,107,47,58,88,61,57,52,444,105,98,75,0,14,0,14,35,55,0,14,63,63,0,14,65,53,0,14,14,22,5,8,0,14,9,14,37,50,262,112,0,14,54,56,19,23,24,26,145,114,20,24,19,22,0,14,0,14,0,14,9,14,10,16,0,14,58.56,64.29,13.85,64.5,100.0,19.82,64.29%,13.85%,64.5%,100.0%,1
2023,6037405702,Census Tract 4057.02,Vincent,Los Angeles County,California,Vincent,487,157,0,19,51,56,86,60,159,95,13,18,35,53,65,59,23,38,16,27,39,43,487,157,34,51,0,19,34,51,0,19,0,19,0,19,0,19,92,73,22,25,35,50,0,19,35,53,0,19,0,19,289,139,101,81,90,66,13,18,0,19,65,63,20,31,72,58,14,21,0,19,0,19,0,19,39,48,19,27,28.54,0.0,38.04,22.49,54.17,3.29,0.0%,38.04%,22.49%,54.17%,1
2023,6037405800,Census Tract 4058,Vincent,Los Angeles County,California,Vincent,446,116,0,19,25,36,36,41,20,24,146,108,75,87,0,19,48,43,74,57,22,36,446,116,0,19,0,19,0,19,0,19,0,19,0,19,0,19,138,95,25,36,0,19,36,60,39,63,38,52,0,19,298,130,36,41,20,24,110,94,36,58,74,51,22,36,10,16,0,19,0,19,0,19,0,19,10,16,0,19,44.17,,55.8,36.91,100.0,16.59,Not Available,55.8%,36.91%,100.0%,1
2014,6037404501,Census Tract 4045.01,Vincent,Los Angeles County,California,Vincent,246,57,0,12,10,17,31,28,34,29,11,18,11,19,32,26,47,35,70,35,0,12,246,57,29,28,0,12,0,12,0,12,11,19,18,21,0,12,96,42,16,19,16,22,11,18,0,12,53,33,0,12,108,45,25,27,5,10,0,12,0,12,78,44,0,12,13,18,0,12,13,18,0,12,0,12,0,12,0,12,65.04,100.0,55.21,72.22,0.0,28.46,100.0%,55.21%,72.22%,0.0%,1
2014,6037404503,Census Tract 4045.03,Vincent,Los Angeles County,California,Vincent,160,44,11,13,19,21,39,34,0,12,0,12,22,21,11,15,14,15,9,9,35,26,160,44,0,12,0,12,0,12,0,12,0,12,0,12,0,12,64,30,22,23,0,12,0,12,13,16,8,13,21,20,70,37,47,35,0,12,0,12,0,12,23,18,0,12,26,22,0,12,0,12,0,12,9,14,3,5,14,16,35.0,,32.81,32.86,46.15,5.62,Not Available,32.81%,32.86%,46.15%,1
