YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037403401,Census Tract 4034.01,Walnut,Los Angeles County,California,Walnut,323,141,0,14,0,14,59,56,15,17,24,31,51,65,0,14,111,99,0,14,63,54,323,141,0,14,0,14,0,14,0,14,0,14,0,14,0,14,6,9,0,14,6,9,0,14,0,14,0,14,0,14,260,128,15,24,9,15,24,31,51,65,111,99,50,50,57,55,44,52,0,14,0,14,0,14,0,14,13,20,50.15,,0.0,62.31,0.0,0.0,Not Available,0.0%,62.31%,0.0%,1
2023,6037403402,Census Tract 4034.02,Walnut,Los Angeles County,California,Walnut,265,71,0,14,0,14,12,13,19,25,22,27,33,29,57,45,0,14,103,57,19,20,265,71,0,14,0,14,0,14,0,14,0,14,0,14,0,14,49,52,0,14,0,14,0,14,22,26,27,38,0,14,154,55,12,13,6,17,10,19,11,15,115,60,0,14,62,39,0,14,13,21,12,18,0,14,18,20,19,20,72.83,,100.0,81.82,29.03,38.87,Not Available,100.0%,81.82%,29.03%,1
2023,6037403403,Census Tract 4034.03,Walnut,Los Angeles County,California,Walnut,170,80,0,19,32,44,18,20,35,41,22,22,17,29,0,19,14,21,18,27,14,16,170,80,0,19,0,19,0,19,0,19,0,19,0,19,0,19,18,27,0,19,0,19,0,19,0,19,18,27,0,19,145,73,43,48,35,41,22,22,17,29,14,21,14,16,7,11,7,11,0,19,0,19,0,19,0,19,0,19,28.82,,100.0,21.38,0.0,10.59,Not Available,100.0%,21.38%,0.0%,1
2023,6037403404,Census Tract 4034.04,Walnut,Los Angeles County,California,Walnut,66,34,0,14,0,14,3,6,0,14,0,14,0,14,0,14,5,7,38,24,20,21,66,34,0,14,0,14,0,14,0,14,0,14,0,14,0,14,16,20,0,14,0,14,0,14,0,14,0,14,16,20,39,24,0,14,0,14,0,14,0,14,39,24,0,14,11,13,3,6,0,14,0,14,0,14,4,7,4,7,65.15,,0.0,100.0,36.36,57.58,Not Available,0.0%,100.0%,36.36%,1
2023,6037403407,Census Tract 4034.07,Walnut,Los Angeles County,California,Walnut,55,30,0,14,9,14,0,14,0,14,0,14,0,14,21,29,3,5,8,11,14,13,55,30,0,14,0,14,0,14,0,14,0,14,0,14,0,14,9,10,0,14,0,14,0,14,0,14,3,5,6,9,43,31,9,14,0,14,0,14,0,14,29,28,5,8,3,6,0,14,0,14,0,14,0,14,0,14,3,6,58.18,,33.33,67.44,0.0,14.55,Not Available,33.33%,67.44%,0.0%,1
2023,6037403408,Census Tract 4034.08,Walnut,Los Angeles County,California,Walnut,258,145,0,19,8,13,7,10,20,24,43,39,32,48,0,19,29,33,15,14,104,131,258,145,5,8,0,19,0,19,0,19,0,19,5,8,0,19,14,23,0,19,0,19,14,23,0,19,0,19,0,19,212,141,7,10,20,24,29,32,32,48,30,25,94,130,27,24,8,13,0,19,0,19,0,19,9,14,10,17,29.46,100.0,0.0,29.25,33.33,5.81,100.0%,0.0%,29.25%,33.33%,1
2023,6037403409,Census Tract 4034.09,Walnut,Los Angeles County,California,Walnut,338,76,0,14,10,16,30,29,35,29,50,41,15,19,5,8,35,27,128,60,30,20,338,76,33,30,0,14,0,14,0,14,0,14,27,30,6,9,109,61,17,25,24,26,18,30,0,14,50,46,0,14,175,74,23,25,11,12,32,30,15,19,70,50,24,18,21,26,0,14,0,14,0,14,0,14,21,26,0,14,54.14,81.82,45.87,48.57,100.0,37.87,81.82%,45.87%,48.57%,100.0%,1
2023,6037403500,Census Tract 4035,Walnut,Los Angeles County,California,Walnut,153,64,0,14,0,14,7,10,6,8,15,14,0,14,6,9,0,14,79,57,40,37,153,64,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,24,21,0,14,0,14,3,5,0,14,0,14,21,20,129,62,7,10,6,8,12,13,0,14,85,58,19,31,55.56,,,0.0,65.89,51.63,Not Available,Not Available,0.0%,65.89%,1
2014,6037402404,Census Tract 4024.04,Walnut,Los Angeles County,California,Walnut,4,6,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,6,4,6,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0.0,,,0.0,,0.0,Not Available,Not Available,0.0%,Not Available,1
2014,6037403200,Census Tract 4032,Walnut,Los Angeles County,California,Walnut,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,,,,,,,Not Available,Not Available,Not Available,Not Available,1
2014,6037403401,Census Tract 4034.01,Walnut,Los Angeles County,California,Walnut,330,102,0,17,54,58,6,11,6,11,39,52,0,17,96,66,59,49,60,45,10,16,330,102,26,37,0,17,0,17,0,17,0,17,26,37,0,17,72,60,0,17,0,17,0,17,0,17,72,60,0,17,193,81,60,58,6,11,39,52,0,17,88,48,0,17,39,38,0,17,0,17,0,17,0,17,29,36,10,16,65.15,100.0,100.0,45.6,74.36,18.18,100.0%,100.0%,45.6%,74.36%,1
2014,6037403402,Census Tract 4034.02,Walnut,Los Angeles County,California,Walnut,202,59,14,17,11,17,15,17,32,20,14,15,21,26,11,20,43,30,28,23,13,11,202,59,4,7,0,12,0,12,0,12,0,12,0,12,4,7,30,25,11,17,9,14,0,12,0,12,10,13,0,12,155,58,29,25,23,20,14,15,21,26,68,39,0,12,13,12,0,12,0,12,0,12,0,12,4,8,9,9,50.99,0.0,33.33,57.42,30.77,13.86,0.0%,33.33%,57.42%,30.77%,1
2014,6037403403,Census Tract 4034.03,Walnut,Los Angeles County,California,Walnut,53,54,0,17,0,17,0,17,0,17,0,17,8,15,0,17,28,42,0,17,17,27,53,54,17,27,0,17,0,17,0,17,0,17,0,17,17,27,0,17,0,17,0,17,0,17,0,17,0,17,0,17,36,47,0,17,0,17,0,17,8,15,28,42,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,67.92,0.0,,100.0,,0.0,0.0%,Not Available,100.0%,Not Available,1
