YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,236,103,0,14,32,50,12,17,67,59,9,15,6,9,0,14,37,39,37,28,36,43,236,103,0,14,0,14,0,14,0,14,0,14,0,14,0,14,56,41,12,17,0,14,9,15,6,9,12,21,17,28,93,69,32,50,38,38,0,14,0,14,23,28,0,14,87,63,0,14,29,45,0,14,0,14,39,37,19,30,33.9,,32.14,24.73,44.83,15.68,Not Available,32.14%,24.73%,44.83%,1
2023,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,995,266,54,51,0,14,48,54,35,59,149,168,154,107,89,77,56,78,365,176,45,69,995,266,0,14,0,14,0,14,0,14,0,14,0,14,0,14,144,107,0,14,0,14,45,47,0,14,99,102,0,14,682,200,102,79,35,59,0,14,134,101,366,151,45,69,169,182,0,14,0,14,104,161,20,38,45,75,0,14,66.73,,68.75,73.31,38.46,36.68,Not Available,68.75%,73.31%,38.46%,1
2023,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,150,86,0,14,0,14,0,14,69,60,0,14,0,14,25,36,0,14,56,59,0,14,150,86,0,14,0,14,0,14,0,14,0,14,0,14,0,14,52,45,0,14,27,30,0,14,0,14,25,33,0,14,98,65,0,14,42,43,0,14,0,14,56,54,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,54.0,,48.08,57.14,,37.33,Not Available,48.08%,57.14%,Not Available,1
2014,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,154,65,18,29,19,29,10,16,0,12,0,12,11,16,8,12,8,12,67,44,13,19,154,65,13,16,0,12,0,12,0,12,0,12,13,16,0,12,15,23,0,12,0,12,0,12,0,12,15,23,0,12,105,58,47,41,0,12,0,12,11,16,47,40,0,12,21,23,0,12,0,12,0,12,0,12,8,12,13,19,61.04,100.0,100.0,55.24,38.1,43.51,100.0%,100.0%,55.24%,38.1%,1
2014,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,982,104,8,15,24,28,68,52,130,71,139,117,81,49,40,32,117,91,345,121,30,48,982,104,0,12,0,12,0,12,0,12,0,12,0,12,0,12,117,85,1,14,36,43,15,22,0,12,65,65,0,12,745,127,91,61,94,73,124,112,81,49,355,124,0,12,120,71,8,12,0,12,0,12,0,12,82,56,30,48,59.37,,55.56,58.52,68.33,35.13,Not Available,55.56%,58.52%,68.33%,1
2014,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,391,111,0,12,5,10,60,54,8,14,68,56,14,22,16,18,22,21,138,95,60,53,391,111,50,49,0,12,8,14,0,12,0,12,42,50,0,12,47,50,0,12,0,12,30,47,0,12,11,13,6,11,230,81,40,40,0,12,38,38,14,22,114,74,24,39,64,58,25,39,0,12,0,12,0,12,9,14,30,35,48.59,84.0,23.4,55.65,14.06,35.29,84.0%,23.4%,55.65%,14.06%,1
2022,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,218,89,0,13,46,55,17,27,36,29,35,40,17,21,0,13,18,19,31,27,18,25,218,89,0,13,0,13,0,13,0,13,0,13,0,13,0,13,66,45,17,27,0,13,19,26,17,21,13,22,0,13,119,72,46,55,36,29,16,26,0,13,21,25,0,13,33,34,0,13,0,13,0,13,0,13,15,20,18,25,30.28,,45.45,17.65,45.45,14.22,Not Available,45.45%,17.65%,45.45%,1
2022,6037602801,Census Tract 6028.01,West Athens,Los Angeles County,California,WestAthens,926,210,54,55,0,13,41,41,45,56,194,205,136,108,83,90,7,13,331,138,35,45,926,210,0,13,0,13,0,13,0,13,0,13,0,13,0,13,91,69,0,13,0,13,52,60,0,13,14,32,25,40,708,169,95,68,45,56,41,67,110,92,407,137,10,23,127,143,0,13,0,13,101,158,26,44,0,13,0,13,60.15,,15.38,73.02,20.47,35.75,Not Available,15.38%,73.02%,20.47%,1
2022,6037602802,Census Tract 6028.02,West Athens,Los Angeles County,California,WestAthens,172,98,0,13,0,13,0,13,52,58,0,13,10,16,27,41,0,13,76,73,7,12,172,98,0,13,0,13,0,13,0,13,0,13,0,13,0,13,52,46,0,13,17,28,0,13,10,16,25,34,0,13,113,90,0,13,35,49,0,13,0,13,78,78,0,13,7,12,0,13,0,13,0,13,0,13,0,13,7,12,65.7,,67.31,69.03,0.0,44.19,Not Available,67.31%,69.03%,0.0%,1
2017,6037602700,Census Tract 6027,West Athens,Los Angeles County,California,WestAthens,255,69,0,12,64,56,23,27,0,12,30,43,16,26,33,36,19,21,70,50,0,12,255,69,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,25,0,12,0,12,0,12,0,12,15,25,0,12,224,65,87,58,0,12,30,43,16,26,91,58,0,12,16,20,0,12,0,12,0,12,0,12,16,20,0,12,54.12,,100.0,47.77,100.0,27.45,Not Available,100.0%,47.77%,100.0%,1
