YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M,TotalRentBurden,RentBurden_15to24,RentBurden_25to34,RentBurden_35to64,RentBurden_65+,TotalSevereRentBurden,RentBurden_15to24_str,RentBurden_25to34_str,RentBurden_35to64_str,RentBurden_65+_str,dummy
2023,6037540400,Census Tract 5404,Willowbrook,Los Angeles County,California,Willowbrook,206,102,0,14,0,14,31,25,19,32,25,25,36,36,0,14,12,18,83,79,0,14,206,102,19,32,0,14,19,32,0,14,0,14,0,14,0,14,46,43,0,14,0,14,16,23,18,29,12,17,0,14,134,91,31,25,0,14,9,16,18,20,76,79,0,14,7,12,0,14,0,14,0,14,0,14,7,12,0,14,63.59,0.0,65.22,70.15,100.0,40.29,0.0%,65.22%,70.15%,100.0%,1
2023,6037540600,Census Tract 5406,Willowbrook,Los Angeles County,California,Willowbrook,800,203,0,14,37,54,16,27,49,40,45,55,131,150,79,75,11,17,359,171,73,89,800,203,0,14,0,14,0,14,0,14,0,14,0,14,0,14,201,186,0,14,0,14,0,14,86,141,115,126,0,14,336,193,53,62,38,39,45,55,0,14,127,126,73,89,263,127,0,14,11,16,0,14,45,50,207,119,0,14,72.5,,100.0,37.8,95.82,44.88,Not Available,100.0%,37.8%,95.82%,1
2023,6037540700,Census Tract 5407,Willowbrook,Los Angeles County,California,Willowbrook,503,134,0,14,2,9,86,72,27,30,82,73,11,14,100,76,34,28,136,83,25,31,503,134,14,23,0,14,0,14,14,23,0,14,0,14,0,14,80,64,10,16,0,14,0,14,0,14,63,62,7,11,275,120,78,72,19,21,41,53,7,12,112,87,18,30,134,78,0,14,8,14,27,37,4,7,95,68,0,14,55.86,0.0,78.75,43.27,73.88,27.04,0.0%,78.75%,43.27%,73.88%,1
2023,6037540800,Census Tract 5408,Willowbrook,Los Angeles County,California,Willowbrook,529,171,40,62,26,42,18,33,108,91,14,18,0,19,0,19,93,89,199,111,31,53,529,171,40,65,0,19,0,19,0,19,0,19,40,65,0,19,31,40,18,33,0,19,0,19,0,19,13,20,0,19,410,155,66,75,108,91,0,19,0,19,205,125,31,53,48,51,0,19,0,19,14,18,0,19,34,42,0,19,55.2,100.0,41.94,50.0,70.83,37.62,100.0%,41.94%,50.0%,70.83%,1
2023,6037541300,Census Tract 5413,Willowbrook,Los Angeles County,California,Willowbrook,244,115,0,19,10,15,0,19,0,19,34,51,35,50,29,32,0,19,119,59,17,22,244,115,0,19,0,19,0,19,0,19,0,19,0,19,0,19,76,64,0,19,0,19,0,19,5,10,60,56,11,17,142,106,10,15,0,19,34,51,30,49,62,48,6,11,26,36,0,19,0,19,0,19,0,19,26,36,0,19,75.0,,85.53,64.79,100.0,48.77,Not Available,85.53%,64.79%,100.0%,1
2023,6037541401,Census Tract 5414.01,Willowbrook,Los Angeles County,California,Willowbrook,691,164,14,22,57,53,39,46,16,24,52,51,147,96,98,99,59,44,198,118,11,17,691,164,0,14,0,14,0,14,0,14,0,14,0,14,0,14,275,97,13,20,16,24,22,37,61,70,163,69,0,14,332,152,76,62,0,14,19,30,74,68,163,128,0,14,84,57,21,32,0,14,11,19,12,17,29,42,11,17,72.65,,81.45,71.39,48.81,28.65,Not Available,81.45%,71.39%,48.81%,1
2023,6037541402,Census Tract 5414.02,Willowbrook,Los Angeles County,California,Willowbrook,339,123,9,13,0,14,50,52,25,42,0,14,123,107,23,37,0,14,89,58,20,25,339,123,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,319,122,59,53,25,42,0,14,123,107,112,64,0,14,20,25,0,14,0,14,0,14,0,14,0,14,20,25,69.32,,,73.67,0.0,26.25,Not Available,Not Available,73.67%,0.0%,1
2023,6037541500,Census Tract 5415,Willowbrook,Los Angeles County,California,Willowbrook,908,149,33,33,110,61,47,43,114,115,108,68,60,51,80,82,150,97,170,90,36,48,908,149,0,19,0,19,0,19,0,19,0,19,0,19,0,19,234,144,10,17,59,95,0,19,21,35,113,109,31,46,617,122,173,72,47,65,108,68,32,37,257,112,0,19,57,41,7,15,8,12,0,19,7,12,30,33,5,10,50.66,,57.26,46.84,64.91,18.72,Not Available,57.26%,46.84%,64.91%,1
2014,6037540600,Census Tract 5406,Willowbrook,Los Angeles County,California,Willowbrook,709,108,24,37,79,63,24,38,68,64,91,67,64,43,75,60,40,43,234,81,10,15,709,108,55,62,0,12,28,47,0,12,0,12,27,43,0,12,139,79,0,12,0,12,25,39,0,12,114,71,0,12,369,133,91,70,40,42,46,49,27,25,165,86,0,12,146,70,36,45,0,12,20,33,37,44,43,39,10,15,58.25,49.09,82.01,52.03,54.79,33.0,49.09%,82.01%,52.03%,54.79%,1
2014,6037540700,Census Tract 5407,Willowbrook,Los Angeles County,California,Willowbrook,418,96,5,9,28,36,17,18,50,43,20,33,38,41,44,36,41,40,148,71,27,23,418,96,0,12,0,12,0,12,0,12,0,12,0,12,0,12,122,57,9,11,26,30,20,33,0,12,50,39,17,20,259,92,41,40,24,29,0,12,19,32,170,76,5,8,37,31,0,12,0,12,0,12,19,25,13,14,5,9,64.83,,40.98,72.97,86.49,35.41,Not Available,40.98%,72.97%,86.49%,1
