YEAR,FIPS,PLACE,GEO_ID,NAME,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,B25072_001E,B25072_001M,B25072_002E,B25072_002M,B25072_003E,B25072_003M,B25072_004E,B25072_004M,B25072_005E,B25072_005M,B25072_006E,B25072_006M,B25072_007E,B25072_007M,B25072_008E,B25072_008M,B25072_009E,B25072_009M,B25072_010E,B25072_010M,B25072_011E,B25072_011M,B25072_012E,B25072_012M,B25072_013E,B25072_013M,B25072_014E,B25072_014M,B25072_015E,B25072_015M,B25072_016E,B25072_016M,B25072_017E,B25072_017M,B25072_018E,B25072_018M,B25072_019E,B25072_019M,B25072_020E,B25072_020M,B25072_021E,B25072_021M,B25072_022E,B25072_022M,B25072_023E,B25072_023M,B25072_024E,B25072_024M,B25072_025E,B25072_025M,B25072_026E,B25072_026M,B25072_027E,B25072_027M,B25072_028E,B25072_028M,B25072_029E,B25072_029M
2012,600212,Acton,6037910205,Census Tract 9102.05,42,44,0,13,0,13,0,13,0,13,27,39,9,14,0,13,0,13,6,10,0,13,42,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,39,0,13,0,13,27,39,0,13,0,13,0,13,15,18,0,13,0,13,0,13,9,14,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600212,Acton,6037910804,Census Tract 9108.04,93,72,0,13,0,13,10,15,10,16,0,13,34,53,27,38,12,19,0,13,0,13,93,72,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,40,10,15,0,13,0,13,0,13,27,38,0,13,56,60,0,13,10,16,0,13,34,53,12,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600212,Acton,6037910805,Census Tract 9108.05,133,79,0,13,10,16,0,13,0,13,0,13,41,50,0,13,44,58,30,42,8,12,133,79,0,13,0,13,0,13,0,13,0,13,0,13,0,13,41,50,0,13,0,13,0,13,41,50,0,13,0,13,84,65,10,16,0,13,0,13,0,13,74,66,0,13,8,12,0,13,0,13,0,13,0,13,0,13,8,12
2012,600212,Acton,6037910812,Census Tract 9108.12,5,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,5,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,0,13,0,13,0,13,5,8,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600212,Acton,6037910813,Census Tract 9108.13,118,96,0,13,0,13,10,17,0,13,0,13,15,23,80,90,0,13,13,21,0,13,118,96,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,118,96,10,17,0,13,0,13,15,23,93,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600394,Agoura Hills,6037800324,Census Tract 8003.24,288,133,0,18,0,18,0,18,83,84,31,29,61,60,0,18,0,18,97,95,16,38,288,133,0,18,0,18,0,18,0,18,0,18,0,18,0,18,35,49,0,18,0,18,0,18,35,49,0,18,0,18,253,132,0,18,83,84,31,29,26,30,97,95,16,38,0,18,0,18,0,18,0,18,0,18,0,18,0,18
2012,600394,Agoura Hills,6037800326,Census Tract 8003.26,427,107,28,30,27,30,42,39,81,58,45,59,48,50,10,16,45,40,91,51,10,15,427,107,11,18,11,18,0,13,0,13,0,13,0,13,0,13,93,63,11,17,21,33,0,13,9,16,52,53,0,13,287,98,66,49,50,46,45,59,39,48,77,54,10,15,36,32,9,15,10,15,0,13,0,13,17,19,0,13
2012,600394,Agoura Hills,6037800327,Census Tract 8003.27,865,186,26,35,0,13,32,31,24,27,250,140,0,13,0,13,12,19,521,150,0,13,865,186,47,49,0,13,0,13,26,42,0,13,21,27,0,13,165,116,29,36,15,23,0,13,0,13,121,112,0,13,504,203,29,41,9,14,207,135,0,13,259,142,0,13,149,94,0,13,0,13,17,28,0,13,132,90,0,13
2012,600394,Agoura Hills,6037800328,Census Tract 8003.28,474,132,23,26,21,33,6,11,59,72,12,19,118,84,23,28,28,33,170,100,14,25,474,132,51,47,0,13,0,13,0,13,24,37,27,31,0,13,92,78,8,13,49,72,0,13,27,44,8,13,0,13,316,119,27,34,10,16,12,19,67,61,186,118,14,25,15,22,15,22,0,13,0,13,0,13,0,13,0,13
2012,600394,Agoura Hills,6037800329,Census Tract 8003.29,939,168,94,65,50,40,68,58,114,80,120,98,71,59,25,29,96,66,269,124,32,36,939,168,33,31,0,18,0,18,0,18,0,18,33,31,0,18,294,122,99,86,38,35,101,98,56,53,0,18,0,18,507,150,99,60,76,71,19,22,15,25,266,122,32,36,105,78,14,22,0,18,0,18,0,18,91,75,0,18
2012,600394,Agoura Hills,6037800332,Census Tract 8003.32,136,96,0,18,0,18,9,18,25,48,0,18,0,18,0,18,0,18,14,24,88,73,136,96,0,18,0,18,0,18,0,18,0,18,0,18,0,18,25,48,0,18,25,48,0,18,0,18,0,18,0,18,57,47,9,18,0,18,0,18,0,18,0,18,48,43,54,65,0,18,0,18,0,18,0,18,14,24,40,61
2012,600450,Agua Dulce,6037910804,Census Tract 9108.04,93,72,0,13,0,13,10,15,10,16,0,13,34,53,27,38,12,19,0,13,0,13,93,72,0,13,0,13,0,13,0,13,0,13,0,13,0,13,37,40,10,15,0,13,0,13,0,13,27,38,0,13,56,60,0,13,10,16,0,13,34,53,12,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600450,Agua Dulce,6037910808,Census Tract 9108.08,64,59,0,13,0,13,0,13,0,13,30,45,10,18,0,13,0,13,17,26,7,13,64,59,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,23,0,13,0,13,0,13,10,18,0,13,7,13,47,54,0,13,0,13,30,45,0,13,17,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600450,Agua Dulce,6037910810,Census Tract 9108.10,35,29,0,13,16,25,0,13,0,13,3,5,0,13,0,13,1,5,3,6,12,13,35,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,27,16,25,0,13,0,13,0,13,3,6,8,11,1,5,0,13,0,13,0,13,0,13,1,5,0,13,7,9,0,13,0,13,3,5,0,13,0,13,4,8
2012,600450,Agua Dulce,6037910813,Census Tract 9108.13,118,96,0,13,0,13,10,17,0,13,0,13,15,23,80,90,0,13,13,21,0,13,118,96,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,118,96,10,17,0,13,0,13,15,23,93,86,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
2012,600884,Alhambra,6037480302,Census Tract 4803.02,1050,115,26,23,129,67,223,94,129,62,111,47,84,55,21,24,88,60,187,72,52,54,1050,115,37,32,7,10,0,13,19,29,0,13,11,12,0,13,276,81,189,78,21,19,8,13,28,26,30,37,0,13,482,94,142,69,102,55,14,16,25,24,173,72,26,26,255,65,40,36,6,9,70,38,31,40,82,38,26,39
2012,600884,Alhambra,6037480303,Census Tract 4803.03,1153,135,12,21,23,27,242,98,146,107,148,85,92,75,98,72,159,95,212,99,21,33,1153,135,90,58,13,20,0,13,26,33,17,28,34,30,0,13,310,123,87,63,40,39,34,40,30,34,119,77,0,13,687,157,177,82,106,96,77,59,45,66,282,130,0,13,66,48,0,13,0,13,11,15,0,13,34,42,21,33
2012,600884,Alhambra,6037480304,Census Tract 4803.04,1402,128,44,68,142,107,98,59,88,67,114,74,107,70,56,37,262,145,464,141,27,32,1402,128,87,61,0,13,0,13,0,13,0,13,87,61,0,13,379,149,167,127,34,43,21,33,20,29,137,89,0,13,659,152,107,79,54,53,34,36,56,51,394,151,14,23,277,102,10,17,0,13,59,57,31,37,164,81,13,22
2012,600884,Alhambra,6037480400,Census Tract 4804,1260,176,95,87,91,71,212,106,186,95,177,109,46,43,76,77,42,48,257,125,78,55,1260,176,52,82,0,18,0,18,0,18,0,18,52,82,0,18,339,112,158,97,61,70,55,81,0,18,65,76,0,18,559,148,158,103,125,70,81,95,28,32,135,83,32,35,310,116,82,70,0,18,41,45,18,29,123,92,46,47
2012,600884,Alhambra,6037480500,Census Tract 4805,973,142,56,49,91,54,117,85,92,71,138,86,82,69,83,71,48,46,236,110,30,35,973,142,65,57,0,18,0,18,15,23,0,18,50,52,0,18,188,87,79,74,35,37,0,18,15,25,59,46,0,18,612,146,174,76,45,57,123,83,67,65,173,100,30,35,108,69,11,19,12,20,0,18,0,18,85,75,0,18
2012,600884,Alhambra,6037480704,Census Tract 4807.04,1237,116,61,56,145,74,191,86,208,91,118,81,28,26,30,28,133,71,245,83,78,40,1237,116,24,25,0,13,0,13,0,13,0,13,24,25,0,13,333,105,125,72,36,32,69,63,12,19,64,36,27,24,766,134,272,113,163,86,36,30,16,18,228,90,51,45,114,53,0,13,9,15,13,19,0,13,92,47,0,13
2012,600884,Alhambra,6037480802,Census Tract 4808.02,458,114,55,59,46,42,40,46,86,61,24,27,0,13,81,57,25,23,73,53,28,27,458,114,0,13,0,13,0,13,0,13,0,13,0,13,0,13,105,69,46,51,0,13,24,27,0,13,22,36,13,20,291,99,95,64,86,61,0,13,0,13,101,58,9,14,62,42,0,13,0,13,0,13,0,13,56,42,6,10
2012,600884,Alhambra,6037480803,Census Tract 4808.03,410,105,0,13,61,42,92,68,74,55,54,59,14,21,8,13,57,45,42,31,8,13,410,105,5,14,0,13,0,13,0,13,0,13,5,14,0,13,70,60,48,56,0,13,0,13,0,13,22,26,0,13,308,101,105,65,74,55,45,51,14,21,62,42,8,13,27,26,0,13,0,13,9,14,0,13,18,22,0,13
2012,600884,Alhambra,6037480804,Census Tract 4808.04,1427,131,30,29,73,48,221,103,132,73,148,72,158,107,72,70,162,77,326,126,105,63,1427,131,78,56,0,18,0,18,0,18,0,18,46,44,32,40,373,116,33,27,35,36,54,57,10,16,180,101,61,53,861,170,291,115,97,64,75,63,142,104,256,86,0,18,115,51,0,18,0,18,19,23,6,11,78,41,12,18
2012,600884,Alhambra,6037480901,Census Tract 4809.01,1142,118,0,13,128,62,121,76,171,99,89,49,93,62,45,35,143,65,265,104,87,48,1142,118,79,60,27,42,0,13,9,14,27,41,9,13,7,11,292,101,82,58,66,66,33,28,36,35,45,33,30,48,669,104,140,65,105,66,38,32,30,29,320,99,36,40,102,41,0,13,0,13,9,16,0,13,79,40,14,15
2012,600884,Alhambra,6037480902,Census Tract 4809.02,1098,115,0,13,114,87,190,84,105,66,47,35,51,58,63,40,217,100,269,102,42,39,1098,115,16,18,0,13,5,7,0,13,0,13,11,15,0,13,190,82,81,59,8,12,7,15,0,13,64,43,30,37,815,135,223,103,82,64,33,30,44,56,421,109,12,17,77,45,0,13,10,15,7,11,7,12,53,45,0,13
2012,600884,Alhambra,6037480903,Census Tract 4809.03,544,104,28,33,9,12,67,61,49,47,15,23,49,43,36,37,23,32,180,81,88,63,544,104,21,24,0,13,9,14,0,13,12,19,0,13,0,13,169,90,56,55,5,9,15,23,20,32,37,41,36,42,286,87,48,38,35,43,0,13,7,8,174,69,22,29,68,49,0,13,0,13,0,13,10,17,28,29,30,33
2012,600884,Alhambra,6037481001,Census Tract 4810.01,784,153,9,14,32,33,38,37,119,75,47,39,74,54,115,85,44,33,306,94,0,13,784,153,53,42,10,15,0,13,0,13,0,13,43,39,0,13,101,66,15,23,0,13,11,14,0,13,75,64,0,13,422,120,20,21,96,72,20,23,45,42,241,98,0,13,208,73,34,38,23,19,16,25,29,33,106,60,0,13
2012,600884,Alhambra,6037481002,Census Tract 4810.02,1335,160,99,85,21,26,131,82,157,77,84,54,195,99,63,48,184,87,329,136,72,71,1335,160,62,66,42,64,0,18,0,18,0,18,20,22,0,18,295,112,69,50,58,54,21,25,63,70,71,46,13,21,760,144,140,82,90,63,33,33,132,76,361,129,4,13,218,113,0,18,9,18,30,30,0,18,124,70,55,68
2012,600884,Alhambra,6037481500,Census Tract 4815,562,121,28,44,19,21,12,19,50,36,85,72,43,32,37,33,116,102,78,47,94,63,562,121,8,13,0,13,0,13,0,13,0,13,0,13,8,13,79,63,0,13,11,18,29,46,9,14,0,13,30,45,324,114,47,49,39,33,41,50,27,27,148,91,22,36,151,68,12,19,0,13,15,24,7,10,83,56,34,31
2012,600884,Alhambra,6037481603,Census Tract 4816.03,809,92,0,13,67,47,76,60,77,59,115,82,26,26,43,34,91,56,274,92,40,40,809,92,0,13,0,13,0,13,0,13,0,13,0,13,0,13,151,72,50,47,0,13,31,44,0,13,41,44,29,35,583,99,85,51,72,58,74,54,26,26,315,90,11,17,75,45,8,14,5,10,10,15,0,13,52,43,0,13
